"jaggers::reputation";"provis::reputation"
"provis::#-merited";"provis::reputation"
"havisham::produced";"herbert::produced"
"jaggers::sorry";"pip::sorry"
"havisham::enough";"jaggers::enough"
"jaggers::father";"pip::father"
"pip::frank";"wemmick::frank"
"jaggers::numbers";"pip::numbers"
"jaggers::reason";"pip::reason"
"jaggers::reason";"wemmick::reason"
"jaggers::magisterially";"mike::magisterially"
"jaggers::just";"mike::just"
"jaggers::just";"wemmick::just"
"mike::just";"wemmick::just"
"clara_barley::recompense";"herbert::recompense"
"bill_barley::rooms";"clara::rooms"
"bill_barley::rooms";"provis::rooms"
"clara::rooms";"provis::rooms"
"orlick::drop";"orlick::dropped"
"orlick::drop";"provis::drop"
"orlick::drop";"provis::dropped"
"orlick::dropped";"provis::drop"
"orlick::dropped";"provis::dropped"
"provis::drop";"provis::dropped"
"herbert::met";"startop::met"
"herbert::whether";"startop::whether"
"provis::whether";"startop::whether"
"betsy::clearer";"betsy::waters"
"betsy::clearer";"johns::clearer"
"betsy::clearer";"johns::waters"
"betsy::waters";"johns::clearer"
"betsy::waters";"johns::waters"
"johns::clearer";"johns::waters"
"betsy::taken";"johns::taken"
"herbert::enough";"herbert::just"
"herbert::enough";"provis::enough"
"herbert::enough";"provis::just"
"herbert::just";"provis::enough"
"herbert::just";"provis::just"
"provis::enough";"provis::just"
"clara::live";"herbert::live"
"clara::father";"herbert::father"
"wemmick::ears";"wemmick::heard"
"pip::whether";"wemmick::whether"
"jaggers::attendance";"jaggers::reputation"
"havisham::lamp";"havisham::whether"
"joe::meantersay";"pip::meantersay"
"joe::grave";"joe::short"
"estella::meantersay";"joe::meantersay"
"havisham::heard";"havisham::smoked"
"havisham::heard";"joe_joe::heard"
"havisham::heard";"joe_joe::smoked"
"havisham::smoked";"joe_joe::heard"
"havisham::smoked";"joe_joe::smoked"
"joe_joe::heard";"joe_joe::smoked"
"joe::drop";"joe::dropped"
"joe::#-reason";"joe::constancy"
"joe::chap";"pip::chap"
"biddy::whether";"joe::whether"
"joseph::fashion";"pumblechook::fashion"
"joseph::retorted";"pumblechook::retorted"
"biddy::taken";"joe::taken"
"clarriker::enough";"herbert::enough"
"biddy::eleven";"joe::eleven"
