"MR1";"MR2";"MR4";"MR3"
"#-beautiful";0.206629074205907;-0.109477376331202;0.660650465863303;-0.115858400419161
"holy";-0.111732603855266;0.795825851861814;0.0540723417951212;-0.207290733234654
"honest";0.0204064969842517;-0.0806346104981889;0.416425635678704;0.153559123165295
"intellectual";0.155704893413512;0.364557520695438;-0.116880095471718;0.386849998790389
"interesting";0.221162176188225;0.0448839867159753;0.388612022572572;0.138884905858323
"irregular";0.417542470602015;0.170525519492895;-0.0815217770567624;0.381754528496362
"liberal";0.177169775136419;0.0975464464308117;0.123327234287939;0.323093024456647
"loose";0.304936145403072;0.126487740470536;0.225142727021004;0.377761732471794
"married";0.268258379146844;0.0597137304126076;-0.0662465048423136;-0.604004177313319
"mighty";0.484162575593274;-0.0384373664136886;0.521032487581995;0.15080058268392
"modest";0.268258379146844;0.0597137304126076;-0.0662465048423136;-0.604004177313319
"moral";0.026084246177934;0.739046427161558;0.086883468273713;-0.0742064001055551
"mysterious";0.0604969765029108;0.823206674770611;-0.0173703852316532;0.122964982289507
"natural";0.483790781345287;0.533619087651567;0.131588353803023;0.0040483248375285
"neat";0.225611063388765;-0.00121246533321876;0.254590829315567;0.204772239829818
"original";0.651663639258216;-0.103384548237886;0.114770801505583;-0.00428313677732005
"passionate";0.0295536038864093;0.0201679487895316;-0.0177086650631374;0.248471151088311
"peaceful";0.262635359754041;0.590543602426864;0.215029232791102;-0.150103796672417
"pleasant";0.719376424530276;0.254466647791708;0.0900605181848783;0.234017138471976
"popular";0.388654361357374;0.0587595588621339;-0.139830635283873;0.316999672501823
"powerful";0.556509035521433;0.131880611101469;0.115703316803928;0.120758477934598
"proud";0.270135137048837;0.310316352029409;-0.127949608154253;0.436628837830561
"prudent";-0.0690329022475377;-0.0545550185310248;-0.0276473907693629;0.261283713743511
"quiet";0.373481177292335;0.052964200171611;0.228072561942615;0.0520486705941788
"safe";0.32757474351406;0.143181933443059;0.118848770567315;0.399781456497787
"secure";0.0419424298615853;0.00930449940779361;0.0743833934650342;0.395436686387294
"selfish";0.215919971784403;0.0569119389356254;0.39822831692222;0.0307302179827075
"sincere";0.0492482006982869;0.0411117784296425;0.22752986761227;0.285556510825967
"social";0.620606037087792;0.0289307752662724;0.382113227200129;0.0695577905935025
"surprising";0.394627833781142;0.234263704843395;-0.0152922090707686;0.0945176054098499
"unfair";0.615927191330057;0.111190865707458;-0.047589447191435;0.0654001486475397
"weak";0.247757281425019;0.0246346460515175;0.341668759863398;0.194507919330152
