"MR4";"MR1";"MR3";"MR2"
"enthusiastic";0.0810228317218918;0.201501418761039;0.450638535118378;-0.234222925845357
"entitled";0.199285688679896;0.0304873013124946;0.0508101794125866;-0.0839998902509503
"exciting";0.0404502302653283;0.0252215721318664;0.370465385011045;0.247310832909962
"expensive";0.325557572834528;0.34869042248552;0.376425808561692;0.256147578263762
"extraordinary";0.458497119054914;0.561440994896488;0.382665199417544;0.128671083158358
"extreme";0.408309297633945;0.586246158030649;0.186746122118176;-0.0495719927529481
"fair";0.48004718003488;0.386967729024162;0.503011891873395;0.258086764303974
"faithful";0.33326470259795;0.612904815267436;0.298539773709461;0.0164844234224395
"familiar";0.335888171693187;0.43710975805018;0.473270791007454;0.00552596605166088
"famous";0.0819062720290128;0.322589469308874;0.128729717917582;0.149564536861717
"fancy";0.239890789297789;0.133549898740528;0.37332152285531;0.265101349454054
"fascinating";0.0850456767398139;0.337655119212152;-0.0924006153020429;-0.0903789560558418
"free";0.37027070280565;0.442548166643529;0.404187844687035;0.248459601261528
"friendly";0.327047769868184;0.659391614662365;0.213477179746923;0.00756367430876398
"funny";0.57824938233546;0.140825020516661;0.198599683013675;0.0573151737148147
"generous";0.337189804037509;0.306660191361146;0.317312885415278;0.319967034745734
"gentle";0.332369620949839;0.66222328141463;0.426486278248338;0.136954046479652
"genuine";0.242689455515192;0.161148018024436;-0.136559766065709;0.174080390318957
"graceful";0.326826360476662;0.605169100821604;0.272682240798636;0.14392098231574
"greatest";0.567951105029748;0.233376627507676;0.317240544188187;0.192107465242584
"greedy";0.315966792461523;0.480076490699834;0.181385239851091;0.269104090544607
"happier";0.186522571922634;0.487812001629186;0.463168781121867;0.0101602844950909
"harmless";0.0962191164783724;0.397677923545015;0.437080259674285;0.371986256805596
"heavenly";0.32750730410397;0.0172525313889575;0.0554372721733884;-0.0184930058897157
"holy";0.217976007689796;0.256773527592779;0.451179296395022;0.285828366579481
"honest";0.397169625445052;0.667421395054349;0.215625186589523;0.203398085552724
"humble";0.241582693509748;0.651741703313678;0.430439271833441;0.279568813800348
"imposing";0.10361109426118;0.0925026880454966;0.062993673866216;-0.29897910102059
"improper";0.363990651724722;0.0746874834803046;0.274500889172935;0.141664056399982
"independent";-0.000391457101831679;0.632706493426037;-0.00563042263810912;0.0875427047044523
"individual";0.24640347885209;0.302738564385549;-0.127285259190902;0.263142216889617
"influential";-0.0836509403194559;-0.0938350937593224;0.0365213640811925;-0.0062591369544499
"intellectual";0.173469284420713;0.230281085621534;0.284159304598914;0.112328463651844
"intelligent";-0.0364910972748431;0.339796868563032;0.520665059392363;0.244842787715122
"interesting";0.658257138292465;0.337025450947668;0.286626356668529;-0.118938863418202
"irregular";0.00526990831863166;-0.0207985495769856;0.327157699330989;0.18689497756364
"jest";0.42026255640893;0.0739336352600028;0.138651570839795;0.267811062144345
