"MR1";"MR3";"MR2"
"pleasant";0.542349106249541;0.279393875224037;0.0808331613768541
"polite";-0.015860922639874;-0.00022120229326996;0.542763106325591
"popular";0.283380793299898;-0.0208275284714848;0.51549906484087
"powerful";0.162078266351443;0.183704260984572;-0.109189692485007
"progress";0.261295965570895;0.222921503550497;0.00412958183108444
"proud";0.20102000851971;0.680019009140102;-0.0395728011728549
"prudent";0.604274144025921;0.0808860011822963;-0.0459792689766009
"qualified";0.613155656863468;0.232854809808495;-0.105788021942819
"reasonable";0.245989477549536;0.09675744363532;0.276822713857493
"religious";0.113029205748783;-0.0725397259763935;-0.115159775999376
"respected";0.293947089011055;0.49815614922891;-0.0316292855884953
"rich";0.319998560248309;0.512650844143257;-0.0775955747062476
"sacred";0.135118647421763;0.104301804830326;0.0159187396649083
"safe";0.433206005673786;0.345230380533646;0.179508279842103
"scared";0.507039760394105;0.163053504835365;0.142676535943649
"selfish";0.347072628939324;0.191458397338336;0.456544927047209
"social";0.25470134711311;0.0604504494618825;0.353450641226337
"special";0.250490528148622;-0.029997118994401;-0.087153609844377
"spiritual";0.00625609057351387;0.00980454734797183;0.100960658585088
"strong";0.52648107077999;0.298394692096961;0.131821449030686
"superior";0.372961598844003;0.270560358720444;0.0941823323439974
"surprising";0.476216266859332;0.112650016727225;0.247594782000435
"sympathetic";-0.0211896800994991;0.472144903216567;-0.100168725935126
"thoughtful";0.235587856059865;0.347655293048738;0.263319717431294
"trustworthy";0.692850945555542;-0.100085339483965;-0.142068998649278
"uncertain";0.26353451637167;0.48698738767414;-0.0130381288830636
"united";0.694186726531605;-0.0691169346902615;0.120832009625233
"weak";0.431743063195913;0.380255475168341;0.214143462127566
"weaker";0.444514100271094;-0.0751389318725164;0.101414749131308
"worth";0.430109092521102;0.317605872919986;0.0452179672524747
"sincere";-0.0374207830132922;-0.0456692062142484;0.776820714874789
"welcome";0.0238945490532136;-0.0965178759190138;0.379296970209688
"tidy";0.338652525568866;0.209303449441788;-0.139405835536011
"top";0.113029205748783;-0.0725397259763935;-0.115159775999376
"universal";0.507101764878636;-0.025302298973293;0.0835072900958264
"unprecedented";0.458029709759087;-0.087748613266251;0.0869083061426757
"wise";0.000355456680595545;0.0566371069836127;-0.0445770562136192
"stable";0.00412099460173336;0.330559713575528;0.20692506795741
"wealthy";0.692850945555541;-0.100085339483965;-0.142068998649278
"threatening";-0.113250720235146;0.0942875730649584;0.196481417445444
"professional";-0.120371199775909;0.227079544299365;0.0250085555000985
"peaceful";0.230711151063433;0.121969546434924;-0.179681688911881
