"MR1";"MR3";"MR2"
"encouraging";-0.116750180118609;0.42575594872704;0.219799891199536
"energetic";0.0551279493208675;-0.193978466757324;0.329189613030652
"enthusiastic";0.305829812512102;0.341779022494076;0.221120224455348
"expensive";0.457989145274769;0.101098105726812;0.461945998126008
"extraordinary";0.466834031002915;0.329545870517108;0.426381877259958
"extreme";0.374228427210353;0.128480715294951;0.367936977353114
"fair";0.503168850113553;0.381863832442123;0.081200422859788
"faithful";0.188164382708871;0.375690244120441;0.457608938531734
"familiar";0.0747107896750832;0.417676080098239;0.452477607842534
"famous";0.343338007188783;0.514981955962851;-0.0427518479040449
"fancy";0.460638106901742;-0.108358131045804;0.0398995863656823
"free";0.216309399051563;0.503656109716251;0.32378095264413
"friendly";0.232056605115603;0.543426112166507;0.167489398611743
"generous";0.0782033303030919;-0.0916330250503965;0.478255096093643
"gentle";0.544833108413667;0.11124367262259;0.530862547443458
"genuine";0.269832258272349;0.450744070438883;-0.101568235467884
"graceful";-0.146628632554381;0.596090142390794;0.245936844967661
"greatest";0.485209371931476;0.424390456239288;0.255192106433838
"greedy";-0.00563292978285755;0.614142040531494;-0.043388741847393
"happier";0.49712973361175;0.261175608883144;-0.00599121918773793
"happy";0.532091957087193;0.453998337796571;0.231080388158508
"helpful";0.017596779143461;-0.0317866758659073;0.283320747245124
"holy";0.0246235222615;0.0547565628660394;0.180192011846658
"honest";0.606027528715405;0.341001644032311;0.188573822925271
"humble";0.449053016211797;0.452924697760413;0.147352117815924
"inappropriate";0.339671015788524;-0.0282409805058863;0.117319151236495
"independent";-0.144088419340991;0.309413310048058;0.148617666857844
"individual";0.0302411374917314;0.0422843796326383;0.154953855331456
"influential";0.216306158436576;0.0328111744961033;0.360516203908018
"intellectual";0.389206398385783;-0.124422932925357;-0.0137157456003256
"intelligent";0.375467370473177;0.12594350370155;0.0195572666938296
"interesting";0.200398417021526;0.173700553041052;0.377310828978149
"intriguing";0.0296247331291814;0.057592059791309;0.31609309122982
"irregular";-0.0078052028805264;0.239835947626098;0.195003203141901
"legal";0.331645275818684;0.02490002365302;0.490729372435892
"legitimate";-0.0172325525543674;0.0746512893872065;-0.0218949125943629
"liberal";0.137348172233069;0.0168519931879316;0.33306775188063
"loose";0.25525533061065;0.224499210839282;0.437242849899241
"married";0.287252420341449;0.197468250908382;0.461902924390136
"mighty";0.272750386894225;0.121303055782083;0.255433807649926
"minded";0.330138597281522;0.206129732732929;-0.0389028051952149
"modest";0.0432273390626488;0.0972120708592565;0.367729890499341
"moral";-0.0874295133680711;0.340314339337556;0.259436708836313
"mysterious";0.512140176803751;0.432222917318677;0.319065199283928
"natural";0.564042490300439;0.522264285936068;0.33079700170863
"neat";0.0726139848642967;0.110761189873939;0.447851009585968
"novel";0.318304986262769;0.287891223869744;0.398922193975526
"official";0.235852336877233;0.27759354851891;0.224568833186082
"original";0.396803143536104;0.376883606255847;-0.0110922155174831
"outrageous";-0.199203492543937;-0.0930550026217564;0.339790211672783
"passionate";-0.0461484176919939;0.457268487248169;0.226577213080627
"peaceful";0.482492770274186;0.133946360440495;0.243050675370177
"playful";0.0191292373878299;0.253216389356207;0.414762334993225
"pleasant";0.458974016795242;0.495814377439007;0.443551206128334
"polite";0.190865400296459;0.39225237154353;0.326951271967085
"popular";0.287058919497552;0.140231161403761;0.034106876785645
"powerful";0.230828327892936;0.348471662960157;0.514600654007115
"professional";0.466178664201952;0.0567101299026332;-0.0238809523538464
"profitable";0.179225411126598;0.237929495530918;-0.00398592972842834
"proud";0.415972041440742;0.648515105484875;0.147778811741288
"prudent";0.421216356013252;0.0342987622675631;0.0419730380749215
"qualified";0.31467798275395;0.0981283553649382;0.54999910068345
"quiet";0.400969070395482;0.579155019349557;0.379854685580886
"reasonable";0.137728599759943;0.163852832638628;0.225290485901815
"reliable";0.575435744116654;-0.00393511687719154;0.0631440559896915
"religious";-0.064612487172168;0.25379799992992;-0.11923818395853
"responsible";0.0780126154359656;-0.0170524364622262;0.484991526977543
"rich";0.219220323241146;0.480023355266399;0.527339913125888
"sacred";0.262666175631078;0.49577450624629;-0.0213701185866121
"safe";0.376699816226277;0.632542861710484;0.239575949922901
"safer";0.575538939022879;-0.0475453778285044;0.240125991793704
"secure";0.128754801915855;-0.0205946520279702;0.353925692328567
"smart";0.179550913754652;0.281811598663969;0.135473074983097
"special";0.355805070802586;-0.0522314674874616;0.304699006074503
"spontaneous";0.0621496302827846;0.298584202028847;0.197206885439264
"stable";0.0890418717795809;0.327156988645018;-0.0176023598474683
"strong";0.549421048453861;0.470706058800276;0.318600404613987
"subordinate";0.0593239693507559;0.383351641803654;0.0621605802240104
"superior";0.167816221772655;0.548398030701614;-0.136847529021555
"surplus";-0.0518624241762013;0.207125944871638;-0.0584988629358518
"surprising";0.418719360625165;0.285641104770227;0.411564322161868
"sympathetic";0.0448674164000239;0.194868396225991;0.505253107067374
"thoughtful";0.361427900546981;0.217844354233757;0.332966816592407
"threatening";-0.190093677516343;0.192853784744603;0.156117859105965
"top";-0.0688616868623165;-0.0138511464502197;0.541555159463381
"unpleasant";0.0275695961920254;0.480753337189348;-0.184371759339167
"weak";0.523852688752022;0.336227974790725;0.379543245914661
"weaker";0.18976045919387;0.00341589679772455;-0.0644640830013455
"welcome";0.233648423559136;0.0916104995613103;0.214303556659802
"social";0.459216578939905;0.0884868559401036;0.171220811464264
"universal";-0.184414598696353;0.187881756757622;0.138206842114998
"uncertain";-0.00691555187950891;-0.000334023741320076;0.495293169665018
"respected";-0.104822769924801;0.273948957335179;0.208410551226966
"suited";-0.207213638069698;0.40781487233762;0.269835694091514
"unfamiliar";-0.0663002866346845;0.144572425654569;0.486501760255492
"united";0.203866871258114;0.325066886256901;0.120625001687025
"scared";0.0888816709906999;0.0683041043323189;0.103263629285309
"worth";0.418959771318489;0.502306071360887;0.167429242730996
"wise";0.239048225585145;0.126433477177986;0.15735927950174
"unfair";0.326883039882587;-0.00346207906811954;0.11372367690825
"sincere";0.266067227903811;0.05713691437104;0.016185574407548
"unique";0.223828188405654;0.139492303557313;0.00913057032864045
