"MR2";"MR1";"MR3";"MR4";"MR6";"MR5";"MR7";"MR8";"MR12";"MR11";"MR10";"MR9"
"different";0.242179796944141;0.442964842822594;0.165049424607883;0.278860889773691;0.103989842255367;0.106375483333379;0.100891245112042;-0.0899352278090885;-0.011590071907616;0.248593167764338;0.389210837015054;-0.0613353412940378
"encouraging";0.0956574600642644;0.0401508250431327;-0.0749173116676846;-0.145914638512638;-0.0342093736438923;0.731320973036569;-0.0811650741477238;0.296854467982295;0.0327793505662195;-0.0338312455240423;-0.0402340055652147;-0.0339267017606788
"extraordinary";0.291685814764203;0.553250140272246;0.237834406660267;0.155841381882606;0.140302934763898;0.10160351074517;-0.0908311029253138;-0.0966984315818286;0.166387591416593;0.172023978053346;0.216750656696615;0.0652371405539031
"extreme";0.116541593828856;0.634742793848306;0.114559339060841;0.16067646647299;-0.0859343858207977;0.156419864880091;0.379037162479009;0.0114220783892269;0.0907425681015421;0.225967921010655;0.0546973363781605;-0.0330206577020275
"fair";0.62455339656355;0.218581614001586;-0.00898943380265503;0.0512992604499801;0.0544855830679299;0.0978746322885171;0.206000371480623;0.128242787543273;0.128433923602969;-0.0574749016829533;-0.0662892611820962;0.0510700127666522
"faithful";0.762379536294818;0.240078059420871;0.0629185717072328;0.0747525334525871;-0.00382377112745226;0.00268747841704476;-0.0240592418692789;-0.130896611344198;0.0235681180925767;0.298563093996853;-0.0667196026710407;0.00591548358222897
"familiar";0.267698694265852;0.356681273638718;0.147591995585965;-0.0756190275356989;-0.136955963065403;0.0580471242544142;-0.0458454776150836;0.0877850408374064;-0.155607805722169;0.494094520259841;-0.034586833895789;0.225409442223679
"famous";0.0233020734932099;0.0135940437552018;0.926693459185956;0.0262163275573976;-0.0118329550066437;-0.0340473769894277;0.0205635549969045;0.0228560164976541;0.041693263753201;0.0211883759954561;-0.0266164487629136;-0.0357274280944252
"fancy";0.173103201954744;-0.00776694920825151;-0.0624680758294888;-0.0481734334146142;0.110321141912909;0.0571131373723007;0.8524857273956;0.038424164039584;-0.0398466863770215;-0.0631831959504058;-0.0304808218691585;0.00965537325249452
"free";0.0987928631047333;0.224532287086385;0.514412290522527;0.0415535622925188;0.277984294943033;0.0225963851755937;-0.0638459625762729;-0.00812967467433408;0.119714339650001;-0.0850950003755932;0.00397915296455843;0.174843625443589
"friendly";0.523945890114294;0.0328074092855561;0.143125952707217;0.178572043243667;0.0125366269765939;0.140944177842204;-0.114696132742295;0.578144972839081;0.259471523094842;-0.022016618281873;0.0421258853406409;-0.0716395560838265
"generous";0.238406529641806;0.00428262886229697;0.263983565925948;-0.139675272803512;0.306053585806372;-0.0881617482446748;-0.0889088939567539;-0.121620114628013;0.0370736535880387;-0.271546413159381;0.131914998570266;0.014265032996806
"gentle";-0.0848016130574834;0.363183328016255;0.104934167019986;0.419614370894322;0.0393107449792402;0.113990198666548;-0.0103059828584861;0.343549485497248;0.495588024062309;-0.0306628083870249;-0.0139300888080822;0.17167317096411
"greatest";0.344265447351672;0.0626712758286646;0.282562106195531;0.41589720043772;0.157154722113002;0.175703086318433;-0.057885683440046;0.0526804163490432;0.29742680660662;0.0207089897973542;0.111418591040464;0.115437389507873
"happy";0.328353211411719;0.481976536228478;0.146731377998047;0.359273023833058;0.137932029741277;0.0553902538368499;-0.0643433633324467;0.083629920771031;0.00996453682515736;0.234286896016616;0.143401574508046;-0.0319151568172008
"heavenly";0.0828947758706902;0.102840200958144;-0.0617203541517733;-0.0426489674700271;-0.0313718458244055;-0.0576739260401764;0.0009578813167183;-0.0556066199142096;0.0564291327230022;-0.140070111580562;0.938833347705403;-0.0322387796365153
