"MR5";"MR1";"MR4";"MR3";"MR2";"MR6";"MR7";"MR8"
"intellectual";0.0580590451433895;0.287107623368126;0.323061312106645;0.19280850495554;0.234464582403195;0.0435945998116211;-0.15964423930483;-0.12448435481821
"intelligent";0.0290271128577026;0.183084546864882;0.237797633800823;0.604489295291516;0.0779828747748016;-0.00512639884997884;0.0797341984618511;0.212495624260652
"interesting";0.527021237230179;0.300052938724123;0.494126878106967;0.152156343235086;-0.168162463940649;0.146875751966212;0.0669711794212492;-0.0469609428450175
"irregular";-0.00290835312601242;-0.07470539130651;0.283425439429813;0.374616950105483;0.0500782755905159;-0.119665388327668;-0.137323564884889;0.0112518848678581
"jest";0.524362182879094;-0.00276811177893338;0.034802906896456;0.278653923977934;0.131907366616448;0.045869660709546;-0.0437321834108836;-0.262567300331107
"kindly";-0.0388696047467203;0.0741952041639308;0.268521259615384;0.495301394294117;-0.0938860730178697;0.451702454519005;0.0453215994842391;0.0220342127159635
"knowing";0.404231449141227;-0.00801691614221626;-0.0379464644316874;0.424979037264086;0.164681433978606;0.00256395018906794;-0.0710626722563442;-0.0757547485885877
"legal";0.0108849164281263;0.136755588635809;0.0639748602740745;0.336185521124007;0.29530231802967;0.118025860062407;-0.0584692219828378;0.0605935495041635
"legitimate";-0.0410984176709029;0.218619183756194;0.270735881904156;-0.0203607501269936;0.152099375050614;0.00948908770254231;-0.0283191261237028;-0.0798712315006997
"liberal";0.396254862479468;0.131983730177843;0.329530992585188;0.0620223291963114;-0.0695493381304995;0.270703077030283;0.0328664687355436;-0.21499185292344
"loose";0.662935875466001;0.152659978133242;-0.0114573229448049;0.11331728967762;-0.0180865801092807;0.106521632806545;0.0564580087335453;-0.10907151029641
"married";0.449680850547714;0.261653653035939;0.356641016427385;0.435919479560812;0.0493403231298545;-0.00400934274535087;0.331935478813452;0.0644416818612327
"mature";0.0245554125911061;0.437353236019249;-0.0473288261957269;0.112280709137415;0.0831621029645166;-0.133395028482219;0.140301720360782;-0.0902629534143415
"mighty";-0.0360947896807752;0.33122209071818;0.46288080104894;0.229989693834293;-0.126091563847735;0.0358368474494196;0.296109313685748;0.0829239850676933
"minded";0.0393503858399971;0.151582948514001;0.150666705512095;0.500291316276886;-0.189898283809023;0.10421219866041;0.182020978852095;0.136505152908111
"modest";0.0839847563600275;0.516162632078521;0.150513522689784;0.0296271505469567;-0.0889336472136141;0.071560613255499;0.14438845640923;-0.219019616904457
"moral";0.357736536046929;0.145642039716904;0.164378747304821;0.270701992223345;0.28639866682648;0.189821036139061;0.426307551590964;-0.048227046634874
"mysterious";0.226025113607352;0.411513524989425;0.586963392536645;0.0979656244486001;0.0118124417430775;0.141551660530497;0.138992464183388;-0.00627350221579447
"natural";0.421906545376596;0.382400381925595;0.443034738420542;0.313117316360691;0.218996677924197;0.193315732096837;0.0988628743940182;0.0350800142128561
"neat";-0.0244564227940838;-0.00222584943724478;0.0730823698212402;0.039394696805386;-0.115464546413821;0.198064930881899;0.476165026747317;0.0404361011526677
"newest";0.499422782104672;0.371843634996238;0.113680932501312;0.205593794934777;0.027363648785264;-0.0453436791924171;-0.217125344930233;0.0854422806737846
"obliged";0.0546775915860757;0.373265968495887;0.026420974458681;-0.0309914046692995;0.558897623365581;0.130377929444692;0.010350978561681;0.142316587575502
"official";0.0120129151794802;0.147847246722674;0.3784378484031;0.206394563873264;-0.100219471565433;0.00245119613417303;-0.010673484333069;-0.271105121480299
"original";0.542416306623013;0.32935327874831;0.162069727546922;0.418622354794113;0.133474021194448;0.143404690673679;0.190170194699328;0.133279762139201
