"acceptable" "accessible" "affectionate" "bold" "busy" "careful" "careless" "cautious" "certain" "chaste" "cheerful" "clean" "close" "cold" "compassionate" "complimentary" "confidential" "cool" "cruel" "curious" "defiant" "delicate" "determined" "direct" "domestic" "earnest" "easy" "exact" "explosive" "expressive" "faithful" "familiar" "fanciful" "fiery" "formal" "free" "fresh" "friendly" "general" "genteel" "gentle" "giddy" "graceful" "gracious" "grateful" "greedy" "handsome" "hasty" "heavy" "helpless" "honest" "hopeful" "hopeless" "humble" "hurried" "imaginative" "impatient" "improvident" "impulsive" "incredulous" "independent" "indifferent" "indolent" "industrious" "inflexible" "intellectual" "jocular" "kind" "lofty" "lonely" "loud" "loving" "mathematical" "mechanical" "melancholy" "mild" "modest" "mute" "natural" "neat" "noisy" "open" "particular" "patient" "pleasant" "polite" "political" "practical" "proud" "prudent" "punctual" "quick" "quiet" "rapid" "reasonable" "reliant" "reserved" "respectful" "restless" "rigid" "rough" "second" "sensible" "sentimental" "serene" "serious" "shrewd" "silent" "simple" "slow" "sober" "social" "soft" "sorrowful" "sprightly" "stable" "stately" "statistical" "steady" "stern" "stiff" "strong" "submissive" "sudden" "sufficient" "sunny" "sure" "susceptible" "suspicious" "sweet" "tender" "thankful" "thoughtful" "tight" "timid" "true" "ugly" "uncertain" "uncompromising" "unhappy" "vague" "vain" "violent" "watchful" "unkind" "windy" "wiser" "weak" "womanly" "willing"
"cheerful" 0 0 1 1 0 1 0 0 3 0 0 1 0 4 3 0 0 1 1 3 1 1 0 0 1 0 1 0 1 0 0 2 0 0 1 0 1 1 0 0 1 0 1 0 1 0 1 0 2 0 1 1 1 1 0 1 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0 0 1 0 2 1 1 0 4 0 1 1 1 0 1 1 1 1 1 1 0 1 4 0 0 1 1 0 0 1 0 0 2 2 3 0 0 0 2 2 0 0 0 0 1 1 1 1 1 1 1 1 0 1 0 0 4 0 1 1 0 1 1 0 0 4 0 1 0 0 0 1 0 1 0 0 0 1 0 1
"clean" 0 0 0 1 2 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 2 1 0 1 0 0 0 1 0 2 0 0 0 2 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1
"close" 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 2 0 2 1 1 1 0 1 0 0 0 1 0 0 0 1 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 4 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 3 0 0 0 2 1 0 0
"cold" 0 0 2 0 1 2 1 0 4 1 4 1 2 0 2 2 0 1 2 2 1 2 2 1 0 0 1 1 1 0 0 0 1 1 1 2 0 1 1 1 0 0 2 0 0 1 1 1 4 0 0 1 1 1 0 1 0 0 0 0 1 3 0 0 1 1 0 0 0 1 2 1 0 1 4 0 0 1 4 0 1 1 3 0 0 1 2 2 3 0 0 1 3 1 0 1 2 0 0 0 0 0 0 1 2 0 0 0 2 1 0 1 0 0 0 0 1 2 1 0 0 2 1 0 0 3 6 0 0 1 2 0 1 0 0 4 1 0 0 1 0 1 1 3 1 1 1 0 1 0
"compassionate" 0 1 0 0 0 0 0 0 2 0 3 0 0 2 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 3 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"complimentary" 0 0 0 0 0 0 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 1 0 0 0 1 0 0 0 2 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0
"confidential" 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
"cool" 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 2 1 0 1 1 1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"cruel" 0 0 0 0 0 0 0 0 1 1 1 0 0 2 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 2 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0
"curious" 0 0 0 0 0 0 0 0 0 1 3 1 1 2 1 0 0 0 1 0 1 1 0 0 1 0 1 0 1 0 0 2 1 1 1 2 1 2 2 0 1 0 2 1 1 0 1 1 2 0 1 0 2 1 0 1 0 0 0 0 1 1 0 1 0 0 0 1 2 1 0 0 0 0 0 0 1 0 2 0 0 1 3 1 0 0 0 1 2 0 1 0 2 0 0 1 0 1 0 0 0 0 2 1 0 0 1 0 4 2 0 0 1 0 1 1 0 0 1 1 2 2 0 0 1 0 6 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 1 0 2 0 0 1 0 1
"defiant" 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0
"delicate" 0 0 0 0 0 1 0 0 1 1 1 0 1 2 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 1 2 1 1 0 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 1 0 0
"determined" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"direct" 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0
"domestic" 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 2 0 0 1 1 0 0 0 0 0 0 0 0 1 2 1 0 0 0 0 0 0 0 2 1 0 0 0 0 2 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 1 0 2 1 0 0 0 1 0 0 1 0 0 0 0 0 1
"earnest" 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 2 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 1 2 0 3 0 0 1 0 0 0 0 3 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 2 0 0 0 0 3 1 0 0 0 0 1 0 1 2 0 0 0 0 0 0 1 0 0 1 1 0 0 0
"easy" 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1 0 1 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 1 3 0 0 0 0 0 1 1 1 0 3 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 2 0 0 0 1 0 2 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 2 1 0 0 0 1 0 0 0 0 0 0 3 0 0 0 1 3 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 1
"exact" 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 1 0 2 0 1 0 1 2 1 0 0 0 1 1 1 1 3 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 1 1 1 1 2 0 0 1 0 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1 0 0 2 0 1 0
"explosive" 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0
"expressive" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 2 1 0 0 1 1 1 0 0 1 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
"faithful" 1 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 3 0 2 0 1 1 1 1 0 0 1 0 1 1 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 1 0 0 0 1 1 0 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 2 0 0 0 0 4 0 0 0 1 0 0 0 1 3 0 0 1 0 0 0 0 0 0 0 0 1 0 0
"familiar" 0 0 0 2 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 3 0 0 0 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 1 1 1 2 0 0 0 0 1 0 1 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0
"fanciful" 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
"fiery" 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"formal" 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"free" 0 0 0 1 1 0 1 0 1 0 0 1 2 2 0 1 0 1 0 2 1 0 0 0 1 1 1 1 1 0 1 0 1 1 0 0 1 1 3 0 3 0 1 0 0 0 1 0 1 0 3 0 1 2 2 0 0 0 0 0 1 2 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 3 1 1 0 0 3 0 1 1 1 3 0 0 0 3 0 0 1 1 0 0 0 0 1 0 0 0 1 1 1 1 1 1 0 0 1 0 0 0 1 0 0 0 2 0 0 1 0 4 1 1 0 0 0 0 0 0 3 0 0 0 1 1 0 1 2 1 0 1 1 1 0
"fresh" 0 1 0 1 1 0 0 0 1 0 1 1 1 0 1 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 0 1 1 0 1 0 0 0 1 0 1 0 1 0 3 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 1 1 0 2 0 0 1 0 0 1 0 0 0 2 3 0 1 1 0 0 1 0 0 0 0 0 0 0 0 2 1 2 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 5 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1
"friendly" 0 0 0 1 1 0 0 0 0 0 1 2 1 1 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1 0 1 0 1 0 2 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 1
"general" 0 1 0 1 2 0 0 1 6 0 0 1 1 1 0 1 1 1 0 2 0 0 1 0 1 1 3 1 3 2 3 2 0 1 0 3 1 1 0 1 2 0 0 0 2 0 0 0 4 1 2 0 1 2 1 2 0 1 0 0 0 2 0 1 1 1 2 1 1 1 0 0 1 2 2 0 1 0 4 1 0 4 5 2 5 2 2 2 0 1 1 3 5 0 1 0 0 1 1 0 2 1 2 2 0 0 1 4 4 5 1 1 0 2 1 0 1 0 0 3 1 9 2 1 1 1 9 2 1 0 1 0 1 2 1 6 2 1 1 0 1 1 1 0 0 1 2 2 1 0
"genteel" 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gentle" 0 0 0 0 0 0 0 0 3 0 1 1 1 0 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1 0 2 0 0 0 0 3 1 0 2 0 0 0 0 0 0 0 1 0 2 0 2 0 0 2 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 3 1 0 0 0 3 0 0 0 5 0 0 0 0 1 0 0 2 0 0 0 0 1 1 0 0 4 1 0 0 1 0 0 0 0 0 1 0 1 0 1 2 0 2 0 0 0 1 0 0 0 0 6 1 0 0 0 0 0 1 0 1 0 0 2 1 0
