"active" "affectionate" "awkward" "bitter" "bold" "brisk" "busy" "calm" "careful" "careless" "certain" "cheerful" "civil" "clean" "close" "cold" "confident" "confidential" "considerate" "constant" "cool" "cruel" "cunning" "curious" "delicate" "dependent" "determined" "domestic" "eager" "earnest" "easy" "emphatic" "exact" "expressive" "faithful" "familiar" "fearful" "fervent" "fierce" "fiery" "firm" "free" "fresh" "friendly" "gallant" "gay" "general" "generous" "genteel" "gentle" "gentlemanly" "giddy" "gloomy" "graceful" "gracious" "grateful" "grave" "gruff" "handsome" "hasty" "hearty" "heavy" "helpless" "honest" "hopeless" "humble" "hurried" "immovable" "impatient" "indifferent" "intense" "jealous" "keen" "kind" "lively" "lofty" "lonely" "loud" "malicious" "melancholy" "merry" "mild" "mournful" "natural" "nervous" "nigh" "noiseless" "noisy" "open" "original" "particular" "patient" "peaceful" "pleasant" "polite" "prompt" "proud" "punctual" "quick" "quiet" "rapid" "reasonable" "respectful" "responsible" "restless" "rigid" "rough" "rusty" "sad" "sarcastic" "scrupulous" "second" "selfish" "serious" "severe" "silent" "simple" "slow" "sluggish" "sober" "soft" "solemn" "spirited" "stately" "steady" "stern" "stiff" "strict" "strong" "sudden" "sufficient" "sure" "susceptible" "sweet" "thoughtful" "thoughtless" "tight" "timid" "true" "ugly" "uncertain" "ungrateful" "unhappy" "vague" "vain" "vicious" "violent" "virtuous" "weak" "willing" "worldly" "wise"
"cold" 4 4 3 5 1 2 4 4 4 2 6 5 0 1 5 0 1 0 1 1 1 1 3 5 10 0 1 2 4 5 2 2 2 4 0 3 0 1 1 0 0 3 6 2 1 2 6 0 3 8 1 1 7 5 1 0 3 3 5 2 5 9 1 11 1 5 1 1 3 1 2 1 2 7 4 0 4 7 2 8 1 1 2 3 4 3 1 2 16 6 10 1 1 6 0 2 1 0 5 10 2 1 2 1 2 2 4 4 3 5 0 8 4 2 6 8 2 3 2 3 3 4 2 1 1 6 1 1 11 5 5 19 1 5 2 2 2 3 9 4 4 1 1 2 4 3 8 0 5 2 2 1
"confident" 0 0 0 0 0 1 0 2 1 1 0 2 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1 0 0 2 1 1 1 0 0 0 1 0 0 0 0 1 2 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 1 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 2 0 0 1 1 1 0 1 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 1 0 0 0 3 2 1 3 0 0 0 0 0 0 1 2 0 0 1 1 0 2 0 1 0 0 0 0
"confidential" 0 2 1 1 2 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 2 1 0 0 1 0 0 0 0 1 0 1 0 0 1 1 2 0 0 0 0 0 1 1 0 1 2 0 2 0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 2 1 0 0 3 2 0 0 0 0 4 0 1 0 0 1 2 3 0 0 3 2 0 1 1 1 1 0 0 0 1 0 0 2 0 0 0 0 2 0 3 0 1 1 0 0 0 0 1 3 0 0 0 0 1 1 2 1 4 0 1 1 0 0 0 2 0 1 1 1 1 0 0 1 1 0 0 0 0
"considerate" 0 0 1 0 0 1 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 2 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 1 1 2 0 0 1 2 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"constant" 2 0 2 1 0 0 0 1 2 0 4 0 0 0 2 1 0 0 1 0 0 1 1 0 5 0 1 1 1 4 1 0 0 2 1 2 0 0 0 0 0 1 2 0 1 0 3 0 1 1 0 0 1 1 0 3 0 0 4 2 1 3 2 1 0 3 1 0 0 0 1 0 1 3 1 0 0 1 0 0 0 0 0 3 1 0 2 0 3 0 5 0 2 3 0 1 3 0 3 3 0 0 0 0 2 0 2 0 1 0 0 1 2 2 1 0 1 0 0 1 2 1 2 1 1 0 1 1 4 1 0 6 1 3 0 1 0 0 5 2 0 1 2 0 1 0 4 1 1 0 1 2
"cool" 1 1 2 0 0 0 0 1 0 2 2 2 0 0 1 1 1 2 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 2 1 0 0 1 0 1 2 0 1 2 0 0 0 1 0 1 3 0 1 0 2 0 0 1 1 0 2 0 0 0 1 0 1 0 2 0 0 0 0 0 3 1 0 0 1 2 2 2 0 0 2 0 1 2 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1 0 0 0 2 0 0 1 1 1 0 0 2 1 1 0 0 4 1 1 4 0 0 0 0 0 0 1 1 0 0 0 1 0 1 2 0 1 0 1 0
"cruel" 0 1 1 1 1 0 0 0 0 1 4 0 0 0 2 1 0 1 0 1 0 0 0 0 2 1 1 0 0 1 2 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 1 0 0 0 1 0 0 1 1 0 0 0 2 1 0 0 2 1 1 0 1 0 1 0 1 3 1 3 1 0 1 0 0 1 0 0 1 2 2 0 0 1 3 0 1 1 0 1 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 2 0 0 0 0 0 2 1 0 1 0 1 0 5 3 2 4 0 1 0 0 1 0 3 0 0 1 3 0 1 0 3 2 2 2 1 0
"cunning" 1 0 1 0 0 0 1 0 0 1 4 0 1 1 1 3 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 2 1 3 0 0 0 1 0 1 1 2 1 0 2 1 0 1 0 0 2 1 0 0 2 0 2 0 3 0 1 0 0 0 1 1 0 0 1 0 0 2 1 0 3 0 0 0 0 0 0 0 2 0 0 2 0 1 0 1 0 0 0 0 0
"curious" 0 2 0 0 0 1 1 1 0 1 3 1 0 0 0 5 0 0 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0 2 0 1 1 1 1 0 0 0 0 0 0 1 3 0 0 1 0 0 2 0 1 0 0 2 3 1 0 1 0 1 0 1 0 0 1 0 0 0 1 1 1 1 1 2 0 1 0 0 0 1 0 0 0 2 2 0 4 0 0 2 0 0 1 0 1 1 1 2 0 1 1 1 0 1 0 0 0 4 1 1 2 2 0 0 0 0 1 1 0 0 1 3 1 0 4 0 2 6 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2 0 1 0
"delicate" 2 1 1 2 1 1 0 1 2 1 4 2 1 0 0 10 0 1 1 5 0 2 0 1 0 0 0 2 1 4 4 0 0 2 1 0 0 1 1 0 0 0 1 0 1 2 3 0 3 5 0 0 1 2 0 1 0 0 3 0 1 1 0 2 0 1 0 0 1 0 1 1 0 5 3 1 0 0 0 0 1 0 1 2 2 1 1 0 2 0 4 1 1 3 0 0 3 0 1 3 0 0 1 0 0 1 1 3 0 1 0 3 2 3 3 4 1 1 0 2 3 0 1 2 0 1 1 0 2 2 3 9 2 3 1 3 1 0 4 1 1 0 0 2 2 0 4 1 1 1 0 1
"dependent" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 3 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 4 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 2 1 1 0 0
"determined" 1 1 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 1 1 1 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 2 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 4 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 1 0 0 1 0
"domestic" 1 0 0 1 1 0 0 0 3 0 4 0 1 0 1 2 0 0 0 1 0 0 0 0 2 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 1 0 0 1 1 1 0 0 0 1 0 1 1 0 1 1 0 0 1 0 0 0 1 0 3 1 0 1 2 0 1 1 0 0 2 3 0 0 0 1 1 1 1 0 2 0 2 0 0 0 2 0 0 1 0 0 0 2 1 0 0 0 1 0 1 1 0 0 2 0 0 0 0 0 1 0 1 0 0 2 1 1 6 0 0 0 0 0 0 1 1 0 0 1 0 1 0 1 0 0 1 0 1
"eager" 0 1 1 3 0 0 4 0 3 0 3 4 0 1 1 4 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 3 0 2 0 1 0 3 4 1 0 0 2 0 0 1 0 0 0 0 0 0 2 1 0 1 1 3 0 1 1 1 0 0 0 0 0 1 2 0 0 1 0 3 1 1 0 1 1 0 0 0 1 1 5 2 2 0 0 6 0 0 0 1 2 3 0 0 0 0 0 0 0 2 0 0 1 0 1 1 1 3 0 2 1 0 2 0 0 0 1 1 0 0 2 1 2 3 0 0 0 0 0 0 2 0 1 0 1 0 0 1 3 0 0 1 0 1
"earnest" 1 0 0 3 0 0 1 0 2 1 4 1 0 0 1 5 0 1 2 4 0 1 2 1 4 0 0 0 2 0 1 1 0 1 2 1 0 0 0 0 0 2 3 1 1 0 3 0 0 5 0 0 0 1 1 2 1 0 0 3 2 2 2 1 2 2 0 0 2 1 0 2 0 7 1 0 0 1 0 0 1 1 0 3 0 0 2 0 2 2 4 1 3 1 0 0 2 0 2 6 0 0 0 0 1 1 2 2 1 1 1 4 2 2 1 4 2 0 0 0 1 1 2 0 0 0 2 0 6 1 3 9 2 1 0 2 1 0 6 0 3 1 2 1 2 0 1 0 1 2 1 1
"easy" 0 1 1 2 1 0 1 2 4 2 8 0 0 3 1 2 0 0 0 1 0 2 1 0 4 3 2 3 0 1 0 1 1 0 0 1 1 0 2 0 1 2 6 0 1 1 7 0 2 6 1 0 1 3 0 1 0 0 5 1 2 3 1 5 0 2 1 2 0 0 0 3 0 3 0 1 0 2 1 3 1 0 0 6 3 1 0 0 6 2 8 2 0 6 0 0 5 1 3 5 0 1 2 0 1 1 2 3 1 0 2 3 1 6 0 3 1 7 1 1 2 0 0 1 2 1 2 1 7 2 6 9 0 0 1 0 1 0 3 1 1 0 3 1 0 0 2 3 1 1 0 1
"emphatic" 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 1 3 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1
"exact" 0 1 2 0 0 0 0 0 0 0 3 2 0 0 3 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 1 0 1 3 1 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 1 2 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 3 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1
"expressive" 0 1 1 0 1 0 0 0 0 0 1 1 0 1 1 4 1 0 0 2 0 0 0 2 2 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 3 1 0 0 4 0 1 2 0 0 1 0 0 1 1 1 3 1 0 1 0 1 0 3 1 0 0 0 1 1 0 0 0 0 1 2 0 1 0 0 1 5 0 2 0 1 0 1 3 0 1 2 2 1 1 0 1 2 0 0 1 1 0 1 0 1 0 1 0 1 1 1 1 2 0 0 0 0 1 1 0 0 0 1 1 0 6 1 1 5 0 2 0 0 1 1 5 1 1 0 1 0 0 1 0 0 0 1 1 0
"faithful" 0 0 1 2 1 1 3 1 0 0 3 3 0 1 0 0 1 1 1 1 1 1 0 0 1 1 0 0 1 2 0 1 0 0 0 2 0 0 0 1 1 3 3 2 2 1 4 1 0 1 0 0 1 0 0 1 0 0 2 1 1 1 2 5 0 1 0 0 0 0 0 0 0 4 0 1 0 1 0 1 1 0 0 3 1 0 0 0 0 1 2 0 2 1 0 0 3 1 2 3 0 0 2 0 2 1 1 1 2 0 0 3 0 0 0 2 2 1 1 0 0 1 2 3 1 0 0 1 4 3 1 7 1 2 0 0 0 0 5 0 0 1 0 1 1 0 1 1 1 1 1 0
"familiar" 0 0 0 0 0 1 1 1 1 0 3 1 0 0 0 3 0 1 1 2 0 0 0 1 0 0 0 0 3 1 1 1 1 0 2 0 0 1 0 1 1 1 5 2 1 0 4 0 0 0 0 0 0 0 0 0 1 1 2 0 1 5 1 1 2 2 0 1 0 0 1 0 2 1 0 1 0 3 1 1 1 0 0 3 0 1 1 0 2 2 1 0 2 4 0 0 1 0 6 3 1 0 0 2 1 0 1 1 1 0 0 2 0 0 2 1 1 3 1 0 1 3 1 1 1 2 1 1 2 1 2 6 0 0 1 0 0 0 4 0 1 0 0 0 0 1 3 1 0 0 0 0
"fearful" 0 1 0 0 2 0 0 0 0 1 0 0 0 1 1 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 1 1 0 1 2 1 1 1 0 0 1 1 1 0 2 0 0 2 0 0 1 0 0 0 0 2 1 0 1 1 0 0 0 1 0 1 0 0 0 0 0 1 3 0 0 0 0 0 2 0 0 0 0 1 0 2 0 2 3 0 0 0 0 0 0 0 0 0 1 1 1 0 0 2 2 0 0 0 0
"fervent" 0 1 0 0 0 1 2 1 0 0 0 1 0 1 1 1 0 0 1 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 2 0 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 3 0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 1 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
"fierce" 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 1 0 1 1 1 0 1 0 0 0 0 0 0 0 1 2 1 3 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 3 1 2 1 0 2 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 0 1 2 0 0 2 0 0 1 0 0 0 0 1 0 2 0 0 0 1 0 0 0 2 0 0 0 1 0
"fiery" 0 1 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 2 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 2 1 1 1 0 0 0 0 1 1 0 1 1 0 1 1 1 0 0 3 0 1 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0
