"active" "affable" "affectionate" "bold" "busy" "calm" "candid" "careful" "careless" "certain" "cheerful" "clean" "close" "cold" "complacent" "confidential" "considerate" "constant" "cool" "cordial" "cruel" "curious" "delicate" "determined" "domestic" "eager" "earnest" "easy" "eloquent" "exact" "expressive" "faithful" "familiar" "fearful" "fiery" "free" "fresh" "friendly" "gay" "general" "generous" "genial" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "haughty" "heavy" "honest" "hopeful" "hopeless" "humble" "immovable" "impatient" "indifferent" "industrious" "jealous" "joyful" "keen" "kind" "languid" "lively" "lofty" "lonely" "loud" "loving" "melancholy" "merry" "mild" "military" "musical" "natural" "neat" "nervous" "observant" "open" "original" "particular" "patient" "playful" "pleasant" "polite" "practical" "proud" "quick" "quiet" "reasonable" "responsible" "restless" "rough" "rusty" "sad" "second" "selfish" "sensible" "serene" "serious" "severe" "shy" "silent" "simple" "slow" "smooth" "soft" "solemn" "sorrowful" "spirited" "stable" "stately" "steady" "stern" "stiff" "strict" "strong" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "thoughtful" "tight" "timid" "true" "ugly" "uncertain" "unhappy" "vague" "vehement" "violent" "watchful" "weak" "willing" "zealous" "worldly" "wise"
"cheerful" 0 0 2 1 6 0 0 1 0 5 0 1 3 3 0 1 0 0 0 1 0 6 0 0 1 1 1 4 0 0 0 3 2 0 0 2 6 2 2 4 2 0 0 4 2 0 1 2 1 2 0 0 5 3 4 0 0 1 0 0 1 1 3 0 1 0 2 0 0 1 3 1 1 0 1 1 2 0 1 0 8 0 3 1 0 5 0 2 2 2 9 1 0 0 3 0 1 3 1 4 3 2 0 0 3 2 0 0 2 0 1 0 0 0 2 1 1 0 2 1 1 10 1 1 3 3 0 0 3 0 0 2 0 1 1 1 2 1 0 1 0
"clean" 3 0 1 0 2 0 0 0 0 4 1 0 1 1 1 1 0 0 0 0 0 3 0 1 0 0 1 2 0 1 0 1 3 0 0 0 5 0 0 1 1 0 1 1 0 0 2 0 0 0 0 0 2 1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 2 0 1 0 0 1 0 4 2 1 0 1 6 0 2 0 0 0 0 0 1 3 3 0 0 1 1 2 0 1 0 0 0 1 1 0 1 0 1 0 1 0 1 0 2 0 1 0 0 1 5 0 0 8 1 1 0 1 1 1 2 1 0 0 0 0 0 0 1 0 1 1 0
"close" 3 1 0 1 0 0 0 2 0 7 3 1 0 4 1 2 0 0 3 0 1 5 0 1 1 1 2 5 2 1 1 2 2 0 1 2 4 3 0 7 1 0 1 0 2 2 0 2 1 5 2 0 7 0 0 2 1 3 1 1 1 1 2 2 3 0 1 1 2 1 1 2 0 1 3 0 7 1 2 0 7 1 1 0 0 6 1 0 4 0 9 0 1 0 1 4 1 1 0 2 0 3 0 0 7 0 1 0 2 4 1 0 1 3 4 1 0 1 3 2 1 12 1 1 1 1 2 0 5 2 1 0 1 1 1 3 1 1 1 0 1
"cold" 3 0 1 1 4 0 0 0 0 4 3 1 4 0 3 0 0 1 2 0 4 8 0 2 0 1 2 8 0 1 0 1 7 3 0 6 8 2 1 6 1 0 2 1 7 0 3 3 3 5 1 0 12 0 1 1 2 3 1 3 2 0 2 0 5 2 0 0 0 2 1 5 0 1 3 0 7 2 2 2 11 0 7 1 0 5 3 0 7 2 11 0 2 3 2 5 3 6 0 3 0 1 2 1 2 2 8 4 3 4 4 3 3 5 4 2 2 2 7 3 2 15 5 0 2 1 1 1 9 1 2 5 1 0 0 3 5 1 0 0 1
"complacent" 2 0 1 0 0 0 0 0 0 0 0 1 1 3 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 1 0 0 0 3 0 0 0 1 2 1 0 0 0 0 0 0 0 1 0 1 1 2 0 0 0 1 0 1 0 1 0 1 0 0 3 1 1 0 1 1 0 3 1 0 1 0 1 0 0 1 0 0 0 1
"confidential" 1 1 1 0 2 1 0 1 0 2 1 1 2 0 0 0 0 1 0 0 1 5 0 0 1 0 1 2 0 0 0 0 1 1 1 1 0 3 1 5 0 1 0 0 1 1 0 1 0 1 0 0 6 1 0 1 0 0 0 0 1 0 0 1 2 0 0 1 1 2 0 0 0 0 2 0 2 2 0 0 3 0 4 0 0 3 0 1 2 2 6 0 0 0 1 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 1 0 2 1 1 1 0 2 0 0 4 0 0 0 1 1 0 5 0 0 0 0 1 0 1 2 1 1 0 0
"considerate" 0 0 0 0 3 1 0 2 0 1 0 0 0 0 0 0 0 1 1 0 0 2 2 0 1 0 0 1 0 0 1 0 0 0 1 2 0 2 0 3 0 1 0 0 0 0 0 1 0 2 1 1 0 1 0 0 1 0 0 0 0 1 1 0 4 0 0 0 2 0 0 1 1 0 1 1 6 0 0 0 2 0 0 0 0 2 0 0 0 2 0 1 0 0 0 0 0 2 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 3 0 0 5 0 1 1 0 1 0 2 1 1 1 0 0 1 0 0 0 0 1 0
"constant" 1 0 2 1 2 0 0 1 0 2 0 0 0 1 0 1 1 0 0 0 0 2 1 0 0 1 0 2 2 0 1 1 1 1 1 1 1 1 1 4 0 0 1 0 2 0 0 0 1 1 1 0 1 1 0 0 1 0 0 0 1 0 0 0 2 0 0 1 1 0 0 1 0 1 0 1 1 0 0 0 4 0 3 1 0 1 0 0 1 0 5 0 0 0 0 1 0 1 0 0 0 1 0 0 1 1 1 0 1 1 0 1 1 2 1 0 1 2 2 0 1 3 0 0 1 0 1 0 3 1 1 2 0 0 0 2 2 0 1 0 0
"cool" 2 0 1 0 2 1 1 0 0 4 0 0 3 2 1 0 1 0 0 1 0 0 1 1 0 1 0 5 0 1 1 0 1 1 1 1 1 3 1 5 0 1 0 3 3 0 0 0 1 0 2 0 2 1 1 0 0 0 1 1 0 0 2 1 2 1 0 1 1 0 0 0 1 2 1 0 4 1 1 0 5 0 1 0 1 3 1 1 0 0 5 0 1 0 2 0 0 3 0 2 2 0 1 0 2 1 1 1 1 1 0 0 1 0 2 1 0 0 0 1 0 5 1 0 0 0 2 0 3 0 0 2 1 1 3 0 0 3 0 1 0
"cordial" 0 0 2 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 2 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 1 1 0 2 1 1 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 4 0 0 1 6 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 2 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 6 0 1 1 0 0 0 0 0 0 2 2 0 0 0 0 0 1 0 1
"cruel" 0 0 0 0 2 2 0 2 0 1 0 0 1 4 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 1 0 2 0 0 0 0 0 0 0 1 0 0 1 1 2 0 0 2 1 0 0 0 1 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 2 0 0 3 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 1 0 1 1 1 0 1 2 0 1 3 1 0 0 0 0 1 4 0 0 2 0 0 0 0 2 0 1 0 1
"curious" 1 1 5 0 7 0 1 5 0 4 6 3 5 8 0 5 2 2 0 0 1 0 5 2 1 1 3 8 1 1 3 3 4 1 1 7 7 1 0 12 0 2 2 2 3 1 3 2 1 7 0 2 8 2 3 1 0 2 0 1 1 4 0 1 7 0 1 2 0 3 1 1 2 3 2 1 9 4 0 0 12 1 6 3 1 7 2 3 4 5 13 2 3 1 3 2 0 6 1 2 2 2 1 3 5 3 4 0 1 0 2 0 1 1 1 1 0 0 11 4 1 21 1 3 1 4 1 1 10 0 0 1 0 1 2 3 6 2 1 0 0
"delicate" 0 1 2 0 2 0 0 1 0 2 0 0 0 0 0 0 2 1 1 0 0 5 0 0 0 1 0 4 0 0 2 1 0 0 0 3 5 1 0 6 2 1 1 1 1 1 2 0 1 2 0 1 0 1 0 1 1 1 0 1 0 0 1 1 2 0 0 2 1 2 0 1 0 1 1 2 3 2 0 1 5 0 5 1 0 3 0 1 2 4 2 1 1 0 0 0 0 0 0 1 1 0 1 2 4 0 1 1 1 0 0 0 0 1 2 3 0 0 2 3 0 8 2 0 0 2 0 0 3 0 0 0 0 0 2 1 1 0 1 1 0
"determined" 1 1 1 1 0 0 0 0 0 0 0 1 1 2 1 0 0 0 1 0 0 2 0 0 0 0 3 2 1 0 0 1 0 1 0 1 0 0 0 3 0 0 0 0 1 0 1 1 0 2 0 1 0 0 2 0 0 1 0 1 0 0 0 0 1 3 2 0 0 1 0 1 1 0 1 0 0 0 1 0 2 2 1 0 0 0 2 0 2 0 5 0 0 1 1 1 0 0 0 0 0 0 0 1 4 1 0 0 0 1 0 1 0 0 1 0 0 0 2 1 2 8 1 0 1 1 2 1 3 0 0 2 0 1 0 0 2 1 1 0 0
"domestic" 0 0 0 0 2 1 0 3 0 1 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 2 1 3 0 1 1 0 0 1 0 1 0 0 1 0 2 2 0 1 1 0 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 1 1 2 1 0 0 0 0 2 0 0 3 0 3 0 2 2 0 0 0 0 0 1 1 1 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 2 0 1 5 1 0 0 2 0 1 2 0 0 0 1 0 0 0 2 0 0 0 0
"eager" 0 1 1 0 0 0 0 0 1 4 1 0 1 1 0 0 0 1 1 2 0 1 1 0 0 0 2 2 0 0 0 1 1 0 0 0 4 1 0 2 0 0 1 1 2 1 1 0 1 4 0 0 3 1 2 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 4 1 0 0 3 0 0 0 0 2 1 0 0 2 3 0 0 0 0 1 0 1 0 2 0 1 0 1 2 0 1 0 0 1 0 0 0 1 1 0 0 0 2 2 0 4 0 0 1 0 0 0 1 0 0 1 1 0 1 1 2 0 1 1 0
"earnest" 1 0 1 1 2 0 1 3 2 7 1 1 2 2 0 1 0 0 0 2 0 3 0 3 0 2 0 6 2 0 0 2 4 1 0 1 2 1 0 2 1 0 0 1 1 0 0 1 1 4 1 1 2 0 0 0 0 1 1 1 0 0 1 0 4 2 0 1 1 1 2 1 0 0 0 0 5 3 0 0 3 1 3 0 0 5 2 0 4 4 8 1 1 0 0 1 2 2 0 1 0 3 0 1 4 1 0 1 0 2 1 0 0 1 2 0 0 0 2 2 1 10 1 1 2 1 0 0 5 1 0 2 1 2 0 1 3 0 1 0 3
"easy" 3 2 2 4 7 2 2 2 2 15 4 2 5 8 0 2 1 2 5 1 0 8 4 2 0 2 6 0 2 2 5 1 7 0 1 12 3 4 3 6 3 2 0 4 1 1 4 3 3 7 1 2 5 1 5 3 2 0 0 4 1 1 0 2 6 2 1 1 1 3 1 4 1 0 4 3 9 2 2 2 11 2 4 2 0 7 4 1 6 6 13 3 5 1 2 6 1 6 1 5 2 3 2 0 6 4 2 3 3 3 1 1 0 2 2 2 1 1 10 3 2 25 4 2 1 2 1 0 10 1 1 4 1 1 2 3 3 4 1 4 0
"eloquent" 0 0 1 0 0 0 1 0 0 2 0 0 2 0 0 0 0 2 0 0 1 1 0 1 0 0 2 2 0 1 0 0 0 0 0 0 2 0 0 3 0 0 0 1 0 0 0 1 1 2 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 2 0 0 1 0 2 1 0 0 0 0 1 0 0 1 0 0 0 0 2 1 0 0 0 1 0 1 0 2 0 0 1 0 2 2 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 4 1 0 0 0 1 0 4 1 1 2 0 1 0 1 1 0 0 0 0
"exact" 1 0 1 0 1 0 0 0 0 2 0 1 1 1 0 0 0 0 1 0 0 1 0 0 1 0 0 2 1 0 1 0 0 1 0 1 1 0 1 1 0 0 0 1 0 0 1 1 0 2 0 1 0 0 0 0 0 0 0 2 1 0 2 0 1 0 0 0 0 0 0 0 0 0 1 2 2 1 0 1 3 1 2 0 0 2 0 0 0 0 2 0 2 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 5 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0
"expressive" 1 0 2 0 0 1 0 0 1 2 0 0 1 0 0 0 1 1 1 0 0 3 2 0 0 0 0 5 0 1 0 0 1 0 0 2 1 1 1 1 0 0 0 0 0 1 2 0 0 1 1 2 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 2 1 0 2 0 1 0 4 1 0 1 0 2 0 0 1 1 1 1 2 0 0 0 0 1 0 0 0 0 0 0 2 1 2 0 0 0 0 0 0 1 1 0 0 0 1 0 0 4 0 0 1 0 0 0 3 1 0 0 0 0 0 0 1 0 0 0 0
"faithful" 2 0 3 2 1 0 1 2 0 8 3 1 2 1 0 0 0 1 0 0 1 3 1 1 0 1 2 1 0 0 0 0 1 1 1 2 3 0 0 3 1 1 0 3 0 0 1 0 3 3 0 0 3 1 0 0 1 0 0 2 1 1 0 0 1 1 0 0 0 0 1 2 0 0 1 1 6 0 0 1 3 0 3 2 0 2 1 0 3 3 3 1 0 2 1 1 0 1 1 1 0 2 1 1 2 1 0 1 1 2 2 0 0 2 2 0 2 1 5 1 1 6 2 0 2 0 0 1 5 0 0 3 0 0 1 0 1 0 3 0 0
"familiar" 1 1 1 1 4 0 0 1 0 12 2 3 2 7 0 1 0 1 1 0 0 4 0 0 0 1 4 7 0 0 1 1 0 2 1 2 5 5 0 6 3 0 0 0 1 2 1 2 1 3 2 1 7 0 1 1 1 1 0 1 0 0 1 1 2 0 0 0 0 0 0 2 1 0 2 0 5 2 0 2 6 1 5 1 1 3 1 1 2 3 6 0 2 1 4 2 3 3 0 1 0 3 3 0 3 1 3 1 2 1 1 1 0 1 3 0 1 1 3 3 2 11 2 0 1 1 1 1 9 0 1 1 1 0 1 2 2 1 0 1 0
"fearful" 1 0 0 1 0 0 0 0 0 3 0 0 0 3 0 1 0 1 1 0 1 1 0 1 0 0 1 0 0 1 0 1 2 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 2 0 1 2 0 0 0 1 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 3 0 0 1 0 0 2 0 4 0 1 0 2 0 1 1 0 0 0 0 0 2 0 0 0 1 0 2 0 1 0 1 1 0 0 0 1 0 0 5 1 0 1 0 0 0 1 0 0 0 0 0 1 1 1 1 0 0 0
"fiery" 0 0 1 0 0 1 0 1 0 3 0 0 1 0 0 1 1 1 1 0 1 1 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 1 2 1 0 0 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 2 0 0 1 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 2 1 0 0 0 0 1 0 1 1 0 0 0 0 0 3 0 0 0 0 0 1 1 0 0 2 0 1
"free" 1 2 2 2 5 2 1 2 0 5 2 0 2 6 0 1 2 1 1 1 0 7 3 1 0 0 1 12 0 1 2 2 2 0 1 0 7 1 3 5 3 3 2 3 0 2 5 3 1 6 2 2 4 1 2 2 1 1 1 1 1 1 1 2 2 0 0 1 0 2 0 3 1 0 3 2 6 1 1 0 7 0 3 1 2 4 2 3 2 4 7 2 3 1 0 4 1 1 2 3 0 2 3 0 3 1 3 1 4 0 5 0 1 1 2 1 1 1 8 4 2 17 3 1 2 1 2 2 4 1 1 2 0 1 2 2 2 2 0 3 1
"fresh" 0 0 4 1 7 0 0 3 2 7 6 5 4 8 0 0 0 1 1 1 2 7 5 0 3 4 2 3 2 1 1 3 5 1 0 7 0 2 1 7 2 0 3 4 1 1 4 1 4 7 2 1 9 3 0 0 0 2 2 4 1 1 4 2 2 0 1 0 2 5 3 3 0 4 4 4 9 4 3 0 10 3 7 2 0 7 0 1 0 4 9 0 0 3 2 4 2 4 0 1 1 0 2 4 5 0 4 4 3 0 3 0 3 3 6 1 0 3 8 1 3 21 2 1 0 3 1 2 6 0 1 1 1 0 2 3 4 1 0 1 0
"friendly" 0 0 1 1 1 1 0 1 1 3 2 0 3 2 0 3 2 1 3 0 0 1 1 0 2 1 1 4 0 0 1 0 5 0 1 1 2 0 0 2 1 2 1 0 1 0 0 3 0 2 3 0 4 3 2 1 1 2 0 1 1 0 0 1 2 0 0 0 1 0 0 0 0 1 3 2 6 0 1 0 6 0 5 0 0 4 0 1 1 2 1 1 0 0 3 0 0 5 2 5 0 1 1 0 1 1 2 0 1 0 0 1 1 2 2 0 2 0 0 1 0 6 1 0 0 2 1 0 12 0 0 2 1 0 1 1 1 2 0 1 0
"gay" 1 0 1 0 2 1 0 0 0 3 2 0 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 3 0 1 1 0 0 1 0 3 1 0 0 3 1 1 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 1 1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 2 0 1 0 1 3 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 1 2 1 0 1 1 0 0 1 0 0 3 0 0 1 0 0 1 0 1 0
"general" 9 3 5 0 6 1 2 6 0 12 4 1 7 6 0 5 3 4 5 0 0 12 6 3 3 2 2 6 3 1 1 3 6 2 1 5 7 2 3 0 1 2 3 3 5 2 3 2 3 6 3 0 7 2 3 2 1 0 1 1 0 1 3 3 8 2 2 4 1 4 1 11 2 4 2 4 13 4 2 2 19 0 14 0 4 7 3 6 5 6 8 2 2 1 3 4 1 10 2 2 2 2 3 2 8 4 0 1 3 2 2 2 1 4 1 2 2 1 9 7 6 28 2 1 3 2 5 3 14 1 2 4 0 1 3 5 3 2 2 3 1
"generous" 1 0 0 0 2 0 0 1 1 5 2 1 1 1 1 0 0 0 0 0 0 0 2 0 0 0 1 3 0 0 0 1 3 0 2 3 2 1 1 1 0 1 1 1 2 0 2 1 0 2 0 0 0 0 3 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 3 1 0 1 1 0 2 0 1 3 0 1 1 0 1 0 0 1 0 0 3 1 0 2 0 1 0 0 2 0 1 0 0 0 0 1 0 1 0 0 0 0 2 0 1 6 2 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 2 1
"genial" 0 0 1 0 1 1 1 1 0 1 0 0 0 0 0 1 1 0 1 0 0 2 1 0 1 0 0 2 0 0 0 1 0 0 1 3 0 2 1 2 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 1 3 1 2 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 3 0 1 2 0 0 0 0 0 1 3 0 0 0 0 0 2 0 2 0 0 1 0
"genteel" 0 1 1 0 1 0 0 0 0 2 0 1 1 2 0 0 0 1 0 0 0 2 1 0 1 1 0 0 0 0 0 0 0 0 0 2 3 1 0 3 1 1 0 0 1 1 1 0 0 2 0 1 1 0 0 0 0 0 1 1 0 0 1 0 2 1 0 1 0 0 0 1 1 0 0 1 2 1 0 0 2 1 2 0 0 1 0 0 1 2 0 0 0 1 0 0 0 2 0 1 0 0 0 1 2 0 2 0 0 0 1 1 0 2 1 0 0 1 2 0 1 6 1 0 0 0 0 1 0 0 0 2 0 0 2 0 2 1 0 0 0
"gentle" 0 0 3 1 5 0 0 1 0 2 4 1 0 1 0 0 0 0 3 1 0 2 1 0 0 1 1 4 1 1 0 3 0 0 0 3 4 0 1 3 1 0 0 0 0 0 1 1 0 2 0 0 2 1 1 0 0 0 0 0 2 0 2 1 3 0 0 0 0 0 1 0 0 1 0 0 2 2 1 0 5 0 2 1 0 1 1 0 0 1 5 0 0 1 1 0 0 2 1 1 2 4 2 0 3 2 0 0 1 0 1 0 0 1 0 1 1 0 3 1 0 7 0 0 1 1 1 0 6 2 0 3 1 1 0 0 1 3 0 0 0
