"acute" "affectionate" "bold" "busy" "calm" "careless" "certain" "cheerful" "civil" "close" "cold" "constant" "cruel" "decided" "delicate" "determined" "domestic" "eager" "earnest" "easy" "faithful" "fearful" "free" "fresh" "friendly" "gallant" "general" "generous" "gentle" "gloomy" "grateful" "grave" "handsome" "hearty" "heavy" "honest" "humble" "impartial" "impatient" "independent" "indifferent" "intimate" "jealous" "joyful" "judicious" "just" "keen" "kind" "literary" "lively" "loud" "maternal" "mild" "moderate" "natural" "neat" "negligent" "open" "partial" "particular" "patient" "placid" "pleasant" "polite" "positive" "quick" "quiet" "rapid" "reasonable" "resentful" "resolute" "rude" "sad" "second" "selfish" "sensible" "serious" "severe" "silent" "simple" "sincere" "sober" "solemn" "speedy" "steady" "strong" "sudden" "sufficient" "sure" "sweet" "thankful" "true" "ungenerous" "unhappy" "unkind" "unsteady" "unsuspicious" "untoward" "urgent" "violent" "unprejudiced" "vain" "wise" "unpretending" "willing"
"free" 0 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 1 0 1 0 1 2 0 1 0 2 0 1 0 1 0 2 1 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 4 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1
"fresh" 1 0 0 1 0 0 0 1 0 0 2 1 0 1 1 0 1 2 1 2 1 0 0 0 0 0 3 1 1 0 1 0 1 1 0 2 0 0 2 0 1 1 0 0 0 0 0 0 1 1 1 0 0 0 2 0 1 4 1 1 0 1 3 1 0 3 1 0 0 0 1 0 0 2 0 0 0 1 1 0 0 0 0 1 0 1 2 0 4 2 0 0 1 1 0 1 0 1 0 2 0 1 0 0 0
"friendly" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0
"gallant" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
"general" 2 2 3 2 1 1 2 2 1 1 2 1 2 0 1 2 0 1 2 3 2 5 2 3 0 1 0 2 2 1 3 1 5 0 3 3 1 2 2 3 0 1 1 3 2 1 1 4 0 2 2 1 2 0 5 1 2 7 0 7 2 1 4 0 4 3 3 0 1 0 1 2 1 3 1 3 4 3 2 4 2 1 3 0 3 2 6 1 10 3 1 3 0 1 2 0 1 0 1 3 0 0 2 1 1
"generous" 2 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 1 1 2 1 0 0 0 1 0 1 0 1 0 0 1 0 0 1 2 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 1 0 0 0 1 0 1 2 1 3 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
"gentle" 0 0 1 1 0 1 1 1 0 1 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 2 0 0 0 1 1 1 0 2 2 0 1 0 0 0 0 1 2 1 0 0 1 1 2 0 0 0 1 0 1 0 1 1 0 1 0 0 0 1 2 1 0 0 1 1 0 0 2 1 0 0 0 0 2 2 0 0 0 0 0 2 0 6 1 0 1 1 1 0 1 0 0 0 0 0 0 0 1 1
"gloomy" 0 1 0 0 0 1 0 1 0 0 3 1 0 0 0 0 1 1 0 1 0 2 0 0 0 0 1 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 1 1 0 2 0 0 0 0 0 0 1 1 0 2 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0
"grateful" 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 1 0 0 3 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 1 1 1 0 0 1 0 1 0 0 0 1 0 1 0 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0
"grave" 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 1 0 0 1 0 1 0 1 1 0 0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"handsome" 0 2 1 0 0 1 1 2 2 0 1 2 2 1 1 3 1 3 0 3 0 3 1 1 0 0 5 0 1 2 1 1 0 0 2 2 2 0 1 0 0 3 1 0 0 1 1 2 0 0 0 1 0 1 1 1 0 2 2 4 0 0 3 1 1 1 0 0 0 0 1 0 0 6 0 0 0 0 1 3 0 1 1 0 0 3 4 0 11 1 1 3 0 0 1 0 0 0 1 2 0 1 1 0 0
"hearty" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
"heavy" 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 3 0 2 2 0 0 2 0 0 1 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 2 0 0 0 0 1 0 0 2 0 1 1 0 1 1 0 0 0 0 0 0 3 0 3 0 0 0 0 2 0 0 0 0 0 2 0 0 1 0 1
"honest" 0 1 0 1 0 1 0 3 0 1 1 0 0 0 0 0 0 0 0 1 1 0 2 2 0 0 3 0 2 0 1 1 2 0 1 0 0 0 0 1 0 1 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 1 1 0 1 1 0 0 0 0 1 0 1 0 0 0 2 0 0 1 1 1 1 3 0 5 2 0 3 0 1 0 0 0 0 0 0 0 0 0 0 1
"humble" 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0
"impartial" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"impatient" 2 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 0 2 2 0 0 2 0 0 2 2 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 3 0 0 0 0 0 1 1 0 0 2 0 0 0 0 2 0 0 0 0 0 1 1 0 1 0 1 0 0 2 2 0 2 0 0 0 1 0 0 2 1 3 2 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1
"independent" 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 1 0 1 0 0 1 0 2 0 1 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 2 1 2 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
"indifferent" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 2 2 0 1 1 0 1 0 0 1 1 0 0 1 0 0 0
"intimate" 0 1 0 0 0 0 2 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0
"jealous" 0 1 0 0 0 1 1 0 0 1 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 2 0 0 4 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0
"joyful" 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 3 1 2 0 2 0 0 0 1 1 1 1 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 1 0 2 0 0 0 0 0 1 1 0 0 0 2 1 0 0 0 1 0 1 0 2 1 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0
"judicious" 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"just" 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"keen" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
"kind" 1 2 0 0 1 0 1 2 1 0 1 0 0 0 0 0 0 1 0 2 0 2 0 0 0 1 4 1 1 0 0 1 2 1 0 2 1 0 3 1 0 0 1 1 0 0 0 0 0 0 0 0 1 2 2 0 1 2 0 2 1 0 2 0 0 1 0 1 1 1 0 1 1 2 0 0 1 0 0 2 1 0 0 1 1 2 1 1 8 2 0 1 1 1 0 0 0 0 1 0 2 1 0 0 1
"literary" 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 2 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"lively" 0 0 1 0 0 1 2 0 0 2 0 2 0 0 0 0 0 0 1 1 0 0 0 1 0 0 2 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 2 1 1 0 0 0 0 3 0 0 0 0 0 0 0 4 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0
"loud" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 1 0 1 0 0 2 1 0 0 0 1 0 1 2 1 2 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
"maternal" 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0
"mild" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
"moderate" 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0
"natural" 1 2 1 2 2 0 1 1 0 0 0 1 0 0 1 1 0 3 1 3 0 1 1 2 1 1 5 2 0 0 0 1 1 0 0 0 0 1 1 2 0 0 0 0 0 1 1 2 0 1 0 0 1 0 0 0 2 0 2 3 1 0 1 1 1 1 1 0 1 1 0 2 2 3 0 1 1 1 1 0 1 1 1 1 1 1 4 0 4 0 0 1 0 1 1 0 1 1 0 0 0 2 0 0 1
"neat" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0
"negligent" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 2 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"open" 1 2 2 0 0 0 4 2 0 1 2 3 1 1 0 2 2 2 2 1 2 4 0 4 1 1 7 1 1 1 2 1 2 2 1 0 0 0 2 0 1 1 0 1 1 0 0 2 1 1 1 1 0 0 0 0 0 0 0 3 0 2 4 0 2 4 4 1 0 0 0 0 0 5 2 2 1 2 2 1 2 2 0 1 2 1 3 0 4 2 1 2 0 2 0 1 1 1 0 2 2 2 1 1 0
"partial" 0 2 1 0 1 1 0 1 0 0 2 1 0 0 1 1 0 3 0 1 0 1 0 1 0 0 0 0 1 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 1 2 0 0 0 0 2 0 0 0 0 1 0 1 1 0 3 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0
"particular" 1 0 1 1 0 0 1 1 0 0 0 1 1 1 0 3 0 1 0 3 0 2 2 1 0 2 7 1 0 0 0 1 4 0 1 1 1 1 0 1 1 1 0 0 0 2 2 2 1 1 0 1 0 0 3 1 1 3 0 0 0 0 1 0 2 1 0 1 0 0 1 1 1 1 0 1 1 0 1 2 0 1 2 1 1 2 4 0 9 2 1 2 0 1 1 0 0 0 0 1 1 2 1 1 0
