"acceptable" "active" "affectionate" "awkward" "busy" "careful" "certain" "cheerful" "civil" "close" "cold" "constant" "decided" "decisive" "delicate" "determined" "direct" "domestic" "eager" "earnest" "easy" "free" "fresh" "friendly" "gallant" "general" "generous" "gentle" "grateful" "handsome" "heavy" "honest" "humble" "impatient" "independent" "indifferent" "intimate" "kind" "lively" "melancholy" "moderate" "musical" "natural" "neat" "nervous" "obliging" "open" "partial" "particular" "pleasant" "proud" "quick" "quiet" "reasonable" "rude" "sad" "sanguine" "second" "sensible" "serious" "severe" "silent" "simple" "sincere" "slow" "soft" "steady" "strong" "sudden" "sufficient" "sure" "sweet" "tempered" "thankful" "thorough" "true" "ungracious" "ungrateful" "unhappy" "unsuspicious" "vain" "weak" "willing"
"sanguine" 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 3 0 0 1 1 0 0 0 0 1 0 1 1 0 0 1 0 3 0 0 0 1 0 1 0 1 1 1 1 0 0 0 1 1 2 1 1 0 1 0 0 1 2 0 1 4 0 1 1 0 1 0 0 1 0 1 0 1
"second" 2 1 0 1 3 1 3 3 1 2 5 1 0 1 2 1 1 1 1 1 3 2 4 2 0 11 1 1 4 5 1 2 2 1 1 2 1 4 1 0 3 1 7 2 2 0 5 2 9 4 2 1 4 4 0 3 1 0 1 0 4 3 3 0 2 2 2 5 5 2 12 4 1 2 3 3 1 1 4 0 0 2 2
"sensible" 0 1 1 1 4 1 1 4 3 1 4 1 1 1 3 2 1 0 3 2 4 0 4 1 1 8 2 3 1 2 1 1 1 2 1 1 2 7 2 1 0 1 7 1 0 0 2 0 4 5 0 3 2 1 1 3 1 1 0 4 2 3 3 1 0 0 1 5 2 0 18 1 0 1 2 3 1 1 4 0 2 2 2
"serious" 0 0 0 3 1 2 1 3 2 0 5 1 1 1 1 4 1 1 1 1 3 0 1 2 1 6 0 1 1 2 0 1 1 1 1 1 1 4 0 1 0 1 5 1 1 2 5 1 2 6 0 1 1 2 1 4 2 0 4 0 2 5 3 0 1 1 1 4 2 1 15 3 0 0 3 4 0 1 1 2 3 0 2
"severe" 0 0 2 1 1 2 2 2 3 0 2 1 2 2 3 1 2 1 1 1 4 0 1 4 0 5 1 2 2 4 0 1 2 0 1 2 2 6 0 2 2 0 5 0 2 0 3 2 4 5 0 2 3 4 0 5 1 4 2 2 0 1 2 1 0 1 3 6 1 0 10 3 1 0 1 9 3 2 4 0 2 0 1
"silent" 1 1 0 3 2 1 5 5 0 0 6 0 0 0 0 4 2 1 3 1 3 1 3 5 2 5 0 1 0 2 1 0 2 2 0 3 0 4 3 0 0 1 7 2 0 2 6 0 1 4 1 3 2 2 0 2 1 3 3 5 1 0 3 1 0 1 0 7 1 1 15 4 0 0 0 1 0 0 1 3 3 0 4
"simple" 0 0 0 1 3 1 1 2 1 0 3 0 0 2 0 0 0 0 2 1 1 0 1 1 2 5 1 0 2 2 2 1 2 1 1 2 2 5 0 0 0 1 6 0 0 2 1 1 6 1 0 1 0 3 0 2 0 3 3 3 2 3 0 2 0 0 1 4 2 1 7 1 0 0 3 1 1 0 3 3 1 0 2
"sincere" 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 3 0 1 1 1 1 1 0 0 1 2 3 0 0 1 0 1 0 1 1 2 0 0 0 1 3 0 0 3 0 0 0 1 2 0 0 1 1 1 0 0
"slow" 1 0 0 0 1 0 0 0 1 0 2 1 0 0 0 1 0 0 1 0 2 2 0 1 0 2 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 2 0 0 1 0 2 0 1 1 0 0 2 0 1 0 0 0 0 0 0 1 0 2 0 5 0 0 0 1 1 0 0 0 0 0 0 0
"soft" 1 1 0 0 1 1 2 1 1 1 1 0 0 0 0 2 1 1 1 0 1 0 1 1 1 2 0 1 2 0 0 0 1 0 0 1 0 1 0 0 0 0 3 0 1 1 0 0 2 2 0 1 0 0 0 2 0 2 0 1 1 1 0 0 0 0 1 2 0 0 5 2 0 0 1 3 0 0 0 0 0 0 1
