"abrupt" "active" "affable" "affectionate" "aloof" "awkward" "bitter" "boisterous" "bold" "brave" "brisk" "busy" "calm" "candid" "capricious" "careful" "careless" "catholic" "cautious" "certain" "cheerful" "christian" "civil" "clean" "close" "cold" "complimentary" "conciliatory" "confidential" "consistent" "constant" "cool" "courteous" "cruel" "curious" "daring" "delicate" "determined" "direct" "distrustful" "domestic" "eager" "earnest" "easy" "expressive" "faithful" "familiar" "fast" "fearful" "ferocious" "fickle" "fierce" "fiery" "firm" "forgetful" "frank" "free" "fresh" "friendly" "frugal" "gallant" "gay" "general" "generous" "genteel" "gentle" "giddy" "gloomy" "graceful" "gracious" "grateful" "grave" "gruff" "handsome" "hasty" "haughty" "headlong" "hearty" "heavy" "honest" "hopeful" "humble" "hurried" "impatient" "indifferent" "intense" "irreligious" "jaunty" "jovial" "keen" "kind" "lavish" "lazy" "lively" "lofty" "lonely" "loud" "loving" "melancholy" "merry" "mild" "military" "modest" "mournful" "musical" "mute" "natural" "nervous" "noisy" "obdurate" "open" "original" "particular" "patient" "peaceful" "placid" "pleasant" "precise" "proud" "prudent" "quick" "quiet" "rapid" "reasonable" "reckless" "religious" "resolute" "restless" "rigid" "rough" "rude" "rusty" "sad" "scornful" "second" "sensible" "sensitive" "serious" "severe" "silent" "simple" "sincere" "slow" "smooth" "sober" "social" "soft" "solemn" "stable" "steady" "stealthy" "steep" "stern" "stiff" "straight" "strict" "strong" "sudden" "sufficient" "suggestive" "sullen" "sunny" "sure" "surly" "suspicious" "sweet" "talkative" "tender" "thankful" "thorough" "thoughtful" "tight" "timid" "true" "ugly" "uncertain" "unhappy" "vague" "vain" "vicious" "violent" "virtuous" "weak" "wise" "willing" "vagrant"
"brisk" 0 2 0 1 0 0 0 0 2 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 2 0 0 1 1 1 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 2 1 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 3 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 1 0 0 0
"busy" 0 4 0 0 1 0 1 2 3 2 0 0 1 0 0 1 1 1 0 3 4 0 0 1 1 3 0 1 1 0 2 5 0 1 1 2 0 0 0 0 0 2 1 3 0 1 4 0 2 0 0 1 1 1 0 0 3 2 1 2 1 2 2 1 0 3 1 2 0 1 0 0 0 3 0 0 1 1 4 2 0 1 1 1 2 1 0 0 0 0 0 0 2 1 2 3 2 1 2 1 0 1 1 1 1 0 1 0 2 1 3 2 5 3 1 0 3 0 2 0 1 7 2 1 1 1 0 2 0 1 0 2 4 1 2 0 1 1 1 5 1 0 1 1 3 1 1 3 1 1 3 1 1 0 0 1 12 1 2 1 1 1 3 0 1 2 0 0 1 0 4 0 1 1 1 0 1 3 2 0 3 1 1 3 2 1
"calm" 1 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 1 1 0 0 1 1 2 0 0 0 1 0 0 1 1 2 0 1 1 0 1 0 0 1 4 0 0 0 0 2 0 0 1 0 0 0 1 2 1 0 0 0 0 1 0 1 1 0 0 1 1 0 2 0 0 1 1 0 0 0 1 0 1 1 1 0 0 1 0 0 1 1 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 3 1 1 0 0 3 0 0 0 0 0 0 1 2 0 0 2 0 1 1 0 0 0 4 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 1 4 2 1 0 0 0 0 0 0 0 0 2 1 0 1 2 0 0 0 1 1 1 0 0
"candid" 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 1 0
"capricious" 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 2 2 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 2 0 1 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 2 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0
"careful" 0 2 0 0 0 0 1 1 0 0 1 1 0 0 0 0 1 0 1 3 1 0 0 0 2 2 0 0 0 0 1 0 0 2 1 0 1 0 0 0 0 1 0 3 0 0 1 1 0 0 1 2 0 0 0 0 4 0 0 0 0 0 3 1 0 0 0 1 0 0 2 1 0 1 1 0 0 2 2 2 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 1 3 0 0 0 0 1 1 0 0 0 2 0 1 0 4 2 2 0 1 0 2 0 5 0 1 3 0 0 1 3 0 0 0 0 1 0 3 0 0 0 1 0 0 3 0 0 1 0 1 1 0 0 3 1 0 0 0 1 0 0 4 1 0 1 1 0 5 0 0 1 0 0 2 0 1 0 0 0 2 1 0 0 0 0 0 1 2 0 0 0
"careless" 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 1 4 2 0 1 0 1 2 0 0 1 0 0 2 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 1 1 1 0 1 1 4 0 0 1 0 1 1 0 0 1 0 2 0 0 0 1 2 2 0 1 0 1 1 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 2 1 1 0 0 1 2 1 1 0 0 1 0 0 2 1 0 1 0 1 0 1 1 0 0 0 1 1 0 5 0 0 0 1 1 0 0 1 1 2 0 0 0 0 0 0 2 0 0 0 1 0 3 0 1 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 3 0 0 1 0 0
"catholic" 0 2 0 2 1 1 2 1 1 1 1 1 0 0 0 0 0 0 0 4 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 3 0 1 1 0 0 1 1 0 1 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 1 2 0 1 0 0 3 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 2 0 0 0 1 0 3 1 0 0 5 2 0 1 0 0 0 0 2 0 3 2 1 1 0 2 1 2 1 1 0 1 0 1 1 0 1 0 0 0 0 0 1 1 0 0 1 2 0 1 0 0 0 1 0 0 2 1 3 0 0 0 3 0 0 1 0 0 0 0 0 0 1 5 0 0 1 1 0 0 2 1 0 1 0 0
"cautious" 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 3 2 0 0 0 2 2 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 2 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 1 0 1 0 3 2 1 0 0 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 0 1 2 1 0 0 0 2 1 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 2 0 0 1
"certain" 1 4 2 1 0 1 2 3 9 3 0 3 1 0 2 3 4 4 3 0 12 3 3 2 6 12 4 0 1 1 6 3 2 4 2 1 4 2 2 1 3 1 5 11 1 4 5 1 1 1 1 2 0 1 0 3 8 2 4 0 4 4 12 2 3 4 0 4 2 2 1 2 1 8 1 1 1 7 11 7 1 5 3 1 2 0 1 1 1 3 4 1 1 1 1 4 6 0 4 2 3 3 1 2 3 0 10 1 2 0 13 8 6 4 2 1 5 1 9 0 6 11 0 3 3 4 3 1 1 5 3 0 5 1 5 2 2 5 1 9 1 1 5 3 3 1 1 6 4 1 2 2 2 1 1 0 20 3 1 3 0 2 22 1 0 5 1 1 2 2 0 1 5 11 3 3 2 3 1 0 3 2 3 8 0 1
"cheerful" 1 2 0 0 0 0 4 3 3 1 0 4 1 0 2 1 2 0 2 12 0 1 0 0 4 7 1 0 1 0 5 3 0 1 4 0 1 0 0 0 2 2 1 4 1 3 5 1 0 1 2 1 0 0 0 1 8 2 2 0 1 5 2 1 1 5 0 4 2 3 0 2 0 5 2 0 0 5 5 5 1 2 0 1 0 2 1 1 2 3 5 1 2 2 1 1 4 0 1 3 0 1 2 1 3 0 3 0 0 2 9 2 6 4 0 2 11 1 5 0 1 7 0 3 1 1 0 3 0 2 1 1 4 0 3 0 1 3 1 9 0 0 4 2 2 0 0 4 4 1 3 1 0 1 1 1 10 2 1 1 1 1 10 2 0 1 4 1 0 0 1 1 1 4 1 1 2 1 1 1 3 2 1 4 0 1
"christian" 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 2 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 1 0 1 1 0 1 1 0 0 0 2 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 1 2 0 0 0 0 3 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"civil" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 3 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 2 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 2 1 1 0 0 0 2 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 2 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0
"clean" 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 2 0 0 1 0 0 2 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 3 0 1 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 2 0 0 1 2 0 0 0 0 0 1 0 0 0 1 2 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 3 1 0 0 0 0 4 0 0 0 0 0 0 1 1 0 0 1 0 0 2 0 0 0 1 0 3 3 0 0
"close" 0 2 0 0 1 0 1 0 4 2 1 1 1 0 1 2 1 1 2 6 4 0 0 0 0 6 0 0 0 0 1 0 0 3 2 0 1 0 1 1 0 4 1 8 0 0 0 1 2 0 0 1 1 0 0 0 5 1 1 0 0 0 3 0 1 0 1 4 0 0 0 2 2 1 2 0 1 1 5 2 0 0 1 2 1 0 0 0 1 0 1 0 1 0 0 3 2 0 0 1 2 1 0 0 0 1 4 1 2 2 6 3 3 1 0 0 5 1 3 1 1 8 0 0 1 0 0 2 0 7 1 1 0 0 1 2 0 2 1 6 1 1 2 3 1 0 1 2 2 2 0 1 1 0 0 0 7 3 2 2 1 0 3 1 1 3 0 2 1 0 1 0 2 2 2 0 0 0 1 1 1 0 0 0 0 1
"cold" 0 3 0 2 1 1 3 4 6 3 2 3 2 1 1 2 2 1 2 12 7 2 1 2 6 0 1 0 1 0 3 2 3 4 2 0 3 1 0 0 0 1 1 8 1 2 1 2 2 0 1 2 1 1 2 1 12 4 4 0 2 2 6 3 0 8 1 4 3 4 2 2 1 8 1 1 1 6 12 7 1 3 4 3 1 0 1 1 3 5 3 2 0 1 3 2 6 1 6 3 3 2 1 3 1 3 10 1 3 3 16 3 7 4 0 3 8 0 5 3 5 10 3 1 2 1 1 5 4 7 2 4 6 2 6 3 1 7 1 12 0 1 6 3 3 1 1 4 2 3 1 2 2 2 1 2 13 6 4 2 4 2 15 2 1 4 1 0 1 2 2 2 3 7 2 2 2 1 3 0 1 2 2 2 0 1
"complimentary" 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 4 1 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 1 2 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0
"conciliatory" 0 0 0 0 1 1 2 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 3 1 1 0 1 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 3 0 0 0 1 0 2 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0
"confidential" 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0 0 1 1 1 1 1 0 0 0 0 1 0 0 0 0 2 2 0 1 3 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 1 1 2 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 2 0 0 0 1 1 1 1 1 2 0 0 1 1 0 2 1 0 0 0 0 0 1 0 2 0 0 2 0 0 1 0 0 1 0 1 2 0 0 0 0 1 0 0 2 2 2 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0
"consistent" 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 2 1 1 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0
"constant" 0 1 0 1 0 0 2 1 0 1 0 2 0 0 0 1 0 1 0 6 5 0 0 1 1 3 2 0 2 0 0 1 0 4 0 0 2 0 0 0 1 1 1 6 0 1 2 1 0 0 1 2 0 0 1 0 4 1 1 0 1 4 3 0 1 3 1 1 1 2 0 0 0 3 0 0 0 3 4 1 1 3 1 1 0 1 0 0 1 1 0 1 0 0 0 1 1 0 0 2 1 0 0 3 0 1 3 2 0 1 2 0 2 1 1 1 3 0 2 1 2 8 0 1 1 2 0 3 1 1 0 0 1 0 2 0 2 2 1 3 2 1 1 1 1 1 2 0 1 1 1 0 0 1 0 0 5 4 2 0 0 0 5 0 0 3 1 0 1 0 0 0 2 4 0 0 2 0 0 0 2 1 1 4 0 0
"cool" 0 3 0 0 0 0 1 0 1 1 0 5 0 0 0 0 2 0 0 3 3 0 1 1 0 2 0 1 2 0 1 0 0 0 1 1 2 0 1 0 1 1 4 7 0 0 1 0 0 1 1 0 1 0 0 1 2 1 1 0 0 1 1 0 0 1 0 0 3 0 0 0 0 3 0 0 1 0 4 0 0 0 0 0 1 0 0 1 1 0 1 0 2 1 0 1 0 1 0 0 1 0 0 0 1 1 2 0 0 0 2 2 3 1 1 2 3 1 0 1 2 2 1 1 2 1 0 0 0 2 1 0 2 1 0 1 1 1 0 4 0 0 1 1 2 0 1 2 1 0 1 0 0 0 0 0 5 0 0 0 0 0 3 0 0 2 0 0 0 0 3 0 1 1 2 2 0 0 0 0 0 0 0 4 1 2
