"abrupt" "active" "affectionate" "bitter" "bland" "boisterous" "bold" "busy" "calm" "careful" "careless" "cautious" "certain" "cheerful" "clean" "close" "cold" "compassionate" "confidential" "constant" "cool" "cruel" "cunning" "curious" "delicate" "domestic" "eager" "earnest" "easy" "exact" "facetious" "faithful" "familiar" "fast" "fearful" "fierce" "free" "fresh" "friendly" "gallant" "gay" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "hearty" "heavy" "helpless" "honest" "humble" "hurried" "impatient" "impetuous" "indifferent" "intimate" "jealous" "keen" "kind" "limp" "lofty" "lonely" "loud" "malicious" "melancholy" "merry" "mild" "modest" "mournful" "mute" "natural" "neat" "negative" "noiseless" "noisy" "obdurate" "open" "original" "particular" "patient" "peaceful" "placid" "pleasant" "polite" "practical" "proud" "prudent" "quick" "quiet" "rapid" "restless" "rough" "rude" "rusty" "sad" "second" "sentimental" "serious" "silent" "simple" "sincere" "slow" "smooth" "sober" "social" "soft" "solemn" "stable" "stately" "steady" "stealthy" "stern" "strong" "submissive" "sudden" "sufficient" "sure" "suspicious" "sweet" "tearful" "tender" "thankful" "thoughtful" "thoughtless" "tight" "timid" "tranquil" "treacherous" "true" "ugly" "uncertain" "unhappy" "unmindful" "vague" "violent" "virtuous" "vocal" "watchful" "weak" "willing" "wise"
"certain" 3 2 4 3 3 1 2 3 1 5 2 3 0 10 0 4 10 1 2 3 5 1 5 4 4 2 2 5 12 5 2 0 3 0 3 1 13 5 4 1 1 6 1 4 10 3 3 2 5 1 2 1 1 8 1 6 3 1 1 2 3 0 2 3 6 1 1 6 3 2 0 1 7 3 1 3 7 0 1 1 2 2 8 9 12 2 3 1 9 2 2 1 2 6 6 0 2 5 3 2 3 8 1 2 6 8 2 4 1 4 2 2 4 1 0 2 2 1 15 0 3 4 18 2 6 0 4 4 5 3 4 3 2 1 9 3 2 3 2 5 2 0 1 2 6 2 2
"cheerful" 0 1 2 1 2 1 1 5 0 3 1 0 10 0 0 3 11 0 1 3 1 0 1 0 1 0 2 5 8 1 1 2 3 1 3 0 8 3 4 2 3 2 0 2 5 5 1 3 5 1 0 0 2 4 1 3 2 0 1 0 1 0 1 0 2 0 1 4 6 1 2 0 4 1 8 0 5 0 2 0 2 1 12 3 7 0 1 1 13 1 0 0 0 2 9 1 1 4 0 3 7 5 2 2 8 4 0 4 1 0 1 4 3 1 0 1 2 0 8 1 4 1 10 1 3 1 0 1 6 1 3 3 2 0 5 5 1 1 0 2 0 1 1 0 4 2 2
"clean" 0 0 1 2 0 0 2 2 0 0 0 0 0 0 0 2 3 0 0 1 2 0 1 1 0 0 0 1 1 1 0 2 1 0 3 2 0 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 2 0 0 3 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 1 1 1 2 2 0 0 2 0 4 0 1 0 1 0 2 0 0 0 1 1 1 0 2 2 0 0 0 1 0 0 3 0 0 4 1 1 1 0 0 1 0 0 0 0 2 0 2 0 5 1 2 0 1 0 0 0 1 1 0 0 1 1 1 1 0 1 0 0 0 0 2 0 1
"close" 1 4 3 1 0 0 1 3 0 2 0 1 4 3 2 0 12 0 1 3 2 4 1 3 0 2 1 4 7 1 1 3 3 1 1 1 6 3 4 2 2 3 0 0 6 5 2 1 2 0 1 1 1 5 2 5 5 2 2 0 0 2 1 3 5 2 0 5 3 0 1 3 3 3 2 0 4 2 1 1 2 0 11 4 4 1 2 1 5 1 2 1 2 6 9 1 2 4 1 2 3 3 0 1 7 2 0 4 3 3 1 3 5 0 0 0 3 0 6 1 5 1 6 1 2 1 2 1 1 1 1 4 1 2 5 4 5 1 1 4 2 1 0 2 5 0 0
"cold" 1 2 1 1 2 1 2 6 2 4 1 0 10 11 3 12 0 2 0 4 0 4 2 0 1 1 3 6 7 2 1 4 2 1 2 1 7 8 8 1 1 7 1 2 10 8 2 2 8 0 0 2 1 8 1 5 8 2 4 1 2 1 1 2 5 1 4 5 4 2 2 3 2 3 5 4 6 0 1 2 4 0 19 13 7 4 2 2 8 4 1 2 1 6 13 1 6 5 2 4 5 4 2 1 12 4 0 8 3 5 1 2 8 3 0 0 1 0 16 2 5 3 14 2 7 1 2 4 6 1 3 2 1 0 4 5 3 1 2 3 3 1 1 1 7 0 1
"compassionate" 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 0 1 0 2 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 3 0 1 0 1 2 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0
"confidential" 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 1 0 0 1 1 0 1 0 0 2 1 0 0 2 2 0 0 1 0 1 0 0 1 0 0 2 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 2 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
"constant" 0 1 0 0 0 0 0 3 5 0 0 1 3 3 1 3 4 0 1 0 1 0 1 2 0 0 0 1 3 0 1 1 4 2 2 1 4 2 1 0 1 1 1 1 4 3 0 1 1 0 0 0 1 3 0 1 2 0 0 0 1 1 0 1 1 0 0 0 1 0 0 1 1 0 1 1 2 1 0 1 1 1 6 3 1 1 1 0 3 0 0 1 1 3 3 1 4 3 0 0 1 0 0 0 6 1 0 4 1 2 1 2 2 1 0 0 0 1 7 1 2 2 6 1 5 0 3 1 6 2 0 2 1 0 2 2 2 0 0 3 0 1 0 1 0 1 0
"cool" 2 0 1 0 0 2 0 1 2 3 0 0 5 1 2 2 0 0 0 1 0 0 0 3 0 0 2 0 0 0 0 1 2 0 1 2 3 5 0 1 0 1 0 0 1 0 0 1 1 1 1 1 1 2 1 0 3 0 0 0 3 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 3 1 1 1 2 1 5 1 2 0 0 1 1 0 1 1 0 0 4 0 2 1 0 1 1 2 0 1 4 0 1 4 1 1 0 0 1 0 0 0 0 0 3 0 2 0 6 1 0 0 1 0 0 0 0 1 0 0 5 2 0 0 1 1 0 0 0 2 2 0 0
"cruel" 0 0 3 0 0 0 0 1 0 0 0 0 1 0 0 4 4 0 0 0 0 0 1 1 0 0 1 0 3 0 1 1 0 1 0 1 0 0 0 0 0 1 0 0 3 0 0 0 1 0 0 2 1 1 0 2 2 1 1 0 0 0 0 0 2 0 0 1 0 0 2 0 0 0 0 0 1 0 1 0 1 0 2 0 1 0 1 1 1 0 0 0 1 2 4 0 0 0 0 0 1 1 0 1 3 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 1 0 5 0 0 2 1 0 2 0 0 0 0 1 1 0 2 0 1 1 0 0 0 0 2 0 0
"cunning" 0 0 0 0 1 0 0 4 0 1 0 1 5 1 1 1 2 1 1 1 0 1 0 2 0 0 2 0 0 1 0 1 1 1 1 1 3 2 0 0 2 1 0 0 2 0 0 0 2 1 0 0 0 2 0 0 2 0 2 1 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 1 1 0 1 0 1 1 4 2 3 0 2 1 3 0 1 0 0 1 2 1 0 1 0 1 0 2 0 0 0 0 1 3 0 1 0 0 0 0 0 0 0 0 1 0 1 1 3 0 3 0 0 1 1 0 2 1 0 0 0 1 0 2 0 2 1 0 1 0 1 0 1
"curious" 3 0 1 0 0 1 0 2 1 1 0 1 4 0 1 3 0 0 1 2 3 1 2 0 1 0 0 2 2 0 0 1 3 0 3 0 3 4 1 1 0 0 0 1 3 1 0 0 2 1 0 1 0 5 1 0 3 0 0 0 1 1 0 2 2 1 0 1 0 0 0 0 1 0 1 1 2 0 0 1 3 0 3 0 3 1 0 0 1 0 0 1 0 3 2 0 2 2 0 1 1 1 0 1 4 1 0 6 1 2 1 1 1 0 0 0 1 0 4 0 1 1 5 1 1 1 1 1 2 0 1 1 0 0 3 1 2 0 0 2 1 0 0 2 1 0 1
"delicate" 0 1 0 0 0 0 1 0 1 1 0 0 4 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 2 0 0 0 1 0 1 0 3 3 0 0 0 1 1 0 1 0 0 1 1 0 3 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 1 0 0 1 0 1 0 0 0 0 2 0 1 2 0 0 0 0 2 0 0 0 0 0 2 1 0 0 3 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 0 0
"domestic" 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 1 2 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 1 2 0 1 0 1 0 1 1 0 0 1 0 0 0 2 1 0 1 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"eager" 0 0 0 0 0 0 0 4 1 0 0 0 2 2 0 1 3 0 0 0 2 1 2 0 1 0 0 0 2 0 0 0 0 1 0 1 1 2 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1 1 0 2 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 2 0 1 0 0 0 1 0 4 1 1 0 1 0 0 0 0 1 0 0 2 1 1 2 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3 0 1 0 0 0 1 0 1 0 0 0 2 1 0 0 0 0 2 1 0 0 2 0 0
"earnest" 1 2 2 0 1 1 0 2 1 1 1 0 5 5 1 4 6 2 0 1 0 0 0 2 0 0 0 0 4 0 1 1 2 0 3 0 1 2 4 1 2 3 1 1 6 5 0 1 2 0 0 1 1 2 1 2 4 0 2 0 0 0 2 0 7 0 0 2 0 1 1 2 2 1 1 2 4 2 0 0 3 1 5 2 5 3 1 0 7 0 0 1 0 3 9 0 2 0 0 0 1 5 1 0 4 3 1 1 0 0 0 2 1 1 0 0 1 0 6 0 7 2 10 0 1 2 2 2 3 1 2 4 2 0 6 3 3 2 0 1 0 0 0 0 2 2 1
"easy" 0 1 4 1 1 0 0 3 4 2 1 1 12 8 1 7 7 0 2 3 0 3 0 2 2 1 2 4 0 2 1 1 4 2 2 1 6 4 5 1 1 1 0 1 8 5 3 1 2 1 2 2 2 3 4 3 4 0 1 1 1 0 3 2 1 1 1 4 1 1 1 1 1 0 4 0 5 1 1 0 3 3 11 4 10 1 1 1 9 2 1 0 3 2 12 1 2 3 2 4 2 6 2 1 5 2 1 5 1 0 0 3 3 1 2 0 1 2 13 0 6 2 10 1 1 1 3 0 4 0 1 8 3 2 8 2 5 1 2 2 3 1 0 1 5 1 1
"exact" 0 0 2 0 0 0 0 0 0 0 0 1 5 1 1 1 2 0 1 0 0 0 1 0 0 2 0 0 2 0 0 0 3 0 0 0 1 0 1 0 0 1 0 0 3 0 2 0 2 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 1 2 0 1 2 0 0 0 2 0 2 2 3 0 0 0 1 0 2 1 1 0 2 0 0 0 1 2 0 2 0 1 0 1 0 0 1 1 2 0 1 1 0 0 0 0 2 0 0 0 4 0 1 0 1 1 0 0 1 1 0 2 1 0 3 0 0 0 1 0 0 0 1 0 0
"facetious" 0 0 0 0 1 0 0 0 1 0 0 0 2 1 0 1 1 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 1 0 0 1 0 0 2 0 0 0 0 0 1 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 3 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"faithful" 0 1 2 0 0 0 0 2 1 1 0 0 0 2 2 3 4 0 0 1 1 1 1 1 0 0 0 1 1 0 0 0 0 0 1 0 2 0 0 1 0 0 1 0 3 1 0 0 1 0 1 1 1 2 0 1 1 1 0 0 0 0 0 0 4 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 1 3 1 0 1 1 1 3 0 0 0 1 2 3 0 0 1 0 0 1 1 0 0 3 0 0 2 1 0 0 1 1 0 0 0 1 0 2 0 2 0 3 0 1 0 0 1 2 0 1 0 1 0 2 1 0 0 0 1 0 0 0 1 2 0 1
"familiar" 1 1 3 0 0 1 1 0 2 3 0 2 3 3 1 3 2 0 2 4 2 0 1 3 1 1 0 2 4 3 1 0 0 1 2 1 4 4 1 0 0 3 0 1 3 2 1 1 1 0 0 0 1 2 1 2 4 0 0 0 1 0 0 0 3 1 0 1 0 0 2 1 0 1 1 1 4 1 0 0 3 0 7 3 2 0 0 0 3 0 2 0 0 1 4 1 2 0 0 2 3 1 1 0 5 0 0 3 0 1 1 2 1 0 0 0 0 0 7 0 3 0 4 1 0 0 1 1 4 0 1 2 0 1 3 2 0 0 0 1 1 1 1 1 1 0 0
"fast" 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 1 0 2 2 0 1 1 0 0 0 1 0 2 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 2 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 1 3 1 0 0 0 2 1 0 0 0 0 1 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 3 0 0 0 0 0 1 0 0 1 0 1 1 0 1 0 0 1 0 1 0 0 0 0 0
"fearful" 2 1 1 0 1 1 0 1 0 0 1 2 3 3 3 1 2 0 0 2 1 0 1 3 1 0 0 3 2 0 0 1 2 0 0 1 1 2 0 1 0 1 0 1 0 2 2 0 0 0 0 0 1 2 1 1 1 1 0 0 1 1 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 2 0 0 2 0 6 1 0 0 0 0 7 0 0 0 1 4 2 0 1 2 0 0 1 1 0 1 1 1 0 6 0 0 0 0 0 0 0 0 0 0 2 1 2 0 4 0 0 1 0 1 2 0 2 2 1 0 3 0 1 0 1 1 0 0 0 0 2 1 2
"fierce" 0 0 0 0 0 0 1 1 0 0 0 0 1 0 2 1 1 0 0 1 2 1 1 0 0 0 1 0 1 0 0 0 1 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 2 2 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0
"free" 1 1 4 1 0 2 2 3 3 4 2 1 13 8 0 6 7 1 1 4 3 0 3 3 3 1 1 1 6 1 0 2 4 0 1 0 0 8 4 1 1 3 1 2 7 2 2 2 5 0 3 4 1 8 1 2 7 0 1 3 1 1 0 2 5 1 1 3 2 0 2 2 3 0 3 1 3 0 2 2 4 2 12 5 7 2 3 2 9 0 1 1 0 1 7 1 2 4 0 2 5 6 0 0 5 3 3 7 2 2 1 3 3 2 0 2 2 1 8 1 4 0 13 3 7 0 1 3 4 1 3 2 0 1 3 1 0 2 2 5 1 1 1 1 2 0 0
"fresh" 2 1 1 0 1 1 1 1 2 4 0 0 5 3 2 3 8 0 0 2 5 0 2 4 3 0 2 2 4 0 0 0 4 0 2 2 8 0 2 0 2 4 0 0 3 2 0 0 6 0 2 4 1 6 2 0 6 1 2 0 2 0 1 2 4 0 1 1 3 3 2 1 2 2 3 2 7 1 2 3 3 1 6 3 5 2 0 2 3 0 2 0 0 3 4 2 2 4 1 3 1 2 0 3 3 1 0 9 1 2 0 0 5 0 2 0 1 1 5 1 4 1 11 2 3 0 1 1 2 0 0 4 0 0 7 4 2 1 0 2 1 2 1 1 2 0 0
"friendly" 0 0 1 2 0 0 1 0 1 2 1 2 4 4 1 4 8 1 1 1 0 0 0 1 0 1 0 4 5 1 1 0 1 0 0 0 4 2 0 0 1 4 1 1 5 1 3 1 1 0 0 2 0 0 0 2 3 0 3 1 0 1 2 1 2 2 3 1 3 0 1 1 1 1 2 1 5 0 1 0 1 2 3 2 10 1 0 0 6 3 1 2 0 2 2 1 2 2 0 0 0 2 0 1 3 2 1 1 1 1 2 0 2 2 0 0 0 0 11 0 5 2 10 0 1 0 0 0 1 1 2 0 0 3 4 1 1 2 0 1 3 3 1 0 1 1 1
"gallant" 1 1 0 0 0 0 0 0 0 0 0 0 1 2 0 2 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 1 1 3 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 1 1 0 0 0 0 0 1 1 0 2 1 1 0 0 0 0 0 0 1 1 0 0
"gay" 0 0 0 1 0 0 0 0 0 0 0 0 1 3 1 2 1 0 0 1 0 0 2 0 0 0 0 2 1 0 0 0 0 0 0 0 1 2 1 0 0 1 0 0 1 2 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0 0 1 0 1 1 0 0 1 1 0 0 0 1 1 0 1 0 1 0 0 0 4 2 2 0 0 0 5 0 0 0 0 1 1 0 2 1 0 0 0 1 0 0 3 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 2 0 1 0 1 0 1 0 2 0 1 2 0 0 0 1 0 1 0 2 0 0 1 0 0 0 0
"general" 0 2 2 1 1 1 3 0 0 2 0 1 6 2 0 3 7 0 1 1 1 1 1 0 1 0 0 3 1 1 1 0 3 1 1 0 3 4 4 0 1 0 0 2 5 1 1 1 3 0 1 0 0 4 1 4 5 0 2 0 0 1 2 1 3 1 0 2 2 2 0 2 1 2 0 2 4 0 1 0 2 0 5 3 4 0 0 1 2 2 1 0 0 4 3 0 0 0 0 0 2 1 0 1 2 1 1 1 1 1 0 1 4 0 1 1 0 0 6 1 4 2 9 0 1 1 2 2 1 0 0 3 0 0 3 1 0 0 1 1 0 1 0 0 2 0 1
