"acceptable" "affectionate" "argumentative" "bitter" "bold" "boyish" "busy" "calm" "capricious" "careful" "certain" "cheerful" "christian" "classic" "clean" "close" "clumsy" "cold" "communicative" "compassionate" "complimentary" "conciliatory" "confidential" "consistent" "constant" "conventional" "cool" "cordial" "cruel" "cunning" "curious" "delicate" "dependent" "determined" "direct" "dissatisfied" "distrustful" "domestic" "eager" "easy" "emphatic" "exact" "expressive" "faithful" "familiar" "fast" "fearful" "fierce" "fiery" "firm" "formal" "frank" "free" "fresh" "friendly" "gay" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "gypsy" "handsome" "handy" "haughty" "heavy" "helpless" "honest" "hopeful" "hopeless" "humble" "hurried" "immovable" "impatient" "independent" "indifferent" "intellectual" "intimate" "jealous" "keen" "kind" "lavish" "lively" "lonely" "loud" "majestic" "mechanical" "melancholy" "mild" "moderate" "modest" "motherly" "murderous" "musical" "natural" "neat" "nervous" "nigh" "obliging" "open" "particular" "patient" "placid" "playful" "pleasant" "polite" "positive" "practical" "proud" "quick" "quiet" "reasonable" "reckless" "reproachful" "respectful" "responsible" "responsive" "romantic" "rough" "rusty" "sad" "scornful" "second" "sensible" "sensitive" "serious" "severe" "silent" "simple" "slow" "smooth" "sober" "social" "soft" "solemn" "sorrowful" "sour" "steady" "stern" "stiff" "straight" "strict" "strong" "sudden" "sufficient" "suggestive" "sure" "suspicious" "sweet" "swift" "sympathetic" "tempered" "tender" "thankful" "thankless" "thoughtful" "treacherous" "true" "ugly" "uncertain" "unhappy" "vague" "vain" "violent" "virtuous" "weak" "worldly" "willing" "undecided"
"certain" 1 2 0 2 0 1 3 1 2 2 0 6 3 0 2 3 2 8 1 0 0 0 2 2 1 1 0 2 2 1 3 0 0 5 2 2 1 2 1 5 0 1 1 2 5 0 2 0 0 1 0 2 4 2 3 1 9 1 1 3 3 0 1 0 3 2 4 1 1 7 2 7 1 4 0 1 2 2 1 2 2 1 0 1 0 1 2 1 2 1 0 0 0 0 1 1 0 0 3 3 3 0 3 10 7 0 2 1 6 3 1 1 5 2 6 1 0 0 2 1 0 2 1 2 0 0 4 1 1 6 2 5 0 1 1 2 1 2 2 0 2 3 1 0 1 1 9 5 1 2 14 4 0 2 1 1 1 0 0 0 0 6 4 2 2 1 0 2 1 2 1 1 0
"cheerful" 0 1 0 0 1 0 2 0 1 1 6 0 1 1 4 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 2 1 1 0 0 4 1 0 2 2 0 0 0 0 0 1 0 1 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 2 0 1 6 2 0 0 1 3 1 0 0 0 1 3 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0 0 0 1 1 1 1 1 0 1 0 1 1 0 0 3 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0
"christian" 0 0 0 0 0 0 1 0 2 0 3 1 0 0 0 0 1 2 1 0 0 0 0 0 0 1 1 0 0 0 2 0 0 2 0 0 0 1 0 2 0 1 0 0 2 0 1 0 0 0 0 1 0 2 0 0 3 0 0 1 0 0 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 2 0 1 1 1 1 0 0 0 1 2 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
"classic" 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
"clean" 0 0 0 0 2 0 3 0 0 1 2 4 0 1 0 0 0 2 0 2 0 2 1 0 0 0 1 1 1 0 2 0 1 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 1 0 3 1 0 1 5 1 0 1 0 0 1 3 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 2 1 1 1 0 3 1 0 0 0 4 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 1 0 2 1 0 1 0 2 0 1 1 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 5 2 1 0 1 1 1 0 0 2 0 2 0 1 0 0 1 0 0 0 0 1 0
"close" 0 1 1 1 0 0 2 0 0 0 3 0 0 0 0 0 0 5 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 1 3 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 2 0 0 2 0 1 0 0 2 0 0 0 0 1 2 0 2 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 1 0 0 5 1 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 2 1 1 0 1 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 1 4 1 1 1 6 1 1 0 0 0 0 0 0 0 0 3 1 0 1 1 0 3 1 1 0 3 0
"clumsy" 0 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
"cold" 0 0 1 2 1 2 1 0 0 0 8 0 2 0 2 5 1 0 1 0 0 1 1 0 4 1 1 0 1 0 2 1 1 2 0 0 0 1 1 6 1 0 0 2 1 0 2 5 0 2 1 0 4 2 1 1 4 1 0 1 2 1 0 3 0 0 2 1 1 8 0 2 2 0 0 2 0 1 0 1 0 1 1 0 0 0 1 2 2 0 2 3 0 0 0 1 0 1 5 1 2 0 0 12 5 1 3 0 3 2 0 0 5 0 8 0 0 1 0 1 0 1 2 3 1 1 1 2 2 3 0 3 0 0 2 1 0 1 1 1 0 5 1 1 1 1 8 4 1 0 12 2 3 0 1 0 2 2 1 2 1 7 4 2 2 0 0 4 2 2 2 4 0
"communicative" 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"compassionate" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"complimentary" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0
"conciliatory" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
"confidential" 0 0 1 0 0 0 0 0 0 0 2 1 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 0 4 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 3 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"consistent" 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0
"constant" 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 1 0 4 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 1 0 1 2 1 1 0 1 0 0 0 0 0 1 3 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 3 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 1 1 0 0 2 0 0 1 1 1 2 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 2 0 0 0 2 0 1 0 1 4 2 0 0 1 0 0 0 0 0 0 0 1 0 0 3 0 2 1 0 2 0 1 1 2 0 0
"conventional" 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0
"cool" 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 1 1 0 1 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0
"cordial" 0 1 0 0 1 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
"cruel" 0 0 0 0 0 0 1 0 0 1 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 2 0 0 1 0 0 1 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 2 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 1 0 0 3 0 0 0 0 1 0 0 0 0 0 0
"cunning" 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
"curious" 0 0 0 1 0 0 2 1 1 2 3 1 2 0 2 1 0 2 0 1 1 0 1 0 2 1 1 0 0 0 0 1 1 2 0 0 1 0 1 2 0 0 0 0 1 1 0 0 1 0 0 0 1 3 2 0 4 0 0 2 2 0 2 0 1 0 0 0 0 2 1 0 0 1 1 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 1 1 1 1 1 1 1 2 1 1 0 5 2 1 0 1 3 0 1 0 0 1 4 1 2 0 0 1 0 0 1 1 1 1 4 0 0 2 0 2 1 1 1 0 0 1 1 0 1 0 0 0 0 1 3 2 2 1 7 0 1 0 0 0 1 0 0 0 1 2 0 1 0 0 2 3 0 3 1 0 1
"delicate" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
"dependent" 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"determined" 0 0 0 0 0 0 1 0 0 1 5 0 2 0 0 0 1 2 0 0 0 0 0 0 1 1 1 0 1 0 2 0 0 0 0 0 0 1 0 1 0 0 0 1 2 1 1 1 0 1 0 0 0 2 1 1 1 1 1 1 2 0 0 0 1 1 1 1 0 2 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 2 0 1 0 3 1 0 0 0 1 1 0 0 1 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 2 1 2 1 0 0 0 1 1 1 0 0
"direct" 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0 0 0
