"active" "affectionate" "busy" "calm" "candid" "careful" "cautious" "certain" "cheerful" "civil" "close" "cold" "compassionate" "confident" "constant" "cruel" "delicate" "dependent" "determined" "dignified" "direct" "domestic" "eager" "earnest" "easy" "expressive" "fearful" "fervent" "frank" "free" "fresh" "friendly" "gay" "general" "generous" "genteel" "gentle" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "heavy" "honest" "hopeless" "hurried" "impatient" "impertinent" "independent" "indifferent" "intimate" "invariable" "jealous" "kind" "languid" "lively" "maternal" "melancholy" "musical" "natural" "nervous" "noisy" "observant" "open" "partial" "particular" "pleasant" "polite" "positive" "proud" "prudent" "quick" "quiet" "rapid" "rapturous" "reasonable" "resolute" "restless" "romantic" "rude" "sad" "sanguine" "second" "selfish" "sensible" "serious" "severe" "shy" "silent" "simple" "sincere" "slow" "soft" "speedy" "spirited" "steady" "strong" "stubborn" "sudden" "sufficient" "sure" "sweet" "thankful" "thorough" "thoughtful" "true" "uncertain" "undiscerning" "unhappy" "unkind" "unobtrusive" "urgent" "vain" "violent" "willing" "wise"
"close" 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 3 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 1 1 3 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0
"cold" 1 4 1 3 0 1 0 1 3 2 1 0 1 0 3 0 1 1 1 1 0 1 5 3 2 1 0 0 0 1 1 2 1 8 1 0 2 1 0 2 1 7 0 3 1 0 0 0 0 3 2 1 1 0 2 1 2 0 1 0 4 2 1 0 4 0 8 2 1 1 0 1 3 2 2 1 2 0 1 0 2 0 1 1 2 2 3 2 1 4 2 1 0 0 1 0 1 5 1 1 2 5 0 0 0 0 2 3 2 2 2 1 0 1 4 0 1
"compassionate" 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 4 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
"confident" 0 1 0 2 1 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 2 2 0 2 0 2 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0
"constant" 4 1 0 1 0 1 1 5 2 2 0 3 0 0 0 0 0 0 3 0 0 2 0 4 4 1 0 0 1 3 2 1 1 7 1 0 2 0 1 1 0 3 1 2 2 0 0 3 3 2 4 3 2 1 2 0 2 1 1 0 3 0 0 0 5 0 8 1 0 1 2 3 3 1 2 1 2 0 0 1 1 0 2 3 1 3 4 1 1 5 4 3 0 0 0 0 1 5 0 1 0 12 1 1 2 0 3 1 0 3 1 0 0 0 2 1 0
"cruel" 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 3 1 0 1 1 0 1 1 0 0 3 0 0 1 0 0 1 1 0 1 1 0 1 1 1 0 2 0 1 0 0 0 0 0 0 0 0 3 1 0 0 2 0 2 1 0 2 1 0 0 2 0 0 1 0 2 0 0 0 0 0 1 1 1 1 0 3 1 1 0 0 0 0 0 0 0 1 0 2 0 0 0 1 1 1 0 1 0 0 0 1 0 1 0
"delicate" 0 2 0 1 0 0 0 2 0 1 0 1 1 0 0 1 0 0 2 0 0 1 1 1 2 0 1 0 1 0 0 1 0 6 0 0 1 0 1 1 1 2 0 0 0 2 0 0 0 1 1 2 0 0 0 0 1 0 0 1 2 1 0 1 2 0 2 0 1 0 0 0 1 1 0 2 1 1 0 0 0 0 0 1 1 0 0 0 0 3 0 2 0 0 0 1 0 3 0 0 0 5 1 1 0 0 0 0 0 1 0 1 0 0 0 1 0
"dependent" 0 2 0 1 1 1 1 3 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 2 1 0 0 0 0 0 0 0 0 3 2 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
"determined" 1 1 2 3 0 1 0 3 1 1 0 1 0 0 3 0 2 0 0 1 0 1 3 0 2 0 1 0 0 2 2 1 1 2 0 0 1 0 1 3 3 1 1 1 1 1 0 0 0 0 1 1 0 0 2 1 0 0 2 0 1 0 0 1 6 0 3 3 1 1 1 2 0 0 1 1 1 1 0 0 1 0 0 2 2 2 1 0 0 5 1 2 1 1 0 1 0 5 1 1 0 9 1 4 0 0 0 0 0 2 0 1 0 1 1 2 0
"dignified" 1 2 0 2 0 0 0 2 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 1 1 0 0 0 2 0 0 0
"direct" 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 2 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"domestic" 0 2 0 1 0 0 0 2 1 0 0 1 1 0 2 0 1 0 1 0 0 0 1 1 0 0 0 0 1 1 0 0 1 2 0 0 1 0 0 0 1 2 0 0 0 1 0 1 0 1 0 1 0 0 0 0 2 1 1 1 2 0 1 0 3 0 4 0 0 0 1 2 1 1 1 1 1 0 0 0 0 0 0 1 1 1 0 0 0 2 2 2 0 0 0 0 0 2 0 0 0 2 1 0 0 0 2 0 0 0 0 1 0 0 1 0 0
"eager" 0 4 2 0 1 1 0 3 1 1 1 5 0 0 0 0 1 1 3 0 1 1 0 1 4 0 2 0 0 2 2 0 2 6 1 1 0 1 0 2 2 2 0 1 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 2 2 0 1 6 2 4 2 0 2 1 1 0 1 1 0 1 0 1 1 1 0 0 1 5 1 3 1 1 5 2 0 1 2 0 1 1 5 0 1 3 6 1 1 0 0 3 3 0 2 1 1 0 0 2 2 0
"earnest" 2 0 2 2 0 1 0 1 2 1 1 3 0 0 4 3 1 0 0 0 0 1 1 0 4 0 2 1 0 2 1 1 1 11 0 0 1 1 0 2 3 5 1 1 0 2 1 1 2 2 2 2 1 0 1 1 3 0 5 0 8 1 1 0 3 2 5 1 0 1 2 0 1 1 2 0 2 0 3 0 0 0 3 2 2 4 6 3 1 6 3 3 0 0 1 1 1 6 1 2 1 10 1 0 0 1 2 1 1 5 1 0 1 0 2 1 1
"easy" 2 1 1 2 1 0 1 2 3 2 0 2 1 2 4 1 2 1 2 0 0 0 4 4 0 0 1 0 1 2 2 1 1 6 0 0 0 1 0 1 2 3 0 1 1 1 0 2 1 1 3 0 1 0 0 1 1 0 2 1 4 2 0 1 2 0 2 0 0 1 0 1 0 0 1 0 5 0 0 1 0 0 2 2 3 1 3 1 1 4 1 2 1 1 1 2 2 4 0 2 1 10 0 2 1 0 1 0 0 3 1 0 1 0 2 2 0
"expressive" 0 1 0 1 0 0 0 2 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 0 0 2 0 2 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0
"fearful" 1 1 1 3 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 0 0 2 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 4 1 0 0 0 1 1 1 0 2 0 0 2 0 1 0 0 0 0 0 2 0 0 0 0 3 0 0 0 0 0 1 1 1 0 1 1 2 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0
"fervent" 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 2 0 2 1 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0
"frank" 0 1 0 0 0 0 1 2 0 1 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 2 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 2 0 1 0 0 0 0 0 1 0 0 1 2 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0
"free" 2 0 1 1 0 0 0 2 1 1 0 1 0 1 3 1 0 0 2 0 0 1 2 2 2 0 0 0 0 0 4 0 0 2 0 0 0 0 0 2 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 3 1 2 1 0 1 1 0 0 0 2 1 1 0 0 0 0 0 1 2 1 0 0 0 0 2 2 2 0 1 0 0 0 1 0 0 0 3 0 1 0 0 1 2 0 2 0 0 0 0 1 0 0
"fresh" 1 2 1 3 1 0 0 2 2 0 1 1 1 2 2 1 0 0 2 0 0 0 2 1 2 1 0 1 0 4 0 0 0 3 0 0 0 0 0 3 0 0 0 4 1 2 0 0 0 1 1 1 1 0 0 1 1 0 3 0 1 0 0 0 5 3 2 1 1 2 1 1 0 1 2 1 1 0 0 0 0 0 0 4 2 1 1 1 0 4 1 2 1 1 1 1 2 2 0 3 1 6 0 1 1 0 2 3 0 3 0 0 1 0 0 0 0
"friendly" 1 0 1 2 0 0 0 1 0 2 0 2 0 0 1 0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 1 2 0 1 1 1 1 0 1 0 0 0 1 0 0 0 1 0 0 2 0 0 0 2 0 3 0 1 0 2 0 3 2 1 0 0 1 1 1 0 0 2 2 0 0 1 1 0 1 0 0 1 0 0 2 4 0 1 0 0 0 0 1 0 1 1 3 1 1 0 1 1 1 0 0 0 1 0 0 2 0 2
"gay" 0 1 0 0 0 0 0 3 2 0 0 1 0 0 1 0 0 0 1 0 0 1 2 1 1 0 0 0 0 0 0 0 0 3 0 0 0 1 0 1 3 1 0 1 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 2 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 2 0 1 4 1 0 0 0 0 0 0 1 0 0 0 5 1 0 1 0 1 0 0 2 0 0 0 0 0 0 0
"general" 1 5 2 3 1 2 1 8 4 2 2 8 1 0 7 3 6 1 2 0 0 2 6 11 6 1 1 0 2 2 3 1 3 0 3 1 2 2 0 2 6 7 1 5 1 3 0 3 1 3 5 3 1 2 3 0 7 0 7 2 10 3 1 1 10 5 16 2 0 2 2 2 4 7 3 2 3 1 1 1 3 1 2 4 4 4 8 3 1 12 3 2 0 1 1 1 1 8 1 4 1 18 5 0 2 0 6 5 1 7 2 1 1 1 3 2 0
"generous" 0 2 1 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 3 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 1 4 1 0 0 0 1 1 1 0 0 1 0 0 1 1 0 1 0 0 1 2 0 0 0 1 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 2 0 0 0 0 0 1 1 0 0
"genteel" 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 2 0 0 0 0 0 1 1 0 1
"gentle" 1 1 0 1 0 0 0 1 0 2 0 2 2 0 2 1 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0 2 0 2 0 1 0 0 1 0 2 0 0 1 2 0 0 1 1 0 2 1 0 1 0 0 1 1 0 0 3 0 1 0 2 0 2 0 1 1 0 0 1 2 0 0 0 1 0 0 0 1 0 1 1 2 1 1 0 3 1 0 0 0 0 0 0 2 1 0 0 5 2 1 0 0 1 0 2 1 0 1 0 1 1 0 1
"graceful" 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 2 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
"gracious" 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 3 1 1 0 0 1 0 0 0 1 1 0 0 0 0 0
"grateful" 2 1 1 0 0 0 0 2 1 0 1 2 0 0 1 1 1 0 3 0 1 0 2 2 1 0 0 0 0 2 3 1 1 2 0 0 0 0 0 0 0 0 0 1 2 2 0 1 0 0 0 0 0 0 2 0 0 0 2 0 3 1 0 0 3 0 4 1 0 1 0 0 1 0 1 1 1 1 0 0 0 0 0 2 0 0 1 0 0 4 3 3 1 0 0 0 0 3 0 0 3 7 1 1 0 1 0 0 0 4 0 0 1 0 0 0 0
"grave" 1 1 0 2 0 1 0 5 2 0 0 1 0 0 0 1 1 0 3 0 0 1 2 3 2 0 0 0 0 0 0 1 3 6 0 0 2 1 1 0 0 2 0 0 0 0 0 2 1 1 0 1 0 0 0 1 1 0 1 0 1 0 1 0 1 1 3 1 1 1 0 0 0 2 0 0 0 1 2 0 1 0 1 0 0 2 3 2 1 4 2 0 0 0 2 0 0 2 0 1 0 6 2 1 0 0 1 0 0 0 0 1 1 0 2 1 0
"handsome" 2 3 2 1 0 1 0 0 2 3 1 7 0 0 3 0 2 0 1 0 0 2 2 5 3 0 1 0 1 1 0 1 1 7 0 0 0 2 0 0 2 0 0 1 0 0 0 1 0 3 1 1 0 0 1 0 0 1 2 0 3 2 2 0 3 2 9 2 1 0 0 0 1 2 1 1 0 1 0 0 2 0 2 0 2 2 0 1 1 6 0 1 0 0 0 0 1 3 0 1 0 11 2 1 0 1 0 0 0 2 3 1 1 0 2 0 2
"hasty" 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 2 0 0 0 3 1 1 1 0 0 1 0 1 0 0 1 0 0 1 1 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 3 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0
"heavy" 0 3 2 2 2 0 0 1 3 0 0 3 1 2 2 1 0 1 1 1 1 0 1 1 1 1 0 2 1 1 4 1 1 5 2 1 1 1 0 1 0 1 0 0 1 2 1 1 0 0 2 1 1 0 3 1 0 0 2 0 2 0 0 0 5 4 4 3 0 1 0 0 1 1 2 0 1 1 1 1 1 0 0 2 2 0 3 0 0 5 3 1 1 0 1 0 2 3 0 3 0 3 0 0 1 0 1 3 1 1 0 0 2 4 2 1 0
"honest" 0 2 0 1 0 0 0 2 1 0 1 1 1 0 2 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 2 0 0 2 0 0 0 1 0 0 0 1 0 0 1 0 0 1 2 0 0 0 1 0 2 0 0 0 2 0 4 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 3 0 1 0 0 0 0 0 0 1 0 2 3 1 0 0 0 0 0 1 3 0 0 0 2 0 0 0
"hopeless" 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 2 0 1 0 0 1 0 2 1 0 0 1 0 0 2 0 1 3 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 0 1 0 0 0 2 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 2 1 0 0 0 1 2 0 1 0 2 0 0 0 0 2 1 0 3 0 0 0 0 0 0 0
"hurried" 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0
"impatient" 1 2 0 0 0 1 0 3 2 1 0 0 0 1 3 1 0 0 0 0 0 1 0 1 2 0 0 0 0 1 0 1 1 3 0 0 1 0 0 1 2 1 0 1 1 0 1 0 1 0 1 1 0 0 1 0 0 1 3 0 2 0 0 0 1 0 4 0 0 1 0 0 0 2 1 0 2 1 1 0 0 0 0 0 0 0 2 1 0 3 3 0 1 0 0 0 0 0 0 0 0 3 0 0 1 1 0 0 0 1 0 1 0 0 3 0 0
"impertinent" 1 0 0 0 0 1 1 1 0 2 0 0 0 0 3 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 2 0 0 0 1 0 2 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 1 1 0 0 0 0 0 0 2 0 0 0 3 0 0 1 0 2 0 0 0 0 0 0 0 1 0 0
"independent" 0 2 0 0 0 0 0 2 2 1 0 3 0 0 2 2 1 0 0 0 0 1 0 2 1 1 1 0 0 0 1 0 1 3 0 0 0 0 0 0 1 3 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 3 0 1 0 3 0 2 0 0 0 1 1 0 2 0 1 1 0 1 0 0 0 1 0 1 1 0 1 0 3 1 0 0 0 0 1 1 1 0 1 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"indifferent" 2 2 0 1 2 1 0 3 1 0 0 2 0 1 4 0 1 1 1 0 0 0 1 2 3 0 0 0 0 0 1 0 1 5 0 0 2 0 0 0 0 1 0 2 1 1 1 1 0 0 0 0 0 1 1 0 1 0 2 1 2 0 0 0 2 0 5 0 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 1 0 1 2 0 0 3 1 0 0 0 0 0 1 2 1 2 1 8 1 0 1 0 0 0 1 2 0 0 1 0 1 1 0
"intimate" 0 1 1 3 0 0 0 4 1 0 0 1 0 0 3 1 2 0 1 0 1 1 0 2 0 1 0 0 0 1 1 1 0 3 1 0 1 0 2 0 1 1 0 1 0 1 0 1 0 1 0 0 1 2 1 0 1 0 2 1 1 0 0 0 1 1 5 1 2 1 2 1 1 1 1 0 3 1 0 0 0 0 0 2 1 0 3 0 1 1 3 2 0 0 0 0 0 3 0 0 0 6 0 1 0 0 4 1 0 0 0 1 0 0 1 0 0
"invariable" 0 1 0 0 0 1 1 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 1 1 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 3 0 0 2 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0
