"active" "affectionate" "awkward" "bashful" "bitter" "boisterous" "bold" "brave" "brisk" "busy" "calm" "careful" "careless" "certain" "cheerful" "christian" "clean" "close" "cold" "complimentary" "considerate" "constant" "cool" "cordial" "cruel" "curious" "delicate" "determined" "direct" "domestic" "dutiful" "eager" "earnest" "easy" "exact" "expressive" "facetious" "faithful" "familiar" "fast" "fearful" "fierce" "fiery" "firm" "frank" "free" "fresh" "friendly" "gallant" "general" "generous" "genteel" "gentle" "gentlemanly" "giddy" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "hearty" "heavy" "honest" "hopeful" "hopeless" "humble" "hurried" "impatient" "independent" "indifferent" "intense" "jealous" "keen" "kind" "literary" "lively" "lofty" "lonely" "loud" "malicious" "melancholy" "merry" "mild" "military" "moderate" "modest" "natural" "neat" "nervous" "noisy" "open" "original" "particular" "peaceful" "pecksniffian" "pious" "placid" "playful" "pleasant" "polite" "practical" "proud" "prudent" "punctual" "quick" "quiet" "rapid" "reasonable" "restless" "rough" "rusty" "sad" "sanguine" "second" "selfish" "sensible" "serious" "severe" "shrewd" "shy" "silent" "simple" "slow" "smooth" "sober" "social" "soft" "solemn" "sorrowful" "spiritual" "stable" "stealthy" "stern" "stiff" "straight" "strong" "sudden" "sufficient" "sure" "surly" "sweet" "talkative" "tearful" "tender" "thankful" "thoughtful" "tight" "timid" "true" "ugly" "unhappy" "unmindful" "vague" "vain" "violent" "virtuous" "watchful" "weak" "worldly" "wise" "willing" "zealous"
"calm" 1 1 0 0 0 2 1 0 0 1 0 0 1 5 1 0 0 0 0 0 0 0 4 0 0 0 0 0 1 1 0 0 1 1 0 1 0 1 0 0 1 0 0 2 0 2 3 0 1 4 1 0 2 0 0 1 0 0 3 0 2 1 0 0 1 0 0 0 0 1 3 1 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 4 0 1 1 0 0 1 1 4 0 0 3 1 0 0 3 0 0 1 2 0 1 0 2 1 0 1 1 0 0 0 2 1 0 0 1 2 0 0 0 0 0 1 1 0 4 1 1 1 0 1 0 0 0 0 3 0 1 2 1 1 1 0 0 0 1 0 0 0 0 0 0
"careful" 1 1 1 0 0 1 2 0 0 2 0 0 0 7 3 0 0 1 2 0 0 1 1 0 0 1 0 2 0 0 0 1 0 3 1 0 1 0 2 1 0 0 0 0 0 1 3 3 0 4 1 0 3 0 0 1 1 2 1 1 0 2 0 0 1 0 0 1 0 0 1 2 0 0 0 0 0 4 0 1 2 1 0 0 0 0 0 1 4 3 2 0 3 0 2 0 0 0 0 0 3 1 0 2 0 0 1 1 1 1 0 0 0 1 0 1 1 0 2 0 2 0 2 2 0 0 0 0 1 0 0 0 0 0 0 0 0 2 2 1 3 0 4 1 1 0 1 2 1 0 2 1 0 0 0 1 1 1 1 0 1 0 0 1
"careless" 0 0 0 0 1 0 0 0 0 1 1 0 0 5 0 0 0 2 1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 2 0 0 0 3 2 1 0 0 0 1 0 2 0 3 0 2 1 0 1 0 1 1 0 3 2 0 2 0 0 0 1 0 0 1 0 0 1 3 0 0 0 2 0 2 0 0 0 0 1 0 0 1 0 0 5 0 0 0 4 0 2 0 0 1 1 1 1 0 0 2 1 0 2 3 0 1 0 3 0 0 0 1 2 1 1 0 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 2 1 0 9 0 2 1 0 0 1 1 0 0 4 0 0 0 1 0 0 0 0 0 0 0 0 0
"certain" 4 7 1 1 2 2 10 2 3 7 5 7 5 0 17 3 2 10 12 2 3 6 6 4 5 6 7 3 5 5 2 2 6 18 5 6 1 3 8 3 2 2 3 2 2 14 6 8 3 21 4 3 11 3 2 7 2 8 11 8 6 7 0 9 10 3 3 2 2 3 4 7 1 3 3 11 2 8 3 1 10 3 12 6 4 3 3 3 16 1 1 4 14 4 26 3 0 2 1 1 21 5 3 11 1 0 9 15 3 4 2 7 2 2 1 11 2 5 10 3 5 2 11 8 8 3 3 5 4 11 2 0 0 1 5 1 4 29 8 2 37 1 11 3 3 1 2 9 6 2 20 7 2 1 3 2 6 3 3 6 1 3 1 0
"cheerful" 1 1 1 1 2 0 4 0 3 5 1 3 0 17 0 0 4 4 4 0 2 2 1 1 2 4 1 0 1 2 0 1 1 4 0 1 1 0 0 1 0 0 1 0 1 5 5 4 3 7 1 3 8 1 0 3 2 0 8 3 0 2 2 3 4 1 1 1 1 0 2 1 2 1 1 1 0 7 1 0 4 0 8 4 2 1 1 1 4 3 1 1 6 0 6 1 0 1 1 0 13 0 0 4 0 2 6 7 4 1 1 2 0 1 1 5 1 1 5 0 0 3 6 2 7 1 0 2 0 3 1 0 0 0 3 0 1 9 5 1 10 1 1 1 1 1 0 4 0 2 10 4 3 1 0 2 0 0 1 1 1 0 1 0
"christian" 0 2 1 0 1 0 3 0 0 0 0 0 0 3 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 1 1 1 2 0 0 1 0 1 0 1 3 0 0 3 0 0 1 0 0 0 0 1 0 1 0 1 1 0 0 1 0 0 0 2 0 0 0
"clean" 0 1 1 1 0 0 0 0 0 1 0 0 0 2 4 0 0 1 1 0 0 0 0 0 1 1 0 0 0 1 1 1 0 4 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 2 0 2 2 1 1 2 2 0 1 2 0 0 0 1 1 1 0 1 1 0 0 1 0 0 0 0 1 1 1 0 3 0 1 1 1 0 0 0 1 0 0 0 3 0 3 0 0 1 0 0 2 0 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 1 1 0 6 3 1 1 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
"close" 3 0 0 0 0 0 3 0 0 5 0 1 2 10 4 0 1 0 5 0 0 1 2 0 0 5 3 2 2 0 1 0 1 7 2 0 0 0 4 0 0 1 1 0 0 3 3 3 1 10 1 2 5 1 0 4 1 5 1 0 2 2 2 2 3 0 3 1 0 1 1 3 2 0 0 3 0 4 4 2 3 2 4 1 3 0 0 0 6 1 1 2 11 0 10 1 2 3 1 2 9 3 0 2 0 0 6 5 0 1 2 1 2 2 1 6 2 1 0 1 2 2 5 1 1 2 1 0 2 5 0 0 3 3 0 0 1 8 1 2 9 2 4 0 0 2 0 3 2 1 8 2 0 1 2 0 1 0 1 4 1 2 1 0
"cold" 0 0 3 1 4 1 3 1 4 2 0 2 1 12 4 1 1 5 0 0 2 1 2 3 0 7 5 0 0 1 3 2 4 9 1 0 0 1 4 1 1 0 2 0 0 7 6 4 1 9 1 1 6 0 2 4 1 3 6 4 4 2 2 9 3 2 0 5 3 0 3 1 3 0 2 9 0 3 1 3 5 1 6 1 3 1 0 4 7 2 3 2 8 1 7 2 1 1 0 0 7 2 1 0 1 1 8 12 2 2 1 2 0 2 2 3 3 1 3 1 1 2 11 7 6 1 0 2 2 4 2 1 3 2 1 0 0 11 4 2 17 3 4 0 1 2 2 3 2 1 7 2 0 1 2 2 3 1 2 2 3 2 0 1
"complimentary" 0 0 1 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 2 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 3 0 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 1 0 0
"considerate" 0 0 0 1 0 0 3 1 0 0 0 0 0 3 2 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 1 1 2 0 0 0 0 1 0 1 0 0 0 1 0 2 1 0 0 0 1 1 1 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 2 1 0 0 0 0 2 3 1 0 0 1 0 0 2 0 1 0 0 0 0 0 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 5 0 1 0 0 0 0 0 0 0 4 0 1 0 0 0 0 0 0 0 0 0 1 1
"constant" 1 2 0 0 0 0 3 0 0 1 0 1 0 6 2 1 0 1 1 0 0 0 2 0 0 1 0 0 1 4 0 0 1 2 1 1 0 0 1 1 2 1 0 1 1 2 1 1 0 4 0 1 3 0 0 0 0 3 2 0 1 0 0 1 0 0 0 4 0 0 0 0 0 0 1 0 0 2 1 1 1 1 1 0 0 0 0 1 5 0 1 0 5 1 4 0 0 0 0 1 2 1 2 4 1 1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 2 1 1 0 1 1 0 3 0 0 0 1 0 0 0 5 1 1 8 0 2 0 1 2 0 2 2 0 2 0 0 2 0 1 3 1 0 1 3 0 1 1
"cool" 1 0 0 0 1 2 1 0 0 1 4 1 1 6 1 0 0 2 2 0 0 2 0 0 0 0 3 0 1 3 0 0 2 2 1 1 0 0 2 2 2 0 0 0 0 1 3 1 2 2 0 0 2 1 0 0 0 1 3 2 4 3 0 3 2 0 0 1 0 0 1 2 1 0 1 2 1 2 0 0 0 0 2 1 2 0 0 0 5 0 2 2 6 0 5 0 0 1 1 1 4 0 0 2 0 0 0 3 1 1 0 2 0 1 0 3 1 0 1 0 0 1 4 2 2 0 0 1 1 1 1 0 0 1 0 0 0 3 0 2 4 0 3 1 0 1 0 3 0 1 5 1 0 0 0 0 2 0 0 2 0 0 0 1
"cordial" 0 1 0 1 0 0 0 1 0 0 0 0 0 4 1 0 0 0 3 0 1 0 0 0 0 0 1 0 0 1 2 0 1 1 0 0 0 1 0 0 0 0 0 0 1 2 1 2 0 1 0 0 2 0 0 1 0 1 3 1 0 3 0 0 3 0 0 1 0 0 0 0 0 0 0 4 0 1 0 0 0 0 0 1 0 0 1 1 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 1 0 1 1 1 1 1 0 0 5 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 4 0 2 0 0 1 0 1 0 0 3 0 1 0 1 0 0 0 0 0 0 1 1 0
"cruel" 1 1 0 1 1 1 1 1 1 1 0 0 0 5 2 0 1 0 0 2 0 0 0 0 0 3 2 0 0 0 0 1 1 2 0 2 0 1 1 0 0 1 0 1 1 4 2 0 0 4 0 0 2 1 1 0 1 3 3 0 0 0 0 2 2 0 1 4 2 0 0 0 0 2 0 1 0 2 1 0 2 0 2 0 2 0 0 0 4 0 0 1 2 0 3 0 1 2 2 2 4 0 1 1 1 2 2 3 1 0 0 1 0 1 0 1 0 0 2 3 0 0 2 2 0 1 1 0 1 1 0 0 1 0 2 1 1 6 1 0 8 1 3 0 0 1 0 1 1 1 5 0 2 0 1 2 1 1 1 1 0 1 1 0
"curious" 1 2 2 1 1 1 1 1 1 3 0 1 1 6 4 0 1 5 7 1 1 1 0 0 3 0 1 1 1 0 1 1 1 5 1 0 0 2 1 0 0 0 2 0 1 1 4 2 0 7 0 2 3 0 2 1 0 2 2 1 0 0 0 5 5 0 1 1 2 0 2 1 1 1 1 3 0 2 1 1 2 1 4 1 3 1 0 2 3 1 1 3 6 1 5 0 0 1 1 1 6 2 1 2 1 1 3 3 0 1 1 1 1 1 1 2 2 0 3 2 1 0 7 2 1 1 1 0 1 3 0 1 1 0 0 1 1 7 2 1 8 1 4 0 0 2 0 1 2 1 7 1 2 1 1 2 2 0 2 0 1 2 1 1
"delicate" 0 2 0 1 2 0 1 0 2 1 0 0 1 7 1 0 0 3 5 0 0 0 3 1 2 1 0 0 0 1 1 0 1 5 2 1 0 1 3 2 0 1 2 1 0 1 5 2 0 6 1 2 4 0 0 1 2 2 1 0 3 1 1 1 2 1 1 3 0 1 1 2 0 1 0 4 0 4 0 1 3 0 1 0 2 0 0 1 7 2 0 1 6 1 8 1 0 2 1 0 5 0 0 2 1 1 1 4 0 0 1 2 1 2 0 5 2 0 1 1 0 0 2 2 2 1 2 0 2 3 0 0 0 0 0 0 1 5 0 2 12 0 5 0 0 2 1 0 1 3 4 1 1 1 1 0 0 0 0 2 0 2 0 0
"determined" 0 0 0 0 0 0 1 0 0 1 0 2 1 3 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 1 0 0 2 0 0 2 0 0 1 0 0 1 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 1 1 2 1 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 3 0 1 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1
"direct" 0 0 0 1 0 1 0 1 0 0 1 0 1 5 1 0 0 2 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 1 1 1 7 0 0 1 0 0 1 0 2 0 1 1 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 2 2 1 2 0 1 0 0 1 0 1 0 2 0 0 0 0 0 0 1 1 1 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 3 0 1 2 0 0 0 0 0 0 2 0 0 3 0 0 1 1 0 0 0 0 0 2 0 0 0
"domestic" 0 0 0 0 0 1 2 0 1 4 1 0 1 5 2 1 1 0 1 0 0 4 3 1 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 2 0 1 1 0 1 4 1 0 0 6 1 1 3 0 0 3 0 2 2 1 3 0 1 2 2 0 0 2 0 1 0 1 0 0 1 4 0 2 0 1 2 0 0 1 0 0 1 0 4 0 1 0 5 0 3 2 0 1 2 3 2 1 2 1 1 1 0 3 0 1 1 1 1 0 1 2 3 1 2 1 1 0 1 0 3 0 1 5 1 0 0 1 0 0 0 0 0 9 1 2 7 0 1 1 0 1 1 4 0 1 3 0 1 2 1 2 1 1 0 3 3 1 0 1
"dutiful" 0 0 0 1 1 0 0 1 0 1 0 0 0 2 0 0 1 1 3 0 0 0 0 2 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 1 0 0 1 1 1 0 3 0 0 0 0 1 0 0 1 2 0 0 1 0 1 4 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 2 1 1 0 0 1 0 0 0 0 0 0 0 0 0 2 1 0 2 1 3 0 0 2 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0
"eager" 0 0 1 0 0 1 0 0 1 1 0 1 1 2 1 0 1 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 1 2 1 0 0 0 1 0 0 1 0 0 0 2 1 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 3 2 1 0 0 0 1 0 0 0 0 0 2 0 2 0 0 1 0 0 2 0 0 0 0 2 1 0 0 0 0 2 0 1 0 0 0 2 1 0 1 0 1 0 1 1 0 0 0 0 0 1 1 1 0 2 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 2 2 0 3 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
"earnest" 1 1 2 0 0 0 0 0 1 1 1 0 1 6 1 0 0 1 4 1 0 1 2 1 1 1 1 0 0 1 1 1 0 4 1 2 0 1 0 0 0 1 2 2 1 2 2 0 0 1 0 0 6 0 1 2 0 3 2 2 1 2 0 1 1 2 0 0 1 1 0 1 1 1 0 6 1 2 1 0 1 0 2 0 0 1 0 1 1 0 0 0 6 0 0 0 1 0 1 1 3 1 0 1 0 0 0 3 1 0 0 1 0 0 1 0 1 2 1 0 1 0 4 1 0 1 3 1 0 0 1 1 0 1 1 0 1 5 2 0 8 0 5 2 0 1 1 1 1 0 5 0 0 0 0 2 0 0 0 2 1 0 0 0
"easy" 2 2 1 1 0 0 7 2 3 2 1 3 2 18 4 1 4 7 9 0 1 2 2 1 2 5 5 2 0 1 1 2 4 0 0 1 1 1 3 2 2 3 1 4 2 7 4 6 0 12 0 2 5 2 2 4 3 4 8 2 5 2 2 10 7 3 1 1 3 1 3 5 0 2 4 7 2 3 4 0 3 1 9 1 7 1 2 1 7 2 3 0 15 4 13 1 2 2 1 2 9 2 0 7 2 0 2 13 0 2 2 3 1 2 2 8 1 1 3 1 0 0 10 3 3 1 1 2 4 4 1 3 3 1 1 2 4 18 5 2 22 2 3 1 3 5 3 2 3 1 14 1 6 1 0 0 0 2 1 4 0 2 2 3
"exact" 0 0 1 0 0 1 0 0 0 0 0 1 0 5 0 0 0 2 1 0 0 1 1 0 0 1 2 0 1 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 1 1 0 0 1 2 0 1 0 0 1 0 1 0 0 0 0 0 1 1 0 0 3 1 4 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 2 0 1 2 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 2 0 3 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 1 0 0 0
"expressive" 0 1 0 0 0 1 0 0 0 1 1 0 0 6 1 0 0 0 0 1 0 1 1 0 2 0 1 0 0 0 0 0 2 1 1 0 0 1 1 0 0 0 0 1 0 0 1 0 0 2 0 0 2 0 0 0 0 1 1 2 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 4 0 3 0 0 1 0 0 3 0 0 1 0 0 0 0 0 1 0 0 0 1 0 2 0 1 2 0 0 0 1 2 1 0 1 1 0 3 0 0 0 1 0 0 0 3 1 2 3 0 1 1 0 0 1 1 1 0 0 2 0 2 0 0 1 1 0 1 0 0 0 0
"facetious" 0 0 0 1 1 0 0 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 1 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 2 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 3 0 1 0 0 0 1 1 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0
