"affectionate" "bashful" "bold" "boyish" "busy" "calm" "careful" "certain" "cheerful" "clean" "close" "cold" "compassionate" "confident" "confidential" "constant" "cordial" "cruel" "curious" "delicate" "determined" "domestic" "earnest" "easy" "expressive" "faithful" "familiar" "fierce" "free" "fresh" "friendly" "gay" "general" "generous" "genteel" "gentle" "giddy" "gloomy" "gracious" "grateful" "grave" "handsome" "hearty" "heavy" "honest" "hopeful" "humble" "hurried" "immovable" "indifferent" "jealous" "kind" "lazy" "lively" "lonely" "loving" "melancholy" "merry" "mild" "modest" "natural" "neat" "nervous" "open" "orderly" "original" "particular" "passionate" "patient" "placid" "pleasant" "polite" "practical" "proud" "quick" "quiet" "reproachful" "respectful" "restless" "romantic" "rough" "rusty" "sad" "second" "selfish" "sensible" "sensitive" "serious" "severe" "silent" "simple" "slow" "smooth" "sober" "soft" "solemn" "sorrowful" "steady" "stern" "stiff" "stormy" "strong" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "thoughtful" "timid" "true" "ugly" "uncertain" "unhappy" "vague" "vain" "violent" "weak" "willing" "wise" "worldly"
"determined" 2 0 1 0 1 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 2 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 0 2 2 0 0 0 0 0 1 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 3 0 0 2 0 0 0 0 1 3 1 1 2 0 1 0 0 0 1 0
"domestic" 4 1 0 0 3 2 0 6 2 0 1 3 0 0 5 1 0 3 2 1 0 0 3 1 0 0 3 0 2 1 3 1 4 0 2 0 0 1 1 2 0 1 2 1 2 1 0 1 0 1 0 2 1 0 0 1 2 0 1 2 4 3 0 5 0 1 2 0 2 0 1 0 2 2 0 4 2 1 0 0 1 0 1 2 3 2 2 5 2 2 0 2 1 2 0 1 1 0 0 2 0 7 1 2 12 5 2 1 1 0 2 1 0 5 0 0 1 0 2 1 1
"earnest" 5 0 3 1 1 1 0 6 4 0 0 2 1 2 3 1 3 4 0 0 1 3 0 3 1 1 4 0 4 3 2 2 7 3 0 4 0 0 1 2 2 3 0 2 1 1 0 0 2 3 0 4 2 0 0 0 1 0 2 4 5 0 1 1 0 0 3 0 1 1 5 0 2 4 3 6 1 1 1 0 3 0 2 3 2 2 1 3 1 3 3 3 0 0 2 1 1 1 0 1 0 8 3 0 15 4 4 2 2 2 5 1 0 4 1 0 1 0 0 0 0
"easy" 0 2 1 0 5 2 1 3 3 2 5 2 0 1 0 0 2 2 1 1 0 1 3 0 1 2 4 1 1 3 0 2 6 1 2 2 0 2 4 0 4 5 4 8 3 1 0 0 1 2 0 5 0 0 0 1 0 1 3 0 6 1 1 7 1 0 2 1 0 0 4 0 1 3 0 4 0 1 0 1 2 1 1 1 1 2 1 2 2 3 2 3 2 1 2 2 3 2 2 0 2 3 3 3 14 3 2 1 0 1 2 0 1 2 2 1 0 3 2 0 0
"expressive" 0 0 0 0 1 2 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 1 1 1 0 0 2 1 1 0 1 2 1 0 2 2 1 0 0 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0 4 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 3 0 0 2 0 3 1 0 1 3 0 2 0 0 1 1 0 0 1 0 0 4 0 1 4 0 1 0 0 2 2 1 0 1 1 0 1 2 0 0 1
"faithful" 0 0 2 0 0 0 1 5 1 0 0 0 1 0 0 1 0 1 1 1 0 0 1 2 1 0 1 1 1 1 1 0 3 1 0 3 0 0 1 2 1 0 0 2 0 0 1 1 0 1 1 2 0 0 2 0 0 1 1 2 3 1 0 3 0 1 0 1 0 0 1 0 0 1 1 4 0 1 2 0 1 0 1 3 0 1 0 3 0 1 2 0 0 0 2 1 1 1 0 0 0 2 0 0 6 1 1 0 0 0 1 0 0 2 1 0 1 2 0 1 0
"familiar" 2 3 3 1 3 5 1 8 5 2 2 2 1 0 3 1 1 1 2 0 0 3 4 4 1 1 0 2 3 2 4 0 6 1 2 3 0 0 1 2 3 4 2 7 1 3 0 0 0 4 0 7 0 3 0 1 0 1 3 0 5 3 1 6 2 1 5 0 0 0 4 0 1 3 4 9 3 1 1 2 2 0 0 2 0 0 1 0 2 3 2 4 2 1 1 2 0 1 1 3 0 7 0 2 16 5 1 2 1 0 3 0 2 3 2 1 2 1 0 0 1
"fierce" 0 0 1 0 2 0 1 3 0 0 2 1 0 0 0 0 1 1 2 1 0 0 0 1 0 1 2 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 1 0 1 0 0 2 1 0 0 1 0 1 0 2 2 0 1 0 0 0 1 0 2 0 1 0 1 0 1 0 0 0 1 0 1 0 3 0 1 0 4 2 1 3 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0
"free" 1 1 2 0 4 0 1 4 2 0 3 4 0 2 1 2 0 2 1 0 1 2 4 1 0 1 3 0 0 5 1 0 5 3 0 2 0 2 1 3 1 1 0 5 2 1 2 1 1 1 1 5 2 1 1 0 3 0 0 0 5 2 1 5 0 0 4 2 0 1 4 0 1 1 1 5 0 2 2 1 3 1 2 4 0 1 0 1 0 3 1 3 1 0 1 1 1 0 0 2 0 6 2 1 9 1 1 2 2 0 6 2 2 3 0 1 1 3 1 0 0
"fresh" 2 4 2 0 0 1 1 2 7 1 3 3 0 2 0 0 1 1 3 1 1 1 3 3 0 1 2 0 5 0 0 0 5 0 2 3 0 1 0 1 0 3 1 4 2 0 0 1 0 2 3 1 1 2 0 1 2 1 0 1 9 1 1 6 1 3 4 1 0 0 3 0 0 3 2 7 1 0 1 0 0 0 1 4 0 3 2 1 0 2 1 1 0 1 3 0 1 1 0 2 1 2 2 2 9 2 0 0 1 1 4 1 1 4 0 1 0 3 0 1 0
"friendly" 1 0 2 1 1 3 1 9 2 1 3 3 1 1 2 0 1 2 3 1 0 3 2 0 1 1 4 0 1 0 0 1 7 0 3 4 0 1 0 2 3 1 2 5 0 3 2 1 1 1 1 6 0 0 1 1 1 1 3 1 5 0 0 8 0 1 5 0 0 0 7 0 0 3 4 4 1 1 0 0 3 0 0 3 2 1 1 1 1 2 3 1 1 2 1 1 1 1 1 0 0 6 2 1 11 1 1 3 5 1 2 0 0 0 1 1 1 0 1 1 3
"gay" 0 0 0 0 1 1 0 2 3 0 1 2 0 0 0 1 0 2 1 1 0 1 2 2 1 0 0 0 0 0 1 0 2 1 0 1 0 0 0 0 3 2 1 2 2 1 0 0 0 0 0 1 1 2 0 0 0 1 0 0 4 0 1 2 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 3 1 0 2 0 0 2 0 0 3 0 2 0 0 2 0 1 1 2 0 0 3 1 0 7 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0
"general" 3 0 1 2 4 6 2 21 6 2 4 8 0 0 1 5 2 4 3 4 1 4 7 6 1 3 6 1 5 5 7 2 0 1 7 5 0 1 3 5 2 2 4 5 3 3 0 2 2 3 2 8 1 3 2 4 0 3 5 1 8 5 1 9 1 1 9 0 4 1 10 3 2 6 3 14 1 2 3 2 4 2 3 8 2 6 4 4 1 6 2 5 0 1 4 1 3 3 0 3 1 16 4 1 26 11 3 3 0 1 5 1 0 5 4 2 3 3 2 4 2
"generous" 1 0 2 0 1 1 0 1 0 0 0 0 1 0 1 2 0 3 1 0 0 0 3 1 0 1 1 0 3 0 0 1 1 0 0 1 0 0 0 1 1 3 0 1 1 0 0 0 0 1 0 2 1 0 0 0 0 0 1 0 2 1 0 0 0 0 2 0 1 0 1 0 0 3 0 2 0 0 1 0 2 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 3 1 1 6 1 1 2 0 0 1 0 1 4 1 0 0 1 0 1 1
"genteel" 1 1 0 0 0 2 1 6 1 1 4 0 0 0 1 0 0 0 2 1 0 2 0 2 0 0 2 0 0 2 3 0 7 0 0 0 0 0 1 0 1 3 0 3 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 3 1 1 1 0 1 0 2 1 1 2 3 2 0 2 0 0 0 2 0 1 1 2 1 0 0 0 0 1 0 1 1 0 1 1 0 0 0 3 0 3 5 2 0 1 0 0 2 0 1 1 1 1 0 2 2 0 0
"gentle" 6 0 3 3 0 6 3 7 3 2 1 6 4 1 1 0 3 1 2 2 1 0 4 2 2 3 3 1 2 3 4 1 5 1 0 0 1 2 1 2 3 3 1 3 3 1 3 1 1 3 0 6 1 1 4 3 0 1 1 3 7 2 1 3 0 2 4 1 1 1 5 1 1 3 6 11 2 0 2 1 4 0 2 3 0 3 2 4 1 6 2 1 0 2 5 1 2 0 0 1 1 3 3 2 10 7 4 3 4 3 6 1 3 6 3 0 0 2 0 0 0
"giddy" 0 0 0 1 0 1 1 1 2 1 0 2 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 1 0 0 3 1 0 1 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 1 1 0 0 0 2 1 0 0 0 1 1 1 0 0 0 1 0 0 4 0 1 0 0 3 0 0 0 0 0 0 0 0 1 3 2 0 2 2 1 1 0 0 0 1 1 0 2 0 1 0
"gloomy" 1 0 2 0 1 1 0 2 1 0 2 0 0 0 1 0 1 1 1 0 1 1 0 2 1 0 0 1 2 1 1 0 1 0 0 2 0 0 0 1 2 0 0 3 0 0 0 0 1 0 1 3 0 0 2 0 2 0 0 0 2 0 1 1 0 0 3 1 0 1 1 0 0 1 0 4 0 0 0 0 1 2 2 1 2 0 0 1 1 2 1 0 1 1 0 1 0 1 1 0 1 1 2 0 4 1 0 1 0 0 1 0 0 1 0 1 0 1 1 0 1
"gracious" 1 0 2 0 4 1 0 1 2 0 1 0 1 2 0 0 0 1 1 1 0 1 1 4 0 1 1 1 1 0 0 0 3 0 1 1 0 0 0 0 0 1 0 0 1 1 0 1 2 0 1 2 0 0 2 0 0 1 2 1 4 0 1 6 2 0 0 1 0 1 3 0 0 0 2 1 1 1 1 1 0 1 0 2 0 2 0 1 0 1 1 1 1 0 1 1 0 0 0 2 0 5 2 2 9 3 0 1 0 0 2 0 1 2 0 0 2 0 0 0 0
"grateful" 2 0 3 0 0 1 0 6 1 2 0 2 0 0 0 2 1 1 3 2 0 2 2 0 1 2 2 0 3 1 2 0 5 1 0 2 1 1 0 0 3 0 0 3 0 2 2 1 2 1 0 4 0 1 1 1 0 0 0 1 3 2 0 0 2 2 3 1 2 1 4 0 1 3 0 8 1 0 2 1 3 1 2 2 0 1 0 3 0 3 1 0 0 0 1 0 2 0 0 0 1 1 3 1 9 3 1 2 1 1 4 0 0 1 0 1 2 1 0 3 0
"grave" 3 1 0 3 2 4 1 6 1 0 3 1 1 2 0 0 1 4 1 2 1 0 2 4 2 1 3 0 1 0 3 3 2 1 1 3 0 2 0 3 0 1 1 6 3 4 2 1 2 1 0 3 0 0 0 1 0 0 1 0 5 1 0 4 0 0 5 1 0 2 5 0 1 1 2 8 1 1 1 0 2 1 1 7 0 0 2 4 0 4 2 5 2 0 5 0 2 1 3 1 0 2 3 1 12 2 1 3 2 1 8 1 0 3 1 2 2 5 1 1 0
"handsome" 3 2 2 1 4 3 0 5 2 1 4 2 0 2 2 0 0 1 1 1 1 1 3 5 1 0 4 0 1 3 1 2 2 3 3 3 0 0 1 0 1 0 2 2 2 0 0 0 1 2 0 6 0 2 0 1 0 0 1 1 5 3 1 4 3 0 1 2 0 3 4 0 0 5 1 7 0 0 0 1 5 0 1 1 1 1 0 2 2 3 0 1 3 0 3 0 0 1 2 0 1 5 1 3 13 7 1 2 1 2 3 0 1 2 1 3 0 0 1 0 1
