"acceptable" "accessible" "accurate" "active" "affable" "affectionate" "bashful" "benevolent" "bitter" "bold" "brave" "brisk" "busy" "calm" "careful" "careless" "certain" "cheerful" "civil" "clean" "close" "clumsy" "cold" "confident" "confidential" "considerate" "constant" "conventional" "cool" "cordial" "cruel" "curious" "decided" "delicate" "dependent" "determined" "direct" "dissatisfied" "doleful" "domestic" "dreamy" "eager" "earnest" "easy" "emphatic" "expressive" "faithful" "familiar" "fast" "fearful" "ferocious" "fierce" "firm" "fitful" "frank" "free" "fresh" "friendly" "gallant" "gay" "general" "generous" "genteel" "gentle" "gentlemanly" "giddy" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "haughty" "hearty" "heavy" "honest" "hopeful" "hopeless" "humble" "hurried" "immovable" "impartial" "impatient" "independent" "indifferent" "insolent" "intimate" "irresolute" "jealous" "kind" "laborious" "lively" "lofty" "lonely" "loud" "lucid" "magnanimous" "majestic" "melancholy" "mild" "modest" "musical" "natural" "neat" "negative" "obliging" "observant" "open" "original" "particular" "passionate" "patient" "peaceful" "placid" "pleasant" "polite" "political" "positive" "practical" "precise" "prejudiced" "proud" "prudent" "quick" "quiet" "rapid" "reasonable" "refined" "resentful" "reserved" "responsible" "rigid" "romantic" "rough" "rusty" "sad" "sagacious" "second" "selfish" "sensible" "sensitive" "sentimental" "serious" "severe" "shrewd" "shy" "silent" "simple" "slow" "smooth" "social" "soft" "solemn" "solicitous" "sorrowful" "spirited" "stately" "steady" "steep" "stern" "stiff" "strict" "strong" "submissive" "sudden" "sufficient" "sullen" "sure" "susceptible" "sweet" "tender" "thankful" "thorough" "thoughtful" "tight" "timid" "tough" "treacherous" "true" "ugly" "uncertain" "unhappy" "vague" "vain" "vehement" "violent" "watchful" "weak" "wise" "wishful" "worldly" "womanly" "wry" "wrathful"
"brave" 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1 3 0 1 0 0 0 0 1 1 1 0 1 0 1 0 0 2 2 0 1 0 0 0 1 0 1 0 0 1 0 1 0
"brisk" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 2 0 1 0 0 0 0 0 0 1 1 1 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1
"busy" 0 0 0 2 1 1 1 0 0 0 0 1 0 1 0 0 6 0 0 1 4 1 2 0 0 1 0 0 2 0 1 1 0 4 0 0 0 0 0 1 3 2 2 4 1 1 3 3 1 1 0 1 0 0 1 2 2 1 0 0 3 0 0 1 2 1 2 0 3 1 1 0 0 0 0 5 2 3 2 1 2 0 0 0 0 0 0 0 0 0 3 0 0 1 0 1 0 0 0 0 2 1 0 3 2 2 1 1 3 3 2 2 2 0 1 1 1 1 0 2 0 1 4 0 5 6 4 1 0 0 0 1 1 2 1 0 1 0 7 1 0 0 0 2 0 0 2 2 0 1 0 0 3 0 0 0 0 1 0 2 1 0 1 4 0 1 0 0 9 0 0 0 1 1 0 0 1 0 0 7 1 3 2 1 1 0 3 1 5 0 0 0 2 1 0
"calm" 0 0 0 1 0 0 0 1 0 0 1 0 1 0 1 1 5 0 0 0 1 0 2 0 0 0 1 1 0 0 1 0 1 2 0 0 1 0 1 0 0 0 1 3 0 1 2 0 0 1 0 0 0 0 0 2 1 1 0 0 2 0 0 0 0 0 2 0 0 2 1 1 0 1 0 2 1 1 2 0 0 2 0 1 0 0 0 0 0 0 2 0 0 0 1 1 1 1 0 1 0 0 0 1 0 1 0 0 2 0 0 1 0 0 3 0 1 0 0 0 0 0 0 0 1 4 0 2 0 0 0 0 1 0 0 0 0 2 2 0 1 0 0 1 0 1 0 2 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 3 0 0 0 0 4 0 1 0 1 0 2 1 0 0 0 7 0 2 1 0 0 0 1 0 1 0 0 0 0 0 0
"careful" 1 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 4 0 0 0 1 1 5 0 1 0 0 1 0 0 0 0 0 2 0 1 1 0 0 0 0 0 3 3 0 3 2 2 1 0 0 0 3 0 0 4 2 1 0 1 4 0 0 2 0 1 0 1 2 0 2 0 0 1 1 3 1 0 0 1 0 0 0 2 0 2 0 0 0 2 4 1 0 0 1 0 0 2 0 0 1 2 1 5 1 0 0 1 2 1 3 0 2 0 1 4 0 0 0 0 2 0 1 0 1 5 0 2 1 0 0 1 0 0 1 1 0 1 4 1 2 0 0 1 1 1 0 3 1 2 0 1 0 0 0 0 0 0 1 1 1 0 2 2 1 1 1 1 5 1 0 1 0 1 0 0 0 0 0 3 2 1 1 1 0 1 0 0 3 2 0 0 0 0 0
"careless" 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 3 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 1 0 1 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 0 3 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"certain" 2 3 0 3 3 4 1 1 3 2 1 1 6 5 4 3 0 3 0 1 12 1 11 1 3 2 5 1 3 1 4 13 3 8 3 2 2 2 1 3 0 1 2 14 0 8 5 6 2 0 2 1 2 0 2 12 7 7 3 3 17 5 3 6 2 1 2 0 6 3 2 11 0 1 1 11 3 5 2 1 1 3 2 3 1 1 0 2 2 4 12 1 3 3 2 1 1 1 2 3 2 1 2 14 2 1 4 1 15 8 8 2 6 2 1 9 2 4 1 6 3 4 11 2 10 14 2 1 1 0 2 2 2 0 4 1 0 3 13 2 7 3 0 0 2 0 3 3 5 6 1 6 5 3 2 0 5 2 5 1 2 2 1 16 2 9 4 3 27 2 3 3 1 0 5 3 3 0 1 15 3 5 2 1 2 1 5 1 10 3 2 2 0 1 0
"cheerful" 0 2 0 0 1 2 0 0 0 1 0 0 0 0 0 1 3 0 0 0 2 1 4 1 0 2 0 0 1 1 0 2 1 1 0 1 1 1 1 1 0 0 0 5 0 0 0 0 0 0 0 0 0 0 1 5 3 1 0 0 1 1 0 0 0 0 2 1 0 0 2 1 0 0 0 3 1 0 0 0 1 0 1 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1 1 0 3 0 0 1 0 5 0 1 1 0 0 0 5 0 0 0 1 0 0 4 0 1 1 2 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 1 2 0 1 2 0 0 0 1 2 0 0 2 0 0 0 0 0 0 5 1 2 2 0 7 0 0 1 0 0 0 1 2 0 0 4 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0
"civil" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 2 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 1 0 0 2 1 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0
"clean" 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 3 0 2 0 0 0 1 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 2 1 0 0 1 0 0 1 0 1 0 0 0 0 2 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 3 2 1 0 0 1 1 0 0 1 1 0 1 0 4 0 0 1 0 0 0 0 0 2 0 1 1 0 2 0 0 0 0 0 1 2 0 0 0 2 0 0 0 0 1 0 1 0 0 0 1 2 1 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
"close" 1 2 0 1 1 1 0 0 0 0 2 2 4 1 1 0 12 2 1 3 0 0 5 0 0 0 2 0 1 0 1 3 0 2 1 2 0 0 1 1 1 0 0 4 0 0 2 3 2 2 0 1 0 0 1 4 5 0 0 1 5 1 0 3 1 0 4 1 2 1 2 4 0 0 0 4 0 1 0 1 1 1 0 1 0 0 1 0 1 1 3 0 2 2 1 2 1 0 0 2 1 0 1 5 2 0 1 2 10 6 4 2 1 0 0 3 0 1 0 1 0 2 1 2 1 3 2 0 0 2 0 1 0 1 5 1 2 0 9 2 2 0 2 0 0 0 1 4 1 3 2 1 3 0 0 1 1 1 1 3 1 0 0 10 0 4 0 2 9 0 2 2 1 0 0 2 2 0 1 7 5 0 0 0 0 0 3 0 4 1 0 2 0 0 2
"clumsy" 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 2 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 1 0 3 0 1 2 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"cold" 0 2 2 1 2 1 2 1 1 3 0 0 2 2 5 0 11 4 0 2 5 0 0 1 1 0 3 0 1 1 3 5 0 3 0 0 0 1 1 2 1 0 2 7 1 1 2 3 0 2 2 0 2 0 2 1 4 2 0 0 3 0 1 3 0 2 2 0 2 2 2 2 0 1 0 3 3 1 1 3 0 1 1 0 0 0 2 0 1 3 8 0 0 1 1 3 2 1 0 0 1 2 1 5 2 0 1 0 11 3 2 0 0 0 0 5 1 0 1 1 0 1 2 1 4 8 3 1 0 1 2 2 2 3 2 1 2 0 6 0 3 2 1 0 4 1 2 3 1 3 0 1 3 2 0 0 0 0 1 1 3 2 1 13 1 1 2 1 10 1 2 1 2 1 0 0 4 0 0 6 3 1 0 0 0 1 1 1 7 1 0 1 0 1 0
"confident" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 1 0 0 0 3 0 2 0 0 0 0 0 2 1 0 2 1 0 0 2 0 1 1 0 0 0 0 1 0 1 0
"confidential" 0 0 0 0 0 2 0 1 0 0 0 1 0 0 1 0 3 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 1 0 2 0 2 0 1 1 0 0 1 0 0 1 1 0 0 0 2 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 2 0 1 1 0 4 0 0 0 3 1 0 3 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 2 1 0 0 0 0 0 0 2 0 3 0 1 0 0 1 0 0 5 0 2 0 1 0 0 0 0 1 0 3 0 1 0 1 2 0 0 0 0 1 0 0 0 0 0
"considerate" 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 2 2 1 0 0 0 0 0 0 0 1 0 1 0 1 3 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 2 1 3 0 0 2 1 1 2 0 1 1 1 0 1 0 1 0 0 0 4 0 2 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 2 1 1 0 0 0 0 0 0 1 0 1 2 0 3 0 1 2 1 1 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 1 1 0 0 2 0 0 0 0 0 0 2 0 2 0 0 4 0 0 0 0 0 0 0 0 0 0 2 2 1 0 0 1 0 1 1 4 1 1 0 0 0 0
"constant" 1 1 0 1 0 2 0 0 1 0 0 0 0 1 0 0 5 0 0 1 2 0 3 1 1 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 3 0 1 0 2 0 1 0 0 0 1 0 1 2 0 0 1 3 0 1 2 0 0 1 0 0 0 0 4 0 0 0 1 1 0 0 0 0 0 0 1 1 0 2 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 2 0 0 2 2 4 1 1 1 0 1 0 2 1 1 1 0 1 1 0 4 1 1 0 1 0 0 0 0 2 0 1 3 5 1 1 1 0 1 1 0 0 3 2 1 1 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 3 0 0 0 0 0 1 0 3 0 0 3 2 2 2 0 0 1 0 0 2 3 0 0 0 0 0
"conventional" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 3 1 0 0 1 0 0 1 0 1 0 0 2 1 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 2 0 1 0 1 0 0 1 0 0 1 0 1 0 0 0
"cool" 0 0 0 0 0 1 0 1 1 0 1 0 2 0 0 0 3 1 0 0 1 0 1 0 0 1 0 0 0 1 3 0 0 1 0 1 0 0 1 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 1 4 1 1 0 0 1 1 1 2 0 0 3 1 0 0 1 2 0 1 1 4 0 1 0 1 0 0 0 1 0 1 0 1 0 0 2 0 1 0 1 0 0 0 2 0 0 0 0 3 1 0 1 1 4 0 1 0 0 0 0 1 2 0 0 0 1 0 2 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 3 0 4 1 1 1 1 0 1 2 2 0 0 1 2 0 1 0 0 1 0 0 1 1 0 6 0 2 1 0 2 0 1 4 1 0 1 0 0 1 1 1 0 1 2 0 0 0 1 0 2 0 0 0 0 0 0
"cordial" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 1 2 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 2 1 3 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 3 0 0 2 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 3 0 1 0 0 0 0 2 0 0 0 0 0 1 1 0 3 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 2 0 0 1 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
