"active" "affectionate" "bitter" "bold" "brave" "busy" "calm" "careful" "careless" "certain" "cheerful" "christian" "clean" "close" "cold" "confidential" "considerate" "constant" "cool" "cordial" "cruel" "curious" "dainty" "defiant" "delicate" "determined" "dignified" "direct" "disdainful" "domestic" "eager" "earnest" "easy" "emphatic" "exact" "expressive" "faithful" "familiar" "fast" "fearful" "fierce" "formal" "frank" "free" "fresh" "friendly" "gallant" "gay" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "gruff" "handsome" "hasty" "haughty" "heavy" "honest" "hopeful" "hopeless" "hospitable" "humble" "impatient" "imperious" "incredulous" "indifferent" "inflexible" "intense" "intimate" "jealous" "joyful" "keen" "kind" "lively" "lofty" "lonely" "loud" "loving" "majestic" "melancholy" "mild" "military" "modest" "mute" "natural" "neat" "noiseless" "obdurate" "observant" "open" "original" "particular" "patient" "peaceful" "pensive" "pleasant" "polite" "practical" "presumptuous" "proud" "punctual" "quick" "quiet" "reckless" "resolute" "restless" "rigid" "romantic" "rough" "sad" "sarcastic" "scientific" "scornful" "second" "sensible" "sensitive" "serene" "serious" "severe" "silent" "simple" "sincere" "slow" "smooth" "sober" "social" "soft" "solemn" "sorrowful" "stately" "steady" "stern" "stiff" "strong" "sudden" "sufficient" "sullen" "sunny" "sure" "sweet" "tearful" "tender" "thankful" "thoughtful" "tight" "timid" "tough" "true" "ugly" "uncertain" "ungrateful" "unhappy" "vague" "vain" "violent" "watchful" "weak" "worldly" "wise"
"confidential" 0 1 1 0 1 3 3 0 0 5 1 0 0 2 5 0 0 1 1 0 4 1 1 0 0 0 0 1 1 3 1 3 3 0 2 2 1 2 0 0 0 0 0 1 0 2 2 1 6 1 1 0 0 0 0 0 1 0 2 1 1 2 0 0 0 0 1 0 1 0 1 0 1 1 1 0 1 0 1 1 0 0 1 4 1 1 1 0 1 3 2 0 0 0 1 1 2 0 1 0 1 2 1 0 7 0 2 3 0 0 0 1 0 0 0 1 0 0 1 2 0 4 1 1 0 0 0 2 5 1 1 3 1 0 3 2 0 2 4 2 1 0 1 9 1 0 0 0 0 1 0 2 2 1 0 0 3 2 0 0 3 2 1 0
"considerate" 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 1 2 0 0 1 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 3 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 3 0 1 1 0 0 0 0 0 2 2 1 1 0 0 1 1 0 0 3 1 0 0 0 1 0 1 0 4 0 0 0 1 0 0 1 0 1 1 0
"constant" 0 2 0 2 0 3 1 0 1 2 0 1 0 2 3 1 0 0 1 0 2 0 1 1 3 1 1 0 1 1 0 1 1 1 1 0 3 1 1 1 1 0 0 2 1 1 1 1 3 1 1 7 4 1 2 2 2 0 1 0 4 2 3 1 1 0 1 1 2 0 2 0 1 0 5 0 0 2 0 2 1 1 0 1 1 0 1 0 0 6 0 0 1 1 6 1 1 1 0 1 2 1 0 1 6 1 1 4 0 0 1 0 2 5 2 1 0 0 4 1 1 0 0 1 1 2 0 1 0 1 1 1 2 1 1 1 0 1 6 2 0 1 0 6 5 0 0 0 2 0 2 4 4 1 2 0 2 1 0 0 0 3 0 0
"cool" 0 1 1 1 1 1 4 0 0 1 0 1 1 2 2 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 2 1 1 0 0 0 0 0 0 1 2 0 4 1 2 1 0 1 1 0 1 0 2 0 1 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 2 1 1 0 2 0 1 3 0 0 2 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 1 1 0 1 0 0 0 0 1 3 0 2 0 0 0 1 3 0 0 0 3 2 0 0 0 0 0 0 0 3 0 1 0 1 2 1 2 0 3 0 0
"cordial" 0 1 1 1 0 1 1 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 1 2 1 0 0 0 1 0 1 0 0 1 1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 1 0 1 0 0 2 0 0 0 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 3 2 0 2 0 0 0 0 0 2 0 1 0 0 0 0 1 0 1 1 0
"cruel" 1 0 2 2 1 4 3 1 0 1 2 0 0 3 6 4 0 2 0 0 0 0 1 0 3 0 0 1 0 1 1 4 2 0 2 0 0 0 0 0 3 0 0 3 2 1 1 0 3 0 0 2 0 1 0 0 2 1 4 2 0 4 1 3 1 0 1 1 0 0 1 0 2 0 1 0 2 4 0 0 3 0 2 0 0 1 0 1 1 5 0 0 0 0 2 2 2 2 0 1 1 0 0 1 6 0 5 5 0 0 1 0 0 0 0 2 0 0 2 1 1 1 2 0 1 2 0 1 2 0 1 2 3 1 1 3 1 1 5 3 2 3 1 7 3 1 0 0 3 1 2 1 2 1 0 0 2 0 0 0 2 4 1 0
"curious" 0 0 1 3 1 2 1 3 0 1 0 0 0 3 4 1 0 0 1 0 0 0 0 0 1 0 0 2 0 1 0 2 3 1 2 2 0 0 2 1 0 0 1 2 2 0 0 0 4 0 3 2 0 1 4 1 0 1 1 0 1 3 1 3 0 0 1 1 1 0 0 1 0 0 0 0 0 6 0 0 0 1 0 0 1 1 0 4 1 4 0 0 0 0 5 1 4 0 0 0 2 1 0 1 6 0 0 5 0 0 2 0 0 1 2 0 0 0 5 2 1 0 0 1 5 0 1 1 1 0 0 0 2 1 1 1 1 0 5 3 0 0 1 11 3 1 3 0 1 1 1 0 7 1 0 1 0 2 0 2 1 3 1 0
"dainty" 0 0 0 1 0 2 0 0 1 2 0 1 1 1 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 3 1 0 1 0 0 0 0 0 0 2 0 0 4 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 1 3 0 0 1 0 0 1 1 0 0 2 1 0 0 0 5 0 0 2 0 0 0 0 0 1 0 1 0 1 2 0 0 0 1 0 1 2 1 0 1 0 0 2 1 0 1 1 0 0 3 2 0 0 0 0 1 0 0 0 0 1 2 0 2 1 0 0 1 0 0 1 1 1 0 0
"defiant" 0 1 0 0 0 0 0 0 0 1 0 0 0 1 2 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 2 0 1 0 0 1 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 1 2 0 0 0 0 1 0 1 0 1 1 0 1 0 1 4 1 1 0 0 0 0 0 0 1 0 0 0 1 1 1 1 0 0 0 0 1 0 1 0 0 0 0 2 0 1 0 0 1 0 2 0 1 0 3 0 0 0 0 1 0 0 2 1 0 0 0 1 0 0 0 0 1 0 0
"delicate" 2 0 1 3 0 2 1 0 0 5 1 0 0 0 7 0 0 3 0 1 3 1 0 0 0 1 1 0 1 1 2 2 1 1 3 2 0 2 0 0 0 0 1 1 2 2 1 1 6 1 0 3 1 1 2 3 1 3 2 1 3 1 3 3 2 0 2 1 2 1 1 1 0 0 1 1 2 1 0 3 3 0 1 0 4 2 1 1 0 3 0 0 0 3 6 1 5 2 0 1 4 1 0 0 5 0 3 4 1 0 0 0 0 3 1 1 0 1 3 1 2 0 0 1 3 2 1 2 0 0 1 2 1 0 3 1 2 1 5 1 2 1 0 7 5 0 1 0 1 0 1 1 3 1 2 0 1 1 2 1 1 2 1 0
"determined" 0 0 0 0 0 0 0 0 1 1 0 0 0 3 3 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 1 1 0 2 1 0 1 2 2 1 4 0 0 1 0 2 2 1 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 1 0 0 4 0 2 1 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 0 0 1 1 1 0 3 0 2 2 1 0 0 1 1 0 1 1 4 1 0 0 0 0 1 0 0 2 0 0 0 2 1 0 1 1 0 0 2
"dignified" 0 1 0 0 0 0 1 1 0 3 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 3 0 0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 1 1 0 1 0 2 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 1 1 2 0 0 0 3 0 0 1 0 1 1 2 1 2 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 1 1 0 0 0 0 0 0
"direct" 0 0 0 0 0 0 0 1 0 0 1 0 0 3 2 1 0 0 0 0 1 2 0 0 0 1 0 0 1 0 1 1 1 1 0 2 0 0 1 1 0 0 0 1 1 0 1 0 2 1 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 3 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 1 2 1 1 0 0 0 0 0 3 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0
"disdainful" 0 1 0 2 1 1 2 0 0 3 0 0 0 1 4 1 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 4 1 0 1 1 1 0 1 0 0 3 0 3 0 1 0 0 0 1 0 3 0 1 2 1 1 2 0 0 0 1 0 0 0 0 2 2 1 1 0 1 1 1 1 1 0 2 0 0 0 0 1 0 0 0 1 5 1 1 2 1 0 0 0 0 1 0 0 0 1 1 3 1 0 0 1 3 0 0 0 1 0 0 1 1 0 4 1 0 1 1 3 0 0 0 3 0 0 0 0 0 0 0 2 1 1 0 0 1 0 2 0 1 1 0 0
"domestic" 2 1 0 0 0 1 0 1 0 4 0 0 0 3 4 3 0 1 0 0 1 1 1 0 1 1 0 0 0 0 1 1 3 0 0 1 0 3 0 0 1 0 1 1 0 0 0 2 4 0 2 1 0 0 0 0 0 0 3 1 1 7 1 0 1 1 1 1 2 0 2 0 0 0 1 0 0 2 1 0 2 1 0 1 2 0 1 0 0 3 0 0 1 0 2 2 2 1 0 0 1 1 0 0 5 0 0 2 0 1 0 1 0 1 1 1 1 0 1 1 1 0 0 1 2 2 1 0 2 0 1 1 1 0 1 1 0 0 3 2 1 0 0 6 3 2 1 1 0 0 1 2 6 0 0 0 0 2 0 0 3 2 2 0
"eager" 1 0 0 1 0 0 0 1 0 2 0 1 0 1 0 1 0 0 0 1 1 0 0 0 2 0 0 1 0 1 0 5 1 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 0 3 1 0 0 0 0 0 0 2 0 0 1 2 0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 4 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 2 0 1 0 2 0 0 1 2 1 1 0 0 1 1 1 0 0 1 0 2 0 0 0 1
"earnest" 0 4 1 2 1 1 1 2 0 6 2 2 0 0 3 3 1 1 0 1 4 2 0 0 2 0 1 1 0 1 5 0 3 2 3 1 1 0 1 0 2 1 2 6 2 1 1 0 4 2 1 5 0 2 2 0 0 2 5 1 3 5 1 2 1 0 1 0 1 1 4 2 1 0 0 0 1 8 1 1 6 0 2 1 2 1 1 3 2 7 0 0 1 0 4 0 3 2 0 0 2 0 0 0 11 0 4 6 2 1 1 1 0 2 3 0 0 0 1 2 0 1 2 3 6 1 0 1 1 0 0 4 1 3 5 2 2 0 6 4 2 1 2 10 3 2 2 3 3 3 0 1 3 1 1 0 2 2 0 3 2 4 0 3
"easy" 1 0 1 1 1 7 3 1 0 8 4 1 1 5 7 3 0 1 0 0 2 3 0 0 1 0 1 1 0 3 1 3 0 2 0 2 2 4 1 1 0 0 0 3 3 3 0 1 8 0 2 5 2 1 2 0 3 4 5 2 0 7 2 1 0 2 1 2 0 1 1 0 0 1 2 0 0 5 1 0 7 1 1 0 2 2 0 1 2 5 0 1 0 2 8 2 3 3 1 1 7 2 1 0 3 0 0 11 0 1 1 0 1 3 1 0 0 1 5 3 1 3 2 2 4 2 1 3 3 0 2 3 4 0 1 3 1 2 9 3 2 1 1 13 8 1 1 1 4 0 3 0 5 0 2 2 0 2 1 2 1 5 1 0
"emphatic" 0 1 1 1 0 0 0 0 1 0 0 0 0 1 3 0 0 1 1 0 0 1 0 0 1 0 0 1 0 0 0 2 2 0 1 2 0 2 0 0 0 0 0 2 0 1 0 0 4 0 1 2 0 0 2 1 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 2 0 1 1 0 0 0 1 1 0 0 0 3 0 0 1 0 0 1 1 0 0 0 2 0 0 0 4 0 1 1 0 0 0 1 0 1 0 1 0 0 2 1 1 0 1 1 1 0 0 0 0 0 0 0 1 1 1 0 1 1 4 0 0 0 0 5 1 0 0 2 0 0 0 0 4 1 0 0 2 0 0 0 1 0 0 1
"exact" 0 1 1 1 0 0 0 0 0 0 0 0 0 0 4 2 0 1 0 0 2 2 0 0 3 0 0 0 0 0 0 3 0 1 0 1 0 1 0 0 0 0 0 1 1 3 0 0 2 0 0 1 0 1 1 1 2 0 1 1 2 2 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 1 4 1 0 0 1 1 2 4 0 0 0 1 1 0 0 3 1 1 1 0 0 0 0 0 0 1 1 0 0 2 0 0 1 0 1 2 0 0 1 1 0 1 1 1 0 1 1 0 0 1 0 1 0 1 7 1 1 1 1 0 1 0 0 1 1 0 0 1 0 0 1 2 1 0 1
"expressive" 0 0 1 3 1 0 0 1 1 7 1 0 0 2 4 2 0 0 1 0 0 2 0 0 2 0 0 2 1 1 0 1 2 2 1 0 2 1 2 2 0 0 1 2 0 2 0 0 7 1 1 1 0 0 3 3 0 1 1 0 2 2 2 0 0 0 2 1 1 0 2 1 1 1 1 1 1 1 1 1 1 0 0 1 1 2 0 0 0 1 0 1 0 0 3 0 4 1 0 0 4 0 2 0 5 0 3 1 0 0 0 0 0 0 1 0 0 0 3 1 1 1 0 2 1 1 1 0 0 0 1 1 0 1 3 2 2 0 2 2 3 0 0 11 3 0 2 0 0 1 1 0 2 0 1 1 0 2 0 1 0 3 1 0
"faithful" 0 0 0 2 0 2 2 0 0 3 3 1 0 1 2 1 1 3 2 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 2 0 1 0 0 0 0 0 1 0 2 1 0 2 1 0 1 1 0 0 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 2 0 0 0 1 1 0 3 1 1 1 1 1 0 0 0 0 0 0 2 1 0 0 0 4 0 1 1 2 0 1 0 0 1 3 0 1 4 1 0 1 0 0 4 1 0 0 0 1 0 0 1 0 1 2 1 1 0 1 0 1 0 1 1 1 0 0 0 1 2 0 0 1 4 3 0 2 0 1 1 0 2 6 1 0 0 1 1 0 0 1 2 1 0
