"acceptable" "active" "acute" "affectionate" "awkward" "benevolent" "busy" "calm" "careless" "certain" "cheerful" "civil" "close" "cold" "consistent" "constant" "cool" "decided" "determined" "dignified" "direct" "domestic" "eager" "earnest" "easy" "familiar" "fearful" "free" "fresh" "friendly" "gay" "general" "generous" "gentle" "grateful" "grave" "handsome" "hasty" "heavy" "honest" "hurried" "impatient" "independent" "indifferent" "indolent" "indulgent" "injudicious" "intimate" "jealous" "joyful" "judicious" "kind" "lively" "loud" "maternal" "melancholy" "mild" "modest" "natural" "noisy" "officious" "open" "partial" "particular" "playful" "pleasant" "proud" "quick" "quiet" "reasonable" "rough" "sad" "sanguine" "scrupulous" "second" "selfish" "sensible" "serious" "severe" "shy" "silent" "simple" "sincere" "slow" "sober" "solemn" "stable" "steady" "strict" "strong" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "thorough" "thoughtful" "timid" "true" "uncertain" "ungrateful" "unhappy" "unkind" "unsuspicious" "vain" "worldly" "willing" "weak"
"familiar" 1 0 0 2 0 1 0 0 0 2 0 0 1 1 1 0 0 0 2 0 0 2 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 3 0 0 1 1 0 0 0 1 2 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0
"fearful" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 3 1 1 2 1 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0
"free" 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 2 1 0 1 0 0 0 0 0 3 0 0 0 0 0 0 4 0 0 2 0 1 0 0 1 1 0 0 0 2 1 0 0 0 0 0 3 1 1 1 1 1 1 1 0 1 1 1 2 0 4 1 0 1 0 0 1 2 0 1 1 2 1 0 0 0 2 0 1 1 0 1 2 0 2 0 1 5 1 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0
"fresh" 1 1 0 1 0 1 0 1 1 1 1 2 3 1 1 1 0 2 1 0 0 0 2 1 1 1 0 0 0 0 0 2 1 0 1 0 2 0 1 0 0 2 1 0 1 1 0 2 0 0 0 2 1 0 0 0 0 3 1 0 0 2 0 2 1 5 0 2 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 2 1 1 0 2 6 1 0 1 0 1 0 1 1 0 0 0 0 1 0 1 0
"friendly" 0 2 1 0 0 1 2 0 1 0 0 0 1 0 0 1 0 3 2 0 1 0 2 2 3 0 0 0 0 0 2 7 0 2 0 2 1 0 0 2 0 0 1 2 1 0 0 0 2 1 0 2 1 1 0 1 0 1 4 1 0 2 0 2 1 3 1 2 2 3 0 3 0 0 2 1 0 3 1 0 2 1 0 0 0 0 0 1 0 2 2 1 7 1 1 2 1 0 0 2 0 0 1 0 0 0 1 1 0
"gay" 0 0 0 1 0 0 2 0 0 0 0 1 1 1 0 0 1 0 2 0 0 0 1 1 1 0 0 0 0 2 0 4 0 0 0 1 2 0 0 0 0 2 0 1 0 0 0 1 1 0 0 3 0 0 0 0 1 0 0 1 0 0 0 3 1 1 1 1 1 1 0 1 0 0 0 2 0 1 1 0 2 0 0 0 1 0 0 0 0 1 1 4 3 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"general" 1 5 1 2 1 2 5 1 3 6 4 3 5 4 3 3 1 1 6 3 2 3 4 2 14 0 1 4 2 7 4 0 2 8 6 5 4 0 5 4 3 5 4 5 6 1 1 3 2 2 1 9 6 2 2 3 2 7 12 1 2 7 4 8 3 15 1 7 9 5 2 4 3 0 6 4 5 14 2 0 9 1 2 3 2 2 3 6 1 16 6 6 37 7 5 4 3 3 1 11 1 1 3 2 2 1 3 5 2
"generous" 0 0 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 2 1 1 0 1 0 0 2 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 3 0 1 2 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 2 0 0 2 3 0 0 0 0 2 0 0 1 2 1 0 0 0 2 0
"gentle" 0 1 0 0 0 1 0 0 1 2 1 1 3 1 0 3 0 1 2 1 1 0 1 0 0 0 0 0 0 2 0 8 0 0 1 1 1 0 1 0 0 0 1 1 0 0 1 1 1 0 0 2 1 1 0 1 0 2 2 1 0 3 0 2 1 2 1 1 2 1 0 0 2 0 2 0 0 3 0 0 3 0 0 1 1 1 1 3 0 4 1 0 7 2 2 0 2 2 0 3 0 1 1 0 0 0 0 2 0
"grateful" 0 0 1 1 0 0 0 0 1 0 0 1 1 1 1 1 0 0 2 1 1 0 0 0 0 0 0 2 1 0 0 6 0 1 0 1 0 1 1 0 2 0 0 1 0 0 0 0 0 0 0 5 2 1 0 0 1 1 5 0 0 5 0 2 0 5 0 1 1 0 0 1 1 1 1 1 4 3 0 0 1 0 1 0 1 1 0 2 0 2 0 1 5 2 0 2 0 0 0 2 1 0 1 0 1 0 0 1 0
"grave" 0 0 1 0 0 1 2 1 1 1 0 0 2 1 1 1 0 1 1 1 1 0 0 1 1 0 0 0 0 2 1 5 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 2 2 0 0 0 0 1 4 0 0 2 0 1 1 1 0 1 2 1 0 1 0 0 0 1 2 2 0 0 1 1 1 0 0 1 0 1 0 1 0 0 5 2 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0
"handsome" 1 1 1 0 1 1 0 0 1 3 2 2 2 5 1 1 1 1 0 0 0 1 1 0 3 0 0 1 2 1 2 4 2 1 0 0 0 2 2 2 0 0 2 0 1 0 1 2 0 0 0 3 2 0 0 1 2 0 2 0 1 2 0 4 0 3 0 1 1 0 1 1 1 0 2 2 0 2 2 1 1 1 0 1 0 1 0 1 1 1 2 3 8 3 1 1 0 1 1 0 0 1 2 1 0 0 0 0 0
"hasty" 0 0 0 2 1 0 0 0 0 1 2 0 0 2 0 0 0 0 3 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 2 0 0 0 1 0 0 0 0 1 2 1 0 0 0 0 2 0 0 2 1 1 0 2 0 1 1 0 0 1 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 2 3 0 4 1 0 1 0 0 0 1 0 0 2 1 0 1 0 1 0
"heavy" 1 2 0 0 0 0 0 0 0 2 0 2 1 4 0 2 0 0 3 0 0 0 2 0 0 0 0 0 1 0 0 5 1 1 1 0 2 1 0 0 0 1 2 1 0 0 1 0 0 1 1 1 0 0 0 3 0 1 3 0 0 1 0 2 0 2 0 0 1 0 0 1 0 0 1 2 0 0 0 0 1 1 0 0 0 1 0 0 0 3 1 0 6 0 1 2 0 0 1 1 0 1 1 0 0 0 0 1 0
"honest" 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 1 0 1 2 0 0 0 0 0 1 0 0 1 0 2 0 4 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 2 0 0 0 1 0 2 0 0 2 0 1 1 2 0 0 0 2 0 0 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 3 1 0 5 1 0 1 0 0 0 1 0 0 1 0 0 1 1 0 1
"hurried" 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 3 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 1 0 0 1 1 0 1 1 2 0 0 2 0 0 2 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 2 0 1 0 0 0 0 1 0 0 0 2 0 0 0 1 0
"impatient" 1 3 0 1 0 0 2 0 0 0 3 4 3 0 1 1 1 1 1 0 0 1 3 0 0 0 0 0 2 0 2 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 4 0 0 1 1 0 2 3 0 0 0 0 2 0 2 1 1 3 1 0 1 0 0 2 0 0 1 0 1 0 1 0 2 0 0 1 2 1 2 0 2 3 0 0 1 0 1 1 3 1 0 0 1 0 1 1 0 0
"independent" 0 0 0 1 1 0 0 1 0 1 1 1 0 2 0 2 0 1 5 0 0 1 0 0 0 0 1 0 1 1 0 4 0 1 0 0 2 2 2 1 0 0 0 0 0 0 1 0 0 0 0 2 2 0 0 0 0 1 3 0 0 1 0 0 0 4 0 0 0 1 0 0 0 0 1 0 1 2 0 0 1 0 0 0 0 0 0 0 0 5 0 0 5 1 0 1 0 0 0 4 0 1 0 0 0 1 0 1 0
"indifferent" 0 1 1 0 0 0 1 2 0 2 0 0 1 0 0 1 1 0 1 0 0 0 1 1 3 0 0 0 0 2 1 5 0 1 1 2 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 1 0 0 1 0 0 2 1 2 1 2 0 0 2 1 0 2 0 0 1 2 1 2 1 0 2 1 0 0 0 0 1 0 1 2 2 0 3 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0
"indolent" 0 2 0 0 0 0 1 0 1 0 1 0 2 1 0 0 0 0 0 0 0 1 2 1 5 0 0 2 1 1 0 6 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 1 1 1 1 0 1 1 0 0 0 1 1 1 4 0 1 2 0 0 0 1 0 1 1 2 0 0 0 1 0 1 1 0 0 1 2 0 1 1 1 3 0 2 0 0 0 0 0 0 0 1 1 0 1 1 2 0
"indulgent" 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 1 1 0 2 0 2 1 0 0 0 1 0 0 0 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0
"injudicious" 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 1 2 0 0 0 0 0 0 1 1 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 2 1 0 1 0 0 1 1 0 0 2 1 0 0 0 0 0
"intimate" 0 1 1 0 0 0 0 1 0 4 0 0 1 1 0 1 0 2 1 0 0 0 1 0 0 1 0 0 2 0 1 3 0 1 0 0 2 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 1 1 0 0 0 0 5 1 0 0 1 3 0 0 0 0 0 3 1 1 1 0 0 1 1 0 0 1 0 0 2 2 3 0 3 7 1 0 0 1 2 0 3 1 0 1 0 1 0 0 0 0
"jealous" 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 1 0 2 2 0 1 0 0 1 1 0 0 0 0 2 1 2 0 1 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 2 0 0 0 0 0 2 0 0 1 0 1 2 0 0 0 0 2 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 2 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1
"joyful" 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 1 2 0 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 2 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 2 0 1 2 1 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 2 0 0 0 0 1 1 1 1 0
"judicious" 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 2 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 2 0 0 0 0 1 1 0 0 2 0 1 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 2 0 0 0 0 0 1 1 0 1 2 0 0 1 0 1 1
"kind" 1 2 1 3 0 0 1 1 2 2 1 4 3 4 1 2 0 2 3 1 1 2 3 2 6 0 0 3 2 2 3 9 1 2 5 2 3 1 1 0 1 4 2 1 1 0 0 0 1 1 1 0 5 0 1 0 2 3 7 0 0 4 0 4 1 8 1 2 1 5 0 3 3 1 1 3 4 6 1 1 3 3 2 0 3 1 0 1 0 9 3 1 12 4 1 0 1 1 0 6 2 1 2 1 1 2 1 1 1
"lively" 0 1 2 1 0 1 0 1 2 2 2 1 3 4 1 2 0 3 2 1 3 2 2 1 2 0 1 1 1 1 0 6 0 1 2 2 2 2 0 2 1 0 2 1 1 1 0 2 2 0 1 5 0 1 0 0 1 0 7 1 0 4 0 3 2 7 1 2 1 1 1 0 0 1 3 1 3 5 0 0 3 2 2 1 0 1 0 2 0 8 1 1 6 2 0 0 0 0 0 2 0 1 2 1 0 3 0 1 2
"loud" 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 1 0 1 0 2 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 2 1 0 1 2 2 0 2 1 0 1 1 0 1 1 0 0 0 3 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 4 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0
"maternal" 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 2 1 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 1 0 0 2 0 0 1 1 0 2 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0
"melancholy" 0 2 0 0 0 0 0 0 0 2 1 1 0 2 0 0 0 0 2 0 0 1 2 1 0 0 0 1 0 1 0 3 0 1 0 0 1 0 3 0 0 1 0 1 1 0 0 1 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 2 1 3 0 1 3 0 0 3 0 0 5 2 0 0 0 0 3 1 0 0 1 1 1 2 0 2 1 0 8 0 1 1 1 1 0 2 0 0 2 0 0 1 1 1 0
"mild" 0 0 0 0 0 0 0 1 1 1 2 0 1 2 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 1 2 0 0 1 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 2 0 0 2 0 2 0 3 0 2 1 0 1 0 1 0 1 1 0 1 1 0 3 0 1 0 1 0 0 1 0 0 2 0 2 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1
"modest" 1 2 0 3 1 1 2 2 1 2 1 1 2 0 2 2 0 1 0 0 0 0 2 0 2 1 0 1 3 1 0 7 0 2 1 1 0 0 1 0 1 2 1 0 1 1 0 1 0 0 0 3 0 0 1 1 0 0 2 0 2 0 1 1 0 4 1 4 2 1 1 3 0 0 0 0 2 4 0 0 1 2 0 0 0 0 0 1 0 3 2 2 8 1 2 0 1 0 0 2 1 0 1 1 1 0 0 2 0
