"active" "affectionate" "awkward" "bitter" "boastful" "bold" "brave" "busy" "calm" "careful" "careless" "certain" "cheerful" "christian" "clean" "close" "cold" "confidential" "conventional" "cool" "cruel" "curious" "delicate" "determined" "dignified" "direct" "domestic" "eager" "earnest" "easy" "emphatic" "exact" "expressive" "faithful" "familiar" "fierce" "free" "fresh" "friendly" "gallant" "general" "generous" "gentle" "giddy" "gloomy" "gracious" "grateful" "grave" "greedy" "handsome" "heavy" "honest" "hopeful" "hospitable" "humble" "impatient" "impertinent" "independent" "indifferent" "industrious" "inquisitive" "insolent" "intimate" "jealous" "kind" "literary" "lively" "lofty" "lonely" "magnanimous" "majestic" "maternal" "melancholy" "mercenary" "methodical" "mild" "modest" "natural" "neat" "nervous" "observant" "open" "orderly" "original" "particular" "passionate" "patient" "peaceful" "playful" "pleasant" "polite" "practical" "proud" "punctual" "quick" "quiet" "reasonable" "reckless" "responsible" "romantic" "rough" "rusty" "sad" "scornful" "second" "selfish" "sensible" "sensitive" "serious" "severe" "shy" "silent" "simple" "slow" "smooth" "social" "soft" "solemn" "stable" "stately" "steady" "stern" "stiff" "straight" "strict" "strong" "sudden" "sufficient" "sure" "suspicious" "sweet" "sympathetic" "tender" "thankful" "thoughtful" "tight" "timid" "true" "uncertain" "ungrateful" "unhappy" "unsteady" "vague" "vain" "violent" "virtuous" "watchful" "weak" "willing" "wise"
"dignified" 0 0 0 0 0 0 1 0 0 1 0 3 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 2 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 2 0 0 0 0 0 0 0 1 0 0 1 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 4 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0
"direct" 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 0 2 0 0 0 2 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 2 1 0 1 1 0 0 0 0 1 1 0 0 0 0 2 0 1 1 1 0 0 1 0 3 0 0 0 0 0 1 0 0 4 1 1 0 0 0 0 0 0 0 0 0 0
"domestic" 1 1 0 0 0 1 1 1 0 1 1 6 5 0 0 2 2 0 1 1 0 1 2 0 1 0 0 0 1 4 0 1 1 1 0 0 0 0 0 1 4 1 0 1 1 2 2 0 0 3 2 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 2 1 0 0 3 2 0 0 1 0 4 4 2 0 1 2 1 2 3 0 1 1 0 2 1 0 2 0 2 3 0 0 0 0 1 2 0 0 3 0 0 1 4 1 0 1 0 1 0 0 0 0 0 3 0 0 0 0 0 2 0 1 7 0 2 0 0 0 1 0 1 2 0 0 0 0 1 1 0 0 0 1 0 1
"eager" 0 0 1 0 0 1 0 0 1 0 0 3 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 1 0 0 0 2 0 1 0 0 1 0 0 0 1 2 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 2 1 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0
"earnest" 0 0 0 0 1 0 0 0 1 1 0 3 0 0 0 1 2 1 0 0 2 2 0 1 0 0 1 0 0 4 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 1 0 2 0 3 0 1 0 0 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 1 0 0 2 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 3 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 2 0 0 0 0 1 0 0 2 2 0 1 1 0 0 0 0 0 1 2 0 0
"easy" 1 2 1 0 2 2 1 3 0 2 1 10 3 1 5 4 2 1 0 3 1 0 0 1 0 0 4 0 4 0 1 1 3 1 2 0 5 5 3 0 4 3 2 1 0 2 1 2 0 1 4 3 0 1 1 2 0 0 2 2 0 1 1 1 1 3 0 0 2 1 1 2 2 0 0 0 4 10 4 1 2 10 2 3 6 1 2 0 0 4 2 1 4 2 3 5 1 0 2 0 1 1 1 1 2 2 1 0 1 0 2 4 0 1 1 1 0 1 1 1 1 1 1 1 2 6 2 1 16 0 3 1 4 2 2 2 0 8 1 3 1 1 1 2 0 1 1 4 0 2
"emphatic" 0 0 0 1 0 0 0 1 0 0 1 2 0 0 1 2 2 0 0 0 1 2 0 1 1 1 0 0 0 1 0 0 1 1 0 0 1 0 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 2 3 1 0 0 0 1 2 0 1 0 0 1 0 0 1 0 1 0 1 0 1 0 2 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 0 1 1 2 0 0 4 0 1 0 0 2 0 1 0 2 0 0 0 0 1 0 0 0 1 0 0 0
"exact" 0 1 0 0 0 1 1 1 0 0 0 5 2 0 1 0 2 2 0 2 1 1 0 0 0 0 1 3 0 1 0 0 0 0 0 0 0 2 0 1 4 1 1 1 2 2 0 0 0 0 1 1 0 1 0 0 0 2 0 0 1 0 0 1 0 2 0 0 1 0 1 0 1 1 1 0 1 1 1 0 0 5 1 2 1 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 3 0 0 3 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 2 1 0 4 1 0 0 0 1 0 1 0 3 0 0 0 0 0 0 0 1 0 0 1 2
"expressive" 0 3 2 0 2 1 1 0 0 0 0 8 2 2 0 0 1 2 2 1 0 0 2 1 1 0 1 0 0 3 1 0 0 0 1 1 0 0 3 2 2 0 1 1 0 2 2 0 0 4 2 1 1 1 2 1 0 1 0 0 1 0 0 1 2 1 0 2 2 1 6 0 3 0 1 1 1 3 1 1 0 8 0 3 1 1 1 0 1 3 1 1 1 0 1 2 0 0 1 0 1 0 0 1 3 0 2 0 0 1 2 1 0 1 1 2 2 0 0 1 0 0 1 0 1 6 0 1 7 0 1 1 0 2 1 3 2 6 1 0 0 1 0 1 1 1 1 4 1 0
"faithful" 0 0 0 1 1 1 0 1 1 0 0 4 0 2 1 0 1 1 1 0 1 1 0 0 0 1 1 0 0 1 1 0 0 0 1 0 0 2 2 0 3 0 1 0 1 0 1 0 0 0 3 3 1 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 2 1 2 0 1 2 0 1 3 0 2 1 0 2 0 1 0 0 1 3 0 0 0 0 2 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 3 1 0 4 1 1 1 0 0 2 0 0 4 0 2 0 0 0 1 0 0 0 2 1 0
"familiar" 1 0 0 0 0 1 0 0 0 2 1 2 1 0 1 1 1 0 0 0 1 0 1 2 0 1 0 0 0 2 0 0 1 1 0 0 2 0 1 0 2 2 0 0 2 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 2 0 0 2 0 0 0 2 0 0 0 0 2 0 0 0 6 0 3 2 0 0 0 0 0 0 0 2 0 0 2 0 1 0 0 0 0 1 0 3 0 1 1 0 0 0 1 2 1 1 1 0 0 1 1 0 0 0 0 0 4 1 0 7 0 0 0 0 1 1 1 0 4 0 0 0 0 0 1 1 0 0 1 0 0
"fierce" 0 1 1 2 0 0 0 0 1 0 1 2 0 0 0 1 4 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1 1 1 0 0 2 2 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 4 0 1 1 2 0 0 1 0 0 0 0 0 1 0 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0 2 0 1 1 0 1 1 0 0 1 2 0 0 0 3 0 0 4 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 1 0 0 3 2 1
"free" 1 0 0 1 1 2 1 0 1 4 0 9 0 1 3 0 5 0 0 0 2 0 3 2 1 0 0 1 1 5 1 0 0 0 2 1 0 2 3 0 5 2 0 2 3 2 2 3 1 3 4 4 2 0 1 0 0 1 2 1 3 0 1 1 3 3 1 0 1 0 0 1 2 2 0 2 4 4 2 0 1 6 1 3 1 1 0 1 0 3 1 0 5 1 2 1 1 1 2 1 0 1 1 1 4 1 2 0 1 2 0 4 0 1 0 1 1 2 1 0 0 0 0 0 1 5 1 0 7 2 2 1 0 3 2 0 0 9 0 1 0 1 2 0 1 1 0 4 0 2
"fresh" 1 1 0 0 0 1 2 2 0 3 0 9 1 0 2 1 0 1 0 2 1 1 0 0 0 0 0 0 0 5 0 2 0 2 0 0 2 0 1 1 3 1 0 0 2 1 2 0 0 1 1 4 0 0 0 0 1 1 2 2 0 2 1 1 6 1 0 0 1 1 0 0 0 1 0 0 4 5 3 0 1 4 0 4 2 0 1 1 1 2 0 1 1 0 4 3 1 0 1 1 3 0 0 1 2 2 0 0 1 0 2 2 1 1 1 1 2 1 0 0 1 1 1 0 1 5 1 0 9 1 5 2 1 3 0 1 0 2 0 1 0 1 2 0 0 1 1 2 2 3
"friendly" 0 1 1 0 0 0 0 1 0 1 0 9 0 3 0 1 1 1 0 1 0 0 2 1 0 0 0 0 0 3 0 0 3 2 1 0 3 1 0 0 3 1 0 0 1 0 0 0 0 2 3 2 0 2 1 0 0 0 1 0 0 0 1 1 1 5 0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 6 0 0 1 0 1 1 0 2 2 1 2 1 0 2 0 1 0 0 1 1 1 0 2 0 0 0 0 0 1 2 0 2 0 1 1 2 1 0 1 0 2 0 1 4 1 0 5 0 3 0 0 0 4 1 0 6 0 0 0 0 0 1 0 0 0 3 1 1
"gallant" 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 2 0 0 1 0 1 0 0 1 1 0 0 1 2 0 0 0 1 2 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 0 0 0 1 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 3 0 0 1 0 2 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 2
"general" 2 1 2 1 2 2 1 3 1 1 0 18 4 1 4 4 7 4 1 3 2 3 4 0 1 0 4 2 0 4 1 4 2 3 2 0 5 3 3 1 0 0 3 0 6 2 4 0 0 4 6 4 3 2 2 0 1 3 0 0 0 0 0 4 2 4 4 0 1 1 0 0 2 0 3 0 3 3 3 2 0 8 2 4 6 0 1 1 1 5 0 1 5 2 5 6 0 0 0 2 1 4 0 1 6 0 2 0 2 2 2 1 0 0 0 3 0 2 0 3 0 0 1 1 0 7 3 0 16 0 3 2 1 3 0 1 1 9 0 0 1 0 2 0 0 2 0 2 4 3
