"affectionate" "bold" "busy" "calm" "certain" "cheerful" "clean" "close" "cold" "confidential" "constant" "cruel" "curious" "delicate" "domestic" "earnest" "easy" "expressive" "faithful" "familiar" "fierce" "free" "fresh" "friendly" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "haughty" "heavy" "honest" "hopeful" "hopeless" "humble" "imperious" "indifferent" "jealous" "kind" "lively" "lofty" "lonely" "loud" "melancholy" "mild" "modest" "natural" "open" "original" "particular" "patient" "pleasant" "polite" "proud" "quick" "quiet" "rough" "sad" "second" "sensible" "serious" "severe" "silent" "simple" "slow" "smooth" "social" "soft" "solemn" "sorrowful" "stately" "steady" "stern" "stiff" "strong" "sudden" "sufficient" "sure" "sweet" "tender" "thoughtful" "tight" "timid" "tough" "true" "ugly" "unhappy" "vague" "violent" "watchful" "weak"
"lively" 1 2 3 1 3 2 0 2 3 1 0 0 0 0 1 1 1 1 1 0 2 3 0 3 7 0 0 2 2 1 1 0 1 0 1 3 2 0 0 1 0 2 0 3 0 0 1 0 6 1 0 2 3 0 3 0 1 0 3 1 0 1 2 1 1 1 0 2 1 0 1 2 3 0 1 0 1 1 1 2 1 0 7 2 0 1 2 1 1 6 0 2 0 1 0 3
"lofty" 0 0 0 1 2 2 0 0 3 1 2 0 0 3 0 1 0 1 1 0 0 0 1 0 3 2 2 3 1 1 1 0 0 1 3 2 3 2 0 2 1 1 0 1 0 0 1 1 0 2 0 1 3 1 1 1 1 0 4 3 1 0 0 3 3 1 0 2 0 1 1 0 3 2 0 1 0 0 1 3 0 1 2 1 1 0 0 0 0 2 0 1 1 0 0 1
"lonely" 3 3 2 1 4 1 0 2 7 0 1 3 0 3 2 6 7 1 1 2 1 5 1 0 7 0 0 6 3 0 1 0 1 5 1 5 3 1 0 2 0 1 1 6 1 1 0 3 2 4 0 6 5 1 3 4 1 1 7 3 7 4 3 0 1 1 1 5 2 2 2 2 2 0 3 3 3 1 1 5 3 1 7 6 0 3 1 3 2 8 1 1 2 0 0 4
"loud" 0 1 3 1 2 1 1 2 3 0 1 0 1 0 1 0 1 0 1 3 3 1 1 0 3 0 1 1 1 0 0 0 0 2 0 2 0 0 0 0 0 1 1 3 0 1 3 0 1 1 1 2 3 2 2 0 0 1 3 1 2 2 1 1 0 0 0 1 3 1 0 1 1 2 1 0 0 0 1 2 1 0 4 1 1 0 2 1 1 3 1 0 0 1 0 1
"melancholy" 1 1 2 3 5 1 1 4 10 1 1 0 1 4 2 2 2 1 0 1 1 3 1 4 10 1 2 2 2 1 2 3 2 1 4 5 2 1 2 2 1 1 0 2 6 0 2 1 0 0 0 7 6 2 3 0 4 2 2 3 5 2 4 3 1 0 4 6 3 1 0 0 5 3 2 3 1 2 3 6 6 1 13 5 3 0 2 1 3 8 0 3 2 3 0 2
"mild" 1 3 5 1 6 3 2 4 5 1 0 1 1 2 0 1 2 2 0 3 2 4 1 0 9 0 0 5 1 0 2 2 2 2 2 0 1 0 2 4 0 0 0 1 1 2 4 1 0 0 1 3 5 1 5 2 1 0 7 2 5 0 1 2 0 2 1 4 1 3 0 1 1 2 0 1 1 0 3 3 2 4 8 3 0 5 1 0 1 4 0 1 0 1 1 4
"modest" 0 3 0 2 2 2 0 2 3 0 0 1 4 1 0 3 1 0 0 1 0 2 2 0 4 0 1 3 0 2 0 1 2 2 1 3 0 1 1 1 2 0 0 4 0 0 0 1 0 1 0 4 1 0 2 0 3 1 5 1 4 0 0 2 0 2 1 4 3 2 0 0 1 3 3 1 0 2 0 4 0 0 1 5 2 2 1 1 0 3 0 0 0 2 0 0
"natural" 3 3 5 1 9 4 1 7 10 3 6 5 4 3 3 7 5 1 2 4 1 6 2 3 9 2 0 8 1 2 1 2 1 3 5 7 3 1 0 4 1 2 2 11 2 1 6 2 7 3 4 0 10 2 13 2 6 1 11 5 7 6 4 8 2 2 0 8 7 5 2 4 5 6 5 5 5 5 2 8 5 3 23 8 3 4 2 5 3 14 0 4 2 2 1 3
"open" 1 5 6 3 12 9 2 9 16 1 6 2 5 6 2 4 8 3 4 7 3 14 8 3 17 5 5 11 3 3 2 7 3 9 4 7 4 5 5 6 2 3 1 10 3 3 5 3 6 5 1 10 0 3 8 2 7 4 12 4 13 8 2 9 7 2 2 7 1 3 0 4 4 8 2 8 2 6 4 15 7 1 18 12 1 7 1 4 2 8 3 2 4 2 2 11
"original" 0 2 3 0 0 1 1 3 4 1 1 2 1 1 2 0 2 0 0 3 1 2 1 0 6 2 1 3 0 1 0 0 2 2 1 3 0 0 0 0 0 2 2 3 0 1 1 2 2 1 0 2 3 0 2 0 0 1 3 2 2 0 0 4 0 2 0 2 2 2 1 3 1 1 0 2 0 0 0 3 1 2 5 2 1 1 0 0 1 6 1 1 2 0 1 1
"particular" 2 1 3 2 10 0 3 3 7 2 1 2 4 5 2 3 3 4 1 2 0 2 2 7 17 1 3 3 1 4 5 1 3 2 0 5 3 0 1 3 0 1 2 7 3 1 3 2 3 5 2 13 8 2 0 0 5 1 7 2 5 3 2 9 2 0 3 10 3 4 2 4 2 4 1 4 2 3 3 4 3 2 20 8 2 2 3 2 4 9 0 1 0 2 3 8
"patient" 0 4 4 2 4 0 0 3 3 0 1 2 0 2 1 2 3 1 1 0 0 1 2 1 0 2 0 6 1 0 1 0 0 2 0 0 1 1 1 0 0 0 0 2 0 1 4 0 0 2 0 2 2 0 0 0 2 0 3 4 4 1 0 0 0 0 0 3 1 1 0 2 1 1 1 0 1 0 0 2 3 1 4 3 1 1 1 2 1 6 1 0 1 0 0 3
"pleasant" 0 5 4 4 9 2 1 1 3 1 2 1 2 4 1 2 7 4 1 1 1 3 2 2 8 2 3 4 3 3 2 4 4 2 0 7 3 2 1 1 2 2 1 2 1 1 1 0 4 1 3 6 7 0 5 2 0 2 7 4 6 3 3 6 4 1 1 4 1 1 1 0 3 2 3 3 3 1 1 5 2 1 8 8 2 5 2 1 1 7 1 2 3 5 2 4
"polite" 0 1 0 0 1 0 0 2 5 2 1 0 1 1 1 0 2 0 0 3 0 2 0 0 3 0 3 1 0 1 0 1 4 2 1 2 1 0 0 0 0 0 0 3 0 0 1 1 2 0 1 1 4 1 1 0 2 0 4 0 1 0 3 1 1 1 2 1 0 1 0 0 0 2 1 1 0 1 1 2 3 1 2 3 0 1 1 0 1 3 0 0 1 3 0 3
"proud" 3 9 10 3 13 4 3 9 16 7 6 6 6 5 5 11 3 5 3 7 5 7 4 7 19 4 6 11 5 5 3 5 4 18 12 9 5 3 2 7 8 8 6 9 3 4 7 3 2 7 5 11 12 3 7 3 7 4 0 12 18 6 4 12 5 7 4 14 6 4 5 3 9 2 3 13 5 4 3 11 7 2 25 11 4 6 6 3 9 25 5 7 5 4 6 7
"quick" 0 5 1 0 6 3 0 6 9 2 1 5 0 3 0 4 0 3 1 0 4 5 2 5 4 4 0 4 3 1 1 2 1 2 1 1 3 1 4 2 1 1 2 4 1 3 3 1 3 2 1 5 4 2 2 4 4 0 12 0 6 3 3 4 3 3 0 8 0 1 1 1 5 3 2 2 3 0 0 5 5 2 14 2 2 4 1 1 2 4 1 1 0 2 2 3
"quiet" 5 1 10 6 8 4 3 4 13 3 4 5 5 4 2 6 11 1 4 5 3 10 4 3 14 4 0 12 1 5 3 5 4 7 2 6 5 2 4 5 2 3 2 6 0 1 7 2 5 5 4 7 13 2 5 4 6 1 18 6 0 4 1 7 2 2 2 11 6 3 4 1 6 7 4 7 2 3 2 9 8 1 21 16 2 9 3 4 0 14 3 1 7 5 2 7
"rough" 1 1 4 0 2 3 1 5 6 0 5 0 1 3 1 2 3 0 4 4 0 2 4 3 3 1 0 6 2 0 0 1 0 1 2 9 4 1 0 0 1 2 2 3 1 0 4 2 2 0 0 6 8 0 3 1 3 0 6 3 4 0 1 3 2 1 2 1 2 1 3 2 1 1 1 1 1 0 2 3 1 0 8 3 0 3 1 3 6 5 2 1 0 2 2 1
"sad" 1 1 0 1 4 2 0 4 3 0 2 0 2 1 1 3 1 1 1 2 1 5 1 2 3 0 1 2 1 1 2 3 2 0 0 1 1 2 0 2 0 1 0 6 2 0 3 1 4 1 0 4 2 0 2 0 3 3 4 3 1 1 0 2 1 0 2 3 1 1 1 0 1 3 1 0 2 1 1 1 2 0 8 5 2 1 2 3 0 2 1 2 2 2 0 2
"second" 2 4 6 2 12 2 8 4 13 1 4 2 5 3 1 1 5 3 1 4 0 7 2 3 10 3 2 7 2 3 2 2 2 7 3 4 3 0 2 4 4 7 2 6 1 3 0 1 3 2 2 8 9 4 9 0 6 1 12 4 7 3 2 0 2 3 4 8 3 3 3 4 6 9 2 2 2 2 1 10 7 3 20 6 3 4 0 2 4 12 4 2 5 4 1 3
"sensible" 1 1 0 1 2 2 1 1 1 2 1 1 2 1 1 2 3 1 0 3 0 0 3 0 6 2 2 2 1 0 0 3 1 3 1 0 4 2 0 1 2 0 2 3 1 3 1 0 1 0 0 2 7 0 2 0 4 1 5 3 2 2 1 2 0 1 0 4 0 3 2 1 3 1 2 1 2 0 1 1 0 0 7 4 2 1 1 1 1 2 1 2 0 2 2 1
"serious" 0 1 2 2 2 3 2 0 2 1 0 2 0 0 0 2 2 0 0 0 1 3 2 2 2 0 0 3 0 0 1 1 3 1 2 2 1 0 1 1 2 0 0 2 1 1 1 0 0 2 2 2 2 2 0 0 1 1 7 3 2 1 0 3 1 0 0 3 0 0 0 1 1 0 1 3 0 2 1 4 0 0 6 3 2 2 1 0 0 4 0 1 0 0 1 2
