"active" "affectionate" "bitter" "bold" "busy" "calm" "careful" "certain" "cheerful" "clean" "close" "cold" "cruel" "curious" "delicate" "dignified" "eager" "earnest" "easy" "exact" "expressive" "faithful" "familiar" "fast" "fearful" "fierce" "free" "fresh" "general" "gentle" "gloomy" "gracious" "grateful" "handsome" "hasty" "haughty" "hearty" "heavy" "helpless" "honest" "humane" "humble" "hurried" "impatient" "intense" "irrepressible" "kind" "lively" "lonely" "loud" "melancholy" "merry" "mute" "natural" "neat" "noisy" "open" "particular" "peaceful" "pleasant" "precise" "proud" "quick" "quiet" "rapid" "respectful" "rigid" "rough" "rueful" "rusty" "sad" "second" "serious" "silent" "simple" "slow" "soft" "solemn" "stiff" "strong" "sudden" "sure" "surly" "sweet" "thoughtful" "tight" "tremulous" "true" "ugly" "ungrateful" "violent" "virtuous" "weak" "wise"
"close" 1 1 1 1 0 2 1 2 1 2 0 7 1 1 1 2 2 2 2 3 4 0 1 1 2 1 2 3 2 2 3 0 0 2 1 1 2 5 1 0 0 1 2 1 0 0 0 1 4 5 1 0 1 0 1 1 6 3 1 2 1 0 2 4 0 0 0 3 1 2 0 5 0 5 0 2 2 4 2 5 2 4 1 4 0 2 1 1 3 0 3 1 2 1
"cold" 2 2 3 2 2 4 3 12 3 3 7 0 3 0 1 2 4 4 2 2 1 1 3 1 3 2 4 4 4 8 6 1 5 2 2 0 2 9 1 0 2 2 1 2 2 0 5 1 7 10 2 1 0 1 5 2 10 7 1 1 2 1 4 8 5 3 2 3 0 4 4 7 2 7 0 4 3 0 4 12 5 11 0 7 1 2 0 5 4 3 6 1 5 1
"cruel" 0 0 1 0 0 1 0 2 1 0 1 3 0 0 0 0 0 2 0 0 0 0 0 0 2 1 1 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 2 0 1 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 2 0 0 1 0 0 2 0 3 0 2 0 0 0 0 0 1 1 0 0 0
"curious" 1 0 0 0 0 0 1 1 2 1 1 0 0 0 1 1 0 1 2 1 1 0 1 0 0 1 2 0 2 1 0 0 0 0 2 1 2 2 0 2 0 0 0 1 0 1 0 2 0 0 0 2 1 1 1 0 0 1 0 1 0 0 1 2 0 0 0 2 1 0 1 0 1 1 0 1 0 0 0 4 4 4 0 0 1 1 0 0 1 1 3 0 0 1
"delicate" 0 0 1 0 2 0 0 3 0 2 1 1 0 1 0 1 1 1 0 0 1 2 3 0 0 0 1 1 1 2 3 1 1 1 1 1 0 1 1 2 0 0 0 0 1 0 1 0 0 0 1 0 1 1 2 0 1 2 0 4 0 1 1 2 1 1 0 1 0 1 2 0 0 2 0 0 1 0 0 5 4 1 1 1 1 0 0 2 0 0 2 0 1 0
"dignified" 0 0 0 0 1 1 0 0 0 0 2 2 0 1 1 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 2 1 0 0 0 0 0 0 1 0 1 0 0 1
"eager" 0 1 0 0 0 1 0 1 0 1 2 4 0 0 1 0 0 0 0 0 1 0 0 0 1 1 1 0 2 3 0 0 1 1 0 0 1 2 0 0 0 1 0 2 1 0 3 0 2 2 1 0 1 0 1 0 1 1 0 1 1 0 1 2 1 0 1 0 0 0 2 3 0 2 0 2 0 2 0 2 1 1 0 1 1 0 1 0 2 1 4 0 1 0
"earnest" 0 1 0 0 1 1 3 1 3 1 2 4 2 1 1 0 0 0 1 0 0 0 0 0 2 0 3 2 0 3 1 1 2 1 0 0 0 5 2 2 0 2 2 1 1 0 1 0 3 1 1 0 1 1 0 0 4 0 1 2 0 1 1 1 1 0 0 2 0 1 2 0 1 4 1 0 0 0 0 5 4 4 1 3 0 0 0 5 1 0 2 0 0 0
"easy" 0 1 0 2 0 2 2 1 1 0 2 2 0 2 0 0 0 1 0 0 0 1 0 0 1 1 4 1 3 3 0 0 0 0 0 2 1 2 0 1 1 0 1 0 0 0 2 1 0 2 0 1 0 1 1 0 4 4 1 1 0 1 0 0 0 0 0 0 1 0 0 2 0 1 0 0 3 1 1 2 1 2 0 1 2 2 0 1 1 0 0 0 2 0
"exact" 0 0 0 0 1 0 0 0 0 0 3 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 2 0 0 1 0 0 0 0 0 0 0 0 2 1 0 2 0 0 0 3 1 0 0 3 0 0 0 0 1 0 0 1 0 1
"expressive" 0 0 0 0 0 1 0 0 0 0 4 1 0 1 1 1 1 0 0 0 0 0 1 0 1 1 1 2 2 0 3 0 0 0 0 0 1 3 0 0 0 0 0 1 1 0 0 1 0 3 1 2 1 0 0 0 2 1 0 0 1 0 0 3 0 0 0 1 0 1 0 1 0 1 0 0 0 1 1 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0
"faithful" 0 0 0 0 1 0 1 1 0 0 0 1 0 0 2 1 0 0 1 0 0 0 1 0 0 0 4 1 0 2 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 2 0 1 1 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 2 1 0 0 0 0 0 1 0 1 1 0 0 0
"familiar" 0 0 0 0 0 0 0 3 0 0 1 3 0 1 3 0 0 0 0 0 1 1 0 1 0 0 0 2 1 1 1 0 1 1 1 0 0 3 2 3 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 2 1 0 1 0 0 1 2 2 0 0 0 0 0 0 2 0 4 0 0 2 0 0 3 2 1 0 0 1 1 1 1 1 0 1 0 1 0
"fast" 0 0 0 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 3 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 3 0 0 0 0 1 1 0 3 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 1 0 0 2 0 1 0
"fearful" 0 0 1 0 0 2 1 0 1 1 2 3 2 0 0 0 1 2 1 0 1 0 0 0 0 1 2 0 1 2 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 1 0 2 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 2 1 0 4 0 0 0 1 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0
"fierce" 0 0 2 0 1 0 0 2 0 0 1 2 1 1 0 0 1 0 1 0 1 0 0 0 1 0 0 1 2 2 1 0 0 1 1 1 1 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 1 0 1 0 0 1 2 2 0 0 0 1 0 1 2 0 2 0 0 0 0 0 4 1 1 0 0 1 0 1 1 0 0 2 1 0 0
"free" 1 1 0 1 1 0 3 1 0 0 2 4 1 2 1 1 1 3 4 1 1 4 0 0 2 0 0 3 2 2 0 0 1 0 1 0 1 0 0 1 0 2 1 1 0 0 1 0 2 3 0 1 3 1 1 0 3 3 0 1 1 2 0 3 2 0 0 0 1 0 1 1 0 3 1 1 2 2 0 3 4 4 0 0 0 1 0 2 0 1 2 0 1 0
"fresh" 1 0 1 1 0 1 2 3 2 1 3 4 1 0 1 1 0 2 1 0 2 1 2 1 0 1 3 0 1 2 3 0 0 1 1 0 2 4 1 2 0 1 1 0 1 0 1 1 2 2 0 0 1 0 1 1 5 2 1 2 0 2 1 2 3 0 0 1 1 0 0 4 0 3 1 0 3 1 2 5 1 6 0 2 0 1 1 4 1 2 2 1 2 1
"general" 0 1 0 2 0 0 1 3 0 1 2 4 0 2 1 0 2 0 3 0 2 0 1 0 1 2 2 1 0 3 1 1 1 1 1 1 0 2 1 0 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 0 3 6 0 1 0 0 1 1 1 0 0 2 0 1 1 2 0 2 1 1 1 2 0 3 1 0 0 0 1 1 1 4 1 0 1 2 1 1
"gentle" 1 1 1 0 1 3 2 3 2 4 2 8 0 1 2 0 3 3 3 1 0 2 1 1 2 2 2 2 3 0 1 1 4 2 0 2 2 4 1 1 1 2 1 2 0 1 8 3 3 1 0 0 1 2 3 1 2 3 1 6 1 4 3 5 1 2 0 1 1 0 4 2 1 4 2 3 8 4 2 6 3 6 0 9 3 0 0 3 1 2 3 1 5 1
"gloomy" 0 0 0 0 2 1 0 3 1 0 3 6 0 0 3 1 0 1 0 0 3 0 1 1 0 1 0 3 1 1 0 0 0 1 0 1 1 6 2 0 0 0 0 0 2 0 1 2 2 4 2 0 1 0 0 0 7 1 0 2 0 0 3 3 1 1 0 1 0 2 2 2 0 1 0 0 0 0 1 4 0 0 1 0 1 0 0 2 0 1 2 0 2 0
"gracious" 0 0 0 0 0 0 0 1 0 2 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 1 1 3 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 2 1 1 1 1 0 0 1 1 0 0 1 1 0 0
"grateful" 0 0 1 0 0 0 2 1 1 1 0 5 0 0 1 0 1 2 0 0 0 0 1 0 1 0 1 0 1 4 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 1 1 0 0 0 1 2 0 0 1 0 0 0 0 0 2 1 1 0 0 0 0 4 0 0 1 0 2 1 0 0 2 2 2 0 2 1 0 0 1 1 1 1 0 1 1
"handsome" 0 1 0 0 0 0 0 2 2 1 2 2 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 1 1 2 1 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 4 0 1 1 1 0 2 2 1 0 1 1 1 1 1 0 3 0 3 0 1 0 0 1 2 0 0 0 1 1 0
"hasty" 1 0 0 0 0 0 0 3 0 0 1 2 0 2 1 1 0 0 0 1 0 1 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 5 0 0 0 0 0 4 2 1 0 1 1 0 0 1 0 1 0 2 0 0 0 5 2 3 0 1 0 0 0 3 1 0 0 0 0 2
"haughty" 0 1 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 2 0 0 0 0 0 1 1 0 0 1 2 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 1 2 0 0 0 0 0 0 0 0 0
"hearty" 0 0 0 0 1 0 0 0 0 1 2 2 0 2 0 0 1 0 1 1 1 0 0 0 0 1 1 2 0 2 1 0 1 0 0 0 0 0 1 0 0 0 2 1 1 0 2 1 0 1 0 1 0 1 1 0 0 0 0 0 1 1 1 4 0 0 0 1 0 0 1 0 1 1 0 1 0 0 0 3 1 2 0 2 1 1 1 2 2 2 2 0 0 0
"heavy" 1 2 1 1 4 5 3 4 4 0 5 9 2 2 1 1 2 5 2 0 3 0 3 3 1 1 0 4 2 4 6 0 0 2 1 2 0 0 4 1 0 1 3 2 1 1 3 3 5 8 3 2 1 0 0 2 11 4 1 3 2 2 5 5 5 1 2 3 2 0 1 6 1 11 3 2 5 3 2 7 4 7 1 1 2 2 1 7 3 1 7 1 3 0
"helpless" 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 0 2 0 0 0 1 2 1 0 0 0 1 1 1 2 1 0 0 0 0 1 4 0 1 0 1 2 0 1 0 0 0 3 2 1 0 0 1 0 0 3 1 1 1 0 1 3 1 1 0 0 1 0 0 0 0 0 4 1 0 1 0 0 4 1 0 0 0 0 0 2 4 1 0 2 1 1 0
"honest" 0 0 0 0 0 1 2 2 3 0 0 0 0 2 2 0 0 2 1 0 0 1 3 0 0 0 1 2 0 1 0 0 0 1 1 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 2 0 0 1 2 0 0 1 2 2 3 1 0 2 1 0 3 2 3 0 0 0 0 1 0 1 0 0 0 1 0
"humane" 0 0 0 0 0 1 0 1 1 1 0 2 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 1 0 0 0 1 1 0 1 0 1 1 0 1 0 3 1 0 0 0 0 0 0 0 0 0 1 1
"humble" 0 1 0 0 1 0 1 0 0 1 1 2 0 0 0 0 1 2 0 1 0 0 0 0 1 0 2 1 0 2 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 3 1 1 0 0 0 1 1 1 1 2 2 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 1 1 0 2 0 0 0 2 1 0 0 1 0 0
"hurried" 0 0 0 0 1 0 0 0 1 0 2 1 0 0 0 0 0 2 1 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 1 0 2 3 2 0 0 0 0 1 1 1 0 0 0 1 0 1 1 0 0 0 3 0 0 0 1 0 2 3 0 0 0 1 0 0 0 0 2 4 0 0 0 0 0 3 0 3 0 1 0 0 1 3 1 0 2 0 0 0
"impatient" 1 0 0 0 2 0 1 1 1 0 1 2 0 1 0 0 2 1 0 1 1 0 0 0 1 0 1 0 1 2 0 0 0 0 0 0 1 2 0 1 0 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 2 0 1 0 0 0 0 1 0 0 0 1 2 2 0 0 0 2 0 2 1 2 0 1 0 0 0 0 0 0 1 0 0 0
"intense" 1 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0 1 1 0 2 1 0 0 1 0 1 1 1 0 0 0 1 0 0 1 1 0 1 0 0 1 1 1 0 0 2 2 0 0 0 0 1 3 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 4 1 2 0 0 0 0 1 3 0 0 2 1 0 0
"irrepressible" 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 1 0 1 0 2 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 1 1 2 0 0 0 0 0 1 0 0 3 0 0 0
"kind" 0 1 0 0 0 2 1 3 1 1 0 5 0 0 1 0 3 1 2 0 0 1 0 0 1 0 1 1 1 8 1 0 2 2 0 1 2 3 0 1 1 0 0 1 1 1 0 1 1 1 1 0 1 1 2 0 0 0 1 1 0 3 1 6 1 1 0 0 0 1 3 1 0 3 0 2 3 1 0 4 0 3 0 5 1 0 0 2 1 2 2 0 3 1
"lively" 0 0 0 0 1 1 0 1 0 0 1 1 0 2 0 1 0 0 1 0 1 0 0 0 0 1 0 1 1 3 2 0 0 0 0 1 1 3 0 0 1 0 0 0 0 1 1 0 0 2 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 3 0 1 1 0 2 1 1 2 1 1 2 1 1 0 0 0 0 1 2 0 2 1
"lonely" 0 0 0 0 1 2 1 2 0 1 4 7 1 0 0 0 2 3 0 0 0 0 1 1 2 0 2 2 1 3 2 1 1 0 0 0 0 5 3 0 0 3 0 1 1 0 1 0 0 2 2 0 0 1 1 2 4 1 2 1 1 1 2 2 3 0 1 2 0 0 1 3 0 2 1 1 1 2 0 3 2 0 0 1 0 0 1 2 0 0 3 1 1 0
"loud" 1 0 1 0 2 1 1 3 0 0 5 10 2 0 0 1 2 1 2 0 3 1 1 1 1 0 3 2 1 1 4 1 1 0 0 0 1 8 2 0 0 1 1 1 0 1 1 2 2 0 1 2 3 1 1 2 6 2 0 0 1 1 3 3 2 0 0 0 0 0 1 3 0 5 0 3 0 1 2 5 3 5 2 1 1 1 1 2 2 1 6 0 2 0
"melancholy" 0 0 0 0 1 0 0 1 0 0 1 2 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0 0 1 0 2 0 0 1 0 0 0 3 1 0 0 1 0 0 0 0 1 0 2 1 0 0 0 0 0 1 2 0 1 0 0 1 0 1 0 0 0 0 0 2 1 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 0 0 0
"merry" 0 1 0 0 0 1 0 0 0 0 0 1 1 2 0 0 0 0 1 0 2 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 1 2 0 0 0 0 1 0 1 2 0 0 0 2 0 0 1 1 2 0 0 0 1 0 0 1 0 2 0 0 1 1 0 1 0 1 1 1 0 0 0 0 0 1 0 1 0 0 1 2 0 0 0 0 1 0 1 0
"mute" 0 0 0 0 2 0 0 1 0 1 1 0 0 1 1 0 1 1 0 0 1 1 0 0 1 0 3 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 1 1 1 1 1 0 3 0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 1 2 0 0 1 1 0 1 2 2 2 1 0 0 0 0 0 1 4 0 1 0
"natural" 0 0 0 0 0 0 1 1 0 1 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 1 0 1 2 0 3 1 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1 1 0 1 1 0 2 0 1 2 0 0 1 0 0 1 0 1 1 0 0 0 0 1 0 0 1 1 0 0 1 2 2 1 1 3 0 1 2 1 0 0 1 1 1 1
"neat" 0 0 0 0 0 1 1 1 0 3 1 5 0 1 2 0 1 0 1 0 0 0 1 0 0 0 1 1 1 3 0 1 2 1 0 0 1 0 0 0 0 1 0 0 0 0 2 0 1 1 0 2 0 2 0 1 0 1 2 2 0 0 2 3 1 2 1 0 0 1 1 2 0 2 0 1 1 1 0 2 2 1 0 2 0 2 0 1 0 0 0 0 3 1
"noisy" 0 0 2 0 0 0 0 0 1 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 2 2 1 0 0 0 1 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 1 0 3 0 1 1 1 2 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0
"open" 3 2 0 2 3 1 0 5 5 0 6 10 1 0 1 0 1 4 4 0 2 0 2 3 0 1 3 5 3 2 7 1 0 0 2 0 0 11 3 1 0 1 3 1 2 0 0 1 4 6 2 0 1 1 0 1 0 4 0 3 0 1 5 3 7 0 0 4 0 1 0 4 0 8 2 3 4 1 1 9 7 8 0 1 0 0 1 6 1 2 3 2 4 0
"particular" 2 2 0 2 1 0 2 4 0 2 3 7 0 1 2 1 1 0 4 2 1 1 1 0 0 1 3 2 6 3 1 1 1 0 5 1 0 4 1 0 1 1 0 0 2 0 0 1 1 2 0 0 0 2 1 0 4 0 0 1 2 0 2 3 1 2 0 0 2 0 1 5 0 3 1 2 2 0 2 8 5 4 0 1 2 1 2 5 3 0 0 1 2 3
"peaceful" 0 0 0 0 1 2 0 0 1 1 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 1 1 2 0 0 0 0 1 0 2 0 1 1 0 0 2 1 0 0 0 1 0 1 1 1 0 0 1 0 0 1 0 2 0 0 0 0 2 2 0 1 0 1 0 1 0 1 0 1 0 0 0 0 2 0
"pleasant" 1 1 1 0 1 1 0 2 2 2 2 1 0 1 4 0 1 2 1 1 0 1 1 0 0 1 1 2 1 6 2 0 0 1 0 1 0 3 1 1 0 2 0 0 0 1 1 0 1 0 0 0 0 0 2 1 3 1 1 0 0 0 2 4 0 1 0 2 0 0 2 1 1 2 1 0 3 2 0 4 3 3 1 2 1 0 0 3 0 0 1 2 1 0
"precise" 0 0 0 0 1 1 0 1 0 0 1 2 0 0 0 0 1 0 0 2 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 1 2 0 0 0 0 1 1 0 0 0 1 0 0 0 2 0 0 0 0 0 1 1 0 1 0 0 0 0 2 1 0 0 0 0 0 0 2 2 0 0 1 0 0 1 0 0 0 0 0 0 0
"proud" 0 0 0 0 2 1 0 1 0 0 0 1 0 0 1 1 0 1 1 0 0 2 0 1 1 0 2 2 0 4 0 0 0 0 0 1 1 2 1 1 0 1 0 0 0 0 3 0 1 1 1 1 1 0 0 0 1 0 1 0 0 0 0 0 2 0 1 0 0 0 1 0 1 1 0 0 2 0 0 0 2 0 0 3 0 0 0 2 0 1 1 0 0 0
"quick" 1 0 1 0 4 1 0 1 1 3 2 4 0 1 1 0 1 1 0 0 0 0 1 1 0 1 0 1 1 3 3 0 0 0 0 1 1 5 3 0 2 1 2 1 1 0 1 1 2 3 0 0 1 0 2 1 5 2 1 2 0 0 0 1 4 1 0 2 0 1 1 3 0 6 1 0 2 1 0 4 2 4 1 1 1 0 1 2 1 0 2 0 0 1
"quiet" 1 2 1 0 0 3 1 8 1 1 4 8 2 2 2 1 2 1 0 1 3 1 2 0 0 2 3 2 1 5 3 0 2 4 4 0 4 5 1 2 0 0 3 0 3 1 6 0 2 3 1 2 1 1 3 1 3 3 1 4 1 0 1 0 1 1 2 3 0 2 4 3 2 4 3 3 3 4 2 10 2 7 1 3 1 1 2 7 2 1 3 1 4 2
"rapid" 1 0 1 0 3 1 1 4 0 0 0 5 0 0 1 1 1 1 0 0 0 1 2 3 1 2 2 3 1 1 1 0 1 0 2 0 0 5 1 0 0 1 0 0 0 0 1 0 3 2 0 0 0 0 1 0 7 1 0 0 1 2 4 1 0 0 1 1 0 0 1 2 0 4 0 0 1 0 0 1 6 0 0 1 0 0 0 1 0 0 2 1 1 0
"respectful" 0 0 0 0 1 0 1 0 1 1 0 3 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 2 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 2 0 0 0 1 0 3 0 2 1 0 0 2 0 0 0 0 1 1
"rigid" 0 0 0 0 0 2 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 1 0 1 1 0 2 1 0 0 0 0 1 1 2 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 0 0 0 0 1 1 0
