"affectionate" "bold" "busy" "calm" "careful" "certain" "cheerful" "clean" "close" "cold" "constant" "cool" "cruel" "cunning" "curious" "earnest" "easy" "exact" "faithful" "familiar" "fearful" "free" "fresh" "friendly" "gay" "general" "genteel" "gentle" "gloomy" "graceful" "grateful" "handsome" "hasty" "hearty" "heavy" "helpless" "honest" "humble" "impatient" "kind" "lonely" "loud" "melancholy" "merry" "mild" "modest" "mournful" "natural" "noisy" "open" "original" "particular" "patient" "peaceful" "pleasant" "quick" "quiet" "restless" "rough" "rusty" "sad" "second" "serious" "silent" "simple" "slow" "smooth" "sober" "soft" "solemn" "strong" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "thoughtful" "tight" "timid" "true" "ugly" "uncertain" "vague" "violent" "weak"
"free" 4 2 3 3 4 13 8 0 6 7 4 3 0 3 3 1 6 1 2 4 1 0 8 4 1 3 2 7 2 2 5 3 4 1 8 1 2 7 1 5 3 2 2 2 3 0 3 3 4 12 5 7 2 3 9 1 7 2 4 2 5 6 0 5 3 7 2 2 3 3 8 4 0 13 7 1 3 4 3 2 3 1 0 5 1 2
"fresh" 1 1 1 2 4 5 3 2 3 8 2 5 0 2 4 2 4 0 0 4 2 8 0 2 2 4 0 3 2 0 6 2 4 1 6 2 0 6 2 4 1 3 2 1 2 2 3 7 3 6 3 5 2 0 3 3 4 2 4 3 1 2 3 3 1 9 1 2 0 5 5 4 1 11 3 1 1 2 0 4 7 4 2 2 1 2
"friendly" 1 1 0 1 2 4 4 1 4 8 1 0 0 0 1 4 5 1 0 1 0 4 2 0 1 4 1 5 1 3 1 0 2 0 0 0 2 3 3 2 1 3 1 1 1 1 2 5 1 3 2 10 1 0 6 2 2 2 2 0 0 2 1 3 2 1 1 1 0 2 11 5 2 10 1 0 0 1 2 0 4 1 1 1 3 1
"gay" 0 0 0 0 0 1 3 1 2 1 1 0 0 2 0 2 1 0 0 0 0 1 2 1 0 1 0 1 2 0 1 1 0 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 4 2 2 0 0 5 1 1 2 1 0 0 1 0 3 0 0 0 0 1 1 0 2 0 1 1 1 0 2 1 2 0 1 0 2 0 0
"general" 2 3 0 0 2 6 2 0 3 7 1 1 1 1 0 3 1 1 0 3 1 3 4 4 1 0 2 5 1 1 3 1 0 0 4 1 4 5 2 3 2 2 0 2 1 2 0 4 2 5 3 4 0 0 2 4 3 0 0 0 2 1 1 2 1 1 1 1 1 4 6 4 2 9 1 2 2 1 0 3 3 1 0 1 0 2
"genteel" 1 1 1 0 0 4 2 0 0 2 1 0 0 0 1 1 1 0 0 1 1 2 0 1 0 2 0 1 0 1 2 2 0 0 1 0 1 1 0 0 1 1 0 1 1 0 0 1 0 1 2 1 0 0 1 1 0 0 1 1 0 1 1 2 1 1 0 0 0 1 2 0 1 3 1 1 1 2 0 0 0 0 1 0 0 0
"gentle" 3 0 1 4 0 10 5 1 6 10 4 1 3 2 3 6 8 3 3 3 0 7 3 5 1 5 1 0 5 2 4 0 1 2 3 0 3 5 1 6 3 1 0 1 3 2 1 2 3 8 2 6 3 1 4 1 7 4 3 1 3 3 1 10 5 3 1 0 3 3 9 2 3 12 3 5 2 3 1 4 4 4 2 3 1 2
"gloomy" 1 1 2 0 0 3 5 0 5 8 3 0 0 0 1 5 5 0 1 2 2 2 2 1 2 1 0 5 0 0 2 0 1 1 4 2 3 1 2 5 1 0 0 2 3 0 5 3 2 7 2 0 1 2 4 1 5 2 3 2 5 1 0 5 3 5 0 0 1 2 5 2 2 6 1 3 0 4 1 3 3 1 2 2 1 1
"graceful" 2 1 0 0 0 3 1 1 2 2 0 0 0 0 0 0 3 2 0 1 2 2 0 3 0 1 1 2 0 0 2 0 0 0 0 0 1 2 1 1 0 0 0 0 0 0 0 1 2 3 0 3 0 0 3 0 0 0 1 0 0 2 0 0 0 1 0 0 1 2 2 1 1 3 0 0 0 0 1 1 2 0 0 0 1 1
"grateful" 2 0 2 0 5 5 5 1 2 8 1 1 1 2 2 2 2 2 1 1 0 5 6 1 1 3 2 4 2 2 0 0 2 2 5 1 1 3 1 5 3 1 1 1 1 0 4 1 1 8 3 3 1 0 3 5 3 0 3 2 4 2 0 5 3 6 0 2 1 1 3 3 1 5 2 1 2 3 1 2 2 2 0 3 0 3
"handsome" 0 1 0 1 1 2 0 1 1 0 0 1 0 0 0 0 2 1 1 0 0 3 2 0 1 1 2 0 0 0 0 0 1 0 1 0 1 0 0 1 1 1 1 0 0 1 1 3 1 2 0 2 0 0 2 1 2 0 0 1 0 3 1 2 1 0 1 0 1 1 4 0 0 3 1 0 0 0 0 2 1 0 1 2 0 1
"hasty" 1 0 0 1 1 1 0 0 1 2 0 1 2 0 1 1 2 0 1 0 0 4 4 2 0 0 0 1 1 0 2 1 0 1 1 0 0 2 1 3 2 1 2 1 0 0 1 2 0 3 3 1 0 0 2 1 3 0 0 1 1 2 0 2 0 0 0 0 0 0 3 3 1 5 2 1 0 1 1 0 3 0 1 1 0 2
"hearty" 1 0 1 1 1 1 2 0 1 1 1 1 1 0 0 1 2 1 1 1 1 1 1 0 0 0 0 2 1 0 2 0 1 0 1 1 0 0 0 2 1 1 1 0 0 2 0 0 1 4 0 1 0 0 2 0 1 0 1 0 2 2 1 0 0 1 0 0 1 0 1 3 0 3 0 2 0 1 0 1 2 0 1 0 0 1
"heavy" 1 1 4 0 0 8 4 2 5 8 3 2 1 2 5 2 3 0 2 2 2 8 6 0 1 4 1 3 4 0 5 1 1 1 0 1 1 6 1 6 5 2 2 0 3 1 5 5 3 14 4 4 1 0 4 2 5 3 5 1 2 3 3 6 4 7 1 1 2 2 4 1 1 6 4 1 0 4 3 4 2 2 4 5 3 3
"helpless" 1 1 1 1 1 1 1 0 2 1 0 1 0 0 1 1 4 0 0 1 1 1 2 0 0 1 0 0 2 0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 1 1 0 2 0 0 0 0 0 2 0 1 3 0 1 0 1 0 1 0 4 0 0 1 1 0 2 2 0 2 0 1 3
"honest" 4 2 0 1 2 6 3 0 5 5 1 0 2 0 0 2 3 0 1 2 1 2 0 2 1 4 1 3 3 1 1 1 0 0 1 0 0 2 2 3 0 4 1 1 2 1 1 3 0 13 3 6 0 1 6 3 4 0 0 2 6 0 0 3 1 3 1 0 2 2 4 3 1 14 2 1 2 1 1 1 6 1 1 1 1 1
"humble" 3 2 3 1 2 3 2 3 5 8 2 3 2 2 3 4 4 1 1 4 1 7 6 3 1 5 1 5 1 2 3 0 2 0 6 1 2 0 1 5 1 0 2 2 1 0 2 4 8 9 4 5 1 1 4 1 9 1 3 2 1 2 1 4 3 5 3 1 1 3 5 3 4 10 1 3 1 1 0 4 9 3 1 2 0 3
"impatient" 0 1 2 0 1 1 1 0 2 4 0 0 1 2 0 2 1 0 0 0 0 1 2 3 0 2 0 1 2 1 1 0 1 0 1 0 2 1 0 4 1 0 1 1 0 0 1 2 1 3 1 3 0 1 3 2 2 1 0 2 1 2 0 0 0 3 0 0 0 0 2 2 1 4 1 1 1 0 0 1 2 1 1 0 1 1
"kind" 5 3 3 2 3 6 2 1 5 5 1 1 2 1 2 7 1 0 4 3 0 5 4 2 1 3 0 6 5 1 5 1 3 2 6 1 3 5 4 0 2 0 0 1 2 2 0 5 3 9 3 4 3 1 7 6 9 0 1 1 5 4 0 10 5 3 1 1 2 1 4 2 2 16 2 1 2 4 1 4 5 3 2 3 3 3
"lonely" 0 1 0 0 1 6 4 0 5 5 0 0 1 1 1 2 4 2 1 1 0 3 1 1 0 2 1 3 1 0 3 1 2 1 5 1 0 1 1 2 0 0 1 1 1 0 1 1 0 3 1 2 0 0 3 2 2 0 0 1 3 3 2 3 4 1 0 0 1 0 5 1 0 3 2 1 1 2 0 1 1 0 2 1 2 4
"loud" 1 0 2 1 2 3 6 0 3 4 1 0 0 0 0 0 1 0 0 0 1 2 3 3 1 2 1 1 0 0 1 1 1 1 2 1 4 0 0 0 0 0 1 1 1 1 3 5 0 4 3 2 0 0 4 3 1 0 3 1 2 1 2 2 2 0 2 0 1 2 3 2 1 4 2 0 2 4 1 1 1 1 1 1 1 1
"melancholy" 0 1 1 0 0 0 2 1 1 2 0 0 2 0 0 1 1 0 0 2 0 2 2 1 0 0 0 0 0 0 1 1 2 1 2 0 1 2 1 0 1 1 0 0 0 0 6 2 0 6 2 3 0 0 2 0 2 0 1 1 4 2 0 3 2 1 0 0 0 1 3 3 0 8 2 3 0 2 1 0 6 2 2 1 1 3
"merry" 0 2 0 0 1 1 0 0 3 3 1 0 0 1 0 2 1 1 1 1 0 2 1 1 0 2 1 1 2 0 1 0 1 0 0 1 1 2 1 1 1 1 0 0 0 0 0 0 0 1 2 1 0 1 1 0 3 0 0 2 0 1 1 2 0 1 0 0 1 1 2 1 0 5 1 0 1 1 0 1 1 0 1 0 0 1
"mild" 2 0 0 1 2 7 4 1 3 2 1 1 0 0 1 2 1 1 0 0 0 3 2 1 0 1 1 3 3 0 1 0 0 0 3 0 2 1 0 2 1 1 0 0 0 0 1 2 0 3 1 1 1 1 0 1 3 1 0 2 3 0 0 1 4 0 0 0 1 2 5 0 1 6 1 1 1 2 0 0 2 2 1 1 0 4
"modest" 1 0 0 1 1 3 1 1 3 3 0 1 0 0 0 1 0 2 0 1 0 0 2 1 1 2 0 2 0 0 0 1 0 2 1 0 1 0 0 2 0 1 0 0 0 0 0 1 0 3 0 2 0 0 0 1 2 0 2 0 0 2 0 1 0 0 0 2 2 1 2 0 0 4 1 1 0 1 0 1 0 0 1 0 1 1
"mournful" 0 1 3 1 1 1 8 1 2 5 1 0 0 0 1 1 4 0 0 1 0 3 3 2 1 0 0 1 5 0 4 1 1 0 5 0 1 2 1 0 1 3 6 0 1 0 0 4 0 7 3 2 0 0 4 1 6 1 2 3 4 3 1 6 4 3 0 0 0 3 3 5 1 6 4 2 0 2 3 2 3 2 2 2 1 1
"natural" 3 0 2 1 3 7 5 2 4 6 2 3 1 1 2 4 5 2 1 4 1 3 7 5 1 4 1 2 3 1 1 3 2 0 5 0 3 4 2 5 1 5 2 0 2 1 4 0 4 10 5 8 1 1 6 5 6 2 4 3 0 7 2 6 0 1 3 0 0 0 9 4 3 12 2 0 1 3 2 3 3 3 2 0 0 1
"noisy" 4 1 4 0 2 2 2 2 2 4 1 2 1 1 3 3 3 2 1 3 2 4 3 1 0 2 0 3 2 2 1 1 0 1 3 0 0 8 1 3 0 0 0 0 0 0 0 4 0 6 1 4 0 2 4 2 6 3 3 1 2 2 0 3 1 6 3 2 2 2 7 3 1 5 2 2 0 0 0 4 5 0 1 1 1 1
"open" 5 1 9 4 3 8 12 4 11 19 6 5 2 4 3 5 11 2 3 7 6 12 6 3 4 5 1 8 7 3 8 2 3 4 14 1 13 9 3 9 3 4 6 1 3 3 7 10 6 0 12 13 3 2 15 3 15 3 5 6 10 5 2 13 5 10 5 1 5 7 13 8 2 23 6 3 3 7 5 7 10 7 5 5 2 8
"original" 1 2 2 2 0 9 3 0 4 13 3 1 0 2 0 2 4 2 1 3 1 5 3 2 2 3 2 2 2 0 3 0 3 0 4 0 3 4 1 3 1 3 2 2 1 0 3 5 1 12 0 7 1 1 6 4 7 1 5 3 0 3 1 6 4 4 3 2 0 5 9 3 0 8 3 3 3 2 3 0 2 3 3 5 2 2
"particular" 3 2 0 1 3 12 7 1 4 7 1 2 1 3 3 5 10 3 0 2 0 7 5 10 2 4 1 6 0 3 3 2 1 1 4 0 6 5 3 4 2 2 3 1 1 2 2 8 4 13 7 0 0 0 10 4 6 2 1 2 3 7 1 7 1 1 2 1 3 1 15 6 4 14 4 2 2 4 4 3 9 1 1 2 1 3
"patient" 0 0 0 2 0 2 0 0 1 4 1 0 0 0 1 3 1 0 1 0 0 2 2 1 0 0 0 3 1 0 1 0 0 0 1 0 0 1 0 3 0 0 0 0 1 0 0 1 0 3 1 0 0 0 2 0 3 2 1 0 1 1 0 1 1 1 1 0 0 1 3 1 1 1 1 1 2 1 0 1 2 2 1 1 0 0
"peaceful" 1 2 2 1 1 3 1 1 2 2 1 0 1 2 0 1 1 0 1 0 0 3 0 0 0 0 0 1 2 0 0 0 0 0 0 1 1 1 1 1 0 0 0 1 1 0 0 1 2 2 1 0 0 0 2 1 5 0 1 1 1 0 0 2 0 3 0 0 0 2 1 1 0 4 1 1 1 1 0 0 1 0 0 0 0 1
"pleasant" 2 0 3 4 3 9 13 2 5 8 3 1 1 3 1 7 9 1 3 3 7 9 3 6 5 2 1 4 4 3 3 2 2 2 4 1 6 4 3 7 3 4 2 1 0 0 4 6 4 15 6 10 2 2 0 6 11 1 3 1 6 8 2 9 6 2 2 1 1 1 11 6 0 15 5 3 2 4 4 5 8 2 4 4 0 7
"quick" 3 1 1 0 2 6 2 1 6 6 3 0 2 1 3 3 2 0 2 1 4 1 3 2 1 4 1 1 1 0 5 1 1 0 2 0 3 1 2 6 2 3 0 0 1 1 1 5 2 3 4 4 0 1 6 0 4 1 3 2 1 0 0 5 1 6 2 1 2 0 4 3 1 7 3 0 0 4 0 3 4 2 0 1 0 1
"quiet" 5 4 7 7 6 6 9 1 9 13 3 4 4 2 2 9 12 2 3 4 2 7 4 2 1 3 0 7 5 0 3 2 3 1 5 2 4 9 2 9 2 1 2 3 3 2 6 6 6 15 7 6 3 5 11 4 0 3 0 5 7 3 1 13 5 8 3 3 1 8 14 8 1 22 5 3 2 4 0 8 9 5 8 5 2 8
"restless" 0 0 1 3 1 2 1 2 2 6 4 2 0 0 2 2 2 0 0 2 1 2 2 2 2 0 0 4 2 0 0 0 0 0 3 0 0 1 1 0 0 0 0 0 1 0 1 2 3 3 1 2 2 0 1 1 3 0 2 1 1 0 0 4 2 5 1 2 2 1 4 2 0 2 3 1 1 2 0 1 1 2 0 2 0 1
"rough" 0 0 3 0 1 5 4 2 4 5 3 1 0 1 2 0 3 0 1 0 2 4 4 2 1 0 1 3 3 1 3 0 0 1 5 0 0 3 0 1 0 3 1 0 0 2 2 4 3 5 5 1 1 1 3 3 0 2 0 1 1 1 0 4 2 4 3 1 2 1 2 1 1 7 1 2 0 3 0 1 4 2 1 2 0 1
"rusty" 0 1 2 1 1 2 3 0 2 4 0 1 0 1 1 0 4 2 0 2 0 2 3 0 0 0 1 1 2 0 2 1 1 0 1 0 2 2 2 1 1 1 1 2 2 0 3 3 1 6 3 2 0 1 1 2 5 1 1 0 1 3 0 3 2 2 1 0 0 4 1 1 0 4 2 0 0 1 0 1 1 1 2 0 3 1
"sad" 0 1 3 0 5 3 7 0 3 5 1 1 1 0 1 1 2 0 1 3 1 5 1 0 0 2 0 3 5 0 4 0 1 2 2 0 6 1 1 5 3 2 4 0 3 0 4 0 2 10 0 3 1 1 6 1 7 1 1 1 0 0 0 6 3 5 0 2 3 2 9 2 0 11 2 5 2 2 1 1 8 3 1 1 0 3
"second" 0 0 3 2 1 8 5 1 3 4 0 2 1 2 1 5 6 2 1 1 1 6 2 2 1 1 1 3 1 2 2 3 2 2 3 0 0 2 2 4 3 1 2 1 0 2 3 7 2 5 3 7 1 0 8 0 3 0 1 3 0 0 2 2 1 1 1 2 1 1 5 3 1 6 2 1 1 2 4 3 2 0 2 3 0 1
"serious" 0 0 1 0 2 2 2 0 1 1 0 1 1 0 1 0 1 1 0 0 1 0 3 1 0 1 1 1 0 0 0 1 0 1 3 2 0 1 0 0 2 2 0 1 0 0 1 2 0 2 1 1 0 0 2 0 1 0 0 0 0 2 0 0 1 1 0 0 0 0 3 2 1 5 0 0 0 1 0 2 2 0 2 0 1 2
"silent" 3 2 4 3 3 6 8 3 7 12 6 4 3 0 4 4 5 0 3 5 1 5 3 3 3 2 2 10 5 0 5 2 2 0 6 0 3 4 0 10 3 2 3 2 1 1 6 6 3 13 6 7 1 2 9 5 13 4 4 3 6 2 0 0 5 3 1 3 0 6 10 4 1 15 8 6 2 9 0 5 7 6 4 3 2 8
"simple" 1 1 1 2 1 8 4 0 2 4 1 0 0 0 1 3 2 1 0 0 1 3 1 2 0 1 1 5 3 0 3 1 0 0 4 1 1 3 0 5 4 2 2 0 4 0 4 0 1 5 4 1 1 0 6 1 5 2 2 2 3 1 1 5 0 1 0 0 0 3 3 1 1 7 2 2 3 2 1 2 3 2 1 4 2 6
"slow" 1 3 5 3 3 4 4 4 4 8 4 4 1 3 6 1 5 0 2 3 6 7 9 1 0 1 1 3 5 1 6 0 0 1 7 3 3 5 3 3 1 0 1 1 0 0 3 1 6 10 4 1 1 3 2 6 8 5 4 2 5 1 1 3 1 0 2 4 3 4 5 1 0 9 2 1 1 2 3 2 5 3 1 4 1 4
"smooth" 1 0 2 0 0 1 1 1 3 3 1 1 0 0 1 0 1 1 1 0 0 2 1 1 0 1 0 1 0 0 0 1 0 0 1 0 1 3 0 1 0 2 0 0 0 0 0 3 3 5 3 2 1 0 2 2 3 1 3 1 0 1 0 1 0 2 0 1 1 0 2 0 0 4 1 0 1 0 0 2 1 2 1 1 0 0
"sober" 0 0 2 0 2 4 0 1 3 5 2 1 0 1 2 0 0 1 0 1 0 2 2 1 0 1 0 0 0 0 2 0 0 0 1 1 0 1 0 1 0 0 0 0 0 2 0 0 2 1 2 1 0 0 1 1 3 2 1 0 2 2 0 3 0 4 1 0 1 2 4 0 1 5 2 1 0 0 0 0 1 0 2 2 0 1
"soft" 0 0 2 0 3 2 4 0 3 2 2 0 0 0 1 2 3 0 1 2 0 3 0 0 1 1 0 3 1 1 1 1 0 1 2 0 2 1 0 2 1 1 0 1 1 2 0 0 2 5 0 3 0 0 1 2 1 2 2 0 3 1 0 0 0 3 1 1 0 1 5 0 0 4 1 0 0 1 0 1 1 1 0 1 0 0
"solemn" 1 2 3 3 2 4 3 0 5 8 2 1 0 0 1 1 3 1 1 1 0 3 5 2 1 4 1 3 2 2 1 1 0 0 2 1 2 3 0 1 0 2 1 1 2 1 3 0 2 7 5 1 1 2 1 0 8 1 1 4 2 1 0 6 3 4 0 2 1 0 3 1 0 8 5 2 0 2 0 0 4 1 2 2 2 1
"strong" 3 2 2 6 7 15 8 2 6 16 7 3 1 1 4 6 13 2 2 7 2 8 5 11 0 6 2 9 5 2 3 4 3 1 4 0 4 5 2 4 5 3 3 2 5 2 3 9 7 13 9 15 3 1 11 4 14 4 2 1 9 5 3 10 3 5 2 4 5 3 0 6 5 20 7 4 2 3 4 5 10 7 3 5 2 7
"sudden" 4 2 0 1 2 3 4 2 5 5 2 2 1 1 1 7 6 0 2 3 2 4 4 5 2 4 0 2 2 1 3 0 3 3 1 1 3 3 2 2 1 2 3 1 0 0 5 4 3 8 3 6 1 1 6 3 8 2 1 1 2 3 2 4 1 1 0 0 0 1 6 0 2 6 2 3 1 1 1 3 9 1 1 0 1 1
"sufficient" 0 0 1 0 0 4 1 0 1 3 2 0 0 1 1 2 2 0 0 0 0 0 1 2 0 2 1 3 2 1 1 0 1 0 1 0 1 4 1 2 0 1 0 0 1 0 1 3 1 2 0 4 1 0 0 1 1 0 1 0 0 1 1 1 1 0 0 1 0 0 5 2 0 4 0 2 0 0 1 0 2 1 1 0 0 0
"sure" 8 6 9 5 10 18 10 5 6 14 6 6 5 3 5 10 10 4 3 4 4 13 11 10 1 9 3 12 6 3 5 3 5 3 6 4 14 10 4 16 3 4 8 5 6 4 6 12 5 23 8 14 1 4 15 7 22 2 7 4 11 6 5 15 7 9 4 5 4 8 20 6 4 0 11 8 5 5 3 6 20 6 8 4 5 10
