"affectionate" "bitter" "brave" "busy" "calm" "careless" "certain" "cheerful" "christian" "close" "cold" "compassionate" "confidential" "cool" "cruel" "curious" "delicate" "determined" "direct" "eager" "earnest" "easy" "expressive" "faithful" "familiar" "fierce" "free" "fresh" "friendly" "general" "gentle" "gloomy" "gracious" "handsome" "heavy" "honest" "hopeless" "hurried" "kind" "lonely" "loud" "natural" "observant" "open" "original" "particular" "patriotic" "pleasant" "polite" "quick" "quiet" "restless" "rough" "rusty" "second" "shrewd" "silent" "slow" "soft" "solemn" "steady" "steep" "stiff" "straight" "strong" "submissive" "sudden" "sunny" "sure" "sweet" "swift" "thankful" "timid" "true" "unhappy" "violent" "watchful" "weak"
"direct" 0 1 0 1 0 1 2 0 2 2 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 3 1 1 0 0 2 0 2 0 0 1 1 0 0 2 0 0 0 0 0 1 1 1 1 0 2 0 1 1 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 2 0 0 0 1
"eager" 0 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 1 2 0 0 1 3 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 3 0 1 0 0 0 1 2 1 1 0 0 0 1 0 0 1 2 0 0 1 4 0 0 0 2 0 1 0 1 0 0 1 0 0
"earnest" 1 0 0 0 0 0 3 0 0 1 2 0 0 1 0 2 1 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 2 0 1 0 1 0 2 3 0 1 0 1 1 1 0 0 1 2 0 0 0 3 0 0 0 4 2 1 3 0 1 0 1 0 0
"easy" 0 1 0 1 1 1 4 1 0 2 3 1 0 0 1 0 0 2 0 3 1 0 0 0 1 0 2 2 1 3 0 0 0 0 2 3 0 0 0 1 0 4 0 4 1 1 0 1 1 1 4 0 1 1 0 0 1 0 1 2 2 0 1 2 5 0 3 1 3 1 1 0 1 2 1 0 0 0
"expressive" 0 0 0 0 1 0 3 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 2 0 1 0 0 2 1 1 1 2 0 0 0 1 0 1 2 0 0 1 2 1 1 1 0 2 0 1 1 0 0 1 0 1 3 0 0 0 0 1 0 0 1 1
"faithful" 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 2 0 0 1 0 0 0 0 2 0 2 1 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 2 1 0 0 1
"familiar" 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 2 0 1 1 0 0 1 0 1 0 0 0 1 1 0 2 0 4 0 1 0 1 0 0 0 0 0 0 2 1 0 0 0 0 2 0 0 0 2 0 1 0 1 0 0 0 0 1 0 0 1 2
"fierce" 0 0 1 0 0 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 2 1 0 1 1 0 1 0 0 2 1 0 1 0 1 1 1 0 0 0 0 0 0 0 4 2 0 0 1 0 0 0 0 1 0 0 0 0
"free" 1 0 2 1 1 2 2 0 0 5 3 1 0 1 3 1 0 0 0 0 1 2 0 4 2 0 0 3 1 2 3 1 1 2 2 1 1 1 3 1 2 2 1 7 1 2 1 1 0 2 4 0 1 1 5 0 3 3 0 0 3 0 0 0 7 3 2 1 1 3 1 1 1 6 2 0 1 0
"fresh" 0 0 1 0 0 1 1 0 0 1 3 0 0 1 0 2 2 0 0 0 0 2 0 0 0 0 3 0 0 2 1 1 0 2 6 1 0 0 3 0 0 1 0 1 0 0 0 2 1 1 1 1 0 1 2 0 2 0 1 1 0 0 0 0 5 0 1 2 2 0 0 0 1 2 3 0 0 0
"friendly" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 1 2 0 2 0 1 0 0 0 0 0 0 0 0 1 4 1 1 1 0 0 0 0 0 1 1 0 0 1
"general" 0 1 1 3 1 2 7 0 3 2 2 2 0 1 0 3 1 0 3 0 0 3 2 0 1 0 2 2 0 0 1 3 2 2 6 4 1 0 0 0 2 4 0 2 2 6 0 0 3 2 2 1 2 1 5 1 1 1 1 1 2 3 1 1 9 0 0 1 3 2 1 0 1 5 1 0 1 2
"gentle" 0 1 1 0 0 0 1 0 1 1 3 0 0 1 1 1 0 0 1 0 1 0 0 2 0 0 3 1 0 1 0 2 0 0 1 1 2 0 0 1 0 1 0 1 0 0 0 1 0 1 1 0 0 0 3 1 0 2 1 1 2 1 1 0 3 0 2 0 3 4 0 0 0 3 1 0 0 1
"gloomy" 0 1 0 1 0 0 1 0 1 1 2 1 0 0 3 0 1 1 1 1 0 0 0 0 0 0 1 1 0 3 2 0 0 0 1 0 3 0 0 0 1 0 0 2 2 0 1 1 0 3 1 2 0 0 3 0 3 0 1 0 3 3 0 0 2 0 2 0 3 1 0 0 0 1 0 0 0 2
"gracious" 1 0 0 0 0 1 2 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 1 1 1 1 1 0 2 2 0 0 0 0 2 0 1 0 1 0 0 1 0 1 1 1 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 0 3 1 1 0 4 1 0 0 0 3 1 0 1 1
"handsome" 0 1 2 0 1 2 1 1 1 1 3 2 0 2 2 1 1 0 0 0 0 0 1 0 0 1 2 2 1 2 0 0 0 0 2 0 0 1 1 1 1 1 0 1 1 1 0 0 2 3 1 1 1 0 4 0 2 0 0 0 0 0 0 0 5 1 0 1 0 0 0 0 1 3 2 1 0 0
"heavy" 1 1 3 3 2 3 7 0 2 4 6 1 2 3 2 4 1 1 2 2 0 2 2 0 1 0 2 6 0 6 1 1 2 2 0 1 0 2 3 1 3 4 1 8 1 5 0 2 1 2 3 1 4 3 6 0 3 2 2 4 4 3 0 2 12 1 3 2 5 3 4 1 3 4 3 1 1 2
"honest" 0 0 0 1 0 0 1 0 0 4 4 0 0 0 1 0 0 0 0 0 0 3 0 0 0 1 1 1 0 4 1 0 0 0 1 0 0 1 0 1 1 3 0 3 1 3 1 0 0 0 3 0 1 3 2 0 0 1 0 2 0 0 2 0 3 0 2 1 3 1 0 0 1 3 0 1 1 0
"hopeless" 0 1 0 0 0 0 2 0 1 1 0 0 0 0 1 0 0 0 2 0 0 0 1 1 0 1 1 0 0 1 2 3 1 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 2 1 0 1 0 2 1 3 0 0 0 2 1 0 0 1 0 1 0 2 0 0 0 0 1 0 0 0 2
"hurried" 0 0 0 1 0 0 2 0 1 4 2 0 1 2 2 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 2 1 0 0 1 1 2 1 0 3 0 2 0 1 0 3 1 0 3 0 2 0 1 1 0 1 0 0 1 0 1 1 1 0 2 1 1 1 1 3 0 0 0 1
"kind" 0 0 1 1 0 1 1 0 0 2 1 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 3 3 0 0 0 0 1 1 3 0 0 1 0 0 0 1 0 4 0 1 0 2 0 0 1 0 0 0 2 0 2 1 0 0 0 0 0 0 4 2 1 0 1 0 0 0 0 2 1 0 0 1
"lonely" 0 0 0 0 0 0 2 1 0 2 1 1 0 2 0 0 1 0 1 0 0 1 2 0 1 0 1 0 0 0 1 0 0 1 1 1 1 1 0 0 1 0 1 6 0 1 0 1 1 1 1 2 1 0 4 1 1 1 0 0 0 0 2 0 1 0 2 1 0 1 1 0 1 0 0 1 0 2
"loud" 1 0 2 1 0 1 2 0 0 3 1 0 1 3 3 2 0 1 1 0 1 0 1 0 0 2 2 0 0 2 0 1 0 1 3 1 0 2 0 1 0 0 1 5 2 2 2 0 0 4 5 0 1 0 2 0 1 0 0 0 0 0 1 1 4 2 0 0 4 2 1 0 0 3 0 0 1 0
"natural" 1 0 1 2 2 1 6 2 0 2 4 0 0 0 0 2 3 1 0 1 1 4 1 1 2 1 2 1 1 4 1 0 1 1 4 3 1 1 1 0 0 0 0 4 0 2 0 2 1 1 1 0 3 3 4 2 1 1 1 2 2 0 1 1 7 1 0 0 6 1 0 1 0 1 3 1 1 1
"observant" 1 0 0 1 0 0 1 1 0 1 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 3 0 0 1 1 0 0 1 0 1 0 2 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0
"open" 1 1 3 2 0 0 7 1 1 9 6 1 0 3 2 3 3 1 2 3 2 4 2 0 4 1 7 1 1 2 1 2 1 1 8 3 1 3 4 6 5 4 3 0 0 3 1 4 1 2 4 3 2 0 8 1 4 3 2 1 4 1 3 1 14 2 5 1 4 2 2 1 1 5 3 3 1 5
"original" 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 2 0 2 1 1 1 1 1 0 0 0 2 0 0 0 0 1 0 0 1 3 1 0 1 0 3 0 2 0 0 0 0 1 0 1 3 1 1 0 3 0 0 0 0 1 0 0 0 1
"particular" 1 0 0 1 0 1 1 0 1 3 3 0 2 1 0 1 3 0 0 1 1 1 0 0 1 0 2 0 0 6 0 0 1 1 5 3 0 2 1 1 2 2 0 3 1 0 0 0 1 1 1 0 1 2 6 0 0 1 1 0 0 1 1 1 4 0 0 0 6 2 2 1 0 1 0 2 0 2
"patriotic" 1 0 0 1 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 1
"pleasant" 0 0 0 1 0 0 4 2 0 1 3 1 0 2 0 3 2 0 0 0 1 1 1 0 1 0 1 2 0 0 1 1 0 0 2 0 0 1 2 1 0 2 1 4 0 0 0 0 0 1 3 1 0 0 4 2 2 0 0 0 1 0 1 0 3 1 2 1 2 2 0 0 0 2 0 0 0 0
"polite" 0 0 1 0 0 1 0 0 0 0 1 1 0 1 2 1 1 0 0 0 0 1 0 0 0 0 0 1 1 3 0 0 0 2 1 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 2 3 0 0 2 0 0 0 0 0 2 0 0 0 0
"quick" 0 1 1 0 0 1 0 0 2 3 2 0 0 2 3 0 2 0 1 1 2 1 1 1 0 2 2 1 1 2 1 3 0 3 2 0 2 3 0 1 4 1 0 2 3 1 1 1 0 0 3 1 1 0 5 0 3 0 0 1 3 1 0 0 5 1 0 0 5 1 3 2 1 3 1 0 1 2
"quiet" 2 1 1 1 3 0 6 4 0 6 6 1 0 4 4 2 1 2 1 2 3 4 2 0 0 1 4 1 2 2 1 1 1 1 3 3 1 1 1 1 5 1 1 4 1 1 1 3 1 3 0 0 3 0 2 2 4 1 0 1 2 0 1 3 9 2 3 2 6 5 2 2 1 8 2 0 1 0
"restless" 0 0 1 0 0 1 0 0 0 0 3 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 2 0 1 1 0 0 0 0 2 0 0 0 3 0 0 0 1 0 1 0 0 0 0 2 0 2 1 1 0 0 0 0 0 3 0 1 0 1 1 0 0 1 2 0 1 0 2
"rough" 0 0 0 1 0 0 3 0 1 2 3 0 0 0 2 2 0 0 1 1 1 1 0 0 0 1 1 0 2 2 0 0 1 1 4 1 1 3 0 1 1 3 1 2 1 1 0 0 2 1 3 0 0 0 0 1 0 1 0 0 0 1 1 1 4 0 1 1 2 0 1 0 1 3 2 0 0 0
"rusty" 0 0 0 0 1 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 0 3 3 0 0 0 0 0 3 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 1 0
"second" 2 1 2 3 0 2 4 1 3 4 2 0 1 2 2 1 4 0 2 0 1 0 2 2 2 1 5 2 1 5 3 3 0 4 6 2 2 2 2 4 2 4 2 8 3 6 1 4 1 5 2 2 0 1 0 1 6 1 1 0 2 2 2 1 8 2 1 1 2 1 0 2 1 4 1 3 0 2
"shrewd" 0 0 0 0 0 0 2 1 0 0 1 0 0 2 0 2 1 0 0 0 1 0 1 0 1 1 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 2 1 1 0 0 0 2 0 0 2 0 1 0 1 0 0 0 0 0 1 0 1 0 2 0 0 1 1 1 0 0 0 0 0 0 0 1
"silent" 0 0 2 3 1 2 4 0 0 2 2 1 0 0 1 0 1 1 1 1 1 1 1 2 0 1 3 2 0 1 0 3 0 2 3 0 3 1 2 1 1 1 0 4 2 0 2 2 0 3 4 2 0 0 6 0 0 0 1 1 3 1 0 1 4 2 1 0 2 2 1 1 1 2 2 0 0 3
"slow" 0 0 0 0 1 1 0 0 0 4 2 0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 3 0 0 1 2 0 1 0 2 1 0 1 1 1 0 1 1 3 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0 1 0 1 1 1 3 2 1 0 2 1 0 0 0 4 1 0 0 0
"soft" 0 1 1 0 0 0 0 0 0 0 3 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 0 0 2 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 0 0 0 3 0 1 0 1 2 0 0 0 1 1 0 0 2
"solemn" 0 0 0 1 2 0 5 0 0 1 1 0 0 0 0 0 0 1 0 1 1 2 2 0 0 0 0 1 0 1 1 0 1 0 4 2 0 1 0 0 0 2 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 1 0 0 1 1 1 1 2 1 0 0 4 0 1 1 2 3 1 0 0 1
"steady" 0 3 0 0 1 0 1 0 1 3 1 1 1 0 3 2 1 1 1 2 2 2 0 0 2 0 3 0 0 2 2 3 0 0 4 0 2 0 0 0 0 2 0 4 0 0 0 1 0 3 2 0 0 0 2 1 3 0 1 1 0 2 0 1 5 0 2 0 1 0 2 1 1 1 0 0 1 1
"steep" 0 1 0 1 0 0 1 0 1 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 3 1 3 1 0 3 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 2 0 1 1 0 1 2 0 0 0 0 1 1 0 1 0 1 0 0 2 0 0 0 0
"stiff" 0 0 0 1 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 2 0 1 0 2 1 1 1 3 0 1 0 1 0 0 1 0 1 0 2 1 0 1 0 1 0 0 0 0 3 0 2 1 1 0 0 0 0 0 0 0 0 0
"straight" 0 0 0 0 2 0 2 0 0 1 0 0 0 1 2 0 1 1 1 1 0 2 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 1 1 0 1 1 1 0 0 2 0 3 0 1 0 1 0 1 1 0 1 1 0 0 0 3 0 0 1 0 0 1 0 1 2 0 0 0 0
"strong" 2 2 4 5 3 4 5 1 1 4 8 2 2 1 3 6 3 2 1 4 3 5 0 2 2 4 7 5 4 9 3 2 3 5 12 3 1 1 4 1 4 7 0 14 3 4 1 3 3 5 9 3 4 0 8 2 4 3 3 2 5 0 3 3 0 1 5 2 11 5 2 2 2 12 3 2 3 5
"submissive" 0 0 2 1 0 0 1 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 2 3 0 1 0 0 0 1 1 1 0 0 1 2 0 2 1 0 2 1 0 0 1 0 1 2 0 0 0 2 0 2 2 0 1 0 1 0 0 1 0 0 0 2 0 0 0 0 3 0 0 0 0
"sudden" 1 0 1 0 0 0 2 1 0 4 3 1 0 0 2 1 0 1 0 0 0 3 0 0 1 0 2 1 1 0 2 2 1 0 3 2 1 1 1 2 0 0 0 5 1 0 0 2 0 0 3 1 1 0 1 0 1 1 1 0 2 1 2 0 5 0 0 0 2 2 0 0 0 2 1 0 1 1
"sunny" 0 0 1 0 0 0 1 1 0 0 0 0 0 2 1 1 1 0 0 0 0 1 1 0 0 0 1 2 1 1 0 0 0 1 2 1 0 0 0 1 0 0 1 1 0 0 0 1 2 0 2 0 1 1 1 1 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 1 1 0 0 0 0
"sure" 1 0 2 2 1 2 7 1 0 4 6 0 2 1 1 0 5 2 1 2 4 3 3 0 1 1 1 2 0 3 3 3 4 0 5 3 2 2 1 0 4 6 0 4 3 6 0 2 0 5 6 1 2 2 2 1 2 2 1 4 1 1 1 0 11 2 2 0 0 4 0 3 1 5 2 2 2 3
"sweet" 0 0 2 0 1 0 2 1 0 0 3 2 0 2 0 1 0 1 0 0 2 1 0 2 0 0 3 0 0 2 4 1 1 0 3 1 0 1 0 1 2 1 0 2 0 2 0 2 0 1 5 1 0 0 1 1 2 1 2 0 0 0 0 0 5 0 2 0 4 0 1 1 0 3 0 0 0 2
"swift" 0 0 1 1 1 0 1 0 0 1 0 0 0 1 0 1 0 1 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 4 0 0 1 0 1 1 0 0 2 0 2 0 0 0 3 2 0 1 0 0 0 1 0 0 1 2 1 0 1 2 0 0 0 0 1 0 1 1 0 1 0 0 0
"thankful" 1 0 1 0 0 0 1 0 0 2 1 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 1 0 1 0 0 0 2 2 0 0 0 2 0 1 0 0 1 1 0 0 0 2 0 0 0 3 1 1 0 1 1 0 2 0 1
"timid" 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 1 0 0 0 1 3 1 0 1 0 1 0 0 0 1 0 0 0 0 0 1 1 1 1 1 1 0 1 0 0 2 1 0 0 1 2 0 0 1 1 0 1 1 0 1 0 1 0 1
"true" 1 2 2 0 1 3 4 2 1 5 6 2 0 1 5 3 0 1 2 0 1 2 1 2 1 1 6 2 1 5 3 1 3 3 4 3 1 3 2 0 3 1 0 5 1 1 2 2 2 3 8 2 3 0 4 0 2 4 1 3 1 2 0 2 12 3 2 1 5 3 0 1 1 0 3 0 2 2
"unhappy" 0 0 1 1 0 1 2 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 3 1 1 1 0 1 2 3 0 0 0 1 0 0 3 1 3 0 0 1 0 0 1 2 0 2 0 1 0 2 1 1 1 0 0 0 0 3 0 1 0 2 0 1 0 0 3 0 0 0 0
"violent" 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 1 3 0 2 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 2 1 0 0 0 0 0
"watchful" 1 1 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 3 0 1 0 2 0 0 0 0 2 0 0 0 0
"weak" 0 0 1 0 0 0 0 0 1 1 1 1 0 0 1 1 1 0 1 0 0 0 1 1 2 0 0 0 1 2 1 2 1 0 2 0 2 1 1 2 0 1 0 5 1 2 1 0 0 2 0 2 0 0 2 1 3 0 2 1 1 0 0 0 5 0 1 0 3 2 0 1 1 2 0 0 0 0
