"affectionate" "awkward" "benevolent" "boisterous" "bold" "busy" "calm" "careful" "cautious" "certain" "cheerful" "christian" "clean" "close" "cold" "constant" "cool" "cruel" "cunning" "curious" "delicate" "dignified" "domestic" "eager" "earnest" "easy" "eloquent" "emphatic" "enthusiastic" "expressive" "facetious" "faithful" "familiar" "fearful" "fierce" "firm" "free" "fresh" "friendly" "general" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "hearty" "heavy" "honest" "hopeless" "hospitable" "humble" "hurried" "indefatigable" "intense" "intimate" "kind" "lively" "lonely" "loud" "majestic" "melancholy" "merry" "mute" "natural" "neat" "nervous" "noisy" "open" "particular" "pleasant" "poetic" "precise" "proud" "quiet" "rapid" "reasonable" "restless" "romantic" "rusty" "second" "sensible" "serious" "severe" "silent" "slow" "soft" "solemn" "spirited" "stable" "steady" "stern" "stiff" "strict" "strong" "sudden" "sufficient" "sure" "surly" "suspicious" "sweet" "thoughtful" "tight" "true" "uncertain" "unhappy" "vain" "violent" "willing" "wise" "weak"
"cheerful" 2 0 1 2 1 1 1 2 0 4 0 2 2 2 5 2 0 0 0 3 2 0 1 0 1 3 1 0 0 1 1 1 1 0 2 0 1 1 2 1 3 1 1 0 1 2 1 1 1 2 0 0 3 1 1 0 1 1 1 4 2 6 0 4 4 3 2 4 2 0 3 4 7 1 1 0 7 0 2 0 0 0 2 1 4 0 2 0 1 4 1 1 0 1 1 1 4 3 2 3 1 0 1 1 0 5 1 4 1 3 2 2 1
"christian" 0 0 1 1 0 0 0 1 0 2 2 0 0 1 2 1 0 0 0 0 0 0 1 0 0 1 0 0 1 1 1 0 1 1 0 1 0 1 0 2 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 1 0 0 2 1 1 1 1 1 1 1 0 1 3 0 2 0 0 1 0 0 0 0 0 1 1 2 2 2 1 0 2 0 0 2 0 0 0 2 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"clean" 1 0 2 1 0 4 0 0 0 3 2 0 0 1 5 1 0 1 0 3 0 1 1 0 0 2 1 1 0 1 0 0 1 1 0 1 0 2 2 1 0 1 0 0 0 0 0 1 1 4 0 1 0 1 1 0 1 0 3 1 0 4 1 0 0 0 1 3 0 2 3 5 4 0 2 0 4 0 2 1 0 0 2 1 0 0 2 0 1 3 0 1 0 0 0 1 2 1 2 3 0 0 0 1 0 0 0 1 1 1 1 0 2
"close" 0 1 0 2 0 2 2 1 0 3 2 1 1 0 9 2 1 1 2 4 1 0 3 1 2 3 0 1 0 2 1 1 3 3 4 2 1 5 0 2 2 2 2 0 0 1 3 0 1 6 1 1 1 1 0 0 3 0 1 5 1 9 3 1 1 1 2 0 1 0 13 4 1 1 2 2 8 1 0 2 1 1 3 0 2 1 6 1 2 4 0 2 1 1 2 1 6 5 0 2 1 1 2 1 1 1 3 1 0 4 0 1 1
"cold" 3 1 2 1 1 8 1 2 1 6 5 2 5 9 0 5 3 2 4 6 3 2 1 2 2 9 2 2 4 2 1 5 2 2 3 2 3 7 4 5 5 3 0 1 2 1 4 1 4 15 2 2 1 2 3 1 5 4 3 5 7 16 2 7 5 1 4 5 4 0 17 9 7 2 1 5 13 4 1 7 1 2 12 1 2 3 7 4 1 10 1 0 0 1 5 1 8 9 3 17 1 1 8 1 1 9 1 4 4 5 2 2 2
"constant" 1 1 3 0 0 0 1 0 0 1 2 1 1 2 5 0 1 1 0 1 0 1 2 1 0 1 1 1 0 2 0 1 2 0 2 0 0 0 1 2 0 0 0 0 1 2 1 0 2 1 0 1 0 0 0 1 2 0 1 0 1 3 1 2 0 0 2 1 2 0 2 3 4 0 0 1 3 1 1 0 0 1 5 0 1 0 1 0 0 2 0 0 1 0 1 0 1 1 1 3 0 0 1 0 0 1 0 2 1 3 0 0 2
"cool" 0 1 0 0 0 0 2 0 0 1 0 0 0 1 3 1 0 0 1 1 0 1 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 1 0 2 1 0 0 1 0 0 0 1 2 0 0 1 1 0 0 1 0 0 1 2 2 0 0 0 0 1 0 1 0 1 1 4 0 0 1 1 1 1 0 2 0 2 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 1 0 0 1 0 1 0
"cruel" 1 0 0 0 0 0 0 0 0 1 0 0 1 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 2 0 1 1 0 0 0 0 0 1 0 3 1 0 0 0 1 0 1 2 0 0 0 1 0 2 1 1 1 0 0 0 0 1 1 2 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 2 0 0 2 0 0 0 2 0 1 0 0 0 0 0 0 0
"cunning" 1 1 0 0 0 1 0 0 1 1 0 0 0 2 4 0 1 0 0 1 0 0 2 1 2 1 0 0 0 1 0 1 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 4 0 0 0 1 2 0 0 1 1 0 2 2 1 0 1 0 2 1 2 0 3 2 1 0 1 2 1 0 0 1 1 0 1 0 1 1 1 1 0 2 0 0 0 0 2 0 1 2 0 2 1 1 1 0 0 1 0 0 1 0 0 2 0
"curious" 0 0 1 0 0 2 1 1 0 8 3 0 3 4 6 1 1 0 1 0 4 2 1 3 2 2 0 2 0 1 0 1 0 0 0 1 0 3 2 2 1 2 1 0 0 0 3 1 1 4 1 0 0 0 1 0 1 1 0 2 1 4 1 1 1 0 5 0 1 1 6 8 6 1 4 2 2 1 1 3 1 2 5 1 0 0 1 2 1 3 0 0 0 0 1 0 1 4 1 8 0 1 3 0 0 4 1 1 1 3 1 1 0
"delicate" 0 0 0 0 1 3 0 1 1 1 2 0 0 1 3 0 0 0 0 4 0 0 1 0 2 0 1 1 1 0 0 1 0 2 0 0 0 2 0 0 2 0 0 0 0 0 2 1 0 3 3 0 0 1 0 0 2 0 0 0 0 3 1 0 0 0 2 1 0 0 2 2 2 0 1 1 1 2 0 3 0 0 4 0 0 1 2 1 1 3 1 0 0 1 1 0 2 3 0 1 0 1 0 0 0 4 1 0 0 0 1 2 0
"dignified" 0 0 1 0 0 2 1 1 0 1 0 0 1 0 2 1 1 0 0 2 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 2 0 0 2 2 1 3 0 0 0 2 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 3 1 1 0 0 2 0 0 0 1 2 2 0 1 2 0 1 1 1 0 1 1 0 1 0 0 0 0 3 1 0 0 2 0 1 0 1 1 3 0 1 0 0 1 0 0 0 0 1 0 1 0
"domestic" 2 1 1 0 0 0 0 2 0 1 1 1 1 3 1 2 0 0 2 1 1 0 0 0 1 4 0 1 2 1 0 1 1 0 2 2 0 1 0 3 0 0 1 2 0 0 1 1 0 3 0 0 0 0 1 1 0 1 2 1 0 3 2 1 0 0 4 2 1 0 3 6 3 0 1 2 2 0 1 1 0 2 4 1 1 1 5 1 1 0 0 0 1 1 1 0 3 0 1 2 0 2 0 1 0 2 1 1 0 0 0 1 0
"eager" 0 1 0 0 0 1 0 0 0 1 0 0 0 1 2 1 0 0 1 3 0 1 0 0 0 1 0 0 2 0 1 1 0 0 0 1 0 1 1 3 1 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 2 0 1 0 1 1 1 0 2 0 0 0 1 0 0 0 0 2 1 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 1 2 0 0 0 0 0 0 0 1 0 1 1 0 0
"earnest" 0 1 0 0 0 1 1 0 1 2 1 0 0 2 2 0 0 0 2 2 2 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 2 0 1 0 2 0 0 1 0 1 1 0 2 0 0 1 1 1 1 0 1 0 1 0 3 1 0 0 0 1 0 0 0 3 1 3 0 0 0 1 2 0 0 0 0 6 0 2 0 0 3 0 0 1 1 0 3 0 1 0 1 0 0 1 1 1 0 0 1 0 0 1 1 1 0 0
"easy" 0 0 2 2 0 4 1 0 0 1 3 1 2 3 9 1 1 0 1 2 0 1 4 1 1 0 0 0 1 1 0 2 0 1 1 1 4 4 1 3 5 3 3 1 1 0 2 1 3 3 0 0 0 2 2 0 1 1 2 2 1 3 0 2 3 1 2 0 1 0 9 4 2 0 1 1 6 0 2 1 0 2 6 0 0 1 1 1 0 3 0 0 0 1 2 0 4 1 1 6 0 0 2 0 0 4 1 2 2 0 1 0 1
"eloquent" 1 0 1 0 0 0 1 1 1 1 1 0 1 0 2 1 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 2 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 2 1 3 2 1 0 1 0 1 0 1 0 1 1 1 0 0 1 1 2 0 0 0 0 1 0 3 0 0 1 0 1 1 0 0 2 1 0 0 1 1 1 0
"emphatic" 0 1 1 0 0 2 0 0 0 2 0 0 1 1 2 1 0 0 0 2 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 2 0 1 2 1 0 0 1 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 1 4 1 2 0 0 1 0 0 1 1 4 2 0 0 0 3 0 0 0 0 3 2 0 0 0 2 0 0 1 0 0 0 1 1 0 0 1 1 1 0 0 0 1 0 2 0 1 0 1 0 2 1
"enthusiastic" 0 0 0 0 0 1 0 0 0 4 0 1 0 0 4 0 0 0 0 0 1 0 2 2 0 1 1 1 0 1 2 3 0 1 0 1 0 2 0 5 2 0 0 1 0 1 0 0 1 2 0 0 1 1 0 0 2 2 2 0 2 5 1 2 0 0 0 2 0 1 1 2 3 1 0 1 3 2 0 1 0 1 4 0 1 0 3 0 0 0 1 0 0 1 2 1 1 4 3 4 0 1 3 0 0 2 1 1 1 3 0 0 0
"expressive" 1 0 1 0 2 0 1 1 0 0 1 1 1 2 2 2 1 1 1 1 0 1 1 0 0 1 1 0 1 0 0 1 0 0 1 1 1 2 0 4 1 1 0 0 2 2 1 0 0 2 2 3 3 0 0 2 2 0 1 2 0 4 0 1 1 1 2 1 0 1 4 5 2 0 2 1 1 0 1 0 0 2 4 2 1 2 1 0 1 2 1 2 1 0 3 0 6 2 0 1 0 1 0 0 0 3 0 2 1 0 1 2 0
"facetious" 0 1 0 1 0 1 0 0 0 2 1 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 2 0 0 0 0 0 2 0 0 2 1 1 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 2 1 1 1 1 0 0 0 0 0 1 1 0 0 0 0 0
"faithful" 2 1 0 0 0 1 2 1 0 1 1 0 0 1 5 1 1 1 1 1 1 0 1 1 0 2 0 1 3 1 0 0 0 1 1 0 0 2 2 2 1 0 0 0 0 1 1 1 1 3 0 0 2 1 0 0 3 0 1 1 1 5 2 2 0 0 0 1 1 0 6 1 4 0 0 2 0 3 1 1 0 2 0 0 0 0 2 0 0 1 0 1 2 1 1 1 2 5 2 5 2 1 1 0 0 3 0 1 0 1 0 1 0
"familiar" 0 0 0 0 0 0 0 1 0 0 1 1 1 3 2 2 0 2 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 2 0 2 1 0 1 0 0 0 0 0 0 0 0 0 1 3 0 0 0 2 0 0 0 4 1 1 0 0 0 2 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0
"fearful" 0 0 0 0 1 0 0 0 0 1 0 1 1 3 2 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 2 1 1 2 0 1 0 0 0 1 1 1 1 2 0 0 0 1 1 0 1 0 0 0 1 2 0 1 0 0 1 0 0 0 3 1 1 1 0 2 2 0 2 0 0 0 0 0 0 0 2 1 0 2 0 0 0 1 0 1 3 3 1 2 0 0 0 0 1 2 2 1 0 1 0 1 0
"fierce" 1 1 1 0 1 0 1 0 0 1 2 0 0 4 3 2 1 0 1 0 0 1 2 0 0 1 1 0 0 1 0 1 1 1 0 0 3 2 1 1 4 1 0 2 0 1 0 0 0 6 0 0 0 0 0 0 0 0 0 0 2 4 0 0 2 0 0 0 1 0 6 4 4 0 0 3 3 0 1 0 0 1 3 1 3 1 3 0 1 0 1 0 0 2 3 1 2 1 2 0 0 0 2 1 1 3 0 0 0 2 0 0 1
"firm" 0 0 0 0 1 1 1 1 0 0 0 1 1 2 2 0 0 0 0 1 0 2 2 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 1 3 0 1 0 1 0 0 0 0 0 0 1 1 0 1 1 0 0 1 0 0 0 4 1 1 1 0 2 0 1 0 2 3 0 0 0 1 0 0 0 1 0 0 3 0 0 2 1 0 2 1 0 0 1 0 1 1 1 1 1 3 0 0 0 0 0 0 1 0 2 1 1 0 0
"free" 0 1 0 0 0 0 0 0 0 1 1 0 0 1 3 0 0 0 1 0 0 0 0 0 1 4 0 0 0 1 0 0 0 2 3 0 0 2 1 0 2 2 0 0 0 1 1 0 1 3 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 2 1 1 0 0 1 2 0 0 0 0 0 2 0 0 1 0 1 0 1 0 0 0 0 1 0 3 1 1 2 0 0 2 0 0 2 1 1 1 1 0 0 0
"fresh" 1 1 2 1 0 5 2 2 2 6 1 1 2 5 7 0 0 2 1 3 2 0 1 1 2 4 2 2 2 2 1 2 1 1 2 0 2 0 3 5 4 2 1 0 1 0 1 0 4 9 0 1 0 6 2 1 5 1 3 3 2 6 2 2 0 0 3 1 0 1 8 5 7 0 3 3 5 3 1 2 1 1 3 2 1 1 2 1 4 4 0 0 0 2 1 1 3 2 1 4 1 0 2 2 0 3 1 2 2 1 2 2 1
"friendly" 0 1 1 0 0 1 1 2 0 0 2 0 2 0 4 1 1 0 0 2 0 2 0 1 0 1 1 0 0 0 0 2 0 1 1 1 1 3 0 3 0 1 2 1 1 1 0 0 1 1 0 0 0 3 0 0 0 0 2 1 0 2 2 1 0 1 3 1 0 0 3 0 3 0 1 4 3 0 0 2 0 0 4 0 0 0 0 0 2 2 0 0 0 0 0 0 2 0 1 5 1 1 0 0 0 0 1 1 1 2 1 1 1
"general" 0 1 2 0 1 2 5 2 1 3 1 2 1 2 5 2 0 1 0 2 0 2 3 3 1 3 1 1 5 4 3 2 0 2 1 3 0 5 3 0 2 1 0 2 0 2 3 1 4 5 1 2 1 2 2 2 3 0 2 2 0 10 2 1 3 3 4 0 1 2 9 5 5 1 0 4 3 3 3 2 2 1 4 4 2 1 3 1 2 4 2 2 1 2 0 1 6 4 5 9 2 1 2 0 2 2 1 1 3 0 0 4 0
"gentle" 1 1 1 0 2 0 2 1 1 2 3 0 0 2 5 0 2 1 0 1 2 1 0 1 0 5 0 2 2 1 1 1 0 0 4 0 2 4 0 2 0 1 0 1 1 1 2 0 3 3 0 0 0 2 2 0 2 0 0 1 1 4 1 1 4 2 1 0 0 1 2 3 5 0 2 0 5 1 1 1 0 1 5 2 2 0 2 0 4 3 1 0 0 1 0 2 5 2 1 3 0 0 4 2 0 6 0 2 0 4 2 2 1
"gloomy" 1 1 1 0 0 1 1 0 0 2 1 0 1 2 3 0 1 0 0 2 0 3 0 0 2 3 0 1 0 1 0 0 0 1 1 1 2 2 1 1 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 1 0 0 2 5 0 1 1 0 1 0 0 0 5 3 2 0 0 1 2 1 1 0 0 1 3 1 0 0 1 1 0 1 1 1 0 1 3 0 2 1 0 2 1 1 2 2 0 3 0 0 1 2 0 0 0
"graceful" 0 2 0 1 0 0 0 1 0 0 1 1 0 2 0 0 0 0 0 1 0 0 1 1 0 3 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 2 0 0 1 1 0 0 1 1 0 0 1 1 0 0 2 0 1 0 1 0 0 0 0 1 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 2 0 0 2 0 0 2 0 0 0 0 1 0 1 1 0 0
"gracious" 2 1 0 0 0 1 0 2 1 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 1 0 1 0 0 0 0 0 2 1 0 0 1 2 1 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 2 0 0 0 4 2 0 1 0 2 0 0 0 0 0 0 2 1 1 0 1 2 0 2 0 1 2 0 0 0 2 1 0 2 0 2 2 0 0 0 0 2 0 1 0 0 0
"grateful" 0 3 1 0 0 0 0 2 1 2 1 0 0 0 2 1 1 0 1 0 0 0 0 0 1 1 0 1 0 2 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 1 1 2 1 1 0 1 0 0 2 1 1 0 2 3 0 0 0 1 2 0 0 1 0 2 2 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 0 2 0 0 2 0 0 1 0 3 0 1 0 1 1
"grave" 1 0 1 1 1 0 1 1 0 1 2 0 0 1 1 2 0 0 0 0 0 2 0 0 0 0 0 0 1 2 0 1 1 1 1 0 1 0 1 2 1 0 0 0 0 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0 2 1 0 2 0 1 0 0 1 1 2 1 2 0 1 3 4 0 1 0 0 0 2 1 2 0 1 0 1 2 1 0 1 0 0 0 2 1 0 3 0 0 1 0 1 0 1 0 0 1 1 0 0
"handsome" 2 3 0 0 0 0 0 1 0 1 1 0 0 3 4 1 0 1 0 3 2 0 1 1 1 2 0 0 0 1 0 1 2 1 0 0 1 1 0 3 2 0 2 0 0 1 0 0 2 3 0 0 1 1 0 0 0 2 1 2 0 3 1 3 1 0 3 0 0 0 3 1 5 1 2 1 1 1 0 0 1 0 4 2 0 1 3 1 1 0 0 1 1 0 0 1 2 4 0 4 0 0 1 0 4 1 2 0 0 1 2 1 0
"hasty" 1 0 0 0 1 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 0 0 1 1 1 1 3 0 2 0 0 2 2 0 2 0 0 1 1 0 0 0 1 1 1 2 0 0 0 0 0 0 3 2 0 2 0 0 0 0 0 3 0 1 0 1 0 1 0
"hearty" 0 0 1 0 0 1 0 1 0 3 1 0 1 1 4 2 1 3 0 1 0 0 0 1 0 3 0 0 1 0 0 1 2 1 0 0 1 4 1 4 3 0 0 0 0 0 2 0 0 3 0 1 1 0 0 0 2 1 0 1 1 3 1 3 2 1 4 0 2 0 7 1 2 0 0 0 4 2 0 0 2 0 5 2 1 0 1 1 0 2 0 1 0 1 0 2 2 1 2 6 0 0 0 1 3 3 0 3 1 2 0 1 0
"heavy" 3 1 2 1 1 3 1 3 2 6 2 1 4 6 15 1 2 1 4 4 3 0 3 1 2 3 1 2 2 2 0 3 1 2 6 0 3 9 1 5 3 3 1 1 1 1 3 0 3 0 0 1 1 1 1 0 2 1 2 3 5 11 1 3 3 1 3 3 1 1 18 6 4 2 0 3 7 4 1 1 1 2 6 2 0 1 5 4 4 5 0 5 1 0 3 1 6 8 2 4 1 2 4 2 1 5 1 2 0 3 2 1 1
"honest" 0 0 0 1 1 1 1 2 1 1 0 0 0 1 2 0 0 0 0 1 3 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1 1 1 2 1 0 1 1 3 1 0 1 0 2 0 0 1 1 0 2 0 0 1 0 0 1 1 2 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 1 2 1 1 0
"hopeless" 0 0 1 1 1 1 1 2 0 2 0 0 1 1 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 1 0 0 1 0 1 0 2 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 2 0 3 0 1 1 0 1 0 0 0 2 1 1 0 0 0 3 0 0 1 1 0 1 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 2 0 0 2 1 0 0 0
"hospitable" 0 0 1 1 0 0 0 0 0 1 3 1 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 3 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 1 1 1 1 1 3 0 3 1 1 0 0 0 1 2 1 1 1 1 1 1 1 0 0 0 1 2 0 3 0 0 0 0 1 1 2 0 1 0 1 1 1 0 2 1 0 0 1 1 1 0 1 0 1 0 0 0
"humble" 0 1 1 0 0 0 1 1 1 0 1 0 1 1 2 0 1 1 1 0 1 0 0 0 1 2 1 0 1 0 0 1 0 1 0 1 0 6 3 2 2 0 1 0 1 0 1 0 0 1 1 0 0 0 1 0 2 1 1 1 0 6 0 0 0 0 2 0 0 0 5 2 5 1 2 0 1 0 1 0 1 0 4 0 1 0 2 0 3 2 1 0 0 1 0 0 2 0 2 3 0 0 0 0 2 2 2 0 1 0 2 0 0
"hurried" 0 1 0 0 1 1 0 1 2 2 1 1 1 0 3 0 0 0 2 1 0 0 1 0 1 2 0 1 0 0 2 0 0 1 0 1 0 2 0 2 2 0 1 1 1 0 0 0 0 1 0 0 0 1 0 0 0 2 2 1 1 2 0 0 0 0 4 1 1 0 4 1 0 1 0 0 1 0 0 0 0 0 2 0 2 0 0 0 0 0 1 0 0 0 0 0 2 1 1 4 1 1 1 1 0 2 0 1 2 1 0 0 0
