"active" "bitter" "boisterous" "bold" "brave" "busy" "calm" "careful" "careless" "catholic" "certain" "cheerful" "close" "cold" "constant" "cool" "cruel" "curious" "delicate" "earnest" "easy" "faithful" "familiar" "fierce" "frank" "free" "fresh" "friendly" "gallant" "gay" "general" "gentle" "giddy" "gloomy" "graceful" "gracious" "grave" "handsome" "hasty" "hearty" "heavy" "honest" "humble" "impatient" "indifferent" "keen" "kind" "lively" "lofty" "lonely" "loud" "melancholy" "merry" "mild" "military" "mournful" "natural" "noisy" "open" "original" "particular" "patient" "placid" "pleasant" "proud" "quick" "quiet" "rapid" "reckless" "religious" "restless" "rough" "rusty" "sad" "second" "sensible" "serious" "silent" "slow" "smooth" "sober" "solemn" "stable" "steady" "stealthy" "stern" "strong" "sudden" "sufficient" "sullen" "sure" "sweet" "thoughtful" "timid" "true" "ugly" "uncertain" "unhappy" "vague" "vain" "violent" "weak" "wise"
"certain" 4 2 3 9 3 3 1 3 4 4 0 12 6 12 6 3 4 2 4 5 11 4 5 2 3 8 2 4 4 4 12 4 0 4 2 2 2 8 1 7 11 7 5 1 2 3 4 1 1 4 6 4 2 3 3 2 10 2 13 8 6 4 1 5 9 6 11 0 3 4 1 5 0 5 5 2 5 9 5 3 3 6 4 1 2 2 20 3 1 0 22 5 0 5 11 3 3 2 3 1 3 3 8
"cheerful" 2 4 3 3 1 4 1 1 2 0 12 0 4 7 5 3 1 4 1 1 4 3 5 1 1 8 2 2 1 5 2 5 0 4 2 3 2 5 2 5 5 5 2 1 0 3 5 2 1 1 4 1 3 0 1 1 3 0 9 2 6 4 2 11 5 1 7 0 1 1 3 2 1 4 3 0 3 9 4 2 2 4 4 1 3 0 10 2 1 1 10 1 1 1 4 1 1 2 1 1 3 1 4
"close" 2 1 0 4 2 1 1 2 1 1 6 4 0 6 1 0 3 2 1 1 8 0 0 1 0 5 1 1 0 0 3 0 1 4 0 0 2 1 2 1 5 2 0 2 1 0 1 0 0 3 2 0 1 2 1 0 4 2 6 3 3 1 0 5 3 1 8 0 1 0 2 7 1 0 1 2 2 6 2 3 1 2 2 2 0 1 7 3 2 1 3 3 1 2 2 2 0 0 0 1 1 0 0
"cold" 3 3 4 6 3 3 2 2 2 1 12 7 6 0 3 2 4 2 3 1 8 2 1 2 1 12 4 4 2 2 6 8 1 4 3 4 2 8 1 6 12 7 3 3 1 5 3 1 3 2 6 6 3 3 2 3 10 3 16 3 7 4 3 8 5 5 10 3 2 1 5 7 4 6 6 3 7 12 6 3 3 4 2 3 1 2 13 6 4 4 15 4 2 3 7 2 2 2 1 3 1 2 2
"constant" 1 2 1 0 1 2 0 1 0 1 6 5 1 3 0 1 4 0 2 1 6 1 2 2 0 4 1 1 1 4 3 3 1 1 1 2 0 3 0 3 4 1 3 1 0 1 0 0 0 1 1 0 2 1 0 3 3 0 2 0 2 1 1 3 2 2 8 0 1 2 3 1 0 1 2 0 2 3 1 1 1 0 1 1 1 0 5 4 2 0 5 3 0 2 4 0 0 2 0 0 2 1 4
"cool" 3 1 0 1 1 5 0 0 2 0 3 3 0 2 1 0 0 1 2 4 7 0 1 0 1 2 1 1 0 1 1 1 0 0 3 0 0 3 0 0 4 0 0 0 1 0 1 1 0 1 0 0 0 1 0 0 2 0 2 2 3 1 2 3 0 2 2 1 2 1 0 2 0 2 0 1 1 4 1 1 2 2 1 0 1 0 5 0 0 0 3 2 3 1 1 2 2 0 0 0 0 0 4
"cruel" 2 1 1 1 0 1 1 2 1 1 4 1 3 4 4 0 0 0 1 0 5 0 1 3 0 4 2 3 0 1 1 1 0 1 0 1 0 1 1 2 4 1 1 0 1 0 0 0 1 1 3 0 1 1 0 2 2 0 8 2 1 1 0 4 3 1 6 0 2 1 2 1 0 2 0 0 1 3 1 2 0 1 1 1 0 1 4 1 1 1 9 1 0 2 3 1 1 1 1 2 2 1 1
"curious" 1 1 1 0 0 1 2 1 1 0 2 4 2 2 0 1 0 0 1 1 3 0 1 1 0 1 2 1 0 2 1 2 0 0 0 1 1 2 0 0 4 0 0 2 0 0 0 1 2 0 3 0 1 0 0 0 3 1 1 2 2 0 2 4 3 0 1 0 1 0 1 0 0 2 2 1 1 3 0 0 0 3 2 2 0 0 2 0 3 1 8 1 0 0 3 0 0 1 0 0 0 2 1
"delicate" 0 0 0 1 1 0 1 1 1 0 4 1 1 3 2 2 1 1 0 0 4 0 0 0 0 0 0 0 0 2 2 0 0 0 1 0 0 2 0 0 3 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 3 1 5 1 1 0 0 2 3 1 4 1 0 0 0 2 0 1 1 0 0 2 0 0 1 1 1 2 0 0 1 0 0 0 3 1 1 1 2 1 0 0 0 1 0 0 1
"earnest" 0 0 0 3 1 1 1 0 0 3 5 1 1 1 1 4 0 1 0 0 5 1 3 0 1 1 1 1 0 0 2 1 1 2 1 0 2 2 1 0 5 1 0 0 1 0 2 0 2 2 1 0 0 1 1 0 4 0 3 2 2 1 2 1 6 2 1 2 2 1 1 3 2 2 2 0 0 4 1 0 0 2 1 2 1 1 6 0 0 0 10 3 0 0 4 1 0 1 0 1 0 1 1
"easy" 1 1 1 3 3 3 4 3 1 0 11 4 8 8 6 7 5 3 4 5 0 0 3 3 1 9 3 4 1 4 7 7 1 3 2 1 3 4 3 3 9 3 2 5 1 1 5 2 2 3 4 3 1 5 2 2 6 1 11 4 6 1 4 8 5 5 11 1 1 0 3 7 0 5 7 1 2 7 2 2 1 2 4 4 0 2 16 4 2 3 12 4 5 1 8 1 2 2 2 0 2 5 7
"faithful" 1 0 1 1 0 1 0 0 0 1 4 3 0 2 1 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 1 0 1 1 0 0 0 0 0 1 4 1 2 0 1 0 0 0 0 0 2 2 0 2 0 2 0 0 2 0 1 1 0 1 2 1 2 0 0 1 1 1 0 0 1 0 0 1 2 0 0 0 0 0 1 1 3 1 0 0 4 1 0 0 2 0 1 1 1 1 2 1 1
"familiar" 1 0 1 1 0 4 0 1 0 0 5 5 0 1 2 1 1 1 0 3 3 0 0 2 1 3 2 0 1 1 0 3 1 2 0 0 0 2 0 1 5 3 0 0 0 1 1 0 2 5 2 0 2 0 0 1 3 2 4 1 1 1 1 3 1 1 2 0 0 0 0 0 0 4 0 0 1 2 2 0 2 2 0 0 1 1 5 0 0 0 4 1 0 0 1 1 0 1 1 1 2 0 3
"fierce" 2 0 3 2 2 1 1 2 2 1 2 1 1 2 2 0 3 1 0 0 3 0 2 0 0 2 1 1 0 0 5 3 1 1 0 0 1 2 1 0 3 1 0 1 0 1 0 0 1 0 4 2 2 0 1 0 0 0 8 0 1 0 0 1 2 2 5 0 2 0 1 1 1 4 1 0 1 3 1 1 0 2 1 1 1 2 6 2 2 2 4 0 0 0 1 1 2 0 1 0 2 0 0
"frank" 0 1 0 1 1 0 1 0 1 0 3 1 0 1 0 1 0 0 0 1 1 0 1 0 0 2 1 2 0 1 1 2 0 2 0 0 0 2 1 2 1 4 0 1 1 0 1 1 0 1 0 0 0 0 0 0 3 0 3 0 1 0 1 1 0 0 2 0 0 1 0 2 0 0 1 2 1 1 0 1 0 0 0 0 1 1 2 0 0 0 3 1 0 0 2 0 0 0 0 0 1 1 0
"free" 2 1 1 2 4 3 2 4 1 3 8 8 5 12 4 2 4 1 0 1 9 2 3 2 2 0 2 2 2 3 5 3 0 1 3 1 1 9 1 4 4 9 4 3 0 1 0 2 2 3 4 3 4 2 4 2 1 1 10 1 4 2 4 7 4 2 10 1 1 2 3 3 1 6 4 2 2 10 7 3 2 3 2 3 1 4 11 3 3 2 12 3 1 5 5 2 1 5 1 3 3 1 3
"fresh" 2 0 0 1 0 2 1 0 1 0 2 2 1 4 1 1 2 2 0 1 3 1 2 1 1 2 0 1 0 2 1 4 1 1 1 1 0 2 0 1 1 4 0 0 1 0 0 0 1 2 1 1 0 1 1 1 0 0 4 2 4 1 0 3 3 1 5 0 2 0 1 1 1 1 0 0 2 2 0 0 0 2 1 1 1 0 2 0 1 0 4 0 2 1 5 0 0 0 0 1 1 1 1
"friendly" 0 1 1 3 2 1 0 0 1 1 4 2 1 4 1 1 3 1 0 1 4 0 0 1 2 2 1 0 0 1 4 0 1 1 0 1 0 1 0 2 4 4 1 0 2 0 1 0 0 1 4 0 1 1 0 0 1 1 5 2 3 1 0 2 1 2 2 2 1 1 1 1 2 0 2 1 1 6 3 1 1 0 1 2 1 0 7 3 2 2 4 0 0 0 4 0 2 0 0 0 2 1 1
"gallant" 1 0 1 0 3 1 0 0 1 0 4 1 0 2 1 0 0 0 0 0 1 0 1 0 0 2 0 0 0 1 3 1 0 0 0 1 1 3 0 1 2 1 2 1 1 2 1 1 0 0 2 0 1 0 1 0 1 0 5 2 1 0 1 0 2 1 1 0 0 0 1 0 2 0 1 0 0 4 1 0 1 1 1 0 0 1 5 2 0 1 2 0 0 1 1 0 1 1 1 0 0 1 2
"gay" 2 0 0 3 2 2 0 0 1 0 4 5 0 2 4 1 1 2 2 0 4 0 1 0 1 3 2 1 1 0 1 3 0 1 1 0 0 3 0 1 3 1 3 2 0 0 1 0 1 2 0 0 0 1 0 2 1 0 1 0 2 0 1 6 4 1 3 0 1 0 0 1 1 1 2 0 1 2 0 0 1 0 2 1 1 0 4 1 0 1 4 0 1 0 2 0 0 1 0 1 0 3 3
"general" 4 1 4 7 2 2 1 3 4 0 12 2 3 6 3 1 1 1 2 2 7 1 0 5 1 5 1 4 3 1 0 0 2 2 0 4 3 5 1 3 4 2 4 1 2 2 1 3 0 1 7 1 4 1 1 1 3 1 12 3 4 0 1 2 8 4 4 0 2 2 2 0 2 3 2 1 4 8 1 1 0 3 2 1 0 1 12 2 1 1 17 2 2 3 6 2 1 0 1 0 1 2 1
"gentle" 1 1 2 2 2 3 1 0 1 0 4 5 0 8 3 1 1 2 0 1 7 0 3 3 2 3 4 0 1 3 0 0 3 2 1 5 2 3 1 1 4 10 1 1 2 2 2 1 2 1 1 3 1 4 0 2 4 0 5 1 4 1 1 8 3 4 10 0 2 0 1 2 1 1 2 3 3 6 2 2 2 1 3 1 4 1 8 1 5 0 7 5 3 0 7 0 1 2 1 1 1 3 2
"giddy" 1 0 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 0 0 1 1 0 0 2 3 0 0 0 1 1 0 0 0 1 1 1 0 2 0 1 0 0 0 2 1 0 1 0 1 2 0 1 2 0 0 0 2 1 0 2 0 1 0 2 0 0 1 1 0 1 3 2 2 0 1 0 0 2 1 2 1 0 0 2 2 2 0 2 0 1 0 0 2 0 1 0
"gloomy" 3 0 1 2 4 2 0 1 1 0 4 4 4 4 1 0 1 0 0 2 3 1 2 1 2 1 1 1 0 1 2 2 0 0 0 1 0 0 1 1 5 2 0 2 2 0 2 0 1 2 2 0 0 0 0 0 3 0 8 3 4 1 1 1 3 2 4 1 1 1 2 4 1 2 1 0 1 5 1 0 2 1 2 1 0 0 9 1 1 1 4 1 0 0 4 2 1 0 1 1 3 2 1
"graceful" 0 0 0 1 1 0 1 0 1 0 2 2 0 3 1 3 0 0 1 1 2 0 0 0 0 3 1 0 0 1 0 1 0 0 0 1 0 4 0 0 0 2 2 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 2 2 0 1 1 2 0 1 0 0 0 0 1 0 2 0 0 1 2 1 1 0 2 0 0 0 0 1 0 2 0 5 1 0 0 0 1 0 1 1 0 0 0 0
"gracious" 1 1 0 1 1 1 1 0 0 0 2 3 0 4 2 0 1 1 0 0 1 0 0 0 0 1 1 1 1 0 4 5 1 1 1 0 2 1 0 1 2 1 0 0 2 0 2 1 0 1 2 0 1 1 0 2 2 0 4 0 2 2 0 3 2 1 0 0 0 0 0 1 1 0 5 0 2 2 0 0 0 2 1 1 1 0 6 1 1 0 9 2 1 0 1 1 0 1 0 0 1 1 0
"grave" 0 1 0 2 0 0 2 1 1 1 2 2 2 2 0 0 0 1 0 2 3 0 0 1 0 1 0 0 1 0 3 2 1 0 0 2 0 1 0 2 2 2 0 0 1 1 4 1 0 0 1 1 1 0 0 0 2 1 3 0 2 1 1 3 4 1 4 0 0 1 0 1 0 1 2 1 3 4 1 0 0 3 4 0 0 0 4 2 1 0 6 0 3 0 2 1 1 0 0 1 0 2 2
"handsome" 0 3 0 4 2 3 0 1 2 2 8 5 1 8 3 3 1 2 2 2 4 0 2 2 2 9 2 1 3 3 5 3 0 0 4 1 1 0 0 2 2 5 2 1 1 2 1 1 3 2 1 0 0 0 1 1 3 2 6 3 2 1 3 5 5 0 5 1 0 2 2 1 1 6 1 1 5 5 3 1 3 2 1 4 1 0 6 2 2 4 11 2 1 1 4 0 1 4 2 1 1 1 1
"hasty" 4 0 2 4 2 0 1 1 0 1 1 2 2 1 0 0 1 0 0 1 3 0 0 1 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 1 0 2 2 0 1 0 0 0 1 0 0 1 1 4 0 1 1 1 1 1 1 5 1 0 0 2 3 0 1 1 1 1 2 0 1 0 0 2 0 1 1 6 2 0 0 2 0 0 0 4 0 0 0 1 0 1 1 0
"hearty" 1 1 1 3 1 1 0 2 1 0 7 5 1 6 3 0 2 0 0 0 3 1 1 0 2 4 1 2 1 1 3 1 0 1 0 1 2 2 0 0 4 5 2 1 0 2 2 1 0 1 3 0 1 0 1 1 4 1 2 1 4 1 1 4 1 1 4 1 0 0 0 1 0 1 2 0 2 3 4 0 1 0 2 1 2 0 6 1 0 1 8 0 1 1 2 0 1 1 1 1 1 1 0
"heavy" 3 1 2 4 1 4 0 2 2 1 11 5 5 12 4 4 4 4 3 5 9 4 5 3 1 4 1 4 2 3 4 4 1 5 0 2 2 2 0 4 0 4 3 2 2 4 5 0 2 5 6 1 2 4 2 3 6 3 15 3 4 1 2 9 5 4 9 2 2 3 3 5 3 1 6 0 0 10 4 1 2 6 3 6 3 3 17 3 2 1 12 2 2 1 7 2 5 2 0 3 5 3 3
"honest" 1 3 1 5 2 2 1 2 2 2 7 5 2 7 1 0 1 0 0 1 3 1 3 1 4 9 4 4 1 1 2 10 1 2 2 1 2 5 1 5 4 0 3 0 2 1 4 0 2 2 2 1 1 3 2 1 3 1 9 2 4 1 0 5 8 3 7 1 0 2 1 3 0 2 2 3 1 7 2 1 2 2 2 5 3 1 7 3 5 0 12 2 1 2 8 2 1 4 3 3 2 2 1
"humble" 2 3 3 3 2 1 1 1 1 1 5 2 0 3 3 0 1 0 1 0 2 2 0 0 0 4 0 1 2 3 4 1 1 0 2 0 0 2 0 2 3 3 0 1 1 1 0 1 0 0 4 0 0 4 0 1 2 0 2 3 0 1 0 3 6 4 4 0 0 1 2 1 2 3 2 0 0 5 0 1 1 1 2 3 0 0 6 2 0 2 6 1 3 2 4 0 0 1 1 1 3 0 2
"impatient" 0 0 1 1 2 1 1 1 1 0 1 1 2 3 1 0 0 2 0 0 5 0 0 1 1 3 0 0 1 2 1 1 0 2 0 0 0 1 1 1 2 0 1 0 0 1 0 2 1 1 2 0 0 0 0 0 1 0 4 0 1 0 2 2 0 1 3 0 0 0 0 2 0 0 2 1 0 2 0 1 0 0 0 2 0 1 4 2 1 2 4 1 1 0 1 0 0 0 0 0 1 1 1
"indifferent" 2 1 0 1 2 2 0 0 1 3 2 0 1 1 0 1 1 0 0 1 1 1 0 0 1 0 1 2 1 0 2 2 2 2 0 2 1 1 1 0 2 2 1 0 0 1 1 0 0 1 2 0 1 3 0 0 3 0 2 1 0 1 0 2 2 2 1 3 0 0 1 3 0 2 0 0 0 2 2 1 0 2 0 2 0 0 4 1 0 0 3 1 1 0 2 0 0 0 2 0 3 0 0
"keen" 0 1 0 0 1 0 1 0 1 1 3 3 0 5 1 0 0 0 0 0 1 0 1 1 0 1 0 0 2 0 2 2 0 0 0 0 1 2 0 2 4 1 1 1 1 0 1 0 0 1 2 1 1 0 0 0 2 0 2 0 0 0 1 0 0 2 2 0 0 1 1 1 1 1 1 0 0 5 2 0 0 1 1 1 0 1 2 1 2 0 2 0 0 1 0 0 0 0 1 0 0 0 1
"kind" 0 2 1 3 0 0 1 0 1 0 4 5 1 3 0 1 0 0 0 2 5 0 1 0 1 0 0 1 1 1 1 2 1 2 0 2 4 1 2 2 5 4 0 0 1 1 0 1 0 0 1 0 0 1 0 0 1 0 3 0 3 2 0 1 5 1 6 0 0 0 2 2 1 1 2 0 2 5 1 0 0 2 2 0 0 0 7 2 0 0 5 0 1 0 3 0 1 1 1 1 1 2 1
"lively" 1 0 2 2 0 1 1 0 1 0 1 2 0 1 0 1 0 1 0 0 2 0 0 0 1 2 0 0 1 0 3 1 0 0 1 1 1 1 2 1 0 0 1 2 0 0 1 0 0 0 1 1 0 0 1 0 0 0 2 1 2 1 2 1 2 0 1 0 0 0 0 1 0 1 1 1 1 1 1 2 1 2 3 1 0 1 3 0 1 0 4 0 1 0 2 0 0 0 0 0 1 0 0
"lofty" 0 0 1 0 0 2 0 1 0 1 1 1 0 3 0 0 1 2 0 2 2 0 2 1 0 2 1 0 0 1 0 2 0 1 0 0 0 3 0 0 2 2 0 1 0 0 0 0 0 1 2 0 1 0 0 2 0 1 2 1 1 1 1 2 4 0 1 0 1 0 0 1 2 1 1 1 0 0 0 0 1 1 1 2 0 1 3 0 0 1 6 1 1 0 2 1 2 3 0 0 0 0 0
"lonely" 0 0 0 0 1 3 0 1 0 0 4 1 3 2 1 1 1 0 1 2 3 0 5 0 1 3 2 1 0 2 1 1 0 2 0 1 0 2 1 1 5 2 0 1 1 1 0 0 1 0 0 0 0 0 0 2 1 3 1 1 0 1 0 2 0 0 3 2 1 0 1 2 0 2 0 2 0 5 1 0 0 0 0 0 1 2 3 2 0 0 2 1 0 1 1 3 0 0 0 1 0 0 0
"loud" 3 3 4 2 0 2 0 3 0 2 6 4 2 6 1 0 3 3 0 1 4 2 2 4 0 4 1 4 2 0 7 1 2 2 0 2 1 1 0 3 6 2 4 2 2 2 1 1 2 0 0 1 0 2 0 0 2 1 9 4 1 0 0 2 6 4 6 1 1 0 1 1 0 0 3 0 2 7 2 1 1 2 2 2 0 1 12 3 4 0 9 2 0 3 2 1 2 1 0 1 3 4 1
"melancholy" 0 0 1 1 0 2 1 0 0 0 4 1 0 6 0 0 0 0 0 0 3 2 0 2 0 3 1 0 0 0 1 3 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 1 1 1 1 1 0 2 1 1 0 0 0 1 1 2 0 1 0 0 1 0 2 1 0 2 2 3 0 0 0 1 0 1 3 1 1 1 1 1 0 1 1 2 0 1 0 0 1 0 0 1
"merry" 1 0 0 2 1 1 1 0 0 0 2 3 1 3 2 0 1 1 0 0 1 0 2 2 0 4 0 1 1 0 4 1 0 0 0 1 1 0 0 1 2 1 0 0 1 1 0 0 1 0 0 1 0 0 1 0 0 0 3 0 0 1 0 1 1 0 1 0 0 0 0 0 0 3 1 0 0 2 1 0 0 1 0 0 0 1 4 0 1 0 5 1 0 0 0 0 1 2 0 1 0 0 2
"mild" 1 0 0 3 1 0 0 0 0 2 3 0 2 3 1 1 1 0 1 1 5 2 0 0 0 2 1 1 0 1 1 4 1 0 0 1 0 0 1 0 4 3 4 0 3 0 1 0 0 0 2 1 0 0 0 0 2 0 3 3 0 2 0 3 2 4 2 1 1 1 0 2 0 1 1 0 0 0 1 1 0 1 0 1 0 0 4 1 2 0 5 2 2 2 4 1 0 0 0 0 2 1 0
"military" 0 0 0 0 1 1 0 1 0 0 3 1 1 2 0 0 0 0 0 1 2 0 0 1 0 4 1 0 1 0 1 0 0 0 1 0 0 1 0 1 2 2 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 3 1 0 0 0 2 1 0 4 0 1 1 0 0 0 1 2 1 1 0 0 0 1 3 2 0 0 0 6 0 0 0 3 0 1 2 1 0 1 1 0 0 0 1 1
"mournful" 0 0 0 0 0 1 0 0 0 0 2 1 0 3 3 0 2 0 0 0 2 2 1 0 0 2 1 0 0 2 1 2 1 0 1 2 0 1 0 1 3 1 1 0 0 0 0 0 2 2 0 1 0 0 0 0 0 0 2 0 0 1 0 1 1 0 2 0 0 0 0 0 1 1 0 1 0 3 1 0 1 0 0 0 1 1 2 0 0 0 4 0 1 0 0 0 2 1 0 1 0 0 0
"natural" 1 3 0 2 1 1 0 2 2 3 10 3 4 10 3 2 2 3 3 4 6 0 3 0 3 1 0 1 1 1 3 4 2 3 1 2 2 3 1 4 6 3 2 1 3 2 1 0 0 1 2 1 0 2 0 0 0 1 10 4 3 0 1 5 5 2 4 0 0 3 4 3 1 0 1 2 5 9 2 1 1 4 2 1 0 0 5 3 2 1 11 4 3 0 6 2 0 0 1 0 1 2 4
"noisy" 1 0 1 0 2 2 0 1 0 0 2 0 2 3 0 0 0 1 1 0 1 0 2 0 0 1 0 1 0 0 1 0 0 0 0 0 1 2 1 1 3 1 0 0 0 0 0 0 1 3 1 0 0 0 1 0 1 0 3 0 2 0 0 2 1 0 3 1 0 0 0 1 0 0 0 2 2 2 1 0 0 0 0 0 0 2 2 1 0 0 1 2 0 2 1 2 1 0 0 0 1 1 0
"open" 6 2 4 6 5 3 2 4 2 5 13 9 6 16 2 2 8 1 5 3 11 2 4 8 3 10 4 5 5 1 12 5 1 8 0 4 3 6 4 2 15 9 2 4 2 2 3 2 2 1 9 2 3 3 3 2 10 3 0 5 11 3 2 6 8 6 16 2 1 3 4 6 3 7 6 1 4 11 6 1 3 5 3 4 4 5 13 6 4 1 21 3 2 5 10 2 6 4 0 5 4 4 5
"original" 0 2 0 3 1 2 0 2 1 2 8 2 3 3 0 2 2 2 1 2 4 0 1 0 0 1 2 2 2 0 3 1 2 3 2 0 0 3 0 1 3 2 3 0 1 0 0 1 1 1 4 1 0 3 1 0 4 0 5 0 4 1 0 4 4 0 4 1 1 1 1 1 0 6 4 1 0 5 1 2 0 3 0 2 0 1 7 2 2 1 7 2 1 2 2 2 2 3 0 1 1 2 1
"particular" 2 1 2 6 3 5 0 2 1 0 6 6 3 7 2 3 1 2 1 2 6 1 1 1 1 4 4 3 1 2 4 4 0 4 2 2 2 2 1 4 4 4 0 1 0 0 3 2 1 0 1 1 0 0 0 0 3 2 11 4 0 2 1 6 7 5 5 1 2 0 1 4 2 4 2 0 2 8 2 1 3 4 3 2 2 1 8 1 2 1 8 1 1 2 5 1 3 1 0 3 1 3 2
