"acceptable" "active" "affable" "affectionate" "busy" "calm" "careful" "certain" "cheerful" "clean" "close" "cold" "confidential" "considerate" "constant" "cool" "cruel" "curious" "delicate" "determined" "direct" "domestic" "earnest" "easy" "expressive" "faithful" "familiar" "free" "fresh" "friendly" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "heavy" "honest" "hopeful" "hopeless" "humble" "hurried" "immovable" "impatient" "indifferent" "jealous" "kind" "lively" "lofty" "loud" "melancholy" "modest" "natural" "neat" "open" "original" "particular" "passionate" "patient" "pleasant" "polite" "practical" "precise" "proud" "quick" "quiet" "rapid" "reasonable" "responsible" "rigid" "rough" "rusty" "sad" "sagacious" "second" "sensible" "serious" "severe" "silent" "simple" "slow" "smooth" "social" "soft" "spirited" "steady" "stern" "stiff" "strong" "submissive" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "thoughtful" "tight" "timid" "true" "ugly" "uncertain" "unhappy" "vague" "vain" "violent" "weak" "wise" "worldly"
"direct" 0 0 1 0 0 1 1 2 1 0 0 0 0 1 1 0 1 0 1 0 0 0 1 3 1 0 1 2 2 1 2 1 0 0 1 1 0 0 0 2 1 0 0 0 1 0 0 0 1 1 1 0 0 0 0 2 3 1 1 0 1 0 1 1 1 0 1 2 1 3 0 1 0 0 0 1 0 2 2 2 0 1 0 1 0 0 0 1 0 2 2 1 1 0 1 0 3 0 0 0 1 0 0 4 0 2 0 1 1 1 0 2 0
"domestic" 1 0 2 0 1 0 0 3 1 0 1 2 0 0 0 0 1 1 1 0 0 0 1 3 0 2 1 2 0 1 1 0 0 1 2 1 1 1 0 0 1 1 1 0 4 0 1 0 1 0 2 0 0 0 0 1 1 1 1 2 3 1 1 1 0 0 0 4 1 1 1 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 1 0 2 0 1 0 6 0 1 1 0 1 1 0 0 1 1 3 0 1 2 1 0 0 2 0 0
"earnest" 0 1 0 0 2 1 3 2 0 0 0 2 0 0 0 0 2 2 1 0 1 1 0 4 0 2 1 1 0 0 2 0 0 1 0 2 1 2 1 1 0 1 1 1 0 0 0 1 0 0 2 0 0 1 0 1 5 1 0 1 2 1 2 2 1 0 1 2 3 3 2 1 0 0 0 1 0 1 2 0 0 0 0 1 2 1 0 0 0 1 0 1 2 0 2 2 6 0 2 1 1 1 2 3 0 1 2 1 0 1 1 1 0
"easy" 2 1 4 4 4 3 3 14 5 1 4 7 1 1 3 3 4 10 3 0 3 3 4 0 2 2 2 4 6 6 9 4 0 1 5 2 3 1 2 10 6 5 4 1 2 0 2 5 1 3 3 0 1 2 1 2 10 3 9 4 4 2 3 7 2 6 1 6 5 6 2 1 0 0 2 2 0 2 11 4 2 4 6 2 4 0 1 2 3 3 0 3 7 0 4 4 9 0 2 0 0 2 1 8 2 5 5 3 1 1 4 6 1
"expressive" 0 1 2 0 1 1 3 8 0 0 0 1 1 0 1 1 2 1 2 0 1 0 0 2 0 2 3 2 3 2 5 4 1 1 1 2 0 0 1 3 3 1 1 1 0 0 1 2 2 1 5 0 0 1 0 0 0 0 4 0 2 1 1 4 1 0 0 3 0 6 1 0 2 0 1 0 1 0 2 4 0 1 4 0 0 2 1 0 0 1 1 1 6 2 3 0 3 0 0 0 0 0 0 1 1 1 0 1 0 1 0 1 0
"faithful" 1 0 0 1 3 2 2 5 0 0 2 2 1 0 0 0 3 4 3 1 0 2 2 2 2 0 4 4 4 2 3 1 0 1 0 3 2 3 0 1 2 3 2 1 1 1 0 0 0 1 2 1 0 0 0 2 5 2 2 2 2 0 3 1 0 0 0 3 1 4 0 1 0 1 0 0 1 0 5 2 0 0 3 1 3 0 3 0 0 1 1 0 9 1 5 0 4 1 1 1 1 0 2 9 1 0 3 0 0 2 4 1 0
"familiar" 1 1 0 1 3 0 2 6 0 1 3 3 0 1 2 0 4 5 4 0 1 1 1 2 3 4 0 4 4 2 2 1 0 0 3 2 3 0 0 3 3 1 1 1 0 0 0 1 0 0 5 1 0 1 1 2 4 1 4 3 3 1 3 2 0 1 0 2 2 6 1 2 0 0 1 1 1 0 6 0 1 0 3 0 3 1 2 3 1 0 1 1 7 0 0 2 7 0 1 0 0 1 2 7 4 2 2 0 2 0 1 1 1
"free" 2 0 0 4 2 2 4 12 5 1 4 1 2 2 1 4 2 2 0 1 2 2 1 4 2 4 4 0 4 7 5 2 2 5 1 3 3 2 5 5 10 4 1 0 2 3 1 1 4 1 8 3 1 3 3 4 9 4 13 3 11 1 2 5 1 2 2 11 6 9 1 2 1 0 1 2 1 2 4 4 2 1 4 5 3 1 3 4 3 5 1 1 11 1 1 4 17 2 4 0 4 2 2 13 1 3 3 3 1 2 9 3 2
"fresh" 1 0 1 0 2 1 2 7 3 1 5 4 0 1 2 1 0 3 2 1 2 0 0 6 3 4 4 4 0 2 4 2 0 1 2 2 1 0 1 3 2 1 0 1 2 1 0 0 0 2 3 2 0 2 1 4 4 1 2 4 3 0 0 2 1 2 0 1 3 7 3 0 2 0 3 2 0 3 4 0 0 1 5 1 3 0 0 2 0 3 0 1 7 1 3 2 5 1 0 0 2 0 1 5 3 1 3 0 1 1 2 1 2
"friendly" 0 0 1 3 1 1 1 7 1 2 0 2 2 3 0 1 2 2 1 0 1 1 0 6 2 2 2 7 2 0 3 1 0 1 1 1 1 0 1 4 4 3 2 0 1 0 0 1 1 1 2 2 0 1 0 2 2 1 4 0 1 0 1 2 1 2 3 3 8 4 0 0 0 2 1 2 0 1 2 2 2 0 4 0 4 3 3 0 0 3 2 0 4 1 2 1 5 2 1 2 2 2 1 6 3 0 1 1 1 2 0 2 0
"general" 1 2 3 3 3 2 4 17 1 0 5 3 1 2 3 1 3 3 7 1 2 1 2 9 5 3 2 5 4 3 0 3 1 3 4 1 4 1 4 6 8 4 4 2 2 3 1 5 2 5 7 2 2 3 1 1 11 2 8 5 7 0 0 6 1 2 1 11 3 7 2 0 1 0 4 0 0 1 9 6 2 1 6 3 6 2 6 3 1 2 2 1 13 2 4 2 22 4 1 1 0 3 2 8 2 1 1 2 1 1 5 4 1
"generous" 1 0 2 2 0 0 0 5 1 1 1 0 0 1 0 1 1 1 1 1 1 0 0 4 4 1 1 2 2 1 3 0 2 3 1 0 3 1 2 3 2 2 2 1 0 3 0 1 1 1 3 1 0 0 0 0 2 0 4 1 1 0 0 2 0 0 0 3 2 6 0 0 1 0 3 0 1 0 2 5 1 0 1 2 1 0 0 0 1 1 1 1 5 1 3 0 8 0 1 0 0 1 1 2 0 1 0 0 1 0 3 2 0
"genteel" 0 1 1 0 0 0 0 3 0 0 0 1 0 1 1 1 0 1 1 0 0 0 0 0 1 0 0 2 0 0 1 2 0 3 0 0 1 0 0 1 2 0 0 0 0 0 0 0 2 1 2 0 2 0 1 0 1 0 1 1 3 0 2 1 0 0 1 2 0 1 1 0 1 1 1 0 0 0 2 2 0 1 1 3 1 0 2 0 0 0 0 1 2 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 3 1 0
"gentle" 1 2 0 2 1 0 2 6 0 0 3 3 1 2 2 2 1 1 1 1 0 1 1 1 1 1 0 5 1 1 3 3 3 0 3 1 1 2 2 1 5 2 1 0 1 2 0 2 1 1 4 1 2 2 1 0 2 1 3 2 1 0 0 0 0 2 1 4 2 4 1 1 1 2 0 1 0 0 2 3 1 0 2 2 4 1 2 0 0 1 2 1 3 2 2 0 7 2 1 0 2 2 1 2 1 1 3 0 0 0 5 4 0
"gloomy" 0 0 0 0 2 2 0 2 2 1 4 2 1 1 1 3 2 3 1 0 1 2 0 5 1 0 3 1 2 1 4 1 0 3 0 1 1 1 1 2 4 1 1 1 1 1 3 2 1 1 2 4 1 2 3 0 2 1 6 2 2 1 0 2 0 1 0 3 2 4 0 0 1 1 2 2 0 0 2 4 1 2 3 0 4 1 0 3 1 3 5 0 10 2 2 2 2 1 2 1 2 1 0 3 3 2 1 1 0 1 0 0 0
"graceful" 1 0 1 1 0 0 1 0 1 0 1 0 1 1 0 1 2 1 2 1 1 1 2 2 2 3 2 3 2 1 1 0 0 1 1 0 1 1 0 0 1 0 2 1 0 0 0 0 2 0 1 0 1 0 0 0 4 0 2 0 0 0 1 1 1 1 0 1 1 1 0 0 0 0 0 0 1 1 1 0 1 0 2 1 3 0 0 0 0 1 1 1 3 1 2 1 5 0 1 0 0 0 1 4 0 0 2 0 0 0 1 0 0
"gracious" 0 2 1 1 3 0 2 6 0 0 2 2 0 0 0 0 1 1 3 1 0 1 1 3 0 2 3 3 1 1 4 3 1 1 1 1 0 1 0 4 3 1 2 0 1 2 0 3 2 1 8 1 2 1 1 3 3 3 4 6 5 1 2 2 2 1 0 3 2 4 1 0 1 1 0 0 1 1 4 5 0 0 2 0 2 0 0 0 1 0 1 0 4 1 1 0 4 0 2 0 0 2 0 7 0 0 1 0 1 3 4 1 1
