"active" "affectionate" "busy" "careful" "certain" "cheerful" "clean" "close" "cold" "confidential" "cool" "curious" "delicate" "earnest" "easy" "faithful" "familiar" "free" "fresh" "friendly" "general" "gentle" "gloomy" "gracious" "grateful" "grave" "handsome" "heavy" "honest" "hopeful" "indifferent" "joyful" "kind" "melancholy" "military" "natural" "neat" "open" "particular" "pleasant" "polite" "practical" "proud" "quick" "quiet" "rough" "rusty" "second" "sensible" "serious" "silent" "simple" "slow" "stately" "steady" "strong" "sudden" "sufficient" "sure" "sweet" "thoughtful" "tight" "true" "unhappy" "watchful" "weak" "willing"
"joyful" 0 1 2 1 4 3 0 2 2 0 2 0 1 1 0 0 1 1 4 0 3 2 1 1 1 1 2 0 1 0 2 0 3 1 1 3 1 2 3 5 0 0 2 1 3 1 0 1 2 0 1 0 1 1 2 2 1 0 8 3 0 0 4 2 0 0 2
"kind" 1 4 5 1 8 1 1 3 5 2 2 7 2 4 6 1 2 2 2 2 8 3 1 1 2 1 9 5 1 1 0 3 0 3 1 9 3 5 6 8 1 1 5 4 7 1 1 4 4 2 2 1 1 3 2 5 2 1 13 0 1 0 5 4 1 2 1
"melancholy" 2 2 2 3 1 1 0 2 5 0 0 1 1 1 4 2 2 3 3 0 11 0 0 2 0 2 5 2 2 0 0 1 3 0 1 4 0 4 1 0 1 0 3 2 3 0 2 3 3 1 2 0 0 3 0 2 1 2 9 1 1 0 6 1 0 1 1
"military" 0 1 2 0 2 1 0 3 3 2 1 2 1 0 4 1 2 3 4 3 2 0 0 1 0 2 4 3 2 1 1 1 1 1 0 6 0 4 4 2 1 0 2 2 1 0 1 2 0 0 3 2 1 0 2 6 1 1 7 1 2 1 3 1 1 1 2
"natural" 4 3 2 2 15 2 2 7 7 2 4 9 3 5 9 6 5 6 9 6 13 2 2 5 1 4 8 10 5 4 5 3 9 4 6 0 2 15 7 7 1 4 4 4 10 2 2 8 10 4 5 4 2 4 5 12 4 2 30 3 1 4 9 4 2 4 2
"neat" 0 3 4 2 6 0 1 1 2 2 1 4 2 3 2 0 2 1 4 0 4 2 2 0 1 1 3 2 1 0 1 1 3 0 0 2 0 2 5 1 0 0 2 2 5 0 1 4 0 0 1 1 0 1 4 2 1 0 6 1 0 0 2 2 1 0 1
"open" 5 7 10 4 10 8 6 7 11 3 5 12 5 3 11 3 6 7 10 6 19 5 3 5 1 3 6 13 8 4 4 2 5 4 4 15 2 0 8 11 3 3 4 7 14 7 4 6 4 4 8 1 4 2 7 9 5 2 27 3 2 4 12 6 2 5 2
"particular" 0 2 7 5 8 3 2 1 7 4 1 6 5 3 4 3 5 3 7 5 14 2 3 3 0 2 4 8 1 1 3 3 6 1 4 7 5 8 0 9 0 3 6 2 12 1 2 6 3 2 4 3 0 4 6 4 4 2 19 3 4 3 10 4 3 3 3
"pleasant" 1 3 8 5 13 5 0 6 5 3 3 7 3 5 7 2 3 4 7 4 7 1 0 2 2 1 4 4 2 1 2 5 8 0 2 7 1 11 9 0 0 6 3 6 9 2 2 1 5 3 6 3 4 2 3 10 1 2 12 2 2 1 12 2 3 6 2
"polite" 0 1 2 0 1 0 0 1 3 0 1 2 0 2 4 1 1 2 0 0 3 1 1 1 0 1 2 2 0 1 1 0 1 1 1 1 0 3 0 0 0 0 1 2 2 2 2 1 1 0 1 2 0 1 1 3 2 1 4 0 0 1 4 1 0 2 1
"practical" 1 1 2 1 5 2 0 0 0 1 1 3 1 0 1 0 1 3 1 1 6 0 1 0 3 0 0 4 1 0 0 0 1 0 0 4 0 3 3 6 0 0 0 1 2 3 0 1 0 0 1 1 1 0 0 2 0 1 6 1 0 1 1 0 1 1 1
"proud" 2 0 3 0 5 2 1 4 7 2 0 4 2 4 6 3 2 2 0 1 5 0 3 2 2 2 7 3 1 2 1 2 5 3 2 4 2 4 6 3 1 0 0 3 7 0 0 0 4 0 1 0 1 2 1 5 1 1 15 5 1 0 5 4 1 0 0
"quick" 1 3 3 0 6 2 3 0 2 2 0 5 4 4 6 3 3 4 4 2 6 1 0 2 2 1 4 6 2 1 2 1 4 2 2 4 2 7 2 6 2 1 3 0 2 2 2 4 1 0 2 1 1 1 1 9 6 0 16 1 0 0 6 1 0 2 0
"quiet" 5 5 4 6 15 9 3 9 11 6 5 13 2 8 13 3 6 7 9 1 8 5 4 3 4 2 4 13 3 3 3 3 7 3 1 10 5 14 12 9 2 2 7 2 0 7 6 8 6 3 9 7 3 2 7 6 5 1 29 7 7 3 12 7 6 6 3
"rough" 0 2 2 0 5 3 1 1 2 1 2 3 0 0 2 1 4 0 2 3 3 1 1 0 0 2 0 3 1 0 1 1 1 0 0 2 0 7 1 2 2 3 0 2 7 0 1 2 1 2 1 1 1 1 1 3 2 1 6 3 0 1 5 1 0 2 4
"rusty" 0 3 1 2 2 0 2 4 5 1 0 2 0 1 6 1 2 4 4 0 4 0 3 1 0 0 1 3 0 0 3 0 1 2 1 2 1 4 2 2 2 0 0 2 6 1 0 3 0 1 1 2 2 2 0 6 2 3 7 0 1 1 3 0 1 3 0
"second" 2 2 3 2 5 3 1 1 6 0 3 6 0 2 6 1 3 1 4 5 10 2 4 0 5 1 2 7 3 2 2 1 4 3 2 8 4 6 6 1 1 1 0 4 8 2 3 0 5 2 4 1 0 2 0 4 2 0 12 5 1 2 8 4 0 4 2
"sensible" 1 2 2 3 3 4 0 2 3 0 2 2 1 1 5 1 1 3 1 5 2 1 2 2 2 0 4 2 1 3 1 2 4 3 0 10 0 4 3 5 1 0 4 1 6 1 0 5 0 1 2 2 0 2 1 1 1 0 12 1 1 1 10 3 1 1 1
"serious" 0 2 1 2 3 2 1 3 1 0 0 2 0 3 3 2 3 2 0 1 2 4 1 0 1 1 3 4 1 1 0 0 2 1 0 4 0 4 2 3 0 0 0 0 3 2 1 2 1 0 0 0 1 2 3 2 0 1 5 0 0 1 3 1 0 1 1
"silent" 3 3 7 0 4 3 1 7 2 0 2 5 4 4 6 2 3 3 5 1 8 3 4 3 2 2 6 3 0 4 1 1 2 2 3 5 1 8 4 6 1 1 1 2 9 1 1 4 2 0 0 0 0 1 2 6 4 1 17 1 2 0 3 2 2 2 2
"simple" 0 3 2 2 2 2 0 0 2 1 1 3 0 1 4 1 1 1 0 1 4 2 1 1 0 1 0 2 3 1 1 0 1 0 2 4 1 1 3 3 2 1 0 1 7 1 2 1 2 0 0 0 2 0 2 1 0 2 6 1 4 1 9 1 1 2 1
"slow" 0 0 0 0 3 0 1 1 8 0 1 4 1 0 2 0 3 3 4 2 0 0 3 0 1 1 2 3 2 0 1 1 1 0 1 2 0 4 0 4 0 1 1 1 3 1 2 0 0 1 0 2 0 2 1 2 2 1 5 1 0 0 4 2 1 1 0
"stately" 1 3 1 0 3 0 0 3 5 2 0 1 1 1 2 2 1 1 3 2 4 1 3 4 0 1 7 3 0 0 1 1 3 3 0 4 1 2 4 2 1 0 2 1 2 1 2 2 2 2 1 0 2 0 1 2 2 0 6 3 1 0 2 2 2 1 0
"steady" 0 3 1 1 8 2 1 4 4 1 2 1 2 2 2 2 3 2 6 2 1 0 3 2 1 2 2 5 0 0 0 2 2 0 2 5 4 7 6 3 1 0 1 1 7 1 0 0 1 3 2 2 1 1 0 1 0 1 9 1 2 1 3 4 2 1 0
"strong" 8 2 9 1 7 2 5 3 7 2 0 11 2 2 10 5 3 8 8 0 9 3 2 4 1 5 4 7 4 1 4 2 5 2 6 12 2 9 4 10 3 2 5 9 6 3 6 4 1 2 6 1 2 2 1 0 6 5 30 3 1 4 11 1 1 6 1
"sudden" 0 0 1 0 3 1 0 2 3 0 1 4 3 2 3 1 3 4 1 1 7 1 2 4 0 2 4 3 0 2 1 1 2 1 1 4 1 5 4 1 2 0 1 6 5 2 2 2 1 0 4 0 2 2 0 6 0 0 12 2 1 0 4 0 1 0 1
"sufficient" 1 1 1 2 1 1 0 1 2 0 0 1 0 1 2 1 2 2 3 0 6 0 0 0 1 2 1 0 1 0 0 0 1 2 1 2 0 2 2 2 1 1 1 0 1 1 3 0 0 1 1 2 1 0 1 5 0 0 9 0 0 0 6 2 0 2 2
"sure" 8 11 17 7 20 10 8 12 15 4 5 21 8 10 25 6 11 17 21 6 28 7 7 14 8 7 12 12 10 10 5 8 13 9 7 30 6 27 19 12 4 6 15 16 29 6 7 12 12 5 17 6 5 6 9 30 12 9 0 10 10 6 27 15 5 6 6
"sweet" 1 0 3 1 3 1 1 1 5 0 1 1 2 1 4 2 2 3 2 1 2 0 2 1 1 1 4 4 2 2 1 3 0 1 1 3 1 3 3 2 0 1 5 1 7 3 0 5 1 0 1 1 1 3 1 3 2 0 10 0 2 0 7 5 0 2 1
"thoughtful" 0 2 2 0 1 3 1 1 1 1 0 4 2 1 2 0 1 1 3 2 2 1 1 3 0 0 0 1 2 2 2 0 1 1 2 1 0 2 4 2 0 0 1 0 7 0 1 1 1 0 2 4 0 1 2 1 1 0 10 2 0 0 6 1 0 0 0
"tight" 0 1 1 0 2 0 1 2 1 1 2 1 0 0 1 0 1 2 1 1 5 1 0 1 0 0 1 1 0 0 0 0 0 0 1 4 0 4 3 1 1 1 0 0 3 1 1 2 1 1 0 1 0 0 1 4 0 0 6 0 0 0 3 2 1 0 0
"true" 2 7 9 5 7 3 2 5 9 5 3 10 3 5 10 5 9 4 6 12 14 6 4 4 5 3 4 7 5 3 2 4 5 6 3 9 2 12 10 12 4 1 5 6 12 5 3 8 10 3 3 9 4 2 3 11 4 6 27 7 6 3 0 9 2 8 2
"unhappy" 3 5 6 2 2 2 0 0 5 0 2 1 0 2 4 3 1 2 1 2 4 3 3 2 2 3 0 0 1 2 2 2 4 1 1 4 2 6 4 2 1 0 4 1 7 1 0 4 3 1 2 1 2 2 4 1 0 2 15 5 1 2 9 0 0 2 1
"watchful" 0 2 0 0 4 1 0 3 3 1 0 3 1 1 3 0 2 2 3 1 5 0 0 0 1 0 3 1 0 0 0 0 1 0 1 2 1 2 3 3 0 1 1 0 6 0 1 0 1 0 2 1 1 2 2 1 1 0 5 0 0 1 2 0 0 0 0
"weak" 0 3 3 3 5 2 1 1 5 2 0 6 1 3 3 1 2 2 4 1 3 1 3 0 0 1 2 1 2 1 1 0 2 1 1 4 0 5 3 6 2 1 0 2 6 2 3 4 1 1 2 2 1 1 1 6 0 2 6 2 0 0 8 2 0 0 2
"willing" 0 1 3 0 3 1 0 1 1 1 3 2 0 0 4 0 1 2 1 2 2 3 0 0 0 1 2 2 0 1 2 2 1 1 2 2 1 2 3 2 1 1 0 0 3 4 0 2 1 1 2 1 0 0 0 1 1 2 6 1 0 0 2 1 0 2 0
