"active" "affectionate" "busy" "certain" "cheerful" "civil" "close" "cold" "constant" "decided" "determined" "domestic" "eager" "easy" "free" "fresh" "friendly" "gay" "general" "gentle" "grateful" "grave" "handsome" "hasty" "heavy" "impatient" "independent" "indifferent" "indolent" "intimate" "kind" "lively" "melancholy" "mild" "modest" "natural" "open" "particular" "pleasant" "quick" "quiet" "reasonable" "sad" "sanguine" "second" "selfish" "sensible" "serious" "silent" "simple" "steady" "strong" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "true" "unhappy" "vain" "willing"
"heavy" 2 0 0 2 0 2 1 4 2 0 3 0 2 0 0 1 0 0 5 1 1 0 2 1 0 1 2 1 0 0 1 0 3 0 1 3 1 2 2 0 1 0 1 0 1 2 0 0 1 1 0 3 1 0 6 0 1 2 1 1 0 1
"impatient" 3 1 2 0 3 4 3 0 1 1 1 1 3 0 0 2 0 2 5 0 0 0 0 0 1 0 0 0 0 1 4 0 1 0 2 3 0 2 2 1 3 1 1 0 2 0 0 1 0 1 2 2 0 2 3 0 0 1 3 0 1 0
"independent" 0 1 0 1 1 1 0 2 2 1 5 1 0 0 0 1 1 0 4 1 0 0 2 2 2 0 0 0 0 0 2 2 0 0 1 3 1 0 4 0 0 1 0 0 1 0 1 2 1 0 0 5 0 0 5 1 0 1 4 0 1 1
"indifferent" 1 0 1 2 0 0 1 0 1 0 1 0 1 3 0 0 2 1 5 1 1 2 0 0 1 0 0 0 1 1 1 1 1 0 0 1 2 2 2 0 2 1 2 0 1 2 1 2 2 1 0 2 2 0 3 1 0 1 1 0 0 1
"indolent" 2 0 1 0 1 0 2 1 0 0 0 1 2 5 2 1 1 0 6 0 0 0 1 0 0 0 0 1 0 0 1 1 1 0 1 1 0 1 4 1 2 0 0 1 1 1 2 0 1 0 2 1 1 1 3 0 2 0 0 1 1 2
"intimate" 1 0 0 4 0 0 1 1 1 2 1 0 1 0 0 2 0 1 3 1 0 0 2 0 0 1 0 1 0 0 0 2 1 0 1 1 0 5 0 1 3 0 0 0 3 1 1 1 1 1 2 3 0 3 7 1 0 0 3 1 0 0
"kind" 2 3 1 2 1 4 3 4 2 2 3 2 3 6 3 2 2 3 9 2 5 2 3 1 1 4 2 1 1 0 0 5 0 2 3 7 4 4 8 2 1 5 3 3 1 3 4 6 3 3 1 9 3 1 12 4 1 0 6 2 2 1
"lively" 1 1 0 2 2 1 3 4 2 3 2 2 2 2 1 1 1 0 6 1 2 2 2 2 0 0 2 1 1 2 5 0 0 1 0 7 4 3 7 2 1 1 0 0 3 1 3 5 3 2 2 8 1 1 6 2 0 0 2 2 3 1
"melancholy" 2 0 0 2 1 1 0 2 0 0 2 1 2 0 1 0 1 0 3 1 0 0 1 0 3 1 0 1 1 1 0 0 0 0 1 0 0 2 3 1 3 0 3 0 5 2 0 0 3 1 2 2 1 0 8 0 1 1 2 2 1 1
"mild" 0 0 0 1 2 0 1 2 0 0 1 1 1 1 1 0 0 1 2 0 1 0 2 0 0 0 0 0 0 0 2 1 0 0 0 2 2 2 3 2 1 0 0 1 1 1 0 1 3 0 1 0 2 0 2 1 1 0 0 0 0 0
