"active" "careful" "careless" "cautious" "certain" "charitable" "cheerful" "civil" "cold" "constant" "cruel" "decided" "determined" "domestic" "eager" "easy" "exact" "fresh" "friendly" "general" "gentle" "grateful" "handsome" "hopeless" "impatient" "indifferent" "intimate" "jealous" "kind" "lively" "natural" "observant" "open" "particular" "pleasant" "polite" "prudent" "quick" "quiet" "reasonable" "sad" "second" "selfish" "sensible" "serious" "severe" "silent" "sincere" "steady" "strict" "strong" "sudden" "sufficient" "sure" "suspicious" "sweet" "true" "uncertain" "vain" "unhappy" "worldly" "willing"
"cruel" 0 0 1 0 2 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 2 0 2 2 0 0 1 0 1 0 1 1 1 2 0 0 0 1 0 0 1 1 1 2 0 0 1 1 1 0 1 1
"decided" 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 2 0 0 0 1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 1 2 1 1 1 2 2 0 1 0 1 0 0 2 0 0 0 0 1 1 0 0
"determined" 1 1 2 0 2 0 1 0 4 0 0 0 0 3 1 1 0 0 1 3 1 1 0 0 1 1 0 0 3 1 2 0 1 1 0 1 1 2 2 2 0 3 0 3 4 0 2 1 1 1 4 2 2 8 0 0 2 0 2 0 1 1
"domestic" 0 0 0 1 3 1 2 0 2 3 0 0 3 0 1 1 0 0 0 5 0 2 3 1 0 1 1 0 1 2 3 1 2 2 2 1 0 2 0 0 0 3 0 5 2 1 0 0 3 0 7 0 1 5 1 1 1 1 0 0 2 0
"eager" 1 0 2 2 0 0 2 0 2 0 1 0 1 1 0 1 0 1 1 4 0 0 0 1 1 1 0 0 1 1 2 0 5 1 2 0 0 0 0 1 0 1 1 1 2 2 1 0 0 0 0 0 1 6 0 3 2 0 0 0 1 0
"easy" 1 2 1 1 3 1 0 1 2 3 1 0 1 1 1 0 0 0 0 4 0 0 1 1 1 3 0 2 1 0 4 1 5 3 1 1 1 1 0 1 1 1 0 4 0 0 2 0 2 0 4 0 0 4 1 1 2 1 0 1 1 1
"exact" 0 1 0 1 0 1 0 1 0 0 0 2 0 0 0 0 0 0 1 1 1 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 2 0 3 2 2 1 1 1 1 1 0 0 1 0 0 2 0 0 0 0 0
"fresh" 1 0 0 0 1 0 2 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 1 1 0 2 0 0 0 1 0 0 0 0 0 1 1 0 2 1 1 0 0 1 0 0 1 1 1 0 3 0 1 1 1 0 0 0 1
"friendly" 0 1 0 0 0 0 0 1 1 1 0 0 1 0 1 0 1 0 0 3 0 0 2 0 1 0 0 0 2 0 1 0 1 1 2 1 0 0 0 1 1 2 0 2 0 0 0 2 1 0 2 0 0 3 0 1 2 0 0 1 0 0
"general" 1 1 2 2 4 1 3 2 4 5 0 0 3 5 4 4 1 1 3 0 1 3 5 2 1 3 4 1 3 1 9 2 6 7 3 1 1 1 0 1 0 7 1 6 3 2 6 1 2 2 4 0 1 14 2 2 3 3 2 2 3 2
"gentle" 1 0 0 1 1 1 1 1 1 1 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 2 2 0 1 1 2 1 1 1 2 1 0 0 1 3 1 1 3 1 1 2 1 0 1 0 1
"grateful" 1 0 0 0 2 0 3 0 0 1 0 0 1 2 0 0 0 1 0 3 0 0 1 1 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 1 2 0 1 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0
"handsome" 1 2 0 0 4 0 1 1 1 1 0 1 0 3 0 1 2 1 2 5 0 1 0 0 1 0 2 1 3 1 3 2 3 3 2 0 0 0 0 0 1 3 0 6 1 2 1 2 3 0 4 1 0 8 1 1 2 1 1 2 1 1
"hopeless" 0 0 1 0 1 0 1 0 1 1 1 0 0 1 1 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 1 1 1 1 0 0 0 3 0 0 2 0 0 0 0 0 0 0 1
"impatient" 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1 1 1 0 1 1 0 0 1 0 0 0 1 0 0 0 1 1 2 1 1 1 0 1 0 1 0 1 1 3 2 0 0 1 0 0 2 0 2 2 0 0 0 1 0 0 2 0
"indifferent" 0 0 0 1 2 1 2 0 0 3 0 0 1 1 1 3 0 1 0 3 0 1 0 0 0 0 0 0 0 0 2 1 1 1 1 1 0 0 2 0 0 1 0 2 2 1 1 0 2 0 2 0 0 3 1 1 0 0 0 0 1 0
"intimate" 1 0 0 0 1 0 1 0 1 2 0 1 0 1 0 0 0 1 0 4 1 1 2 0 1 0 0 0 0 2 1 1 2 2 1 0 0 0 0 1 1 2 0 2 0 0 3 0 1 2 2 0 0 4 0 0 0 1 1 0 1 0
"jealous" 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 2 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 3 0 1 2 0 0 0 0 1
"kind" 0 1 2 0 1 0 0 0 1 0 0 0 3 1 1 1 0 2 2 3 0 0 3 0 0 0 0 1 0 0 2 0 3 1 3 0 0 0 0 1 0 2 1 1 1 0 0 1 2 1 2 1 1 7 0 0 1 0 3 0 0 2
"lively" 0 0 0 0 1 0 1 1 0 1 0 1 1 2 1 0 0 0 0 1 1 0 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 4 0 1 0 0 0 0 1 0
"natural" 1 0 1 2 6 1 1 0 4 1 2 0 2 3 2 4 0 0 1 9 1 1 3 1 1 2 1 0 2 0 0 1 7 6 2 1 2 2 3 0 2 3 2 5 4 2 3 1 2 0 5 0 3 9 3 2 1 3 1 0 2 2
"observant" 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 2 0 0 2 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 2 0 0 0 0 1 0 1 1 0 3 1 0 0 0 0 1 2 0
"open" 1 1 3 1 4 0 0 0 3 0 2 1 1 2 5 5 0 1 1 6 0 0 3 1 2 1 2 2 3 0 7 0 0 4 5 0 1 2 1 1 2 1 2 6 4 2 3 1 1 1 4 1 2 9 0 2 3 2 3 0 1 3
"particular" 1 0 2 1 5 1 2 1 3 3 2 1 1 2 1 3 1 0 1 7 0 1 3 1 1 1 2 1 1 0 6 1 4 0 2 3 1 0 0 0 2 4 1 5 0 4 5 0 2 2 4 1 1 8 2 0 1 2 1 1 3 1
"pleasant" 0 1 0 0 1 0 1 0 1 0 0 0 0 2 2 1 0 0 2 3 0 0 2 0 1 1 1 1 3 1 2 0 5 2 0 0 0 0 1 0 0 2 0 1 3 1 1 1 1 1 3 0 1 5 0 1 0 0 2 0 0 0
"polite" 0 0 0 1 1 1 0 0 1 1 0 0 1 1 0 1 0 0 1 1 0 0 0 0 1 1 0 1 0 0 1 1 0 3 0 0 0 0 0 1 0 2 0 2 0 1 1 1 1 0 2 0 0 3 1 0 1 0 0 0 1 0
"prudent" 1 0 1 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 2 0 0 1 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 2
"quick" 0 0 0 1 1 1 0 1 1 0 0 1 2 2 0 1 1 0 0 1 2 0 0 0 1 0 0 0 0 1 2 0 2 0 0 0 0 0 0 0 0 1 1 4 2 1 0 0 0 1 3 1 0 2 0 1 2 1 1 0 1 0
"quiet" 1 1 0 0 1 0 0 0 0 1 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 3 0 1 0 1 0 0 0 0 0 1 2 0 2 4 2 1 0 0 0 1 2 2 6 0 1 4 1 1 0 0 0
"reasonable" 3 0 0 0 0 0 1 0 1 0 0 0 2 0 1 1 0 1 1 1 1 1 0 0 1 0 1 0 1 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 0 0 1 1 0 1 1 0 0 3 0 0 1 0 0 0 0 0
"sad" 0 0 1 0 2 0 0 0 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 1 0 0 1 0 0 1 2 0 2 2 0 0 1 0 1 0 0 1 0 3 1 2 1 0 2 0 1 0 0 4 0 1 0 0 0 0 0 1
"second" 1 1 0 1 2 1 2 0 2 4 1 2 3 3 1 1 2 2 2 7 2 1 3 0 1 1 2 0 2 0 3 1 1 4 2 2 1 1 2 1 1 0 1 6 2 2 4 1 3 1 4 1 2 8 2 0 4 2 1 1 2 2
"selfish" 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 1 0 2 0 2 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 1 1 0 0 1 1 0 1 1
"sensible" 0 2 2 3 3 2 1 1 4 3 2 1 3 5 1 4 3 1 2 6 1 1 6 1 3 2 2 0 1 1 5 2 6 5 1 2 1 4 2 1 3 6 0 0 5 4 1 3 3 1 7 1 0 8 1 1 4 2 1 0 4 2
"serious" 0 1 2 2 3 1 1 2 2 1 0 1 4 2 2 0 2 0 0 3 1 2 1 1 2 2 0 0 1 0 4 0 4 0 3 0 0 2 4 0 1 2 0 5 0 2 0 1 1 1 4 1 2 7 0 1 3 0 2 0 0 0
"severe" 1 0 0 1 2 1 3 1 2 2 0 2 0 1 2 0 2 0 0 2 2 0 2 1 0 1 0 1 0 1 2 0 2 4 1 1 0 1 2 0 2 2 0 4 2 0 5 0 1 1 3 1 0 6 1 2 2 0 0 1 0 0
"silent" 1 0 0 0 2 0 3 0 2 1 0 2 2 0 1 2 1 1 0 6 1 1 1 1 0 1 3 1 0 0 3 0 3 5 1 1 0 0 1 1 1 4 0 1 0 5 0 0 1 2 3 0 0 5 0 0 2 1 1 1 0 0
"sincere" 0 1 0 0 1 0 0 0 1 0 1 0 1 0 0 0 1 0 2 1 0 0 2 0 1 0 0 0 1 0 1 0 1 0 1 1 0 0 0 1 0 1 0 3 1 0 0 0 1 0 1 0 0 1 0 0 1 0 2 0 0 0
"steady" 0 0 0 1 1 1 0 0 1 4 0 1 1 3 0 2 1 0 1 2 0 0 3 0 0 2 1 0 2 0 2 1 1 2 1 1 0 0 0 0 2 3 0 3 1 1 1 1 0 0 3 0 1 6 1 0 0 0 1 0 1 0
"strict" 1 0 1 1 0 1 1 1 0 0 0 0 1 0 0 0 1 1 0 2 1 1 0 0 0 0 2 0 1 0 0 0 1 2 1 0 0 1 0 1 0 1 0 1 1 1 2 0 0 0 2 1 0 2 0 0 1 0 1 0 0 0
"strong" 1 1 1 2 3 2 2 2 5 4 1 1 4 7 0 4 1 1 2 4 3 1 4 3 2 2 2 1 2 1 5 1 4 4 3 2 1 3 1 1 1 4 1 7 4 3 3 1 3 2 0 0 2 8 2 2 4 0 1 2 2 1
"sudden" 0 1 1 0 1 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 2 0 0 1 0 1 1 1 0 0 0 1 0 0 1 5 0 1 2 1 1 1 0 0
"sufficient" 0 1 0 0 0 0 0 0 1 0 1 0 2 1 1 0 0 0 0 1 1 0 0 0 2 0 0 1 1 0 3 0 2 1 1 0 1 0 2 0 0 2 2 0 2 0 0 0 1 0 2 1 0 5 1 0 0 1 1 0 1 2
"sure" 3 2 3 1 6 1 3 2 5 5 2 2 8 5 6 4 1 3 3 14 3 1 8 2 2 3 4 3 7 4 9 3 9 8 5 3 1 2 6 3 4 8 1 8 7 6 5 1 6 2 8 5 5 0 2 3 3 1 2 2 5 1
"suspicious" 1 0 0 1 1 1 0 0 1 1 0 0 0 1 0 1 0 0 0 2 1 0 1 0 0 1 0 0 0 0 3 1 0 2 0 1 1 0 0 0 0 2 1 1 0 1 0 0 1 0 2 0 1 2 0 0 0 1 0 0 1 1
"sweet" 0 1 0 1 0 0 2 1 0 0 0 0 0 1 3 1 0 1 1 2 1 0 1 0 0 1 0 1 0 1 2 0 2 0 1 0 0 1 1 0 1 0 0 1 1 2 0 0 0 0 2 1 0 3 0 0 3 0 0 1 0 0
"true" 2 3 1 2 2 1 0 2 0 0 1 0 2 1 2 2 2 1 2 3 2 0 2 0 0 0 0 2 1 0 1 0 3 1 0 1 0 2 4 1 0 4 0 4 3 2 2 1 0 1 4 2 0 3 0 3 0 1 1 1 0 1
"uncertain" 0 0 0 0 2 0 1 0 1 0 1 0 0 1 0 1 0 1 0 3 1 1 1 0 1 0 1 0 0 0 3 0 2 2 0 0 1 1 1 0 0 2 1 2 0 0 1 0 0 0 0 1 1 1 1 0 1 0 0 0 0 1
"vain" 0 1 0 0 1 0 0 0 0 0 1 1 2 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 3 0 1 0 3 1 2 0 0 1 1 0 0 1 1 1 2 0 1 2 1 1 1 1 1 2 0 0 1 0 0 0 0 1
"unhappy" 0 0 0 0 1 0 1 2 1 2 0 1 0 0 0 1 0 0 1 2 1 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 2 1 0 2 0 1 1 0 0 0 0 0
"worldly" 0 0 0 1 0 1 0 0 0 2 1 0 1 2 1 1 0 0 0 3 0 0 1 0 2 1 1 0 0 1 2 2 1 3 0 1 0 1 0 0 0 2 1 4 0 0 0 0 1 0 2 0 1 5 1 0 0 0 0 0 0 0
"willing" 0 0 1 0 1 0 0 0 1 0 1 0 1 0 0 1 0 1 0 2 1 0 1 1 0 0 0 1 2 0 2 0 3 1 0 0 2 0 0 0 1 2 1 2 0 0 0 0 0 0 1 0 2 1 1 0 1 1 1 0 0 0
