"affectionate" "bold" "busy" "certain" "chaste" "cheerful" "clean" "close" "cold" "compassionate" "cool" "cruel" "curious" "delicate" "domestic" "earnest" "easy" "exact" "expressive" "faithful" "familiar" "free" "fresh" "friendly" "general" "gentle" "graceful" "grateful" "handsome" "heavy" "honest" "hopeful" "hopeless" "humble" "impatient" "independent" "indifferent" "kind" "loud" "mechanical" "melancholy" "natural" "open" "particular" "patient" "pleasant" "polite" "political" "practical" "proud" "quick" "quiet" "rapid" "reasonable" "reserved" "rough" "second" "sensible" "sentimental" "serene" "silent" "simple" "slow" "sober" "social" "stately" "statistical" "steady" "stern" "stiff" "strong" "submissive" "sufficient" "sure" "thoughtful" "tight" "true" "uncertain" "vague" "violent" "watchful" "wiser" "weak"
"gentle" 0 0 0 3 0 1 1 1 0 1 0 1 1 1 0 0 0 0 0 2 0 3 1 0 2 0 0 0 1 2 2 0 0 2 1 0 1 0 0 0 1 1 0 0 3 1 0 0 0 3 0 5 0 0 0 2 0 0 0 0 0 0 4 1 0 0 0 0 1 0 1 0 2 2 0 0 6 0 0 1 0 0 2
"graceful" 1 0 0 0 2 1 0 0 2 0 0 1 2 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 1 0 2 0 0 0 1 2 0 0 1 0 2 1 2 0 0 0 1 2 2 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0
"grateful" 1 0 0 1 0 1 1 1 0 0 1 0 1 0 0 1 1 1 0 1 0 0 1 1 2 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 1 0 0 1 1 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 1 1 0 1 0 3 1 0 2 0 0 0 0 2 0
"handsome" 0 0 0 1 0 1 2 0 1 0 0 0 1 1 1 0 1 1 0 0 0 1 1 1 0 1 1 1 0 1 2 0 0 0 3 1 1 1 1 1 0 2 0 2 0 0 0 3 0 1 1 0 1 0 1 0 0 0 0 0 0 1 3 2 0 0 0 1 0 0 0 0 2 2 2 1 1 1 0 0 1 0 0
"heavy" 1 2 1 3 1 2 0 1 4 1 0 2 2 0 1 0 3 1 1 1 3 1 1 1 4 2 1 0 1 0 0 1 2 0 0 0 1 0 3 2 3 2 0 5 1 3 0 1 1 1 1 6 3 1 0 0 1 2 1 0 2 0 3 1 1 2 2 2 2 1 6 1 0 9 0 1 4 0 1 2 1 0 2
"honest" 1 1 1 2 0 1 2 2 0 0 0 1 1 1 1 2 1 0 0 1 0 3 3 2 2 2 0 1 2 0 0 0 1 1 1 1 1 4 1 0 1 1 1 0 1 1 0 0 0 0 4 5 1 0 0 2 0 0 0 0 1 1 2 1 0 0 0 2 0 0 1 0 2 3 1 0 3 0 1 2 1 0 2
"hopeful" 1 0 0 0 2 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0
"hopeless" 0 1 1 0 0 1 1 1 1 0 0 0 2 0 1 1 0 0 1 1 1 1 0 2 1 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 4 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 2 0 0 4 0 0 1 0 1 1 1 0 1
"humble" 1 1 0 0 0 1 0 1 1 0 1 0 1 0 0 1 0 0 0 0 1 2 0 0 2 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 2 0 2 0 0 0 1 0 0 1 1 0 0 1 0 0 1 1 1 0 0 0 0 0 2 0 0 1 0 0 0 0 2 0
"impatient" 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 3 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 1 2 2 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 2 0 3 3 1 1 2 0 0 0 0 0 0
"independent" 0 1 1 1 0 1 1 0 1 1 0 0 1 1 1 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0
"indifferent" 0 0 0 1 1 0 0 0 3 0 0 2 1 1 0 0 2 1 0 1 0 2 1 0 2 1 2 0 1 1 1 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 0 1 0 2 0 1 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 2 0 0 2 1 0 0 1 0 1
"kind" 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 4 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 3 2 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 2 0 0 1 0 1 3 1 0 1 0 0 0 0 0 2
"loud" 0 1 1 0 0 0 0 0 2 0 1 2 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 1 3 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 2 2 2 0 0 1 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0
"mechanical" 1 0 1 1 1 0 1 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 2 0 1 0 1 2 0 1 0 0 1 0 0 0 0 0 1 1 0 2 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0
"melancholy" 0 0 0 3 0 2 0 1 4 2 0 0 0 1 0 0 1 0 1 1 0 1 2 0 2 1 0 0 0 3 1 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 1 1 0 0 2 1 1 1 0 0 0 1 0 0 0 1 0 1 1 1 1 0 0 2 1 0 5 0 0 3 0 0 0 1 0 2
"natural" 0 0 1 1 0 4 2 1 4 0 0 0 2 0 2 0 2 2 1 1 1 3 1 1 4 1 2 1 2 2 1 0 1 1 0 0 1 0 0 1 0 0 1 0 2 1 0 2 1 3 1 4 1 0 1 0 1 1 0 1 2 4 2 0 1 0 1 0 0 0 2 0 1 4 1 0 5 3 0 0 2 2 0
"open" 1 0 1 2 0 1 0 0 1 1 1 0 1 0 1 1 0 0 0 0 0 0 2 0 4 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 2 1 0 0 0 2 0 1 1 0 2 0 0 1 0 1 0 2 0 0 0 2 0 0 1 2 1 2 2 0 4 1 2 0 1 1 0 0 0 0
"particular" 3 0 1 2 2 1 0 1 3 0 0 1 3 2 1 2 1 2 2 1 0 0 0 1 5 0 2 2 2 5 0 1 1 0 0 0 1 0 1 2 1 0 2 0 0 1 2 2 3 2 2 2 3 2 1 0 1 1 2 1 0 1 1 1 1 0 2 0 3 2 5 1 0 6 1 2 1 0 1 1 0 1 0
"patient" 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 3 0 0 2 3 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 2 1 0 0 1 0 0 0 2 0 3 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 2 0 0 1 0 0 2
"pleasant" 0 2 0 2 0 1 0 1 0 0 2 0 0 2 0 3 2 1 0 0 1 0 1 0 5 1 0 0 0 3 1 0 1 1 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 1 4 0 0 0 1 0 1 1 1 2 0 3 0 0 2 0 0 0 0 4 0 1 2 0 0 3 1 0 2 0 1 1
"polite" 0 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 1 0 0 0 0 1 0 0 2 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 1 1 0 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0
"political" 0 0 0 1 0 1 0 0 2 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 2 0 1 0 3 1 0 0 0 0 1 1 1 0 0 2 1 2 0 2 0 0 1 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 3 2 0 1 1 0 0 2 0 0
"practical" 3 0 0 0 1 1 0 1 2 0 1 0 1 0 0 1 0 2 1 1 0 1 1 0 2 0 2 1 0 1 0 1 0 0 1 0 0 0 1 1 1 1 2 3 0 0 1 1 0 1 2 2 2 0 2 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1 2 0 2 7 1 1 2 1 0 0 0 1 0
"proud" 1 1 0 0 1 1 0 0 3 0 1 1 2 1 0 0 0 1 1 1 1 3 0 0 0 3 2 0 1 1 0 0 0 2 1 0 2 0 0 0 0 3 0 2 2 1 0 1 1 0 0 4 0 1 1 1 0 0 1 1 0 1 0 0 0 2 0 0 0 0 1 0 2 3 0 0 4 1 0 0 1 0 0
"quick" 1 1 1 3 1 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 1 0 2 0 3 0 0 0 1 1 4 1 0 0 2 0 0 3 2 0 0 1 1 2 0 1 1 1 2 0 0 4 1 0 0 1 1 0 0 1 3 0 1 1 0 0 0 1 0 0 2 0 1 3 1 1 3 0 1 1 0 0 0
"quiet" 4 1 1 6 0 4 1 1 3 1 1 2 2 1 2 3 0 1 2 2 2 3 3 1 5 5 0 1 0 6 5 0 4 2 2 1 1 2 2 0 2 4 1 2 3 4 0 0 2 4 4 0 3 0 1 3 0 2 0 1 3 1 3 1 0 3 0 3 1 2 6 1 3 9 1 0 10 1 1 3 2 2 3
"rapid" 2 0 0 1 1 0 0 0 1 0 0 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 1 1 1 3 1 1 0 0 0 0 0 1 2 1 1 1 0 3 0 0 0 0 2 0 1 3 0 0 1 1 0 0 0 0 0 1 0 2 0 1 1 1 0 1 1 1 0 4 1 1 1 0 0 0 1 1 0
"reasonable" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 2 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 3 0 1 0 1 0 1 2 0 2 1 1 1 0 0 0 0 0 1
"reserved" 1 0 0 0 0 1 0 0 2 1 0 0 0 1 0 1 0 3 0 0 0 1 0 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 1 0 1 0 0 1 1 2 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 1 0 0 0 1 1 0
"rough" 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 2 2 0 0 0 0 2 0 0 1 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 1 1 3 1 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 1 1 0 0 2 0 0 1 0 1 1
"second" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 3 1 0 1 1 0 1 0 1 0 1 0 0 2 0 0 1 0 0 0 0 0 0
"sensible" 0 1 0 1 0 2 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 2 0 0 1 0 2 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 2 0 1 0 2 0 1 1 1 0 0 0 0 1
"sentimental" 0 1 0 1 0 2 0 0 1 1 1 0 1 0 0 0 0 1 0 0 1 0 0 1 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 2 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 1 0 2 1 2 0 0 1 0 1 2 0 0 0 0 0 0
"serene" 1 1 0 1 0 3 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 0 0
"silent" 0 0 0 1 0 0 0 1 0 0 1 0 0 0 2 1 1 1 0 0 1 1 2 0 4 0 0 1 0 2 1 0 0 0 0 0 0 1 0 0 0 2 2 0 0 2 0 0 0 0 3 3 0 0 0 0 3 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 5 0 0 2 1 0 0 0 2 1
"simple" 0 0 1 1 1 2 2 0 2 0 0 1 4 1 2 0 1 0 0 0 0 1 1 1 4 0 1 1 1 0 1 0 0 0 0 0 1 0 0 1 0 4 0 1 0 0 0 0 1 1 0 1 1 0 0 1 1 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 1 4 0 0 1 0 0 0 0 0 0
"slow" 0 0 0 3 0 2 2 1 1 1 0 1 2 0 0 0 2 1 0 1 0 1 2 2 5 4 1 1 3 3 2 1 1 1 1 1 1 0 0 0 1 2 0 1 0 3 0 1 0 0 1 3 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 1 0 2 0 1 4 1 0 4 2 0 1 0 1 1
"sober" 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 0 2 1 1 0 0 0 1 0 0 1 2 0 0 0 0 1 0 0 1 0 0 0 1 1 2 0 0 2 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
"social" 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 2 1 0 0 0 0 1 0 0 0 0 3 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 1 1 1 0 2 0 1 2 0 0 0 0 0 1
"stately" 0 2 0 2 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 2 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 2 0 0 0 2 0 3 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 1 1 1 2 0 0 1 0 0 1 1 0 0
"statistical" 1 0 0 0 1 1 0 1 2 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 2 0 2 0 1 0 1 0 0 0 1 1 1 0 2 0 0 1 0 1 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 1 0
"steady" 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 1 2 2 1 1 1 1 0 0 2 0 0 1 0 1 0 0 0 0 0 1 0 1 3 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 1 2 3 1 0 1 0 0 0 1 0 1
"stern" 0 0 1 3 0 1 0 0 0 1 1 1 1 0 0 0 0 1 0 1 0 0 0 0 3 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 1 0 1 0 0 1 0 2 0 0 0 1 0 1 0 1 0 0 1 3 0 0 3 0 1 2 0 1 0 0 0 0
"stiff" 1 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 2 1 0 1 0 0 2 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 2 1 2 1 0 0 0 0 1 1
"strong" 2 0 1 3 0 1 0 1 2 0 0 0 2 0 0 2 3 2 3 2 0 2 0 0 9 1 0 0 0 6 1 0 2 0 2 0 0 1 0 1 2 2 2 5 1 4 0 1 2 1 2 6 1 1 0 1 1 0 2 1 1 1 2 0 1 1 1 1 3 1 0 1 1 11 0 2 3 1 1 2 1 1 1
"submissive" 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 1 1 0 1 0 0 0 0 1 1 2 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 2 1 1 0 0 0 0 1 0 0
"sufficient" 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 1 2 0 0 2 0 2 0 0 0 3 0 0 1 0 0 0 1 0 0 1 1 0 0 2 2 1 3 0 0 1 1 0 0 0 0 0 1 1 1 0 1 0 2 0 0 1 0 0 1 1 0 3 1 0 1 0 0 1
"sure" 4 1 1 4 1 4 1 4 6 3 2 2 6 1 2 3 3 1 3 4 2 4 5 2 9 2 2 3 2 9 3 2 4 2 3 0 2 3 1 3 5 4 4 6 1 2 1 3 7 3 3 9 4 2 1 1 2 2 1 1 5 4 4 0 2 2 2 3 3 2 11 2 1 0 1 1 9 1 1 2 1 2 4
"thoughtful" 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 2 0 1 0 0 0 1 1 0 1 0 0 0 1 1 1 1 0 0 2 1 0 1 1 1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 1 1 1 0 1 3 1 0 0 1 1 0
"tight" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 2 2 1 0 0 0 1 0 1 0 1 1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 2 2 1 0 1 1 0 0 0 0 0 0 0 0
"true" 2 0 0 5 0 4 0 1 4 2 1 2 1 1 2 2 2 1 0 3 1 3 1 1 6 6 0 2 1 4 3 0 1 1 2 0 2 1 1 0 3 5 0 1 2 3 0 1 2 4 3 10 1 1 1 2 1 1 2 1 2 1 4 0 2 1 0 1 2 1 3 0 3 9 3 0 0 0 0 1 1 1 3
