"awkward" "busy" "certain" "cheerful" "civil" "cold" "delicate" "determined" "eager" "easy" "fresh" "friendly" "gallant" "general" "gentle" "grateful" "handsome" "humble" "impatient" "independent" "indifferent" "kind" "lively" "natural" "nervous" "obliging" "open" "particular" "pleasant" "quick" "quiet" "reasonable" "sad" "second" "sensible" "serious" "severe" "silent" "simple" "strong" "sudden" "sure" "sweet" "thorough" "true" "unhappy" "vain" "willing"
"fresh" 0 4 3 0 2 1 0 1 2 1 0 1 1 6 0 2 1 1 1 0 1 3 0 4 1 0 0 3 3 1 0 1 1 4 4 1 1 3 1 3 1 9 0 0 1 0 0 1
"friendly" 3 2 4 6 2 3 1 2 1 3 1 0 1 6 0 1 1 4 0 0 3 5 3 2 1 0 5 1 5 1 1 1 2 2 1 2 4 5 1 4 2 9 2 1 7 2 2 1
"gallant" 0 2 2 2 0 4 1 1 2 3 1 1 0 4 0 0 3 1 1 2 0 4 1 5 0 0 1 0 1 3 1 1 1 0 1 1 0 2 2 5 1 7 1 0 2 0 3 0
"general" 3 9 6 12 4 7 3 5 5 8 6 6 4 0 3 4 13 5 3 5 5 14 5 12 3 6 10 10 11 7 6 5 6 11 8 6 5 5 5 11 5 33 13 4 11 3 7 3
"gentle" 2 0 0 5 2 2 2 0 2 5 0 0 0 3 0 1 3 0 0 1 0 4 1 5 1 3 1 0 4 2 3 1 3 1 3 1 2 1 0 1 0 9 1 1 4 1 2 0
"grateful" 2 4 2 0 3 3 0 2 2 1 2 1 0 4 1 0 2 2 1 1 3 5 1 5 0 3 1 4 4 2 1 4 2 4 1 1 2 0 2 1 1 6 1 2 3 1 1 0
"handsome" 0 2 2 8 2 3 2 1 4 8 1 1 3 13 3 2 0 1 1 4 1 7 2 6 3 2 4 7 8 4 5 5 3 5 2 2 4 2 2 5 3 13 4 1 7 2 5 1
"humble" 1 2 1 2 3 2 0 3 0 2 1 4 1 5 0 2 1 0 0 0 4 3 1 3 0 2 3 2 2 0 0 1 1 2 1 1 2 2 2 1 1 5 0 2 1 0 2 0
"impatient" 1 3 1 2 1 5 2 0 1 1 1 0 1 3 0 1 1 0 0 1 0 1 0 5 1 3 0 5 1 2 2 0 4 1 2 1 0 2 1 2 0 5 1 1 1 1 0 1
"independent" 0 2 2 1 0 1 1 2 2 2 0 0 2 5 1 1 4 0 1 0 0 3 0 1 1 1 1 2 3 2 1 0 3 1 1 1 1 0 1 2 0 6 3 1 1 0 3 1
"indifferent" 0 3 4 1 4 3 2 2 0 1 1 3 0 5 0 3 1 4 0 0 0 3 0 4 0 3 1 4 1 1 0 3 2 2 1 1 2 3 2 1 0 6 0 2 4 1 1 0
"kind" 3 6 5 5 6 8 4 5 3 4 3 5 4 14 4 5 7 3 1 3 3 0 2 14 0 7 5 11 6 7 5 5 8 4 7 4 6 4 5 10 6 34 6 2 10 3 3 5
"lively" 1 0 2 5 1 1 0 1 0 2 0 3 1 5 1 1 2 1 0 0 0 2 0 2 0 0 4 1 4 0 3 1 0 1 2 0 0 3 0 2 1 4 2 0 0 2 1 0
"natural" 1 4 5 8 5 6 4 2 0 7 4 2 5 12 5 5 6 3 5 1 4 14 2 0 3 2 3 15 6 7 9 7 8 7 7 5 5 7 6 11 3 24 5 2 8 4 2 2
"nervous" 1 0 1 2 1 4 0 0 3 5 1 1 0 3 1 0 3 0 1 1 0 0 0 3 0 1 0 1 2 2 3 1 4 2 0 1 2 0 0 3 1 4 2 1 3 0 1 0
"obliging" 1 2 2 0 3 5 1 2 1 2 0 0 0 6 3 3 2 2 3 1 3 7 0 2 1 0 4 6 2 4 1 1 1 0 0 2 0 2 2 2 2 15 1 1 4 0 2 0
"open" 3 1 3 6 3 4 2 1 2 3 0 5 1 10 1 1 4 3 0 1 1 5 4 3 0 4 0 3 7 2 5 3 2 5 2 5 3 6 1 4 3 15 4 2 9 4 5 3
"particular" 1 4 6 2 4 5 3 4 2 5 3 1 0 10 0 4 7 2 5 2 4 11 1 15 1 6 3 0 5 2 4 5 7 9 4 2 4 1 6 6 3 21 5 4 8 3 2 4
"pleasant" 2 3 4 8 6 6 2 5 3 6 3 5 1 11 4 4 8 2 1 3 1 6 4 6 2 2 7 5 0 4 4 4 6 4 5 6 5 4 1 4 1 21 9 1 10 1 3 0
"quick" 2 5 3 1 2 4 2 2 2 2 1 1 3 7 2 2 4 0 2 2 1 7 0 7 2 4 2 2 4 0 4 3 3 1 3 1 2 3 1 5 3 15 3 0 5 1 2 0
"quiet" 0 1 4 3 1 4 2 0 2 3 0 1 1 6 3 1 5 0 2 1 0 5 3 9 3 1 5 4 4 4 0 4 5 4 2 1 3 2 0 9 1 14 4 1 7 2 3 1
"reasonable" 0 4 2 3 2 6 1 1 0 4 1 1 1 5 1 4 5 1 0 0 3 5 1 7 1 1 3 5 4 3 4 0 2 4 1 2 4 2 3 5 3 10 2 1 5 1 1 1
"sad" 3 2 3 5 3 7 3 3 2 4 1 2 1 6 3 2 3 1 4 3 2 8 0 8 4 1 2 7 6 3 5 2 0 3 3 4 5 2 2 5 0 12 2 5 6 1 2 3
"second" 1 3 3 3 1 5 2 1 1 3 4 2 0 11 1 4 5 2 1 1 2 4 1 7 2 0 5 9 4 1 4 4 3 0 1 0 4 3 3 5 5 12 4 3 3 4 0 2
"sensible" 1 4 1 4 3 4 3 2 3 4 4 1 1 8 3 1 2 1 2 1 1 7 2 7 0 0 2 4 5 3 2 1 3 1 0 4 2 3 3 5 2 18 1 2 3 4 2 2
"serious" 3 1 1 3 2 5 1 4 1 3 1 2 1 6 1 1 2 1 1 1 1 4 0 5 1 2 5 2 6 1 1 2 4 0 4 0 2 5 3 4 2 15 3 3 4 1 3 2
"severe" 1 1 2 2 3 2 3 1 1 4 1 4 0 5 2 2 4 2 0 1 2 6 0 5 2 0 3 4 5 2 3 4 5 4 2 2 0 1 2 6 1 10 3 1 9 4 2 1
"silent" 3 2 5 5 0 6 0 4 3 3 3 5 2 5 1 0 2 2 2 0 3 4 3 7 0 2 6 1 4 3 2 2 2 3 3 5 1 0 3 7 1 15 4 0 1 1 3 4
"simple" 1 3 1 2 1 3 0 0 2 1 1 1 2 5 0 2 2 2 1 1 2 5 0 6 0 2 1 6 1 1 0 3 2 3 3 3 2 3 0 4 2 7 1 3 1 3 1 2
"strong" 1 4 9 6 1 4 2 4 2 8 3 4 5 11 1 1 5 1 2 2 1 10 2 11 3 2 4 6 4 5 9 5 5 5 5 4 6 7 4 0 2 21 6 2 7 5 5 4
"sudden" 0 2 1 2 0 2 1 1 0 2 1 2 1 5 0 1 3 1 0 0 0 6 1 3 1 2 3 3 1 3 1 3 0 5 2 2 1 1 2 2 0 9 1 1 2 1 0 1
"sure" 8 11 14 14 8 20 6 8 12 16 9 9 7 33 9 6 13 5 5 6 6 34 4 24 4 15 15 21 21 15 14 10 12 12 18 15 10 15 7 21 9 0 14 9 28 8 9 11
"sweet" 1 3 2 2 0 4 0 2 3 4 0 2 1 13 1 1 4 0 1 3 0 6 2 5 2 1 4 5 9 3 4 2 2 4 1 3 3 4 1 6 1 14 0 0 6 2 2 1
"thorough" 3 1 2 0 2 3 1 1 1 1 0 1 0 4 1 2 1 2 1 1 2 2 0 2 1 1 2 4 1 0 1 1 5 3 2 3 1 0 3 2 1 9 0 0 3 1 0 1
"true" 4 3 7 8 5 6 4 1 5 4 1 7 2 11 4 3 7 1 1 1 4 10 0 8 3 4 9 8 10 5 7 5 6 3 3 4 9 1 1 7 2 28 6 3 0 6 3 2
"unhappy" 1 2 3 3 0 0 2 1 3 1 0 2 0 3 1 1 2 0 1 0 1 3 2 4 0 0 4 3 1 1 2 1 1 4 4 1 4 1 3 5 1 8 2 1 6 0 1 2
"vain" 1 1 2 3 0 1 0 1 2 6 0 2 3 7 2 1 5 2 0 3 1 3 1 2 1 2 5 2 3 2 3 1 2 0 2 3 2 3 1 5 0 9 2 0 3 1 0 1
"willing" 0 1 5 2 0 2 1 1 2 0 1 1 0 3 0 0 1 0 1 1 0 5 0 2 0 0 3 4 0 0 1 1 3 2 2 2 1 4 2 4 1 11 1 1 2 2 1 0
