"bitter" "busy" "careful" "certain" "cheerful" "christian" "clean" "close" "cold" "confidential" "constant" "cruel" "curious" "determined" "direct" "domestic" "eager" "easy" "expressive" "faithful" "familiar" "fearful" "fierce" "firm" "free" "fresh" "friendly" "gay" "general" "gentle" "gloomy" "gracious" "grateful" "grave" "handsome" "heavy" "helpless" "honest" "hopeful" "hopeless" "humble" "impatient" "indifferent" "kind" "lively" "lonely" "loud" "melancholy" "natural" "neat" "nervous" "open" "particular" "pleasant" "polite" "proud" "quick" "quiet" "responsible" "rusty" "second" "sensible" "sensitive" "serious" "severe" "silent" "slow" "smooth" "soft" "steady" "strict" "strong" "sudden" "sure" "suspicious" "sweet" "tender" "thoughtful" "true" "ugly" "uncertain" "unhappy" "vain" "violent" "weak" "willing"
"constant" 0 1 0 1 0 0 0 1 4 1 0 0 2 1 0 0 0 1 2 1 1 1 0 0 1 3 0 0 0 0 2 0 0 0 0 2 0 0 0 0 3 0 2 1 0 0 0 0 2 0 0 1 1 2 0 1 1 2 0 0 1 1 1 1 0 0 0 0 2 2 1 4 2 1 0 0 0 0 3 0 2 1 2 0 1 0
"cruel" 0 1 1 2 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 2 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 2 1 0 0 0 3 0 0 0 1 0 0 0
"curious" 1 2 2 3 1 2 2 1 2 1 2 0 0 2 0 0 1 2 0 0 1 0 0 0 1 3 2 0 4 2 2 2 0 1 0 2 1 0 0 1 1 1 1 0 0 0 1 0 1 2 1 5 2 3 0 0 1 4 1 1 4 0 0 2 0 2 1 1 1 0 1 3 2 7 0 1 1 0 2 0 1 0 2 3 3 0
"determined" 0 1 1 5 0 2 0 0 2 0 1 1 2 0 0 1 0 1 0 1 2 1 1 1 0 2 1 1 1 1 2 0 0 1 1 2 1 0 0 0 0 0 1 0 1 1 0 0 1 2 0 3 1 1 1 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 3 0 0 0 0 2 1 2 1 0 0 1 0
"direct" 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 2 0 0 0 0 1 0 1 1 0 0 2 0 1 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 1 1 0
"domestic" 0 1 0 2 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 1 1 3 1 2 1 2 0 0 1 0 2 0 0 0 1 1 0 1 0 2 0 0 0 2 0 0 0 0 0 2 0 4 0 1 1 0 0 4 0 0 0 1 2 1 1 0 0 0 1 0 0 1
"eager" 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 2 0 1 0 0 2 0 0 1 0 0 0 1 0 0 2 0 0 0 1 0 1 2 0 0 0 1 0 1 0 0 1 0 1 0 1 0 2 0 1 0 0 1 0 1 1 0 0 0 1 0 3 2 1 0 0 1 0 1 0 0 0 1 0 0 0
"easy" 0 2 1 5 1 2 1 1 6 1 1 1 2 1 1 0 1 0 1 0 3 1 2 1 3 2 1 1 5 0 0 0 0 2 2 2 0 2 3 2 0 1 1 0 0 5 0 0 5 1 1 4 2 2 2 2 0 4 0 2 3 2 1 0 0 0 1 0 1 2 1 7 1 7 0 1 1 1 4 4 1 0 0 1 1 1
"expressive" 0 0 0 1 0 0 0 3 0 2 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0 1 2 0 1 0 1 1 0 0 1 2 3 2 2 1 0 0 0 1 0 0 0 0 1 0 1
"faithful" 0 0 0 2 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 1 0 0 1 0 2 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 3 0 1 1 1 1 1 0 1 0 0 0 0 0 0 2 0 0 1 0 2 0 0 0 1 0 1 1 0 1 1 0 0 1 0
"familiar" 0 2 0 5 1 2 1 0 1 0 1 1 1 2 0 1 2 3 0 1 0 3 0 0 0 2 1 0 3 0 1 0 1 0 2 1 0 1 1 1 0 1 1 0 1 1 0 0 2 0 0 2 1 1 1 2 0 1 0 1 1 1 0 0 1 0 0 0 0 0 0 1 1 2 0 0 1 0 2 1 1 1 0 0 0 0
"fearful" 0 0 0 2 0 1 0 0 2 0 1 0 0 1 0 0 0 1 0 1 3 0 0 0 0 1 0 0 0 0 1 0 2 0 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 2 1 1 1 0 0 1 0
"fierce" 1 0 0 0 0 0 0 0 5 0 0 1 0 1 0 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 1 2 2 0 1 1 0 2 1 0 0 1 1 0 0 0 0 0 0 2 1 1 2 3 0 0 0 0 1 1 0 0 0 0 1 0
"firm" 0 1 0 1 0 0 0 1 2 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 2 1 0 4 0 0 0 0 0 1 0 1 1 0 0 1 0 1 1 0 0 1 0 1 1 0 0 0 0 0 1 0 1 1 0 1 1 0
"free" 1 1 0 4 1 0 3 0 4 0 1 0 1 0 1 1 0 3 0 1 0 0 2 0 0 1 0 0 4 0 0 0 0 2 2 0 0 0 1 0 0 0 2 0 3 1 1 0 1 0 1 2 3 2 2 2 0 1 1 0 1 2 0 1 1 1 0 0 1 2 1 3 2 6 0 0 0 0 1 0 0 0 0 1 1 0
"fresh" 1 0 0 2 1 2 1 0 2 0 3 0 3 2 1 1 2 2 0 1 2 1 0 0 1 0 1 0 2 2 2 0 0 2 0 1 0 1 0 1 2 0 2 0 1 0 0 0 4 0 0 2 1 4 0 1 1 3 0 1 0 0 0 0 0 1 0 0 2 1 0 4 1 2 0 0 1 0 2 0 1 1 1 0 1 0
"friendly" 1 1 0 3 0 0 0 0 1 1 0 1 2 1 2 0 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 2 1 0 2 0 1 0 0 1 1 1 0 2 2 0 2 2 0 0 2 0 1 0 0 1 0 0 1 0 0 2 1 0 0 0 1 0 4 0 1 0 1 1 0 1 1 0 1 1 0
"gay" 0 1 1 1 0 0 1 0 1 0 0 2 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 2 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 2 1 1 1 0 1 0 2 0 0 0 1 0
"general" 0 2 1 9 4 3 5 1 4 0 0 0 4 1 0 1 1 5 0 0 3 0 0 0 4 2 1 0 0 0 1 0 1 0 5 4 2 2 1 1 0 1 2 0 1 0 1 1 4 3 2 8 6 6 2 3 1 4 0 1 3 1 0 0 1 1 1 2 1 1 1 4 2 4 0 2 1 1 2 0 0 0 0 0 1 0
"gentle" 0 1 1 3 2 1 1 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 2 0 1 1 3 0 0 0 0 0 0 0 0 0 0 1 1 0 2 1 2 0 0 0 4 1 0 0 0 0 0 0 3 0 1 0 0 0 3 0 2 0 1 0 0 1 0 1 0 0 1 2 0
"gloomy" 0 1 0 3 2 0 0 2 2 0 2 0 2 2 0 0 0 0 0 1 1 1 0 2 0 2 0 1 1 0 0 0 0 0 0 2 0 0 0 0 2 0 1 0 0 0 0 0 1 1 1 4 1 1 0 0 2 2 0 1 1 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 3 1 2 1 1 2 1 0
"gracious" 0 1 1 1 0 0 1 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 2 2 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 2 2 0 0 0 1 0 0 0 1 1 0 0
"grateful" 0 1 1 0 0 0 3 0 3 0 0 1 0 0 0 1 1 0 0 0 1 2 1 0 0 0 0 1 1 0 0 2 0 0 1 0 0 1 0 1 0 1 0 1 1 0 0 0 1 1 1 2 0 2 0 1 0 2 1 0 1 1 1 0 1 1 1 0 0 1 0 0 1 2 1 1 0 2 3 0 0 0 2 0 1 1
"grave" 0 0 0 3 0 1 0 2 0 0 0 0 1 1 1 1 0 2 2 1 0 0 0 0 2 2 1 0 0 2 0 0 0 0 2 1 1 1 1 1 0 2 0 0 1 1 0 2 2 0 1 0 0 0 1 1 0 2 0 0 0 0 1 1 0 1 0 0 0 0 0 3 2 4 2 0 0 0 2 0 0 0 0 1 2 1
"handsome" 0 2 0 4 1 1 1 1 2 1 0 0 0 1 1 1 0 2 2 0 2 1 0 0 2 0 0 0 5 0 0 0 1 2 0 1 2 1 1 0 1 1 2 0 0 1 0 0 2 0 0 2 1 2 1 3 0 1 0 0 2 1 0 1 1 0 0 3 0 0 0 3 3 6 1 1 0 0 3 0 0 0 0 0 0 1
"heavy" 0 0 0 7 1 1 1 2 8 0 2 1 2 2 0 3 2 2 1 2 1 1 1 1 0 1 0 0 4 1 2 0 0 1 1 0 1 3 0 0 1 1 4 1 0 1 0 1 4 1 1 12 2 4 2 3 2 7 0 1 3 0 1 1 0 0 2 3 0 0 0 11 3 5 1 1 2 1 5 2 0 0 1 2 2 1
"helpless" 0 0 1 2 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 2 0 2 1 0 0 0 1 2 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 2 1 0 0 2 0 1 0 2 0 1 1 0 0 0 0 1 1 0
"honest" 0 0 0 7 1 0 0 0 2 1 0 0 0 0 2 2 0 2 0 1 1 1 0 0 0 1 1 0 2 3 0 1 1 1 1 3 0 0 0 2 1 0 0 0 1 1 0 0 1 0 0 1 3 2 0 1 0 4 0 0 2 0 0 2 0 2 0 0 1 0 0 4 1 5 2 0 1 0 1 0 0 0 0 1 1 1
"hopeful" 0 1 0 1 1 1 0 0 2 0 0 0 0 0 0 1 0 3 0 0 1 0 1 0 1 0 0 2 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 1 1 1 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 2 1 1 0 2 1 0 1 1 1 0 0 0 2 1
"hopeless" 0 1 0 4 0 0 1 0 0 0 0 0 1 0 1 2 1 2 0 0 1 1 0 0 0 1 2 0 1 0 0 0 1 1 0 0 0 2 0 0 0 1 0 0 1 2 2 0 0 2 1 2 0 1 0 0 0 0 0 0 0 1 0 1 1 3 1 0 1 1 0 2 1 1 0 1 0 1 2 0 0 0 1 0 0 0
"humble" 0 0 0 0 1 0 0 1 0 0 3 0 1 0 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 1 1 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 2 1 1 0 2 2 2 0 0 0 2 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 3 0 0 1 1 0 1 0
"impatient" 1 0 0 2 0 0 0 2 1 0 0 0 1 0 0 0 1 1 1 0 1 0 1 0 0 0 1 0 1 0 0 0 1 2 1 1 0 0 0 1 0 0 1 0 0 0 1 0 3 1 1 1 0 0 0 2 1 2 0 0 0 0 2 0 0 0 1 0 0 1 0 3 2 4 1 0 0 0 1 0 0 0 0 1 0 1
"indifferent" 0 0 0 2 0 0 0 0 1 0 2 0 1 1 0 1 2 1 0 0 1 0 0 0 2 2 0 0 2 0 1 0 0 0 2 4 1 0 0 0 2 1 0 0 0 0 0 0 4 0 0 2 1 2 0 1 1 4 0 0 0 0 0 0 0 0 0 1 1 1 0 4 2 2 0 0 0 0 1 0 0 0 2 0 1 0
"kind" 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 4 0 1 0 2 1 2 0 0 0 0 0 0 0 1 2 0 0 0 1 0 1 0 0 1 1 1 1 0 0 1 1 0 2 0
"lively" 1 0 0 2 0 0 0 0 1 0 0 1 0 1 1 2 0 0 0 0 1 0 1 0 3 1 1 0 1 0 0 1 1 1 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0 0 0 2 2 0 1 2 0 0 1 0 1 1 0 1 1 2 1 0 1 0 1 2 1 2 0 0 0 0 3 0 0 0 1 0 1 0
"lonely" 0 0 0 1 0 0 0 0 2 0 0 0 0 1 1 0 0 5 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 1 1 1 0 1 0 2 0 0 0 0 0 0 0 1 1 0 0 6 1 0 0 2 0 1 0 1 2 1 0 0 1 0 1 0 0 0 0 2 0 4 1 1 0 0 0 1 0 0 0 0 0 0
"loud" 1 0 0 2 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 1 0 4 2 0 1 1 0 2 1 0 0 1 0 1 1 2 1 0 0 2 1 1 2 1 0 0 0 0 1 0 0 0 0 0 0 0
"melancholy" 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 2 2 2 3 1 0 0 0 1 0 0 0 2 1 1
"natural" 1 1 1 3 2 1 2 3 5 0 2 0 1 1 1 1 1 5 0 1 2 0 0 2 1 4 2 0 4 1 1 0 1 2 2 4 1 1 1 0 1 3 4 2 0 1 0 0 0 0 1 4 3 5 1 5 1 7 1 1 1 0 1 0 0 2 2 1 1 1 1 6 2 3 2 0 1 1 4 1 0 1 0 1 3 1
"neat" 0 2 0 3 0 2 1 0 1 0 0 0 2 2 0 1 0 1 0 0 0 1 0 1 0 0 2 1 3 1 1 0 1 0 0 1 1 0 0 2 0 1 0 0 0 0 1 0 0 0 0 2 1 1 1 1 2 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 1 0 0 2 0 1 1 1 1 0 1 1 0 0
"nervous" 0 0 1 3 2 0 1 1 2 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 2 0 1 0 1 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 1 0 0 2 0 2 0 0 0 0 2 0 0 0 0 1 0 0
"open" 2 2 2 10 6 1 3 5 12 2 1 1 5 3 0 1 1 4 1 3 2 2 2 4 2 2 2 2 8 2 4 2 2 0 2 12 1 1 1 2 2 1 2 4 2 6 4 1 4 2 2 0 6 5 3 7 2 11 3 4 5 3 0 2 2 4 5 1 0 2 2 10 4 12 2 4 1 1 7 4 1 2 2 2 4 1
"particular" 1 3 0 7 2 1 1 1 5 2 1 1 2 1 1 0 0 2 1 0 1 0 2 0 3 1 2 1 6 1 1 2 0 0 1 2 1 3 1 0 1 0 1 0 2 1 2 0 3 1 1 6 0 0 4 1 1 3 1 0 2 2 0 1 0 1 1 0 1 0 3 3 3 9 2 0 0 1 1 1 2 0 1 2 2 1
"pleasant" 0 1 1 6 3 1 4 0 3 0 2 0 3 1 0 2 1 2 0 1 1 0 0 0 2 4 0 1 6 2 1 0 2 0 2 4 1 2 1 1 1 0 2 1 0 0 0 1 5 1 0 5 0 0 0 2 0 5 1 1 2 0 0 0 0 2 1 1 2 2 0 6 1 3 2 2 3 1 5 0 0 0 1 0 2 0
"polite" 1 1 0 3 1 2 0 0 2 1 0 0 0 1 0 0 0 2 1 1 1 0 1 0 2 0 0 0 2 0 0 0 0 1 1 2 0 0 1 0 0 0 0 0 1 0 1 0 1 1 0 3 4 0 0 0 0 2 1 0 0 3 0 0 0 0 0 0 0 0 2 1 2 1 0 0 0 0 1 1 0 0 0 0 0 0
"proud" 0 0 0 5 0 0 1 0 5 0 1 2 0 1 1 0 1 2 0 1 2 0 1 0 2 1 2 0 3 0 0 1 1 1 3 3 1 1 0 0 2 2 1 2 2 2 1 0 5 1 0 7 1 2 0 0 1 5 0 0 2 1 0 1 1 1 3 0 0 3 0 3 0 3 1 1 1 1 4 1 0 1 1 0 1 0
"quick" 1 0 0 2 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 2 0 0 0 0 2 0 0 0 0 2 1 1 1 0 0 0 0 1 2 0 2 1 0 0 1 0 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 2 0 0 0 1 1 0 0 0 1 1 1 1
"quiet" 0 2 1 6 3 2 0 3 8 0 2 0 4 1 0 2 2 4 1 1 1 0 2 1 1 3 1 0 4 4 2 0 2 2 1 7 0 4 1 0 2 2 4 2 0 1 2 1 7 0 1 11 3 5 2 5 2 0 0 1 1 1 1 2 0 5 1 0 1 2 0 10 3 10 0 0 2 2 6 2 0 4 1 1 4 2
"responsible" 1 1 1 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 3 1 1 1 0 0 0 0 0 2 1 0 0 0 2 0 0 0 0 2 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0
"rusty" 0 0 0 2 0 0 1 1 3 0 0 0 1 0 0 0 1 2 0 1 1 0 0 1 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 4 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 2 0 0 1 0 1 2 0 0 0 0 0 0
"second" 0 2 2 4 1 0 2 1 1 2 1 1 4 1 1 0 0 3 1 0 1 0 0 1 1 0 1 0 3 0 1 2 1 0 2 3 0 2 0 0 0 0 0 0 1 2 0 0 1 0 0 5 2 2 0 2 0 1 2 0 0 0 0 1 1 1 1 1 1 1 1 3 1 5 2 1 0 0 2 1 1 0 1 1 1 0
"sensible" 1 0 0 1 0 0 1 0 2 1 1 0 0 0 1 0 0 2 2 0 1 1 1 0 2 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 2 0 0 0 1 1 1 0 0 0 0 3 2 0 3 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 2 2 2 3 0 0 0 1 0 0 0 0 0 0 0 1
"sensitive" 1 0 0 1 0 0 0 1 2 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 2 0 0 0 0 1 0 0
"serious" 0 1 0 6 1 0 1 0 3 4 1 0 2 1 0 2 0 0 1 0 0 0 0 1 1 0 1 1 0 0 1 0 0 1 1 1 1 2 1 1 0 0 0 0 1 0 1 0 0 1 2 2 1 0 0 1 0 2 0 0 1 0 0 0 0 1 0 1 0 0 0 2 0 2 1 0 1 1 2 1 1 0 0 1 0 1
"severe" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 0 3 0 0 0 0 0 2 0
"silent" 1 2 2 5 2 1 2 2 3 0 0 0 2 0 0 4 1 0 1 0 0 0 0 1 1 1 0 0 1 3 0 0 1 1 0 0 0 2 1 3 1 0 0 1 2 0 2 1 2 1 0 4 1 2 0 1 0 5 2 0 1 0 0 1 1 0 1 0 1 2 1 7 2 2 0 1 1 1 4 0 1 2 1 0 1 0
"slow" 0 1 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 2 0 0 0 1 0 0 2 0 1 0 0 1 1 0 0 2 1 0 0 1 0 1 0 2 1 1 1 0 2 1 0 5 1 1 0 3 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0 3 0 1 1 1 0 2 1 0 1 0 1 0 1 0
"smooth" 0 0 0 1 0 0 1 0 2 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 3 3 2 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 1 0 2 0 0 1 0 0 0 0 1 0 0
"soft" 0 1 1 2 0 0 0 0 1 0 2 0 1 0 0 1 0 1 0 0 0 0 0 0 1 2 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 1 0 1 2 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 4 1 0 0 0 0 0 1 0 1 0 1 0 0 0
"steady" 0 0 0 3 1 0 1 0 5 0 2 1 0 0 0 0 1 2 1 1 0 0 2 1 2 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 0 2 0 1 0 0 2 0 2 0 3 0 2 0 1 1 1 0 0 1 2 1 0 1 0 0 2 2 2 0 0 0 0 1 0 0 0 0 0 0 0
"strict" 1 0 1 1 0 0 0 1 1 1 1 0 1 0 0 0 0 1 2 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 2 3 0 2 0 0 0 2 0 1 2 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0
"strong" 1 1 0 9 1 0 0 4 8 2 4 0 3 1 0 4 3 7 3 2 1 0 1 1 3 4 1 1 4 3 2 0 0 3 3 11 2 4 2 2 2 3 4 0 2 2 1 2 6 0 2 10 3 6 1 3 0 10 0 2 3 2 1 2 1 7 3 2 4 2 0 0 5 13 1 2 0 0 7 1 2 2 2 3 1 1
"sudden" 1 2 0 5 1 2 1 1 4 0 2 0 2 0 0 0 2 1 2 0 1 1 2 1 2 1 0 0 2 0 0 0 1 2 3 3 0 1 1 1 0 2 2 1 1 0 2 2 2 1 0 4 3 1 2 0 1 3 1 0 1 2 1 0 1 2 0 0 1 2 1 5 0 7 1 0 0 1 2 0 1 1 2 1 1 2
"sure" 3 4 1 14 3 1 5 6 12 3 1 2 7 3 2 0 1 7 2 0 2 1 3 0 6 2 4 2 4 2 0 2 2 4 6 5 1 5 1 1 0 4 2 0 2 4 1 2 3 0 2 12 9 3 1 3 2 10 1 2 5 3 2 2 0 2 1 1 0 2 1 13 7 0 3 0 0 2 6 2 2 2 1 5 2 5
