"affectionate" "bold" "certain" "cheerful" "cruel" "delicate" "determined" "eager" "earnest" "easy" "free" "general" "generous" "gentle" "grateful" "grave" "hasty" "helpless" "humble" "impertinent" "indifferent" "kind" "loud" "melancholy" "modest" "natural" "open" "particular" "polite" "proud" "quick" "quiet" "second" "sensible" "serious" "silent" "simple" "strong" "sudden" "sufficient" "sure" "sweet" "true" "unhappy" "vain" "violent" "weak" "willing"
"hasty" 0 1 0 1 0 1 0 1 0 1 1 1 1 1 2 0 0 0 1 1 0 0 0 0 0 0 0 2 0 1 1 1 1 1 1 5 1 2 2 3 4 1 0 2 2 1 0 0
"helpless" 1 0 0 2 2 1 0 2 1 1 1 1 2 1 1 1 0 0 0 1 0 2 1 1 1 0 1 1 0 0 0 0 1 3 0 1 0 1 0 0 3 2 2 3 3 1 3 0
"humble" 0 1 2 0 1 2 3 1 0 2 3 3 3 2 3 0 1 0 0 2 1 0 2 2 0 3 1 1 1 1 0 0 1 0 1 2 1 0 1 0 6 2 1 2 2 2 2 1
"impertinent" 3 4 5 0 7 2 2 4 3 3 4 7 4 3 4 0 1 1 2 0 0 1 6 1 1 4 1 2 2 2 3 2 1 4 0 6 1 2 0 0 13 3 2 3 5 4 2 3
"indifferent" 1 1 3 2 3 1 0 4 1 3 2 2 0 1 4 1 0 0 1 0 0 2 1 0 3 2 2 4 0 4 0 1 1 3 2 3 1 2 0 0 8 4 4 1 0 2 4 0
"kind" 1 2 1 2 2 0 1 0 0 0 1 1 2 0 4 0 0 2 0 1 2 0 0 1 2 0 2 1 1 0 0 1 3 4 1 2 1 0 0 3 7 3 4 3 3 1 1 1
"loud" 0 3 2 0 1 1 2 3 3 1 5 4 2 0 4 1 0 1 2 6 1 0 0 1 0 1 2 1 1 0 2 4 1 0 0 4 1 0 2 0 13 3 2 2 3 4 2 2
"melancholy" 1 2 1 0 3 3 0 0 2 1 1 0 3 1 3 2 0 1 2 1 0 1 1 0 1 4 3 0 0 1 0 2 1 1 0 2 1 1 2 1 5 3 0 5 2 2 3 1
"modest" 0 2 2 2 4 0 0 1 0 2 4 1 2 0 1 2 0 1 0 1 3 2 0 1 0 1 1 0 1 0 0 1 0 3 2 4 0 1 0 0 5 1 4 2 2 0 2 0
"natural" 2 2 4 0 1 2 2 3 2 4 3 3 3 1 3 1 0 0 3 4 2 0 1 4 1 0 2 3 0 2 0 0 0 1 2 5 1 2 1 0 10 2 3 2 1 0 2 0
"open" 1 2 0 1 2 2 2 0 2 1 0 4 2 4 1 3 0 1 1 1 2 2 2 3 1 2 0 3 0 2 2 0 2 3 4 3 1 0 2 2 7 3 0 4 2 3 3 1
"particular" 1 2 3 2 3 4 1 4 1 6 3 7 1 3 5 2 2 1 1 2 4 1 1 0 0 3 3 0 0 2 2 1 3 2 5 7 0 4 2 4 14 4 2 8 1 5 0 1
"polite" 0 1 1 0 3 1 1 0 1 3 2 6 2 0 1 1 0 0 1 2 0 1 1 0 1 0 0 0 0 1 0 2 2 1 2 0 0 0 1 0 5 0 1 1 0 0 0 1
"proud" 1 0 1 1 4 1 2 2 1 2 0 1 2 0 1 0 1 0 1 2 4 0 0 1 0 2 2 2 1 0 0 0 2 2 2 1 2 2 2 2 8 2 1 1 2 1 3 1
"quick" 0 0 0 0 2 0 2 1 0 0 2 5 1 2 0 0 1 0 0 3 0 0 2 0 0 0 2 2 0 0 0 0 1 0 0 3 0 1 1 0 5 2 2 1 2 1 0 0
"quiet" 1 2 2 0 4 0 0 3 1 2 2 2 0 0 2 0 1 0 0 2 1 1 4 2 1 0 0 1 2 0 0 0 0 1 1 1 1 0 0 1 7 2 2 2 0 1 1 2
"second" 2 0 3 1 4 1 1 2 0 1 0 5 3 0 4 0 1 1 1 1 1 3 1 1 0 0 2 3 2 2 1 0 0 3 0 4 2 1 4 3 7 3 1 3 2 3 2 2
"sensible" 1 2 2 2 4 2 2 0 1 2 3 3 3 3 4 0 1 3 0 4 3 4 0 1 3 1 3 2 1 2 0 1 3 0 2 5 1 3 3 3 11 5 4 3 2 3 5 2
"serious" 0 1 2 1 3 2 0 2 0 3 2 2 2 1 4 5 1 0 1 0 2 1 0 0 2 2 4 5 2 2 0 1 0 2 0 6 1 3 1 3 11 1 1 4 0 2 3 1
"silent" 2 2 3 5 8 4 3 4 1 7 5 6 5 2 8 4 5 1 2 6 3 2 4 2 4 5 3 7 0 1 3 1 4 5 6 0 2 5 4 4 19 4 7 5 5 3 4 1
"simple" 1 1 1 1 1 0 0 2 0 0 2 2 1 2 2 0 1 0 1 1 1 1 1 1 0 1 1 0 0 2 0 1 2 1 1 2 0 1 1 3 5 2 1 2 1 0 1 1
"strong" 1 0 2 1 6 1 1 2 2 3 2 2 3 1 2 2 2 1 0 2 2 0 0 1 1 2 0 4 0 2 1 0 1 3 3 5 1 0 2 0 7 1 3 2 1 3 4 1
"sudden" 0 0 2 0 2 2 1 0 1 2 2 4 2 0 2 0 2 0 1 0 0 0 2 2 0 1 2 2 1 2 1 0 4 3 1 4 1 2 0 1 7 2 1 4 2 4 0 2
"sufficient" 0 1 1 4 1 1 0 1 0 0 2 4 2 2 3 1 3 0 0 0 0 3 0 1 0 0 2 4 0 2 0 1 3 3 3 4 3 0 1 0 8 4 2 6 1 1 1 3
"sure" 4 6 10 2 13 7 8 6 6 10 11 21 9 3 12 7 4 3 6 13 8 7 13 5 5 10 7 14 5 8 5 7 7 11 11 19 5 7 7 8 0 12 12 16 9 14 10 4
"sweet" 2 3 2 3 4 0 2 4 1 0 1 7 4 3 6 2 1 2 2 3 4 3 3 3 1 2 3 4 0 2 2 2 3 5 1 4 2 1 2 4 12 0 5 4 3 2 5 2
"true" 1 1 3 4 6 0 2 2 1 6 5 5 3 1 0 1 0 2 1 2 4 4 2 0 4 3 0 2 1 1 2 2 1 4 1 7 1 3 1 2 12 5 0 2 3 1 2 2
"unhappy" 1 2 1 2 6 4 3 2 1 6 1 7 6 1 8 2 2 3 2 3 1 3 2 5 2 2 4 8 1 1 1 2 3 3 4 5 2 2 4 6 16 4 2 0 4 5 4 3
"vain" 0 2 0 2 3 1 1 2 1 2 3 5 2 1 3 3 2 3 2 5 0 3 3 2 2 1 2 1 0 2 2 0 2 2 0 5 1 1 2 1 9 3 3 4 0 2 3 1
"violent" 1 3 3 0 5 2 2 3 2 3 6 3 5 1 3 0 1 1 2 4 2 1 4 2 0 0 3 5 0 1 1 1 3 3 2 3 0 3 4 1 14 2 1 5 2 0 2 3
"weak" 2 2 1 2 6 1 1 2 1 1 2 3 4 2 4 4 0 3 2 2 4 1 2 3 2 2 3 0 0 3 0 1 2 5 3 4 1 4 0 1 10 5 2 4 3 2 0 3
"willing" 1 0 3 0 1 1 0 1 2 0 2 0 3 0 1 0 0 0 1 3 0 1 2 1 0 0 1 1 1 1 0 2 2 2 1 1 1 1 2 3 4 2 2 3 1 3 3 0
