"active" "affectionate" "awkward" "bitter" "bold" "busy" "calm" "careful" "careless" "certain" "cheerful" "clean" "close" "cold" "confidential" "constant" "cool" "cruel" "curious" "delicate" "eager" "earnest" "easy" "expressive" "faithful" "familiar" "free" "fresh" "friendly" "general" "genteel" "gentle" "gloomy" "graceful" "gracious" "grave" "handsome" "hasty" "hearty" "heavy" "honest" "humble" "impatient" "jealous" "kind" "lively" "loud" "melancholy" "merry" "natural" "nervous" "open" "original" "particular" "pleasant" "proud" "quick" "quiet" "rough" "rusty" "sad" "second" "selfish" "serious" "severe" "silent" "slow" "soft" "solemn" "spirited" "stately" "stern" "strong" "sudden" "sufficient" "sure" "sweet" "tight" "true" "ugly" "unhappy" "vague" "vain" "vicious" "violent" "virtuous" "weak" "willing"
"cheerful" 3 2 2 1 0 4 1 0 1 6 0 1 2 5 0 0 2 0 1 2 4 1 0 1 3 1 5 6 2 2 2 2 0 0 0 1 1 1 3 5 5 2 1 1 3 2 2 1 0 2 0 6 3 6 5 3 2 7 0 0 1 2 1 1 1 6 2 2 0 1 2 0 5 3 0 9 2 1 2 2 1 2 1 2 1 1 2 1
"clean" 1 0 0 0 0 1 1 0 0 3 1 0 2 1 0 0 0 0 0 0 1 0 3 1 1 0 3 0 1 2 1 0 1 0 2 0 3 0 1 3 2 1 0 0 2 0 5 2 0 1 1 2 0 1 4 1 0 1 1 1 3 4 0 3 2 2 1 0 2 1 0 1 3 2 1 5 0 1 3 0 3 0 0 0 1 0 0 1
"close" 1 3 2 0 2 1 1 1 3 4 2 2 0 5 2 2 1 2 0 0 1 1 1 1 0 0 3 1 1 3 3 3 2 1 2 0 2 1 1 2 1 0 3 2 2 1 7 2 2 3 1 11 5 5 4 2 2 8 1 1 3 4 0 3 0 3 0 2 3 0 0 0 6 1 1 5 3 1 5 1 2 1 1 0 4 1 1 1
"cold" 4 4 3 5 1 4 4 4 2 6 5 1 5 0 0 1 1 1 5 10 4 5 2 4 0 3 3 6 2 6 3 8 7 5 1 3 5 2 5 9 11 5 3 1 7 4 7 8 1 3 4 16 6 10 6 1 5 10 4 4 3 8 4 2 6 8 3 3 4 2 1 6 11 5 5 19 5 2 9 4 1 2 4 3 8 0 5 2
"confidential" 0 2 1 1 2 0 0 0 0 2 0 0 2 0 0 0 2 1 0 1 0 1 0 0 1 1 0 1 1 2 2 0 0 0 1 1 1 0 0 1 0 0 0 0 2 1 3 0 0 4 0 1 2 3 3 1 1 1 2 0 0 2 0 3 0 1 0 0 1 3 0 0 1 2 1 4 1 0 2 0 1 1 0 0 1 1 0 0
"constant" 2 0 2 1 0 0 1 2 0 4 0 0 2 1 0 0 0 1 0 5 1 4 1 2 1 2 1 2 0 3 1 1 1 1 0 0 4 2 1 3 1 3 0 0 3 1 1 0 0 3 1 3 0 5 3 3 3 3 2 0 1 1 2 2 1 0 0 2 1 2 1 0 4 1 0 6 3 0 5 2 2 0 1 0 4 1 1 0
"cool" 1 1 2 0 0 0 1 0 2 2 2 0 1 1 2 0 0 0 1 0 0 0 0 0 1 0 1 2 1 1 1 2 2 0 0 1 1 3 0 1 2 0 0 0 1 0 2 0 0 3 1 2 2 2 2 2 0 1 0 0 1 1 0 0 0 2 0 1 0 0 2 1 4 1 1 4 0 0 1 1 0 1 0 1 2 0 1 0
"cruel" 0 1 1 1 1 0 0 0 1 4 0 0 2 1 1 1 0 0 0 2 0 1 2 0 1 0 0 1 1 1 0 0 0 1 1 0 2 1 0 0 1 0 1 3 3 1 0 1 0 2 2 3 0 1 1 3 0 3 0 0 0 2 1 1 0 2 0 0 2 1 0 0 5 3 2 4 1 1 3 0 3 0 1 0 3 2 2 2
"curious" 0 2 0 0 0 1 1 0 1 3 1 0 0 5 0 0 1 0 0 1 0 1 0 2 0 1 0 0 0 3 0 1 2 0 1 0 3 1 0 1 1 1 1 0 1 1 2 1 0 1 0 2 0 4 2 1 1 1 0 1 0 4 1 1 2 2 0 1 1 0 0 3 4 0 2 6 0 0 1 0 0 0 0 0 0 1 2 0
"delicate" 2 1 1 2 1 0 1 2 1 4 2 0 0 10 1 5 0 2 1 0 1 4 4 2 1 0 0 1 0 3 3 5 1 2 0 0 3 0 1 1 2 1 1 1 5 3 0 0 1 2 2 2 0 4 3 3 1 3 1 3 0 3 2 3 3 4 1 3 0 1 2 1 2 2 3 9 3 1 4 1 0 2 2 0 4 1 1 1
"eager" 0 1 1 3 0 4 0 3 0 3 4 1 1 4 0 1 0 0 0 1 0 2 0 0 1 3 3 4 1 2 0 1 0 0 0 2 0 1 1 3 1 1 0 1 0 0 3 1 0 0 0 5 2 2 6 0 2 3 0 2 0 0 1 1 1 3 2 2 0 0 0 1 2 1 2 3 0 0 2 0 1 0 0 1 3 0 0 1
"earnest" 1 0 0 3 0 1 0 2 1 4 1 0 1 5 1 4 0 1 1 4 2 0 1 1 2 1 2 3 1 3 0 5 0 1 1 1 0 3 2 2 1 2 2 2 7 1 1 0 1 3 0 2 2 4 1 2 2 6 2 2 1 4 2 2 1 4 0 1 1 2 0 0 6 1 3 9 1 1 6 0 2 1 2 0 1 0 1 2
"easy" 0 1 1 2 1 1 2 4 2 8 0 3 1 2 0 1 0 2 0 4 0 1 0 0 0 1 2 6 0 7 2 6 1 3 0 0 5 1 2 3 5 2 0 3 3 0 2 3 1 6 3 6 2 8 6 5 3 5 2 3 1 3 1 6 0 3 7 2 0 0 1 1 7 2 6 9 0 1 3 1 3 1 0 0 2 3 1 1
"expressive" 0 1 1 0 1 0 0 0 0 1 1 1 1 4 0 2 0 0 2 2 0 1 0 0 0 0 0 3 1 4 1 2 1 0 0 1 3 1 0 1 1 3 0 1 0 0 2 1 0 5 0 0 1 3 2 1 1 2 0 1 0 1 1 1 1 2 0 1 1 0 0 1 6 1 1 5 2 1 5 1 1 0 0 1 0 0 0 1
"faithful" 0 0 1 2 1 3 1 0 0 3 3 1 0 0 1 1 1 1 0 1 1 2 0 0 0 2 3 3 2 4 0 1 1 0 0 0 2 1 1 1 5 1 0 0 4 0 1 1 1 3 1 0 1 2 1 3 2 3 1 1 2 3 0 0 0 2 1 0 1 2 3 0 4 3 1 7 2 0 5 0 0 1 1 0 1 1 1 1
"familiar" 0 0 0 0 0 1 1 1 0 3 1 0 0 3 1 2 0 0 1 0 3 1 1 0 2 0 1 5 2 4 0 0 0 0 0 1 2 0 1 5 1 2 0 0 1 0 3 1 1 3 0 2 2 1 4 1 6 3 1 1 1 2 0 0 2 1 3 1 3 1 1 2 2 1 2 6 0 0 4 0 0 0 0 1 3 1 0 0
"free" 0 1 1 2 0 4 1 0 1 5 5 3 3 3 0 1 1 0 0 0 3 2 2 0 3 1 0 3 1 5 2 0 1 0 2 1 1 0 1 7 3 1 2 0 4 0 2 2 0 1 1 5 1 1 5 2 0 5 0 1 0 5 0 3 0 0 0 1 2 1 0 1 7 1 4 4 0 0 5 1 5 0 0 0 3 1 1 1
"fresh" 1 0 3 4 3 3 3 1 1 4 6 0 1 6 1 2 2 1 0 1 4 3 6 3 3 5 3 0 4 9 3 5 0 2 1 1 4 3 0 5 3 2 1 3 5 1 7 3 0 6 0 7 5 4 10 3 6 8 1 0 2 2 1 2 1 5 5 1 0 1 1 1 6 6 2 13 2 0 3 2 3 2 1 2 6 1 3 1
"friendly" 0 0 1 0 0 2 1 1 1 3 2 1 1 2 1 0 1 1 0 0 1 1 0 1 2 2 1 4 0 5 0 1 0 1 0 2 0 1 1 2 3 2 1 1 2 1 1 0 0 3 0 0 0 1 3 2 2 2 0 1 2 0 0 1 0 2 1 0 0 0 2 1 3 0 2 3 1 3 0 1 1 2 0 1 1 0 2 1
"general" 0 4 6 1 3 3 1 2 3 8 2 2 3 6 2 3 1 1 3 3 2 3 7 4 4 4 5 9 5 0 3 6 6 2 3 2 3 1 1 10 5 2 2 3 6 3 10 2 2 12 1 5 7 14 12 6 4 5 3 3 0 9 0 5 1 7 4 2 2 2 3 4 17 3 3 21 4 3 14 1 2 0 2 1 6 7 5 0
"genteel" 1 2 1 1 1 1 0 0 0 6 2 1 3 3 2 1 1 0 0 3 0 0 2 1 0 0 2 3 0 3 0 1 0 1 0 1 2 0 1 1 2 1 0 0 0 1 3 2 0 2 0 5 3 3 2 0 0 2 3 1 0 5 2 4 0 1 1 1 2 1 2 0 2 1 0 4 0 0 0 1 2 0 0 1 2 0 2 1
"gentle" 2 2 0 2 2 0 3 2 0 3 2 0 3 8 0 1 2 0 1 5 1 5 6 2 1 0 0 5 1 6 1 0 2 4 1 1 2 3 1 1 5 4 1 1 2 1 4 1 2 5 2 8 4 5 9 5 2 4 3 1 1 6 2 1 1 4 3 3 1 0 3 2 5 2 4 10 3 2 4 0 1 1 3 1 5 0 2 2
"gloomy" 1 3 1 0 0 1 0 2 2 2 0 1 2 7 0 1 2 0 2 1 0 0 1 1 1 0 1 0 0 6 0 2 0 0 0 0 2 2 1 6 1 0 1 1 3 1 4 2 2 4 3 3 1 5 2 1 1 3 1 1 2 4 0 0 1 4 1 0 0 0 1 3 9 3 1 5 0 0 4 2 1 0 0 0 5 1 1 1
"graceful" 0 1 0 0 1 0 1 0 0 3 0 0 1 5 0 1 0 1 0 2 0 1 3 0 0 0 0 2 1 2 1 4 0 0 0 0 3 2 0 0 2 1 0 0 2 1 2 1 2 3 1 3 4 0 2 0 1 2 2 0 1 3 0 0 1 1 2 2 0 0 3 0 2 0 2 6 2 0 1 0 0 1 2 1 0 0 1 0
"gracious" 0 1 0 1 1 1 0 0 1 3 0 2 2 1 1 0 0 1 1 0 0 1 0 0 0 0 2 1 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 1 0 1 2 3 1 3 3 3 0 1 0 0 1 3 1 3 0 0 1 0 1 0 1 0 2 3 1 7 0 0 3 0 1 0 2 0 2 1 2 0
"grave" 1 1 0 0 1 2 0 0 0 0 1 0 0 3 1 0 1 0 0 0 2 1 0 1 0 1 1 1 2 2 1 1 0 0 0 0 0 1 2 1 2 2 0 1 1 2 1 0 1 2 1 1 2 1 3 3 0 2 1 0 0 0 0 2 0 1 0 1 0 0 0 2 2 0 3 3 2 1 2 0 0 1 1 1 1 1 2 1
"handsome" 1 2 0 2 2 0 0 1 1 3 1 3 2 5 1 4 1 2 3 3 0 0 5 3 2 2 1 4 0 3 2 2 2 3 0 0 0 2 2 4 2 2 0 0 3 1 4 2 0 6 2 5 3 4 3 3 3 3 2 0 2 3 0 2 0 6 4 3 2 3 1 3 8 3 2 18 1 1 4 2 2 1 0 1 4 2 3 2
"hasty" 1 0 2 1 0 0 2 1 1 6 1 0 1 2 0 2 3 1 1 0 1 3 1 1 1 0 0 3 1 1 0 3 2 2 0 1 2 0 2 4 2 1 3 2 2 0 3 2 1 7 1 4 2 4 1 3 2 4 2 0 2 1 0 2 2 4 0 1 0 1 2 0 5 2 2 11 0 0 4 1 1 1 0 3 2 0 0 1
"hearty" 3 2 0 0 3 2 0 1 0 2 3 1 1 5 0 1 0 0 0 1 1 2 2 0 1 1 1 0 1 1 1 1 1 0 0 2 2 2 0 4 4 3 1 1 4 1 0 0 0 2 0 4 0 4 1 0 1 2 0 0 2 3 0 0 0 4 0 0 1 0 0 1 3 2 1 4 0 1 3 1 3 0 0 0 4 0 1 1
"heavy" 2 5 1 2 1 2 2 1 0 7 5 3 2 9 1 3 1 0 1 1 3 2 3 1 1 5 7 5 2 10 1 1 6 0 0 1 4 4 4 0 4 3 4 3 3 0 9 2 1 5 3 9 4 7 6 2 6 5 2 3 5 6 2 2 2 3 3 1 3 3 0 4 11 0 4 9 0 1 7 2 4 0 0 2 6 1 4 0
"honest" 0 2 2 2 0 1 4 0 2 3 5 2 1 11 0 1 2 1 1 2 1 1 5 1 5 1 3 3 3 5 2 5 1 2 0 2 2 2 4 4 0 4 1 0 5 1 6 4 2 4 0 9 3 6 3 4 2 3 1 1 4 3 3 0 1 8 2 0 1 2 2 3 8 2 3 16 1 3 4 1 4 2 1 2 6 3 6 4
"humble" 1 3 1 2 0 2 0 0 0 2 2 1 0 5 0 3 0 0 1 1 1 2 2 3 1 2 1 2 2 2 1 4 0 1 0 2 2 1 3 3 4 0 1 1 1 0 3 0 1 4 0 4 2 2 7 3 1 3 3 0 0 3 1 2 0 1 2 1 1 0 0 2 3 0 0 6 2 1 4 0 2 0 1 0 4 1 1 0
"impatient" 1 3 1 0 0 0 1 1 2 1 1 0 3 3 0 0 0 1 1 1 0 2 0 0 0 0 2 1 1 2 0 1 1 0 0 0 0 3 1 4 1 1 0 3 2 0 5 0 0 3 0 3 2 4 2 1 3 5 1 2 0 0 1 1 1 3 1 0 0 1 1 0 2 0 1 5 1 1 2 1 1 0 0 1 3 2 1 0
"jealous" 0 1 4 1 2 1 0 4 0 2 1 0 2 1 0 0 0 3 0 1 1 2 3 1 0 0 0 3 1 3 0 1 1 0 0 1 0 2 1 3 0 1 3 0 1 0 3 2 0 4 2 2 0 5 4 4 1 4 1 1 1 3 1 3 0 2 2 1 0 0 1 1 3 1 2 6 1 2 3 1 1 0 1 0 2 1 2 1
"kind" 1 2 1 3 1 2 0 0 1 8 3 2 2 7 2 3 1 3 1 5 0 7 3 0 4 1 4 5 2 6 0 2 3 2 1 1 3 2 4 3 5 1 2 1 0 2 6 3 1 6 2 8 1 9 9 4 3 7 1 2 3 2 1 2 3 2 3 1 1 1 0 1 6 4 3 15 6 1 5 2 4 3 1 0 4 2 1 2
"lively" 2 1 1 0 2 1 0 0 1 3 2 0 1 4 1 1 0 1 1 3 0 1 0 0 0 0 0 1 1 3 1 1 1 1 1 2 1 0 1 0 1 0 0 0 2 0 1 1 0 2 0 3 1 2 0 2 0 1 1 0 0 1 1 2 2 1 0 0 0 0 0 0 1 1 2 5 1 1 1 0 0 2 0 1 2 2 1 0
"loud" 2 2 4 2 2 1 3 2 1 5 2 5 7 7 3 1 2 0 2 0 3 1 2 2 1 3 2 7 1 10 3 4 4 2 3 1 4 3 0 9 6 3 5 3 6 1 0 9 1 4 2 10 5 4 7 0 3 10 4 3 1 7 0 3 6 8 5 1 3 2 0 1 6 9 2 16 1 2 9 1 3 2 1 2 5 1 5 1
"melancholy" 1 0 4 1 0 1 1 1 1 2 1 2 2 8 0 0 0 1 1 0 1 0 3 1 1 1 2 3 0 2 2 1 2 1 1 0 2 2 0 2 4 0 0 2 3 1 9 0 1 1 0 8 3 7 0 3 2 3 1 3 2 6 1 2 1 8 3 1 2 0 1 1 1 6 2 7 1 0 1 1 2 2 1 1 4 0 3 2
"merry" 1 1 0 0 1 1 0 0 1 2 0 0 2 1 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 2 0 2 2 2 0 1 0 1 0 1 2 1 0 0 1 0 1 1 0 1 0 2 3 1 2 1 2 2 2 1 3 1 0 0 0 2 0 1 1 0 1 1 2 0 1 3 1 0 3 1 0 0 2 0 1 1 0 1
"natural" 1 4 1 1 2 0 3 1 1 12 2 1 3 3 4 3 3 2 1 2 0 3 6 5 3 3 1 6 3 12 2 5 4 3 1 2 6 7 2 5 4 4 3 4 6 2 4 1 1 0 5 8 2 5 8 3 2 11 6 0 3 2 1 5 3 6 7 1 1 1 4 0 10 3 1 24 5 2 9 2 4 1 0 1 3 4 3 3
"nervous" 0 1 1 0 1 1 0 2 0 3 0 1 1 4 0 1 1 2 0 2 0 0 3 0 1 0 1 0 0 1 0 2 3 1 2 1 2 1 0 3 0 0 0 2 2 0 2 0 0 5 0 2 1 1 1 2 2 1 1 1 2 1 0 2 0 1 1 0 0 0 2 1 4 2 4 6 0 0 3 1 3 0 1 0 2 1 2 2
"open" 2 8 3 3 0 3 2 1 1 13 6 2 11 16 1 3 2 3 2 2 5 2 6 0 0 2 5 7 0 5 5 8 3 3 3 1 5 4 4 9 9 4 3 2 8 3 10 8 2 8 2 0 10 11 13 9 3 15 2 4 1 8 4 7 1 9 4 2 3 2 1 3 15 4 3 17 5 1 7 3 6 2 2 1 13 1 4 3
"original" 0 5 2 0 2 1 3 1 1 6 3 0 5 6 2 0 2 0 0 0 2 2 2 1 1 2 1 5 0 7 3 4 1 4 1 2 3 2 0 4 3 2 2 0 1 1 5 3 3 2 1 10 0 7 6 3 2 3 2 4 1 7 1 3 0 5 2 2 3 0 3 3 8 1 3 8 2 1 4 0 1 0 4 5 5 1 3 0
"particular" 2 4 4 3 1 4 1 2 2 9 6 1 5 10 3 5 2 1 4 4 2 4 8 3 2 1 1 4 1 14 3 5 5 0 3 1 4 4 4 7 6 2 4 5 9 2 4 7 1 5 1 11 7 0 8 7 5 4 1 3 3 9 3 8 1 9 2 3 1 3 1 4 14 3 2 20 5 2 5 5 3 0 0 1 5 2 4 2
"pleasant" 0 3 2 4 3 4 1 2 0 8 5 4 4 6 3 3 2 1 2 3 6 1 6 2 1 4 5 10 3 12 2 9 2 2 3 3 3 1 1 6 3 7 2 4 9 0 7 0 2 8 1 13 6 8 0 8 4 12 3 1 1 9 0 3 2 4 6 6 4 2 2 2 10 2 2 20 6 3 9 1 4 0 3 1 7 4 1 2
"proud" 0 2 3 1 0 1 1 1 0 5 3 1 2 1 1 3 2 3 1 3 0 2 5 1 3 1 2 3 2 6 0 5 1 0 3 3 3 3 0 2 4 3 1 4 4 2 0 3 1 3 2 9 3 7 8 0 1 1 0 1 2 5 3 8 0 5 3 1 3 1 3 0 12 1 2 14 5 1 9 1 2 1 2 1 8 2 2 1
"quick" 2 0 0 0 0 1 1 2 0 2 2 0 2 5 1 3 0 0 1 1 2 2 3 1 2 6 0 6 2 4 0 2 1 1 0 0 3 2 1 6 2 1 3 1 3 0 3 2 2 2 2 3 2 5 4 1 0 3 2 2 1 1 1 1 3 2 2 2 1 2 2 1 3 4 4 6 1 0 2 2 1 1 1 1 3 3 3 0
"quiet" 3 3 4 3 3 3 2 2 2 12 7 1 8 10 1 3 1 3 1 3 3 6 5 2 3 3 5 8 2 5 2 4 3 2 1 2 3 4 2 5 3 3 5 4 7 1 10 3 2 11 1 15 3 4 12 1 3 0 4 0 1 4 1 2 4 6 5 3 2 3 0 1 11 4 3 16 5 1 10 1 4 4 2 0 3 4 3 3
"rough" 1 2 0 1 1 1 3 0 1 3 0 1 1 4 2 2 0 0 0 1 0 2 2 0 1 1 0 1 0 3 3 3 1 2 0 1 2 2 0 2 1 3 1 1 1 1 4 1 2 6 1 2 2 1 3 0 2 4 0 0 0 4 0 2 2 1 1 2 1 1 1 1 3 1 0 9 1 0 2 0 0 0 1 1 1 1 1 0
"rusty" 0 0 0 1 0 1 0 2 2 4 0 1 1 4 0 0 0 0 1 3 2 2 3 1 1 1 1 0 1 3 1 1 1 0 0 0 0 0 0 3 1 0 2 1 2 0 3 3 1 0 1 4 4 3 1 1 2 0 0 0 1 4 1 1 0 4 2 0 1 0 1 1 2 0 2 1 0 1 1 1 1 0 0 0 2 0 0 0
"sad" 2 1 0 2 1 1 1 1 1 3 1 3 3 3 0 1 1 0 0 0 0 1 1 0 2 1 0 2 2 0 0 1 2 1 1 0 2 2 2 5 4 0 0 1 3 0 1 2 3 3 2 1 1 3 1 2 1 1 0 1 0 3 0 0 1 4 0 0 2 0 2 0 2 1 0 7 1 0 4 2 0 1 0 1 1 0 1 1
"second" 2 4 2 1 1 3 1 1 0 11 2 4 4 8 2 1 1 2 4 3 0 4 3 1 3 2 5 2 0 9 5 6 4 3 3 0 3 1 3 6 3 3 0 3 2 1 7 6 1 2 1 8 7 9 9 5 1 4 4 4 3 0 1 7 0 7 1 1 5 2 3 2 13 4 6 16 4 2 9 0 3 1 3 1 5 0 5 1
"selfish" 0 1 0 1 0 0 0 1 0 3 1 0 0 4 0 2 0 1 1 2 1 2 1 1 0 0 0 1 0 0 2 2 0 0 1 0 0 0 0 2 3 1 1 1 1 1 0 1 0 1 0 4 1 3 0 3 1 1 0 1 0 1 0 1 0 2 0 0 1 1 1 0 0 0 2 5 1 0 1 0 3 0 0 1 5 0 3 1
"serious" 1 1 1 2 2 2 0 1 2 11 1 3 3 2 3 2 0 1 1 3 1 2 6 1 0 0 3 2 1 5 4 1 0 0 3 2 2 2 0 2 0 2 1 3 2 2 3 2 0 5 2 7 3 8 3 8 1 2 2 1 0 7 1 0 1 0 1 1 0 0 0 0 9 1 2 17 4 3 6 1 4 2 3 1 5 2 3 1
"severe" 3 0 0 0 0 1 2 1 0 4 1 2 0 6 0 1 0 0 2 3 1 1 0 1 0 2 0 1 0 1 0 1 1 1 0 0 0 2 0 2 1 0 1 0 3 2 6 1 0 3 0 1 0 1 2 0 3 4 2 0 1 0 0 1 0 1 1 2 2 0 0 0 3 3 2 7 2 1 3 0 0 2 1 0 3 0 0 1
"silent" 1 3 2 2 1 1 3 1 4 5 6 2 3 8 1 0 2 2 2 4 3 4 3 2 2 1 0 5 2 7 1 4 4 1 0 1 6 4 4 3 8 1 3 2 2 1 8 8 2 6 1 9 5 9 4 5 2 6 1 4 4 7 2 0 1 0 5 0 2 3 3 4 8 5 5 14 2 2 7 1 1 3 1 1 12 1 3 2
"slow" 0 0 2 2 0 1 0 0 1 6 2 1 0 3 0 0 0 0 0 1 2 0 7 0 1 3 0 5 1 4 1 3 1 2 1 0 4 0 0 3 2 2 1 2 3 0 5 3 0 7 1 4 2 2 6 3 2 5 1 2 0 1 0 1 1 5 0 1 0 0 1 0 5 1 2 9 1 1 3 1 0 1 1 0 3 1 2 0
"soft" 1 1 2 1 1 1 1 1 0 1 2 0 2 3 0 2 1 0 1 3 2 1 2 1 0 1 1 1 0 2 1 3 0 2 0 1 3 1 0 1 0 1 0 1 1 0 1 1 1 1 0 2 2 3 6 1 2 3 2 0 0 1 0 1 2 0 1 0 1 0 1 1 0 1 0 6 5 1 4 0 0 1 3 0 2 1 0 0
"solemn" 1 1 0 0 1 0 2 1 0 6 0 2 3 4 1 1 0 2 1 0 0 1 0 1 1 3 2 0 0 2 2 1 0 0 1 0 2 0 1 3 1 1 0 0 1 0 3 2 1 1 0 3 3 1 4 3 1 2 1 1 2 5 1 0 2 2 0 1 0 0 1 0 5 1 0 7 1 2 2 0 2 0 2 1 2 0 2 1
"spirited" 0 0 0 1 1 0 1 0 0 2 1 1 0 2 3 2 0 1 0 1 0 2 0 0 2 1 1 1 0 2 1 0 0 0 0 0 3 1 0 3 2 0 1 0 1 0 2 0 0 1 0 2 0 3 2 1 2 3 1 0 0 2 1 0 0 3 0 0 0 0 0 0 3 2 1 1 1 0 2 0 2 0 0 0 0 2 2 1
"stately" 0 0 1 0 0 0 1 1 1 1 2 0 0 1 0 1 2 0 0 2 0 0 1 0 3 1 0 1 2 3 2 3 1 3 1 0 1 2 0 0 2 0 1 1 0 0 0 1 1 4 2 1 3 1 2 3 2 0 1 1 2 3 1 0 0 3 1 1 1 0 0 0 3 1 1 4 0 1 1 1 0 1 2 1 2 0 2 0
"stern" 0 3 0 0 0 1 0 1 0 1 0 1 0 6 0 0 1 0 3 1 1 0 1 1 0 2 1 1 1 4 0 2 3 0 0 2 3 0 1 4 3 2 0 1 1 0 1 1 1 0 1 3 3 4 2 0 1 1 1 1 0 2 0 0 0 4 0 1 0 0 0 0 5 2 1 3 1 0 2 0 0 0 2 0 2 0 0 0
