"awkward" "calm" "careful" "certain" "charitable" "cheerful" "christian" "close" "cold" "constant" "contrary" "eager" "earnest" "easy" "exact" "faithful" "fierce" "firm" "free" "fresh" "friendly" "general" "grave" "handsome" "handy" "hearty" "heavy" "honest" "humble" "impatient" "just" "kind" "melancholy" "merciless" "merry" "natural" "open" "particular" "pensive" "pleasant" "quiet" "reasonable" "religious" "rough" "sad" "second" "sensible" "serious" "sincere" "smooth" "sober" "soft" "solemn" "straight" "strong" "sudden" "sufficient" "sure" "swift" "thankful" "true" "ugly" "unhappy" "vain" "violent" "weak" "willing" "wise"
"grave" 0 2 1 0 0 1 0 1 0 0 1 0 0 4 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 1 2 1 2 0 1 0 0 2 1 2 1 0 2 0 1 2 0 0 1 2 0 1 1 1 0 3 0 1 0 0 0 2 2
"handsome" 1 0 1 1 0 0 0 1 1 1 0 1 0 4 1 1 1 1 0 1 1 2 1 0 0 0 2 2 1 0 1 0 0 0 1 0 1 4 0 1 2 0 0 0 1 2 0 2 1 1 1 0 1 2 4 0 1 4 1 4 3 2 0 0 1 1 3 0
"handy" 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0
"hearty" 0 0 0 0 0 0 0 1 0 0 0 1 0 3 0 1 0 0 0 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 2 0 1 1 0 0 0 0 0 1 0
"heavy" 1 1 0 2 0 0 0 1 1 0 0 0 1 3 1 0 1 0 2 2 0 0 0 2 0 1 0 0 2 1 0 0 0 0 0 1 2 1 1 1 0 0 0 0 0 2 0 0 0 1 0 2 1 1 3 5 1 3 1 4 1 2 0 1 2 0 0 0
"honest" 0 0 0 2 2 1 1 2 0 0 1 0 0 3 0 3 0 0 1 2 1 2 1 2 0 1 0 0 0 0 2 2 0 1 1 0 1 2 0 0 3 0 2 0 0 1 2 1 2 1 0 0 2 0 2 1 1 5 0 2 3 0 0 0 1 0 4 0
"humble" 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 2 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 2 0 1 0 0 0 0 0 0
"impatient" 0 1 2 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 1 0 2 0 1 0 0 0 0 0 1
"just" 0 0 0 2 1 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 1 2 0 1 0 0 0 2 1 1 0 0 0 0 0 1 0 2 0 1 1 0 1 0 2 2 1 0 2 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 1 0
"kind" 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0
"melancholy" 0 2 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 1 1 2 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 3 0 1 1 1 0 2 0 1 0 0 1
"merciless" 0 1 0 1 0 1 2 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 1 0 0 1 0 3 0 1 2 0 0 0 0 0 0 1
"merry" 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 1 2 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 1 0
"natural" 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 1 1 0 1 0 0 0 1 1 0 1 0 0 1 0 0 1 0 2 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 2
"open" 0 5 1 1 0 0 1 1 1 0 0 2 2 2 0 0 0 2 1 4 0 1 1 1 0 0 2 1 0 1 0 0 1 0 1 1 0 3 0 1 2 3 2 0 0 5 1 2 0 2 0 1 0 0 5 4 2 3 2 2 2 1 2 1 3 1 1 0
"particular" 0 1 1 5 0 1 1 2 0 2 1 1 0 6 0 1 0 1 0 2 0 2 2 4 0 1 1 2 0 1 2 0 2 0 1 1 3 0 1 2 1 0 3 1 4 4 0 1 1 2 1 0 1 1 2 3 5 7 3 6 5 0 2 0 1 1 1 2
"pensive" 0 2 0 2 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 2 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 2 1 1 1 1 2 2 0 0 0 1 1 0 0
"pleasant" 0 2 1 1 0 1 0 3 2 1 2 2 1 4 0 1 1 0 0 5 0 0 1 1 1 0 1 0 1 1 1 0 1 0 1 1 1 2 0 0 0 0 0 2 1 2 1 1 1 2 1 0 0 1 6 1 0 3 0 1 3 1 2 0 0 0 1 1
"quiet" 0 3 0 1 1 1 0 0 0 0 1 1 1 1 0 3 0 2 0 3 1 2 0 2 0 0 0 3 0 0 1 0 0 1 0 0 2 1 0 0 0 0 2 0 0 3 0 1 2 2 0 2 1 0 3 1 1 3 0 1 2 0 0 0 2 0 2 0
"reasonable" 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 1 0 0 1 0
"religious" 0 1 0 2 1 0 0 0 0 1 0 0 0 2 0 1 0 2 0 0 0 1 2 0 0 0 0 2 0 0 1 1 0 0 1 1 2 3 0 0 2 0 0 0 2 1 0 2 2 0 0 0 0 0 0 2 2 2 0 1 2 0 1 0 1 0 2 1
"rough" 0 1 0 0 0 1 0 2 0 0 1 0 0 3 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 1 0 1 0 1 1 0 0 0 1 2 1 1 0 0 2 0 0 0 0 0 0 1
"sad" 0 2 1 2 0 1 0 1 1 1 1 0 0 2 0 0 0 1 0 1 0 2 2 1 0 0 0 0 0 0 2 0 0 0 0 0 0 4 2 1 0 0 2 1 0 1 0 1 1 3 2 0 0 1 3 0 0 0 1 1 2 0 0 0 1 2 1 2
"second" 0 5 1 5 0 0 1 3 2 3 2 3 1 4 0 2 0 1 3 4 0 4 1 2 0 0 2 1 0 0 2 0 0 0 0 1 5 4 0 2 3 1 1 1 1 0 3 3 0 1 0 1 1 0 8 4 2 6 0 3 1 0 1 1 4 1 3 2
"sensible" 0 0 0 2 0 0 1 0 1 1 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 3 0 1 0 0 0 0 1 0 3 1 0 3 0 1 3 0 0 0 1 0 0 0
"serious" 0 2 0 3 0 1 1 1 0 2 1 1 0 5 1 0 0 2 1 1 0 0 2 2 0 0 0 1 0 0 0 0 1 1 0 2 2 1 0 1 1 0 2 1 1 3 1 0 1 1 1 0 1 0 1 1 1 4 0 2 2 0 2 0 1 0 1 3
"sincere" 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 1 0 0 1 1 0 0 2 0 0 2 0 1 0 1 0 0 1 0 1 2 0 2 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 3 0
"smooth" 0 3 0 0 0 2 0 2 0 1 1 0 1 1 0 0 0 1 1 4 0 3 1 1 0 0 1 1 0 0 0 0 0 1 0 0 2 2 1 2 2 0 0 1 3 1 0 1 0 0 1 1 0 0 6 0 0 1 0 2 2 0 1 0 0 1 1 1
"sober" 0 1 1 0 0 1 0 1 0 0 1 0 0 2 0 0 0 1 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 2 0 0 1 0 1 0 0 0 1 2 0 0 0 1 0 2 0 0 0 0 0 1 1
"soft" 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 1 0 2 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 1 0 1 1 0 0 0 1 0 0 0
"solemn" 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 1 0 1 1 2 1 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 2 0 2 1 0 0 0 0 0 0 0
"straight" 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 2 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 1 1 1 1 0 0 0 0 1 0
"strong" 2 7 2 1 0 2 0 5 2 4 3 3 1 8 1 2 1 4 1 12 0 2 2 4 1 0 3 2 1 0 1 0 1 0 1 0 5 2 2 6 3 1 0 1 3 8 3 1 1 6 2 2 0 2 0 1 3 5 1 3 8 4 2 2 3 2 5 1
"sudden" 0 4 0 1 1 0 2 1 0 1 0 0 1 3 1 0 0 1 0 2 1 0 0 0 0 2 5 1 1 2 0 0 0 1 0 0 4 3 1 1 1 1 2 2 0 4 1 1 0 0 0 0 1 0 1 0 1 4 2 4 2 0 0 1 2 0 0 1
"sufficient" 0 1 1 2 0 1 1 0 1 3 0 1 0 2 1 1 0 0 0 0 1 3 1 1 1 0 1 1 0 1 0 1 3 0 0 1 2 5 1 0 1 0 2 1 0 2 0 1 0 0 0 0 1 0 3 1 0 5 1 3 3 1 2 0 1 0 1 1
"sure" 1 3 0 9 0 3 1 4 2 4 3 4 1 9 2 3 0 0 1 5 1 2 1 4 0 2 3 5 1 1 1 1 0 3 2 0 3 7 1 3 3 1 2 1 0 6 3 4 1 1 0 1 2 0 5 4 5 0 0 9 7 1 0 2 0 2 5 0
"swift" 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 2 3 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 2 1 0 0 1 2 0 0 0 2 0 1 0
"thankful" 0 1 0 3 0 2 2 2 1 0 1 1 1 6 1 1 1 0 0 1 0 3 0 4 0 1 4 2 2 2 1 0 1 1 0 0 2 6 2 1 1 1 1 0 1 3 1 2 1 2 0 1 2 1 3 4 3 9 1 0 6 1 0 0 2 0 2 1
"true" 1 3 1 6 1 3 2 3 1 2 3 1 1 12 1 3 0 1 0 4 1 1 3 3 0 1 1 3 0 0 0 0 1 2 0 1 2 5 2 3 2 1 2 2 2 1 3 2 1 2 2 1 1 1 8 2 3 7 2 6 0 0 0 0 1 0 4 1
"ugly" 2 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 2 0 0 0 2 1 0 2 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 1 1 0 1 0 0 0 1 1 1 0 0
"unhappy" 0 1 1 1 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 2 2 0 2 0 0 1 0 0 1 0 2 0 1 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 1
"vain" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 1 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 2 0 0 0 1 0 0 0 0 2 0
"violent" 1 2 0 1 0 0 0 1 1 1 1 1 1 2 1 0 0 1 0 2 0 1 0 1 0 0 2 1 0 0 1 0 1 0 0 0 3 1 1 0 2 0 1 0 1 4 1 1 0 0 0 1 0 0 3 2 1 0 2 2 1 1 0 0 0 1 0 0
"weak" 0 1 0 1 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 1 1 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 2 0 0 2 0 0 0 1 0 0 1 0 1 0
"willing" 0 1 1 2 1 0 0 1 1 0 1 1 1 6 0 3 2 2 2 3 1 2 2 3 0 1 0 4 0 0 1 2 0 0 1 0 1 1 0 1 2 1 2 0 1 3 0 1 3 1 1 0 0 1 5 0 1 5 1 2 4 0 0 2 0 1 0 0
"wise" 0 2 0 3 0 1 2 2 0 1 1 0 0 2 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 1 0 0 1 1 0 2 0 2 0 1 0 0 1 1 2 2 0 3 0 1 1 0 0 0 1 1 1 0 0 1 1 0 1 0 0 0 0 0
