"active" "affectionate" "busy" "calm" "certain" "cheerful" "civil" "cold" "constant" "cruel" "delicate" "determined" "domestic" "eager" "earnest" "easy" "fearful" "free" "fresh" "friendly" "gay" "general" "gentle" "grateful" "grave" "handsome" "heavy" "honest" "hopeless" "impatient" "independent" "indifferent" "intimate" "kind" "lively" "melancholy" "natural" "open" "partial" "particular" "pleasant" "positive" "proud" "prudent" "quick" "quiet" "rapid" "reasonable" "second" "selfish" "sensible" "serious" "silent" "simple" "sincere" "steady" "strong" "sudden" "sufficient" "sure" "sweet" "thankful" "true" "uncertain" "unhappy" "vain" "violent" "willing"
"grave" 1 1 0 2 5 2 0 1 0 1 1 3 1 2 3 2 0 0 0 1 3 6 2 0 0 2 0 0 0 2 1 0 1 0 1 1 1 1 1 3 1 1 0 0 0 2 0 0 0 0 2 3 4 2 0 0 2 1 0 6 2 1 1 0 0 0 2 1
"handsome" 2 3 2 1 0 2 3 7 3 0 2 1 2 2 5 3 1 1 0 1 1 7 0 0 2 0 1 0 0 1 3 1 1 1 0 2 3 3 2 9 2 0 0 0 1 2 1 0 0 2 2 0 6 0 1 1 3 1 0 11 2 1 0 0 2 0 2 0
"heavy" 0 3 2 2 1 3 0 3 2 1 0 1 0 1 1 1 0 1 4 1 1 5 1 1 0 1 0 1 2 1 0 2 1 3 0 2 2 5 4 4 3 1 0 0 1 1 2 1 2 2 0 3 5 3 1 2 3 3 0 3 0 0 1 3 1 4 2 1
"honest" 0 2 0 1 2 1 0 1 2 0 0 1 0 0 0 1 0 0 1 0 0 1 2 2 0 0 1 0 0 1 0 1 0 2 0 1 2 2 0 4 1 0 0 0 0 0 1 1 0 1 0 0 3 0 1 0 0 0 2 3 1 0 0 0 3 2 0 0
"hopeless" 0 0 0 1 1 1 0 0 0 1 2 1 1 0 2 1 0 0 2 0 1 3 0 2 0 0 2 0 0 0 0 1 1 0 0 1 0 0 2 1 0 0 0 1 0 1 1 0 1 1 0 1 1 0 2 1 2 1 0 2 0 0 2 1 3 0 0 0
"impatient" 1 2 0 0 3 2 1 0 3 1 0 0 1 0 1 2 0 1 0 1 1 3 1 1 2 1 1 1 0 0 0 1 1 1 0 3 2 1 0 4 0 1 0 0 0 2 1 2 0 0 0 2 3 3 0 0 0 0 0 3 0 0 0 0 1 0 3 0
"independent" 0 2 0 0 2 2 1 3 2 2 1 0 1 0 2 1 1 0 1 0 1 3 0 0 1 3 0 0 0 0 0 0 1 0 1 1 3 3 0 2 0 0 1 1 0 2 0 1 0 1 1 0 3 1 0 1 1 1 0 3 0 0 0 0 0 0 0 0
"indifferent" 2 2 0 1 3 1 0 2 4 0 1 1 0 1 2 3 0 0 1 0 1 5 2 0 0 1 2 1 1 1 0 0 0 1 1 2 2 2 0 5 0 0 0 0 1 0 0 2 1 0 1 2 3 1 0 1 2 2 1 8 1 0 0 0 2 0 1 1
"intimate" 0 1 1 3 4 1 0 1 3 1 2 1 1 0 2 0 0 1 1 1 0 3 1 0 1 1 1 0 1 1 1 0 0 1 1 2 1 1 1 5 1 1 2 1 1 1 1 3 2 1 0 3 1 3 2 0 3 0 0 6 0 1 4 1 0 0 1 0
"kind" 1 2 1 1 3 2 2 2 2 0 0 2 0 0 1 0 0 0 0 2 0 3 0 2 0 1 3 2 0 1 0 1 1 0 0 4 4 3 0 6 2 0 0 1 1 1 1 1 2 0 0 4 9 3 1 0 2 1 1 5 2 0 1 2 2 2 2 1
"lively" 0 3 0 2 2 0 0 2 2 0 1 0 2 2 3 1 1 1 1 0 1 7 1 0 1 0 0 0 0 0 1 1 1 0 0 1 3 3 0 2 0 0 1 2 1 1 1 1 1 0 1 2 3 1 1 0 3 1 0 2 2 0 0 0 1 0 0 0
"melancholy" 2 4 2 1 4 0 1 1 1 0 0 2 1 0 5 2 0 0 3 2 0 7 0 2 1 2 2 1 1 3 1 2 2 4 1 0 6 3 2 7 2 1 1 2 2 1 0 2 2 3 1 3 6 2 1 0 1 2 1 8 1 0 1 2 2 2 2 1
"natural" 2 5 0 2 6 0 2 4 3 3 2 1 2 2 8 4 0 2 1 3 1 10 3 3 1 3 2 2 0 2 3 2 1 4 3 6 0 6 0 7 2 2 1 1 2 3 0 2 5 3 3 5 11 8 3 0 8 1 2 16 3 0 3 2 5 3 3 1
"open" 2 6 4 3 12 2 2 4 5 2 2 6 3 6 3 2 4 3 5 2 0 10 2 3 1 3 5 2 0 1 3 2 1 3 3 3 6 0 2 11 4 1 2 2 2 4 1 2 4 4 1 1 6 5 2 1 3 1 1 10 3 3 4 4 1 2 4 3
"partial" 0 0 2 2 1 1 0 0 0 0 0 0 0 2 2 0 1 1 3 0 1 5 0 0 1 2 4 0 2 0 0 0 1 0 0 2 0 2 0 3 1 0 0 0 0 1 1 0 1 1 0 2 3 0 1 1 1 1 0 2 1 0 3 3 2 1 0 0
"particular" 1 6 3 2 8 4 3 8 8 2 2 3 4 4 5 2 0 2 2 3 2 16 2 4 3 9 4 4 1 4 2 5 5 6 2 7 7 11 3 0 6 1 3 2 2 4 3 6 3 3 3 6 6 6 3 0 4 2 1 21 3 1 8 3 5 2 5 2
"pleasant" 0 1 3 1 4 0 2 2 1 1 0 3 0 2 1 0 0 1 1 2 2 2 0 1 1 2 3 1 0 0 0 0 1 2 0 2 2 4 1 6 0 1 0 0 1 0 1 0 1 0 1 0 2 1 0 0 1 0 0 7 1 1 1 1 1 2 2 1
"positive" 0 0 1 0 1 0 0 1 1 2 0 1 0 2 1 1 1 1 2 0 0 2 1 1 1 0 1 0 0 1 0 0 1 0 0 1 2 1 0 1 1 0 0 0 0 2 1 0 4 1 1 1 1 0 0 1 1 1 1 3 0 0 2 0 1 0 1 0
"proud" 0 0 0 1 1 0 0 0 2 1 0 1 1 1 2 0 1 1 1 0 0 2 0 0 0 0 0 0 0 0 1 0 2 0 1 1 1 2 0 3 0 0 0 1 1 1 1 2 1 1 1 0 3 3 0 0 1 1 0 4 0 0 1 1 0 0 0 0
"prudent" 0 3 0 2 2 0 0 1 3 0 0 2 2 1 0 1 1 0 1 1 0 2 0 0 0 0 0 0 1 0 1 0 1 1 2 2 1 2 0 2 0 0 1 0 0 1 0 1 0 0 2 0 2 1 1 0 2 2 1 3 1 0 2 0 0 0 0 0
"quick" 2 1 0 1 2 1 1 3 3 0 1 0 1 0 1 0 0 0 0 1 0 4 1 1 0 1 1 0 0 0 0 1 1 1 1 2 2 2 0 2 1 0 1 0 0 0 0 1 1 1 1 1 3 1 2 0 0 1 1 5 2 0 2 1 1 0 3 0
"quiet" 0 3 1 2 3 3 2 2 1 2 1 0 1 1 1 0 2 0 1 1 0 7 2 0 2 2 1 0 1 2 2 0 1 1 1 1 3 4 1 4 0 2 1 1 0 0 1 1 4 0 0 2 7 1 1 1 1 1 0 5 2 0 3 0 1 0 3 1
"rapid" 0 0 1 2 0 1 0 2 2 0 0 1 1 1 2 1 0 2 2 0 0 3 0 1 0 1 2 1 1 1 0 0 1 1 1 0 0 1 1 3 1 1 1 0 0 1 0 2 2 0 0 0 1 1 1 1 2 1 0 1 0 0 0 0 2 0 0 0
"reasonable" 2 2 0 4 1 1 0 2 2 1 1 1 1 1 2 5 2 1 1 2 0 3 0 1 0 0 1 1 0 2 1 2 3 1 1 2 2 2 0 6 0 0 2 1 1 1 2 0 2 1 0 2 3 3 2 1 3 2 1 3 0 0 2 0 2 0 1 1
"second" 2 1 2 1 4 2 1 1 3 0 1 2 1 1 2 2 0 2 4 1 0 4 1 2 0 0 2 0 1 0 0 1 2 2 1 2 5 4 1 3 1 4 1 0 1 4 2 2 0 0 2 2 5 4 3 1 4 1 0 5 2 1 3 0 3 0 2 1
"selfish" 0 1 1 0 2 2 0 2 1 1 1 2 1 5 2 3 2 1 2 0 0 4 1 0 0 2 2 1 1 0 1 0 1 0 0 3 3 4 1 3 0 1 1 0 1 0 0 1 0 0 0 2 3 1 0 2 2 2 1 4 0 1 2 2 0 1 1 3
"sensible" 1 1 0 0 1 1 1 2 3 1 0 2 1 1 4 1 0 0 1 0 2 4 2 0 2 2 0 0 0 0 1 1 0 0 1 1 3 1 0 3 1 1 1 2 1 0 0 0 2 0 0 2 4 1 0 0 3 2 0 8 1 0 2 0 1 0 1 0
"serious" 2 3 2 1 3 5 2 3 4 1 0 1 0 3 6 3 0 0 1 1 2 8 1 1 3 0 3 0 1 2 0 2 3 4 2 3 5 1 2 6 0 1 0 0 1 2 0 2 2 2 2 0 8 2 1 0 4 2 0 7 0 1 3 2 4 1 3 3
"silent" 2 5 2 4 6 6 3 4 5 3 3 5 2 5 6 4 3 2 4 2 4 12 3 4 4 6 5 3 1 3 3 3 1 9 3 6 11 6 3 6 2 1 3 2 3 7 1 3 5 3 4 8 0 4 4 1 6 4 3 15 4 0 2 1 9 3 3 3
"simple" 2 1 0 2 8 1 1 2 4 1 0 1 2 2 3 1 0 2 1 4 1 3 1 3 2 0 3 0 0 3 1 1 3 3 1 2 8 5 0 6 1 0 3 1 1 1 1 3 4 1 1 2 4 0 1 0 4 1 1 6 1 1 3 2 0 1 4 0
"sincere" 2 2 0 2 2 2 0 1 3 1 2 2 2 0 3 2 0 2 2 0 0 2 0 3 0 1 1 1 2 0 0 0 2 1 1 1 3 2 1 3 0 0 0 1 2 1 1 2 3 0 0 1 4 1 0 1 3 1 1 3 1 1 1 0 4 0 1 0
"steady" 0 1 0 2 1 2 0 1 1 0 0 0 0 1 1 2 1 0 2 0 0 1 0 0 0 1 2 0 1 0 1 1 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 1 1 2 0 0 1 0 1 0 3 3 1 1 0 0 0 0 1 0 1 0
"strong" 0 5 0 6 4 2 2 5 5 0 3 5 2 5 6 4 1 1 2 1 1 8 2 3 2 3 3 0 2 0 1 2 3 2 3 1 8 3 1 4 1 1 1 2 0 1 2 3 4 2 3 4 6 4 3 3 0 2 0 10 0 1 0 1 5 1 1 1
"sudden" 0 3 0 3 3 2 0 1 1 1 0 1 0 1 2 2 1 0 3 1 0 4 0 0 1 1 3 0 1 0 1 2 0 1 1 2 1 1 1 2 0 1 1 2 1 1 1 2 1 2 2 2 4 1 1 3 2 0 2 6 1 0 1 0 1 0 2 0
"sufficient" 0 1 0 1 3 1 0 2 0 0 0 0 0 3 1 1 1 0 1 1 0 1 0 3 0 0 0 2 0 0 0 1 0 1 0 1 2 1 0 1 0 1 0 1 1 0 0 1 0 1 0 0 3 1 1 1 0 2 0 4 1 0 1 1 3 0 1 0
"sure" 4 9 3 4 15 4 8 5 12 2 5 9 2 6 10 10 2 3 6 3 5 18 5 7 6 11 3 3 2 3 3 8 6 5 2 8 16 10 2 21 7 3 4 3 5 5 1 3 5 4 8 7 15 6 3 1 10 6 4 0 6 4 8 1 7 2 6 3
"sweet" 0 2 0 1 3 0 2 0 1 0 1 1 1 1 1 0 1 0 0 1 1 5 2 1 2 2 0 1 0 0 0 1 0 2 2 1 3 3 1 3 1 0 0 1 2 2 0 0 2 0 1 0 4 1 1 0 0 1 1 6 0 0 1 1 1 0 1 0
"thankful" 1 0 1 1 1 1 1 0 1 0 1 4 0 1 0 2 0 1 1 1 0 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 3 0 1 1 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 1 0 0 4 0 0 0 0 0 0 1 1
"true" 1 0 1 2 5 3 1 2 3 1 0 0 2 3 2 1 0 1 2 1 1 6 1 0 1 0 1 0 2 0 0 0 4 1 0 1 3 4 3 8 1 2 1 2 2 3 0 2 3 2 2 3 2 3 1 0 0 1 1 8 1 0 0 2 2 0 1 1
"uncertain" 1 0 1 2 1 0 1 3 1 1 0 0 0 3 1 0 1 2 3 1 0 5 0 0 0 0 3 0 1 0 0 0 1 2 0 2 2 4 3 3 1 0 1 0 1 0 0 0 0 2 0 2 1 2 0 0 1 0 1 1 1 0 2 0 1 1 2 0
"unhappy" 1 3 0 3 3 1 1 2 3 1 1 2 0 2 5 3 0 2 3 0 2 7 1 4 0 2 1 3 3 1 0 2 0 2 1 2 5 1 2 5 1 1 0 0 1 1 2 2 3 0 1 4 9 0 4 1 5 1 3 7 1 0 2 1 0 1 0 1
"vain" 0 2 1 1 2 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 4 2 0 0 0 0 0 2 0 2 3 2 1 2 2 0 0 0 0 0 0 0 0 1 0 1 3 1 0 0 1 0 0 2 0 0 0 1 1 0 0 1
"violent" 1 2 0 1 2 3 3 4 2 0 0 1 1 2 2 2 1 1 0 2 0 3 1 0 2 2 2 0 0 3 0 1 1 2 0 2 3 4 0 5 2 1 0 0 3 3 0 1 2 1 1 3 3 4 1 1 1 2 1 6 1 1 1 2 0 0 0 0
"willing" 1 0 2 0 1 3 0 0 1 1 1 2 0 2 1 2 1 0 0 0 0 2 0 0 1 0 1 0 0 0 0 1 0 1 0 1 1 3 0 2 1 0 0 0 0 1 0 1 1 3 0 3 3 0 0 0 1 0 0 3 0 1 1 0 1 1 0 0
