"affectionate" "awkward" "brisk" "busy" "capricious" "certain" "cheerful" "clean" "close" "cold" "confident" "conscientious" "constant" "conversational" "cool" "courageous" "cruel" "curious" "delicate" "earnest" "easy" "exact" "expressive" "familiar" "feminine" "fierce" "firm" "free" "fresh" "friendly" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "heavy" "honest" "hopeless" "impatient" "just" "kind" "mild" "moderate" "modest" "musical" "natural" "neat" "noisy" "open" "orderly" "original" "particular" "passionate" "pleasant" "polite" "precise" "proud" "quick" "quiet" "rapid" "reasonable" "reflective" "respectful" "responsible" "restless" "romantic" "rough" "rusty" "scholastic" "scientific" "second" "sensible" "serene" "serious" "shy" "silent" "slow" "social" "soft" "solemn" "sorrowful" "stately" "steady" "stiff" "strong" "sudden" "sufficient" "sure" "sweet" "swift" "sympathetic" "true" "ugly" "uncertain" "unhappy" "violent" "weak" "wiser" "wise" "willing"
"confident" 0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 2 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 1 0 0 2 0 0 1 1 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 3 1 0 0 0 0 0 0 0 1 0 0 1
"conscientious" 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 1 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 2 0 0 0 2 1 0 0 0 0 0 2 0
"constant" 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"conversational" 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 2 0 2 1 3 0 1 0 1 0 0 0 0 0 0 0 0
"cool" 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 3 0 1 1 0 0 0 1 0 0 2 1 0 0 1 0 0 1 0 0 0 2 1 1 0 0 0 0 1 2 0 2 1 0 3 0 0 0 0 0 0 0 2 0 2 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 2 1 2 0 0 0 0 0 0 0 0 0 0 1 1
"courageous" 1 0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0
"cruel" 0 1 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0
"curious" 2 0 0 1 1 2 0 0 2 1 1 0 0 0 1 1 0 0 0 2 1 0 2 0 1 0 0 1 1 0 2 1 0 1 0 0 1 0 1 1 0 3 0 0 0 1 2 1 0 1 1 1 0 0 5 0 0 1 1 1 1 0 1 1 4 1 0 0 0 1 1 1 0 0 0 0 1 0 0 1 1 1 2 0 0 1 0 1 1 1 1 1 1 3 1 0 1 5 0 1 0 1 0 1 0 0
"delicate" 0 0 1 1 0 1 0 0 0 3 0 0 2 0 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 1 2 2 0 0 2 1 0 1 0 0 0 0 0 0 0 1 2 1 1 0 0 0 1 1 1 0 1 0 1 0 1 0 1 1 1 0 0 0 0 2 0 0 1 0 1 0 0 3 1 1 0 0 0 0 0 1 0 1 2 0 3 1 0 3 1 0 0 1 0 2 1 1 0 1 0 0
"earnest" 3 0 0 0 1 3 1 0 0 1 0 1 1 0 0 1 0 2 0 0 2 0 1 1 0 0 0 1 3 0 2 1 1 1 0 0 0 0 0 3 0 2 1 0 0 1 1 0 0 0 1 3 1 0 2 1 0 1 0 0 0 0 0 0 3 2 1 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 1 0 0 1 1 2 1 0 3 1 0 0 2 0 0 1 0 0 1 0 0
"easy" 2 1 0 1 2 4 1 1 3 1 1 1 0 1 3 1 1 1 2 2 0 0 1 0 0 1 1 1 1 1 4 5 0 1 3 0 1 1 0 1 1 4 0 0 1 1 1 1 2 1 2 3 1 1 6 2 1 0 2 0 1 1 2 3 4 1 1 0 1 1 0 0 1 0 0 0 0 2 1 1 0 1 2 0 0 1 0 0 2 0 3 0 1 7 2 1 0 4 2 2 2 0 1 1 1 2
"exact" 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0
"expressive" 2 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 1 2 0 2 0 0 3 0 0 1 1 0 1 0 2 0 1 0 0 1 1 1 0 1 0 0 1 0 2 1 0 1 1 1 1 0 0 2 0 0 0 1 0 0 0 4 1 0 0 2 0 0 1 1 1 1 0 2
"familiar" 0 0 0 0 0 2 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0
"feminine" 0 0 2 1 0 0 0 0 0 1 2 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"fierce" 1 1 1 1 0 2 0 0 1 2 1 1 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 0 2 1 0 1 0 1 0 0 1 0 0 1 0 2 0 1 2 0 0 0 0 0 1 1 0 1 2 1 0 0 0 0 0 0 2 1 1 0 0 0 1 0 1 1 2 1 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 1 2 0 0 2 0 0 2 0 1 0 1 0
"firm" 1 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 1 1 0 0 0 1 0 0 0 3 0 2 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 2 1 0 0 0 1 0 2 0 1 1 1 2 1 1 0 0 0 1 0 0 0 1 1 0
"free" 1 1 0 0 0 1 0 0 1 1 1 0 1 1 1 0 0 1 0 1 1 0 0 0 0 0 1 0 1 3 3 0 0 0 2 1 2 3 0 1 0 1 0 1 0 0 0 0 1 0 0 1 1 0 3 0 0 1 0 1 0 0 1 1 1 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 2 1 1 1 0 0 1 0 0 1 2 0 2 0 2 0 2 1 0 0 0 0 0 0 0
"fresh" 1 0 0 0 1 3 3 1 1 1 0 0 1 0 0 1 1 1 0 3 1 1 0 1 0 2 1 1 0 1 1 1 1 1 0 0 0 0 0 2 0 3 1 0 0 0 0 0 0 0 1 1 1 0 2 0 0 1 0 1 0 1 2 1 3 1 1 1 0 0 1 1 2 0 0 1 2 0 1 1 1 0 0 0 1 1 3 0 3 0 2 1 1 2 1 1 1 3 0 0 0 0 1 0 0 0
"friendly" 2 0 1 1 0 3 1 0 0 3 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 1 3 1 0 1 0 0 1 0 1 0 1 0 3 0 4 0 0 0 0 1 0 1 1 0 2 0 0 3 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 2 1 0 0 1 0 1 0 0 3 1 0 3 0 1 1 4 2 1 0 0 0 0 0 0
"general" 2 1 1 1 0 5 0 1 1 2 1 1 0 1 2 0 0 2 2 2 4 1 2 0 0 0 1 3 1 1 0 0 1 1 1 2 0 1 0 2 0 0 1 0 0 0 1 0 1 2 0 3 2 1 4 1 1 2 0 1 1 2 2 1 1 0 2 0 1 2 0 1 0 0 1 0 2 2 1 0 0 4 2 0 1 1 0 1 1 2 2 0 1 3 2 0 0 1 1 0 1 0 0 1 1 1
"generous" 2 0 0 0 1 1 0 0 0 1 0 0 0 0 1 1 0 1 2 1 5 0 0 0 0 1 1 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 1 0 1 2 0 1 1 0 1 1 1 0 1 0 1 1 4 0 0 0 0 1 1 0 1 0 0 0 0 2 0 2 0 0 1 0 0 1 0 0 2 0 2 0 0 5 1 0 0 2 0 1 2 0 0 1 1 0
"genteel" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0
"gentle" 2 0 0 0 1 2 0 0 0 0 0 1 0 0 0 1 0 1 0 1 1 2 0 0 0 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 1 1 0 0 0 1 0 0 1 0 3 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 2 0 0 0 1 0 1 0 0 2 0 1 0 1 0 0 0 0 0 0 1 0
"gloomy" 0 0 0 1 0 3 0 0 0 0 0 1 0 0 1 0 0 0 2 0 3 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 2 2 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 3 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 4 1 1 0 1 0 1 0 1 1 0 1 0 0 1 0
"graceful" 2 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 2 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 2 0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0
"gracious" 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 2 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 3 0 0 1 0 0 0 0 1 1 1 0 0 1 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 2 1 2 1 1 0 1 0 0 1 0 1 0 0 0
"grateful" 1 0 0 0 0 3 1 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 3 0 1 1 0 0 0 2 2 1 0 1 0 0 1 0 1 0 0 1 0 0 0 1 0 1 0 3 0 1 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 3 0 3 1 1 0 2 0 0 1 1 1 2 1 1 0 1 0 0 0 0 0 0 0 0
"grave" 1 0 0 1 0 2 0 2 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 1 0 1 0 1 0 0 2 1 1 3 0 0 2 3 0 0 0 0 0 0 0 0
"handsome" 2 0 0 1 0 1 0 1 0 2 0 1 1 1 0 0 0 1 0 3 1 0 1 0 0 1 0 1 2 3 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 1 1 1 1 0 2 0 1 1 0 0 0 0 1 2 1 1 0 0 0 1 0 0 1 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 1 2 0 0 3 0 0 0 3 0 0 0 0 0 1 1 0
"hasty" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0
"heavy" 1 0 1 0 0 5 2 1 3 3 1 0 0 0 2 0 0 3 0 2 4 0 0 2 0 2 0 1 3 4 0 1 0 0 0 0 1 1 0 2 1 0 1 0 0 1 1 1 0 1 0 3 0 0 5 1 0 1 0 0 0 0 1 1 3 2 0 1 1 1 2 0 2 1 0 0 1 0 0 0 1 1 3 0 0 1 0 0 0 0 3 3 0 4 0 1 1 7 1 1 1 1 1 0 0 1
"honest" 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 1 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0
"hopeless" 0 0 1 1 1 0 0 0 0 2 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0
"impatient" 1 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 2 1 0 0 2 0 0 2 0 1 0 0 0
"just" 0 0 0 0 0 3 1 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 3 0 0 1 0 0 0 0 1
"kind" 1 0 0 1 0 1 1 0 1 1 0 0 1 0 0 0 0 2 2 1 1 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0 0 1 1 3 2 0 1 0 0 0 1 0 1 0 0 0 2 0 0
"mild" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 2 1 0 0 1 1 0 0 1 0 2 1 0 0 0 0 1 0 1 0 0 1 1 1 0 0 0 0 1 0 1 0 0 0 1 0 2 0 0 1 0 1 0 0 0 2 0 1 0 1 0 0
"moderate" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 2 0 1 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 3 0 0 0 1 0 0 0 2 0 2 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 2 0 0 0 0 1 1 0 0 0 1 0 1
"modest" 0 0 1 1 0 2 0 1 0 2 0 0 0 0 2 0 0 1 0 0 1 0 2 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 3 0 0 2 0 0 1 0 0 1 1 4 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 3 0 0 1 0 0 0 1 1
"musical" 1 0 1 1 1 0 1 0 0 2 1 0 0 0 0 2 0 1 0 1 2 0 0 0 1 1 0 0 1 0 0 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 1 1 1 0 0 1 0 0 0 1 1 2 0 0 1 0 0 0 0 0 0 1 0
"natural" 2 1 0 1 1 3 1 1 0 1 0 1 0 0 2 1 0 1 0 3 3 0 2 1 0 1 2 1 1 2 3 2 1 2 0 1 0 0 1 1 0 3 0 0 0 1 0 0 1 3 1 0 0 0 2 1 0 1 0 0 1 0 5 0 5 1 1 1 2 0 1 0 0 0 0 0 1 0 0 2 0 3 0 0 0 1 0 0 2 0 0 2 1 7 1 0 0 3 0 0 1 0 0 0 3 1
"neat" 1 0 0 0 0 1 0 2 0 1 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 1 1 0 2 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 2 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"noisy" 0 0 1 2 0 1 0 0 0 2 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 1 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 1 0 0 0 1 1 1 0 1 1 1 0 0 0 0 1 0 0 0 1 0 0
"open" 3 1 0 2 1 8 0 1 5 7 1 1 0 0 3 0 0 5 1 2 6 1 3 2 1 2 1 3 2 3 4 1 1 1 3 1 3 3 1 2 1 5 4 1 1 1 2 2 3 2 1 2 1 1 0 0 1 1 3 1 2 0 5 1 5 1 2 0 2 0 2 1 3 0 1 0 6 1 1 0 2 5 3 2 1 1 0 3 3 0 6 3 3 9 3 1 0 5 3 2 1 1 1 2 0 1
"orderly" 0 0 1 1 0 2 1 0 0 1 1 1 0 0 0 1 0 0 0 1 2 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 1 1 1 0 0 1 0 1 0 0 0 1 0
"original" 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 2 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0
"particular" 2 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 1 1 0 2 1 1 0 1 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 1 1 1 0 2 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0
"passionate" 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 3 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 3 0 1 0 0 0 0 0 1 1 0 2 0 2 1 0 2 1 0 0 3 1 1 0 2 0 1 0 1
