"farmer::work";"woodman::work"
"charles_darnay::love";"charles_darnay::winter"
"lucie::found";"lucie::window"
"lucie::found";"pross::found"
"lucie::found";"pross::window"
"lucie::window";"pross::found"
"lucie::window";"pross::window"
"pross::found";"pross::window"
"lucie::little";"pross::little"
"charles_darnay::love";"manette::love"
"manette::daughter";"manette::love"
"lucie::chin";"lucie::hand"
"darnay::breathe";"darnay::time"
"lucie::hand";"lucie::touch"
"charles_darnay::hand";"charles_darnay::hands"
"charles_darnay::room";"lucie::room"
"charles_darnay::room";"pross::room"
"lucie::room";"pross::room"
"charles_darnay::back";"lucie::back"
"charles_darnay::back";"pross::back"
"lucie::back";"pross::back"
"charles_darnay::time";"lucie::time"
"charles_darnay::time";"pross::time"
"lucie::time";"pross::time"
"charles_darnay::work";"lucie::work"
"charles_darnay::work";"pross::work"
"lucie::work";"pross::work"
"stryver::busy";"stryver::hope"
"stryver::can";"syd::can"
"manette::can";"manette::station"
"manette::present";"ranelagh::present"
"manette::present";"stryver::present"
"ranelagh::present";"stryver::present"
"manette::large";"manette::little"
"manette::large";"stryver::large"
"manette::large";"stryver::little"
"manette::little";"stryver::large"
"manette::little";"stryver::little"
"stryver::large";"stryver::little"
"lorry::hand";"stryver::hand"
"lorry::end";"lorry::little"
"lorry::present";"stryver::present"
"lorry::hope";"lorry::prevent"
"lorry::hope";"lorry::temper"
"lorry::hope";"stryver::hope"
"lorry::hope";"stryver::prevent"
"lorry::hope";"stryver::temper"
"lorry::hope";"tellson::hope"
"lorry::hope";"tellson::prevent"
"lorry::hope";"tellson::temper"
"lorry::prevent";"lorry::temper"
"lorry::prevent";"stryver::hope"
"lorry::prevent";"stryver::prevent"
"lorry::prevent";"stryver::temper"
"lorry::prevent";"tellson::hope"
"lorry::prevent";"tellson::prevent"
"lorry::prevent";"tellson::temper"
"lorry::temper";"stryver::hope"
"lorry::temper";"stryver::prevent"
"lorry::temper";"stryver::temper"
"lorry::temper";"tellson::hope"
"lorry::temper";"tellson::prevent"
"lorry::temper";"tellson::temper"
"stryver::hope";"stryver::prevent"
"stryver::hope";"stryver::temper"
"stryver::hope";"tellson::hope"
"stryver::hope";"tellson::prevent"
"stryver::hope";"tellson::temper"
"stryver::prevent";"stryver::temper"
"stryver::prevent";"tellson::hope"
"stryver::prevent";"tellson::prevent"
"stryver::prevent";"tellson::temper"
"stryver::temper";"tellson::hope"
"stryver::temper";"tellson::prevent"
"stryver::temper";"tellson::temper"
"tellson::hope";"tellson::prevent"
"tellson::hope";"tellson::temper"
"tellson::prevent";"tellson::temper"
"stryver::end";"stryver::little"
"stryver::end";"stryver::teeth"
"stryver::little";"stryver::teeth"
"manette::painful";"stryver::painful"
"lorry::full";"lorry::round"
"manette::talk";"manette::talked"
"manette::first";"manette::sense"
"manette::first";"manette::time"
"manette::first";"manette::wine"
"manette::sense";"manette::time"
"manette::sense";"manette::wine"
"manette::time";"manette::wine"
"lucie::found";"lucie::work"
"lucie::little";"lucie::near"
"lucie_manette::back";"lucie_manette::sad"
"lucie_manette::back";"manette::back"
"lucie_manette::back";"manette::sad"
"lucie_manette::sad";"manette::back"
"lucie_manette::sad";"manette::sad"
"manette::back";"manette::sad"
"manette::little";"manette::love"
"cruncher::first";"tellson::first"
"cruncher::person";"roger_cly::person"
"jerry_cruncher::first";"tellson::first"
"cruncher::large";"jerry::large"
"young_jerry::first";"young_jerry::mother"
"young_jerry::gentle";"young_jerry::two"
"cruncher::boy";"jerry::boy"
"monsieur_defarge::dusty";"monsieur_defarge::two"
"jacques::wine";"madame_defarge::wine"
"jacques::near";"madame_defarge::near"
"madame_defarge::#-present";"madame_defarge::work"
"marquis::carriage";"marquis::work"
"defarge::chin";"defarge::hand"
"defarge::chin";"defarge::window"
"defarge::chin";"jacques_three::chin"
"defarge::chin";"jacques_three::hand"
"defarge::chin";"jacques_three::window"
"defarge::hand";"defarge::window"
"defarge::hand";"jacques_three::chin"
"defarge::hand";"jacques_three::hand"
"defarge::hand";"jacques_three::window"
"defarge::window";"jacques_three::chin"
"defarge::window";"jacques_three::hand"
"defarge::window";"jacques_three::window"
"jacques_three::chin";"jacques_three::hand"
"jacques_three::chin";"jacques_three::window"
"jacques_three::hand";"jacques_three::window"
"defarge::iron";"jacques::iron"
"louis_fifteen::actually";"louis_fifteen::attempt"
"jacques_two_,_of_defarge::can";"jacques_two_,_of_defarge::safe"
"defarge::determined";"defarge::shoes"
"defarge::near";"defarge::work"
"antoine::point";"monsieur_the_marquis::point"
"defarge::condition";"defarge::pipe"
"monsieur_defarge::sense";"monsieur_defarge::wine"
"antoine::anger";"gaspard::anger"
"manette::daughter";"manette::known"
"defarge::little";"defarge::work"
"manette::end";"manette::married"
"charles_darnay::name";"marquis::name"
"antoine::hand";"antoine::work"
"antoine::hand";"madame_defarge::hand"
"antoine::hand";"madame_defarge::work"
"antoine::work";"madame_defarge::hand"
"antoine::work";"madame_defarge::work"
"madame_defarge::hand";"madame_defarge::work"
"doctor_of_beauvais::back";"doctor_of_beauvais::strange"
"doctor_of_beauvais::back";"doctor_of_beauvais::time"
"doctor_of_beauvais::strange";"doctor_of_beauvais::time"
"charles_darnay::ready";"charles_darnay::room"
"lorry::ready";"pross::ready"
"lorry::ready";"solomon::ready"
"pross::ready";"solomon::ready"
"lorry::dress";"lorry::point"
"lorry::dress";"lorry::round"
"lorry::dress";"lucie::dress"
"lorry::dress";"lucie::point"
"lorry::dress";"lucie::round"
"lorry::point";"lorry::round"
"lorry::point";"lucie::dress"
"lorry::point";"lucie::point"
"lorry::point";"lucie::round"
"lorry::round";"lucie::dress"
"lorry::round";"lucie::point"
"lorry::round";"lucie::round"
"lucie::dress";"lucie::point"
"lucie::dress";"lucie::round"
"lucie::point";"lucie::round"
"lorry::time";"pross::time"
"lucie::room";"lucie::round"
"lucie::room";"lucie::two"
"lucie::room";"pross::round"
"lucie::room";"pross::two"
"lucie::round";"lucie::two"
"lucie::round";"pross::room"
"lucie::round";"pross::round"
"lucie::round";"pross::two"
"lucie::two";"pross::room"
"lucie::two";"pross::round"
"lucie::two";"pross::two"
"pross::room";"pross::round"
"pross::room";"pross::two"
"pross::round";"pross::two"
"lorry::curious";"pross::curious"
"lorry::two";"tellson::two"
"lorry::back";"tellson::back"
"lorry::busy";"lorry::work"
"manette::back";"manette::open"
"manette::back";"manette::shirt"
"manette::back";"manette::work"
"manette::open";"manette::shirt"
"manette::open";"manette::work"
"manette::shirt";"manette::work"
"lorry::hand";"lorry::work"
"tellson::attempt";"tellson::first"
"lorry::first";"manette::first"
"lorry::#-reply";"lorry::thought"
"lorry::present";"lorry::work"
"lorry::present";"lucie::present"
"lorry::present";"lucie::work"
"lorry::present";"pross::present"
"lorry::present";"pross::work"
"lorry::work";"lucie::present"
"lorry::work";"lucie::work"
"lorry::work";"pross::present"
"lorry::work";"pross::work"
"lucie::present";"lucie::work"
"lucie::present";"pross::present"
"lucie::present";"pross::work"
"lucie::work";"pross::present"
"pross::present";"pross::work"
"lorry::hope";"lorry::time"
"lucie::first";"lucie::hand"
"lucie::first";"lucie::little"
"lucie::first";"lucie::observe"
"lucie::first";"lucie::secret"
"lucie::first";"lucie::work"
"lucie::hand";"lucie::little"
"lucie::hand";"lucie::observe"
"lucie::hand";"lucie::secret"
"lucie::hand";"lucie::work"
"lucie::little";"lucie::observe"
"lucie::little";"lucie::secret"
"lucie::little";"lucie::work"
"lucie::observe";"lucie::secret"
"lucie::observe";"lucie::work"
"lucie::secret";"lucie::work"
"lorry::room";"lorry::window"
"lorry::actually";"lorry::sign"
"pross::time";"pross::unusual"
"lorry::leg";"lorry::time"
"lorry::month";"lorry::week"
"lorry::work";"manette::work"
"lorry::mere";"manette::mere"
"blacksmith::work";"lorry::work"
"blacksmith::little";"blacksmith::time"
"blacksmith::little";"blacksmith::work"
"blacksmith::little";"lorry::little"
"blacksmith::little";"lorry::time"
"blacksmith::little";"lorry::work"
"blacksmith::time";"blacksmith::work"
"blacksmith::time";"lorry::little"
"blacksmith::time";"lorry::time"
"blacksmith::time";"lorry::work"
"blacksmith::work";"lorry::little"
"blacksmith::work";"lorry::time"
"lorry::little";"lorry::time"
"lorry::little";"lorry::work"
"lorry::time";"lorry::work"
"blacksmith::found";"lorry::found"
"blacksmith::hand";"lorry::hand"
"manette::relieved";"manette::thought"
"manette::fancy";"manette::idea"
"manette::fancy";"manette::sense"
"manette::idea";"manette::sense"
"lorry::account";"lucie::account"
"lorry::room";"pross::room"
"lorry::destruction";"lorry::wicked"
"lorry::destruction";"pross::destruction"
"lorry::destruction";"pross::wicked"
"lorry::wicked";"pross::destruction"
"lorry::wicked";"pross::wicked"
"pross::destruction";"pross::wicked"
"carton::important";"carton::mere"
"lucie::earth";"lucie::love"
"stryver::account";"stryver::polite"
"darnay::wine";"stryver::wine"
"darnay::lie";"darnay::wine"
"darnay::lie";"stryver::lie"
"darnay::lie";"stryver::wine"
"darnay::wine";"stryver::lie"
"stryver::lie";"stryver::wine"
"lucie::birthday";"lucie::little"
"lorry::window";"lucie::window"
"antoine::clean";"antoine::little"
"antoine::clean";"antoine::red"
"antoine::clean";"antoine::window"
"antoine::little";"antoine::red"
"antoine::little";"antoine::window"
"antoine::red";"antoine::window"
"jacques_five-and-twenty::name";"jacques_one::name"
"jacques_five-and-twenty::name";"jacques_two::name"
"jacques_one::name";"jacques_two::name"
"jacques_five-and-twenty::hot";"jacques_one::hot"
"jacques_five-and-twenty::hot";"jacques_two::hot"
"jacques_one::hot";"jacques_two::hot"
"defarge::dry";"defarge::hand"
"defarge::dry";"defarge::steep"
"defarge::dry";"jacques_three::dry"
"defarge::dry";"jacques_three::hand"
"defarge::dry";"jacques_three::steep"
"defarge::hand";"defarge::steep"
"defarge::hand";"jacques_three::dry"
"defarge::hand";"jacques_three::steep"
"defarge::steep";"jacques_three::dry"
"defarge::steep";"jacques_three::hand"
"defarge::steep";"jacques_three::steep"
"jacques_three::dry";"jacques_three::hand"
"jacques_three::dry";"jacques_three::steep"
"jacques_three::hand";"jacques_three::steep"
"alexandre_manette::deeply";"alexandre_manette::letters"
"alexandre_manette::deeply";"defarge::deeply"
"alexandre_manette::deeply";"defarge::letters"
"alexandre_manette::letters";"defarge::deeply"
"alexandre_manette::letters";"defarge::letters"
"defarge::deeply";"defarge::letters"
"defarge::animated";"defarge::near"
"defarge::animated";"defarge::neck"
