"maria_ward::large";"thomas_bertram::large"
"grant::point";"norris::point"
"julia::#-object";"julia::love"
"julia::#-object";"maria::#-object"
"julia::#-object";"maria::love"
"julia::love";"maria::#-object"
"julia::love";"maria::love"
"maria::#-object";"maria::love"
"mansfield::cold";"william::cold"
"mansfield::fear";"mansfield::hope"
"mansfield::fear";"mansfield::sad"
"mansfield::fear";"william::fear"
"mansfield::fear";"william::hope"
"mansfield::fear";"william::sad"
"mansfield::hope";"mansfield::sad"
"mansfield::hope";"william::fear"
"mansfield::hope";"william::hope"
"mansfield::hope";"william::sad"
"mansfield::sad";"william::fear"
"mansfield::sad";"william::hope"
"mansfield::sad";"william::sad"
"william::fear";"william::hope"
"william::fear";"william::sad"
"william::hope";"william::sad"
"mansfield::red";"william::red"
"edmund::first";"edmund::person"
"edmund::first";"edmund::safe"
"edmund::first";"norris::first"
"edmund::first";"norris::person"
"edmund::first";"norris::safe"
"edmund::first";"thomas::first"
"edmund::first";"thomas::person"
"edmund::first";"thomas::safe"
"edmund::person";"edmund::safe"
"edmund::person";"norris::first"
"edmund::person";"norris::person"
"edmund::person";"norris::safe"
"edmund::person";"thomas::first"
"edmund::person";"thomas::person"
"edmund::person";"thomas::safe"
"edmund::safe";"norris::first"
"edmund::safe";"norris::person"
"edmund::safe";"norris::safe"
"edmund::safe";"thomas::first"
"edmund::safe";"thomas::person"
"edmund::safe";"thomas::safe"
"norris::first";"norris::person"
"norris::first";"norris::safe"
"norris::first";"thomas::person"
"norris::first";"thomas::safe"
"norris::person";"norris::safe"
"norris::person";"thomas::first"
"norris::person";"thomas::person"
"norris::person";"thomas::safe"
"norris::safe";"thomas::first"
"norris::safe";"thomas::person"
"norris::safe";"thomas::safe"
"thomas::first";"thomas::person"
"thomas::first";"thomas::safe"
"thomas::person";"thomas::safe"
"lady_bertram::charge";"lady_bertram::trouble"
"fanny::rest";"lady_bertram::rest"
"fanny::rest";"mansfield::rest"
"fanny::rest";"miss_lee::rest"
"lady_bertram::rest";"mansfield::rest"
"lady_bertram::rest";"miss_lee::rest"
"mansfield::rest";"miss_lee::rest"
"fanny::known";"lady_bertram::known"
"fanny::known";"mansfield::known"
"fanny::known";"miss_lee::known"
"lady_bertram::known";"mansfield::known"
"lady_bertram::known";"miss_lee::known"
"mansfield::known";"miss_lee::known"
"grant::found";"grant::steady"
"grant::found";"norris::found"
"grant::found";"norris::steady"
"grant::steady";"norris::found"
"grant::steady";"norris::steady"
"norris::found";"norris::steady"
"grant::horse";"norris::horse"
"lady_bertram::waiting";"thomas::waiting"
"norris::account";"norris::little"
"norris::account";"tom::account"
"norris::account";"tom::little"
"norris::little";"tom::account"
"norris::little";"tom::little"
"tom::account";"tom::little"
"maria::thought";"thomas::thought"
"bertram::sense";"rushworth::sense"
"lady_bertram::match";"lady_bertram::mother"
"lady_bertram::match";"lady_bertram::present"
"lady_bertram::match";"norris::match"
"lady_bertram::match";"norris::mother"
"lady_bertram::match";"norris::present"
"lady_bertram::mother";"lady_bertram::present"
"lady_bertram::mother";"norris::match"
"lady_bertram::mother";"norris::mother"
"lady_bertram::mother";"norris::present"
"lady_bertram::present";"norris::match"
"lady_bertram::present";"norris::mother"
"lady_bertram::present";"norris::present"
"norris::match";"norris::mother"
"norris::match";"norris::present"
"norris::mother";"norris::present"
"norris::#-attempt";"norris::present"
"norris::#-attempt";"norris::two"
"norris::#-attempt";"thomas::#-attempt"
"norris::#-attempt";"thomas::present"
"norris::#-attempt";"thomas::two"
"norris::present";"norris::two"
"norris::present";"thomas::#-attempt"
"norris::present";"thomas::present"
"norris::present";"thomas::two"
"norris::two";"thomas::#-attempt"
"norris::two";"thomas::present"
"thomas::#-attempt";"thomas::present"
"thomas::#-attempt";"thomas::two"
"thomas::present";"thomas::two"
"crawford::found";"crawford::love"
"crawford::found";"grant::found"
"crawford::found";"grant::love"
"crawford::love";"grant::found"
"crawford::love";"grant::love"
"grant::found";"grant::love"
"grant::match";"mary::match"
"grant::match";"tom_bertram::match"
"mary::match";"tom_bertram::match"
"tom_bertram::object";"tom_bertram::person"
"bertram::love";"henry::love"
"crawford::full";"julia::full"
"crawford::full";"maria::full"
"julia::full";"maria::full"
"crawford::black";"crawford::first"
"crawford::black";"julia::black"
"crawford::black";"julia::first"
"crawford::black";"maria::black"
"crawford::black";"maria::first"
"crawford::first";"julia::black"
"crawford::first";"julia::first"
"crawford::first";"maria::black"
"crawford::first";"maria::first"
"julia::black";"julia::first"
"julia::black";"maria::black"
"julia::black";"maria::first"
"julia::first";"maria::black"
"maria::black";"maria::first"
"crawford::meeting";"crawford::teeth"
"crawford::meeting";"julia::meeting"
"crawford::meeting";"julia::teeth"
"crawford::meeting";"maria::meeting"
"crawford::meeting";"maria::teeth"
"crawford::teeth";"julia::meeting"
"crawford::teeth";"julia::teeth"
"crawford::teeth";"maria::meeting"
"crawford::teeth";"maria::teeth"
"julia::meeting";"julia::teeth"
"julia::meeting";"maria::meeting"
"julia::meeting";"maria::teeth"
"julia::teeth";"maria::meeting"
"julia::teeth";"maria::teeth"
"maria::meeting";"maria::teeth"
"crawford::known";"julia::known"
"crawford::known";"maria::known"
"julia::known";"maria::known"
"julia::carriage";"julia::dinner"
"julia::carriage";"julia::elegant"
"julia::carriage";"maria::carriage"
"julia::carriage";"maria::dinner"
"julia::carriage";"maria::elegant"
"julia::dinner";"julia::elegant"
"julia::dinner";"maria::carriage"
"julia::dinner";"maria::dinner"
"julia::dinner";"maria::elegant"
"julia::elegant";"maria::carriage"
"julia::elegant";"maria::dinner"
"julia::elegant";"maria::elegant"
"maria::carriage";"maria::dinner"
"maria::carriage";"maria::elegant"
"maria::dinner";"maria::elegant"
"bertram::found";"bertram::order"
"bertram::found";"julia::found"
"bertram::found";"julia::order"
"bertram::order";"julia::found"
"bertram::order";"julia::order"
"julia::found";"julia::order"
"bertram::#-talk";"henry::#-talk"
"bertram::match";"rushworth::match"
"grant::married";"grant::present"
"henry::present";"henry::ready"
"henry::present";"mary::present"
"henry::present";"mary::ready"
"henry::ready";"mary::present"
"henry::ready";"mary::ready"
"mary::present";"mary::ready"
"crawford::excuse";"grant::excuse"
"edmund::two";"tom::two"
"thomas::found";"thomas::mother"
"thomas::found";"thomas::present"
"thomas::found";"thomas::round"
"thomas::mother";"thomas::present"
"thomas::mother";"thomas::round"
"thomas::present";"thomas::round"
"thomas::horse";"thomas::little"
"edmund::mother";"sneyd::mother"
"sneyd::bow";"sneyd::ready"
"sneyd::bow";"sneyd::talk"
"sneyd::ready";"sneyd::talk"
"fanny::mother";"grant::mother"
"crawford::near";"tom_bertram::near"
"rushworth::full";"rushworth::talk"
"norris::sad";"thomas::sad"
"grant::wall";"norris::wall"
"bertram::near";"bertram::two"
"bertram::near";"repton::near"
"bertram::near";"repton::two"
"bertram::two";"repton::near"
"bertram::two";"repton::two"
"repton::near";"repton::two"
"elizabeth::large";"elizabeth::time"
"crawford::present";"crawford::sense"
"crawford::present";"edmund::present"
"crawford::present";"edmund::sense"
"crawford::sense";"edmund::present"
"crawford::sense";"edmund::sense"
"edmund::present";"edmund::sense"
"henry::page";"henry::talk"
"fanny::can";"fanny::distance"
"fanny::can";"william::can"
"fanny::can";"william::distance"
"fanny::distance";"william::can"
"fanny::distance";"william::distance"
"william::can";"william::distance"
"everingham::little";"everingham::natural"
"crawford::can";"crawford::two"
"crawford::can";"edmund::can"
"crawford::can";"edmund::two"
"crawford::can";"fanny::can"
"crawford::can";"fanny::two"
"crawford::two";"edmund::can"
"crawford::two";"edmund::two"
"crawford::two";"fanny::can"
"crawford::two";"fanny::two"
"edmund::can";"edmund::two"
"edmund::can";"fanny::can"
"edmund::can";"fanny::two"
"edmund::two";"fanny::can"
"edmund::two";"fanny::two"
"fanny::can";"fanny::two"
"bertram::ready";"edmund::ready"
"crawford::time";"edmund::time"
"crawford::natural";"crawford::present"
"crawford::little";"fanny::little"
"crawford::line";"fanny::line"
"edmund::end";"edmund::love"
"edmund::end";"edmund::talk"
"edmund::end";"edmund::week"
"edmund::love";"edmund::talk"
"edmund::love";"edmund::week"
"edmund::talk";"edmund::week"
"crawford::near";"crawford::present"
"crawford::point";"edmund::point"
"crawford::first";"edmund::first"
"edmund::#-horse";"edmund::ready"
"edmund::#-horse";"edmund::waiting"
"edmund::#-horse";"fanny::#-horse"
"edmund::#-horse";"fanny::ready"
"edmund::#-horse";"fanny::waiting"
"edmund::#-horse";"norris::#-horse"
"edmund::#-horse";"norris::ready"
"edmund::#-horse";"norris::waiting"
"edmund::ready";"edmund::waiting"
"edmund::ready";"fanny::#-horse"
"edmund::ready";"fanny::ready"
"edmund::ready";"fanny::waiting"
"edmund::ready";"norris::#-horse"
"edmund::ready";"norris::ready"
"edmund::ready";"norris::waiting"
"edmund::waiting";"fanny::#-horse"
"edmund::waiting";"fanny::ready"
"edmund::waiting";"fanny::waiting"
"edmund::waiting";"norris::#-horse"
"edmund::waiting";"norris::ready"
"edmund::waiting";"norris::waiting"
"fanny::#-horse";"fanny::ready"
"fanny::#-horse";"fanny::waiting"
"fanny::#-horse";"norris::#-horse"
"fanny::#-horse";"norris::ready"
"fanny::#-horse";"norris::waiting"
"fanny::ready";"fanny::waiting"
"fanny::ready";"norris::#-horse"
"fanny::ready";"norris::ready"
"fanny::ready";"norris::waiting"
"fanny::waiting";"norris::#-horse"
"fanny::waiting";"norris::ready"
"fanny::waiting";"norris::waiting"
"norris::#-horse";"norris::ready"
"norris::#-horse";"norris::waiting"
"norris::ready";"norris::waiting"
"crawford::object";"edmund::object"
"crawford::object";"grant::object"
"edmund::object";"grant::object"
"crawford::first";"fanny::first"
"edmund::#-wonder";"edmund::natural"
"crawford::trouble";"edmund::trouble"
"crawford::little";"edmund::little"
"edmund::time";"fanny::time"
"crawford::horse";"fanny::horse"
"rushworth::dinner";"rushworth::mother"
"edmund::first";"fanny::first"
"edmund::room";"fanny::room"
"fanny::#-hot";"fanny::thought"
"edmund::hot";"viii_fanny::hot"
"crawford::time";"grant::time"
"lady_bertram::thought";"norris::thought"
"lady_bertram::thought";"rushworth::thought"
"norris::thought";"rushworth::thought"
"crawford::#-trouble";"crawford::account"
"crawford::#-trouble";"crawford::include"
"crawford::#-trouble";"grant::#-trouble"
"crawford::#-trouble";"grant::account"
"crawford::#-trouble";"grant::include"
"crawford::#-trouble";"mary::#-trouble"
"crawford::#-trouble";"mary::account"
"crawford::#-trouble";"mary::include"
"crawford::#-trouble";"rushworth::#-trouble"
"crawford::#-trouble";"rushworth::account"
"crawford::#-trouble";"rushworth::include"
"crawford::account";"crawford::include"
"crawford::account";"grant::#-trouble"
"crawford::account";"grant::account"
"crawford::account";"grant::include"
"crawford::account";"mary::#-trouble"
"crawford::account";"mary::account"
"crawford::account";"mary::include"
"crawford::account";"rushworth::#-trouble"
"crawford::account";"rushworth::account"
"crawford::account";"rushworth::include"
"crawford::include";"grant::#-trouble"
"crawford::include";"grant::account"
"crawford::include";"grant::include"
"crawford::include";"mary::#-trouble"
"crawford::include";"mary::account"
"crawford::include";"mary::include"
"crawford::include";"rushworth::#-trouble"
"crawford::include";"rushworth::account"
"crawford::include";"rushworth::include"
"grant::#-trouble";"grant::account"
"grant::#-trouble";"grant::include"
"grant::#-trouble";"mary::#-trouble"
"grant::#-trouble";"mary::account"
"grant::#-trouble";"mary::include"
"grant::#-trouble";"rushworth::#-trouble"
"grant::#-trouble";"rushworth::account"
"grant::#-trouble";"rushworth::include"
"grant::account";"grant::include"
"grant::account";"mary::#-trouble"
"grant::account";"mary::account"
"grant::account";"mary::include"
"grant::account";"rushworth::#-trouble"
"grant::account";"rushworth::account"
"grant::account";"rushworth::include"
"grant::include";"mary::#-trouble"
"grant::include";"mary::account"
"grant::include";"mary::include"
"grant::include";"rushworth::#-trouble"
"grant::include";"rushworth::account"
"grant::include";"rushworth::include"
"mary::#-trouble";"mary::account"
"mary::#-trouble";"mary::include"
"mary::#-trouble";"rushworth::#-trouble"
"mary::#-trouble";"rushworth::account"
"mary::#-trouble";"rushworth::include"
"mary::account";"mary::include"
"mary::account";"rushworth::#-trouble"
"mary::account";"rushworth::account"
"mary::account";"rushworth::include"
"mary::include";"rushworth::#-trouble"
"mary::include";"rushworth::account"
"mary::include";"rushworth::include"
"rushworth::#-trouble";"rushworth::account"
"rushworth::#-trouble";"rushworth::include"
"rushworth::account";"rushworth::include"
"julia::box";"julia::idea"
"julia::box";"maria::box"
"julia::box";"maria::idea"
"julia::idea";"maria::box"
"julia::idea";"maria::idea"
"maria::box";"maria::idea"
"crawford::carriage";"edmund::carriage"
"edmund::carriage";"edmund::trouble"
"edmund::carriage";"norris::carriage"
"edmund::carriage";"norris::trouble"
"edmund::carriage";"thomas::carriage"
"edmund::carriage";"thomas::trouble"
"edmund::trouble";"norris::carriage"
"edmund::trouble";"norris::trouble"
"edmund::trouble";"thomas::carriage"
"edmund::trouble";"thomas::trouble"
"norris::carriage";"norris::trouble"
"norris::carriage";"thomas::carriage"
"norris::carriage";"thomas::trouble"
"norris::trouble";"thomas::carriage"
"norris::trouble";"thomas::trouble"
"thomas::carriage";"thomas::trouble"
"edmund::time";"norris::time"
"edmund::account";"sotherton::account"
"grant::dinner";"grant::join"
"grant::dinner";"lady_bertram::dinner"
"grant::dinner";"lady_bertram::join"
"grant::join";"lady_bertram::dinner"
"grant::join";"lady_bertram::join"
"lady_bertram::dinner";"lady_bertram::join"
"crawford::driving";"crawford::ready"
"crawford::driving";"grant::driving"
"crawford::driving";"grant::ready"
"crawford::ready";"grant::driving"
"crawford::ready";"grant::ready"
"grant::driving";"grant::ready"
"grant::carriage";"henry::carriage"
"grant::carriage";"julia::carriage"
"grant::carriage";"maria::carriage"
"henry::carriage";"julia::carriage"
"henry::carriage";"maria::carriage"
"maria::carriage";"maria::two"
"edmund::back";"edmund::stretch"
"bertram::first";"bertram::full"
"bertram::first";"bertram::laugh"
"bertram::first";"bertram::little"
"bertram::first";"bertram::perpetual"
"bertram::first";"bertram::sense"
"bertram::first";"crawford::first"
"bertram::first";"crawford::full"
"bertram::first";"crawford::laugh"
"bertram::first";"crawford::little"
"bertram::first";"crawford::perpetual"
"bertram::first";"crawford::sense"
"bertram::first";"julia::first"
"bertram::first";"julia::full"
"bertram::first";"julia::laugh"
"bertram::first";"julia::little"
"bertram::first";"julia::perpetual"
"bertram::first";"julia::sense"
"bertram::full";"bertram::laugh"
"bertram::full";"bertram::little"
"bertram::full";"bertram::perpetual"
"bertram::full";"bertram::sense"
"bertram::full";"crawford::first"
"bertram::full";"crawford::full"
"bertram::full";"crawford::laugh"
"bertram::full";"crawford::little"
"bertram::full";"crawford::perpetual"
"bertram::full";"crawford::sense"
"bertram::full";"julia::first"
"bertram::full";"julia::full"
"bertram::full";"julia::laugh"
"bertram::full";"julia::little"
"bertram::full";"julia::perpetual"
"bertram::full";"julia::sense"
"bertram::laugh";"bertram::little"
"bertram::laugh";"bertram::perpetual"
"bertram::laugh";"bertram::sense"
"bertram::laugh";"crawford::first"
"bertram::laugh";"crawford::full"
"bertram::laugh";"crawford::laugh"
"bertram::laugh";"crawford::little"
"bertram::laugh";"crawford::perpetual"
"bertram::laugh";"crawford::sense"
"bertram::laugh";"julia::first"
"bertram::laugh";"julia::full"
"bertram::laugh";"julia::laugh"
"bertram::laugh";"julia::little"
"bertram::laugh";"julia::perpetual"
"bertram::laugh";"julia::sense"
"bertram::little";"bertram::perpetual"
"bertram::little";"bertram::sense"
"bertram::little";"crawford::first"
"bertram::little";"crawford::full"
"bertram::little";"crawford::laugh"
"bertram::little";"crawford::little"
"bertram::little";"crawford::perpetual"
"bertram::little";"crawford::sense"
"bertram::little";"julia::first"
"bertram::little";"julia::full"
"bertram::little";"julia::laugh"
"bertram::little";"julia::little"
"bertram::little";"julia::perpetual"
"bertram::little";"julia::sense"
"bertram::perpetual";"bertram::sense"
"bertram::perpetual";"crawford::first"
"bertram::perpetual";"crawford::full"
"bertram::perpetual";"crawford::laugh"
"bertram::perpetual";"crawford::little"
"bertram::perpetual";"crawford::perpetual"
"bertram::perpetual";"crawford::sense"
"bertram::perpetual";"julia::first"
"bertram::perpetual";"julia::full"
"bertram::perpetual";"julia::laugh"
"bertram::perpetual";"julia::little"
"bertram::perpetual";"julia::perpetual"
"bertram::perpetual";"julia::sense"
"bertram::sense";"crawford::first"
"bertram::sense";"crawford::full"
"bertram::sense";"crawford::laugh"
"bertram::sense";"crawford::little"
"bertram::sense";"crawford::perpetual"
"bertram::sense";"crawford::sense"
"bertram::sense";"julia::first"
"bertram::sense";"julia::full"
"bertram::sense";"julia::laugh"
"bertram::sense";"julia::little"
"bertram::sense";"julia::perpetual"
"bertram::sense";"julia::sense"
"crawford::first";"crawford::full"
"crawford::first";"crawford::laugh"
"crawford::first";"crawford::little"
"crawford::first";"crawford::perpetual"
"crawford::first";"crawford::sense"
"crawford::first";"julia::full"
"crawford::first";"julia::laugh"
"crawford::first";"julia::little"
"crawford::first";"julia::perpetual"
"crawford::first";"julia::sense"
"crawford::full";"crawford::laugh"
"crawford::full";"crawford::little"
"crawford::full";"crawford::perpetual"
"crawford::full";"crawford::sense"
"crawford::full";"julia::first"
"crawford::full";"julia::laugh"
"crawford::full";"julia::little"
"crawford::full";"julia::perpetual"
"crawford::full";"julia::sense"
"crawford::laugh";"crawford::little"
"crawford::laugh";"crawford::perpetual"
"crawford::laugh";"crawford::sense"
"crawford::laugh";"julia::first"
"crawford::laugh";"julia::full"
"crawford::laugh";"julia::laugh"
"crawford::laugh";"julia::little"
"crawford::laugh";"julia::perpetual"
"crawford::laugh";"julia::sense"
"crawford::little";"crawford::perpetual"
"crawford::little";"crawford::sense"
"crawford::little";"julia::first"
"crawford::little";"julia::full"
"crawford::little";"julia::laugh"
"crawford::little";"julia::little"
"crawford::little";"julia::perpetual"
"crawford::little";"julia::sense"
"crawford::perpetual";"crawford::sense"
"crawford::perpetual";"julia::first"
"crawford::perpetual";"julia::full"
"crawford::perpetual";"julia::laugh"
"crawford::perpetual";"julia::little"
"crawford::perpetual";"julia::perpetual"
"crawford::perpetual";"julia::sense"
"crawford::sense";"julia::first"
"crawford::sense";"julia::full"
"crawford::sense";"julia::laugh"
"crawford::sense";"julia::little"
"crawford::sense";"julia::perpetual"
"crawford::sense";"julia::sense"
"julia::first";"julia::full"
"julia::first";"julia::laugh"
"julia::first";"julia::little"
"julia::first";"julia::perpetual"
"julia::first";"julia::sense"
"julia::full";"julia::laugh"
"julia::full";"julia::little"
"julia::full";"julia::perpetual"
"julia::full";"julia::sense"
"julia::laugh";"julia::little"
"julia::laugh";"julia::perpetual"
"julia::laugh";"julia::sense"
"julia::little";"julia::perpetual"
"julia::little";"julia::sense"
"julia::perpetual";"julia::sense"
"crawford::back";"julia::back"
"crawford::#-observe";"rushworth::#-observe"
"bertram::point";"crawford::point"
"bertram::known";"rushworth::known"
"crawford::carriage";"crawford::two"
"crawford::history";"crawford::known"
"crawford::history";"crawford::present"
"crawford::history";"crawford::warm"
"crawford::history";"fanny::history"
"crawford::history";"fanny::known"
"crawford::history";"fanny::present"
"crawford::history";"fanny::warm"
"crawford::history";"rushworth::history"
"crawford::history";"rushworth::known"
"crawford::history";"rushworth::present"
"crawford::history";"rushworth::warm"
"crawford::known";"crawford::present"
"crawford::known";"crawford::warm"
"crawford::known";"fanny::history"
"crawford::known";"fanny::known"
"crawford::known";"fanny::present"
"crawford::known";"fanny::warm"
"crawford::known";"rushworth::history"
"crawford::known";"rushworth::known"
"crawford::known";"rushworth::present"
"crawford::known";"rushworth::warm"
"crawford::present";"crawford::warm"
"crawford::present";"fanny::history"
"crawford::present";"fanny::known"
"crawford::present";"fanny::present"
"crawford::present";"fanny::warm"
"crawford::present";"rushworth::history"
"crawford::present";"rushworth::known"
"crawford::present";"rushworth::present"
"crawford::present";"rushworth::warm"
"crawford::warm";"fanny::history"
"crawford::warm";"fanny::known"
"crawford::warm";"fanny::present"
"crawford::warm";"fanny::warm"
"crawford::warm";"rushworth::history"
"crawford::warm";"rushworth::known"
"crawford::warm";"rushworth::present"
"crawford::warm";"rushworth::warm"
"fanny::history";"fanny::known"
"fanny::history";"fanny::present"
"fanny::history";"fanny::warm"
"fanny::history";"rushworth::history"
"fanny::history";"rushworth::known"
"fanny::history";"rushworth::present"
"fanny::history";"rushworth::warm"
"fanny::known";"fanny::present"
"fanny::known";"fanny::warm"
"fanny::known";"rushworth::history"
"fanny::known";"rushworth::known"
"fanny::known";"rushworth::present"
"fanny::known";"rushworth::warm"
"fanny::present";"fanny::warm"
"fanny::present";"rushworth::history"
"fanny::present";"rushworth::known"
"fanny::present";"rushworth::present"
"fanny::present";"rushworth::warm"
"fanny::warm";"rushworth::history"
"fanny::warm";"rushworth::known"
"fanny::warm";"rushworth::present"
"fanny::warm";"rushworth::warm"
"rushworth::history";"rushworth::known"
"rushworth::history";"rushworth::present"
"rushworth::history";"rushworth::warm"
"rushworth::known";"rushworth::present"
"rushworth::known";"rushworth::warm"
"rushworth::present";"rushworth::warm"
"edmund::idea";"fanny::idea"
"bridgets::fancy";"bridgets::full"
"bridgets::fancy";"eleanors::fancy"
"bridgets::fancy";"eleanors::full"
