"affectionate" "agreeable" "amiable" "awkward" "bright" "brisk" "capricious" "certain" "cheerful" "childish" "cold" "confident" "confused" "conscientious" "cool" "courageous" "cruel" "curious" "deep" "distant" "dull" "earnest" "expressive" "feminine" "fierce" "firm" "foolish" "friendly" "generous" "genteel" "gentle" "gloomy" "gracious" "kind" "live" "moderate" "modest" "moral" "musical" "narrow" "natural" "noisy" "orderly" "original" "particular" "passionate" "pleasant" "polite" "precise" "proud" "quick" "quiet" "respectful" "responsible" "restless" "rough" "serious" "silent" "slow" "social" "solemn" "steady" "sympathetic" "unreasonable" "violent" "warm" "wild" "wise"
"fierce" 1 0 0 1 2 1 0 2 0 1 2 1 1 1 0 1 0 0 1 0 1 0 1 1 0 1 1 1 1 0 1 0 1 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 2 1 1 1 0 1 2 0 1 0 0 0 0 0 0 0 0 1 1
"firm" 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 1 1 1 1 0 0 0 0 1 0 1 0 0 2 1 0 0 0 1 0 0 0 3 0 2 1 0 0 1 0 2 1 0 0 2 0 1 0 1 1 1
"foolish" 1 1 0 1 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
"friendly" 2 2 0 0 2 1 0 3 1 0 3 0 0 0 0 0 0 0 0 1 2 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 2 1 0 1 0 1 2 0 1 2 0
"generous" 2 0 0 0 1 0 1 1 0 1 1 0 0 0 1 1 0 1 1 1 1 1 0 0 1 1 0 0 0 1 1 0 0 0 0 1 0 1 1 0 2 1 0 1 1 1 0 1 0 1 1 4 0 1 1 1 2 0 1 0 1 2 0 0 0 1 1 1
"genteel" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 1
"gentle" 2 0 1 0 1 0 1 2 0 1 0 0 0 1 0 1 0 1 0 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 1 0 0 1 0 3 1 0 0 0 1 2 0 0 0 1 0 0 0 1 1 1
"gloomy" 0 0 0 0 4 0 0 3 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 1 0 1 1 2 1
"gracious" 1 0 0 1 4 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 2 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"kind" 1 1 0 0 4 0 0 1 1 0 1 0 1 0 0 0 0 2 1 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 1 1 0 0 0 0 0 0
"live" 0 0 0 0 1 0 0 3 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0
"moderate" 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 0 2 0 2 1 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0
"modest" 0 0 0 0 0 1 0 2 0 0 2 0 0 0 2 0 0 1 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 3 0 0 0 1 0 0 1 1 4 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1
"moral" 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 2 0 0 0 0 1 0 0 0 0 1 1 1 0 0 1 1 0 1 0 0 0 2 0 0 1 0 0 1 2 0 0 0 0 0 0 1 0 1
"musical" 1 0 1 0 2 1 1 0 1 2 2 1 0 0 0 2 0 1 3 0 0 1 0 1 1 0 0 0 1 0 1 1 1 1 0 0 0 0 0 1 1 1 1 1 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 1 1 1 0 0 0 1 0 1
"narrow" 0 1 0 0 0 1 0 1 0 0 1 1 0 0 2 1 0 2 2 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 1 1 1 1 0 1 2 1 0 0 0 0 0 0 2 0 2 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0
"natural" 2 0 0 1 3 0 1 3 1 1 1 0 1 1 2 1 0 1 0 1 3 3 2 0 1 2 0 2 2 1 2 0 0 0 0 1 3 1 1 1 0 0 1 0 1 0 0 1 0 5 0 5 2 0 1 0 2 3 0 0 1 2 0 2 0 1 0 3
"noisy" 0 1 0 0 0 1 0 1 0 0 2 1 0 0 0 1 0 0 2 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 1 0 1 1 2 0 0 1 0 0 1 0 0 0 2 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0
"orderly" 0 0 0 0 2 1 0 2 1 0 1 1 0 1 0 1 0 0 1 0 0 1 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
"original" 0 1 1 0 2 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1
"particular" 2 0 0 0 2 1 0 0 1 0 1 0 0 0 0 0 0 1 1 2 0 1 1 0 0 0 0 0 1 1 0 1 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 1 1 0 2 0 1 1 0 0 0 1 1 0 0 0 0 0 1 0 1
"passionate" 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 2 0 0 2 0 3 0
"pleasant" 0 0 1 1 1 0 0 0 2 0 1 2 1 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 3 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0
"polite" 0 1 0 1 0 0 2 1 0 0 1 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 1 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1
"precise" 0 0 0 0 2 1 0 2 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 1
"proud" 0 0 1 0 3 1 0 1 2 0 3 1 0 1 2 1 1 1 2 1 3 0 2 1 2 3 0 1 1 0 1 1 1 0 0 2 4 0 1 2 5 2 1 0 1 1 1 1 0 0 0 4 2 0 1 1 0 3 0 1 1 3 0 1 0 0 1 2
"quick" 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 1 0 0 1 0 0 0 1 0 1 2 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 4 1 0 0 1 0 0 0 0 1 0 1 0 0 0 2 0
"quiet" 2 0 1 0 4 0 1 2 2 1 2 1 1 3 2 1 1 4 4 1 2 3 1 1 1 2 1 0 4 1 3 1 1 0 1 2 1 2 1 2 5 1 1 1 2 1 3 1 0 4 4 0 2 0 1 1 1 1 0 0 1 2 2 0 0 2 1 2
"respectful" 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 2 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 2 0 0 1 0 0 0 0 0 2 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1
"responsible" 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 2 0 0 0 0 0 0 0
"restless" 0 0 0 0 2 0 0 0 0 0 2 0 1 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1
"rough" 0 0 0 0 1 0 0 2 0 0 3 0 1 0 0 0 0 0 2 0 0 0 0 0 2 1 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0
"serious" 1 0 0 0 2 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 1 0 0 1 1 1 0
"silent" 2 1 1 0 2 0 0 6 1 0 2 0 1 1 0 0 0 1 2 1 2 0 1 0 1 2 1 2 0 0 2 0 0 1 1 0 2 1 1 1 3 1 0 0 0 0 1 1 0 3 0 1 1 0 0 0 0 0 1 3 1 1 0 2 0 0 1 1
"slow" 2 1 0 0 1 0 1 2 0 0 3 1 0 0 1 0 0 2 0 0 0 1 1 0 0 1 1 1 1 1 0 0 0 1 0 1 0 2 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 2 1 0 0 1 0 0 1 0 0 0 1 2 0 0
"social" 1 0 0 0 2 0 0 2 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0
"solemn" 0 1 0 1 1 0 0 1 2 0 1 1 0 0 0 0 1 1 1 0 1 1 2 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 1 1 0 2 1 0 2 1 1 1 0 0 1 0 1 0 1 0
"steady" 1 0 0 0 2 0 1 1 2 2 1 0 3 0 0 1 1 1 1 0 1 1 0 0 0 2 0 0 2 0 1 1 0 1 0 1 0 0 1 0 2 1 0 0 0 2 0 0 1 3 0 2 0 0 0 1 1 1 0 0 0 0 1 1 2 1 2 0
"sympathetic" 0 0 0 0 1 1 0 2 0 1 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0
"unreasonable" 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 1 0
"violent" 0 0 0 0 1 0 0 0 1 0 2 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 2 0 0 0 0 2 0
"warm" 1 0 0 0 3 2 1 2 0 1 2 0 0 1 2 1 0 2 1 0 0 1 0 1 0 1 0 1 1 1 1 1 0 0 0 1 1 1 1 1 1 0 1 0 1 0 0 0 2 0 0 2 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 1
"wild" 0 0 1 1 1 1 0 3 0 1 1 1 2 0 1 0 0 0 2 1 2 0 1 0 1 1 0 2 1 0 1 2 0 0 0 1 0 0 0 0 0 1 0 0 0 3 1 0 0 1 2 1 1 0 0 2 1 1 0 0 1 2 1 1 2 0 0 0
"wise" 0 0 1 0 2 0 0 2 0 1 0 0 0 2 1 0 0 0 1 1 2 0 0 0 1 1 0 0 1 1 1 1 0 0 0 0 1 1 1 0 3 0 1 1 1 0 0 1 1 2 0 2 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0
