"affected" "affectionate" "agreeable" "amiable" "anxious" "awkward" "benevolent" "bright" "calm" "careful" "certain" "cheerful" "cold" "complicated" "constant" "cool" "cunning" "curious" "deep" "dignified" "distant" "dull" "earnest" "eloquent" "emphatic" "enthusiastic" "excessive" "expressive" "faithful" "fearful" "fierce" "foolish" "friendly" "gentle" "gloomy" "hearty" "honest" "humble" "ingenious" "intense" "intimate" "kind" "lively" "loud" "merry" "moral" "narrow" "natural" "nervous" "particular" "pleasant" "precise" "profound" "proper" "proud" "quiet" "reasonable" "restless" "serious" "silent" "slow" "smart" "solemn" "stern" "thoughtful" "violent" "warm" "wild" "wise"
"cold" 1 3 5 3 6 1 2 12 1 2 6 5 0 2 5 3 4 6 11 2 7 2 2 2 2 4 2 2 5 2 3 0 4 5 3 4 2 2 3 5 4 3 5 16 5 2 6 4 4 9 7 1 6 5 5 13 1 7 2 7 4 5 10 1 1 5 10 5 2
"complicated" 1 1 2 0 1 1 0 1 1 0 0 0 2 0 2 0 0 0 0 0 1 0 0 0 1 1 1 1 1 1 0 1 1 0 0 1 1 1 2 2 0 0 0 4 0 0 0 0 0 1 2 0 1 2 0 0 1 0 0 1 0 0 0 2 0 5 1 0 1
"constant" 0 1 1 1 0 1 3 3 1 0 1 2 5 2 0 1 0 1 1 1 3 1 0 1 1 0 0 2 1 0 2 1 1 0 0 2 0 0 1 2 0 1 0 3 0 1 1 2 2 3 4 0 1 2 1 3 1 0 1 1 0 1 2 0 0 3 2 1 0
"cool" 0 0 1 0 0 1 0 1 2 0 1 0 3 0 1 0 1 1 1 1 2 1 0 1 0 0 0 1 1 0 1 1 1 2 1 1 0 1 2 1 0 0 1 2 0 0 2 1 1 1 4 0 0 1 1 1 1 0 0 0 0 1 2 0 0 1 1 1 1
"cunning" 0 1 0 0 2 1 0 2 0 0 1 0 4 0 0 1 0 1 0 0 0 2 2 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 1 0 1 1 0 2 1 0 0 2 2 2 1 1 0 0 2 1 0 1 1 1 1 0 2 0 0 0 0 1 2
"curious" 2 0 3 0 2 0 1 2 1 1 8 3 6 0 1 1 1 0 4 2 2 2 2 0 2 0 0 1 1 0 0 0 2 1 2 1 1 0 0 1 1 0 2 4 1 1 4 5 1 8 6 4 6 0 2 2 1 3 0 1 2 3 3 0 0 3 3 1 1
"deep" 1 1 5 4 4 0 2 5 3 2 8 4 11 0 1 1 0 4 0 0 4 1 3 2 2 4 2 2 2 3 4 0 2 6 1 0 3 3 1 4 3 3 4 9 5 4 4 4 0 6 7 3 3 2 2 7 1 2 2 4 1 2 3 0 0 3 7 6 2
"dignified" 0 0 1 1 2 0 1 0 1 1 1 0 2 0 1 1 0 2 0 0 1 0 1 0 0 0 1 1 0 0 1 0 2 1 3 0 1 0 1 0 0 0 0 3 0 0 2 2 0 2 2 1 0 1 2 0 1 1 1 0 0 1 3 2 0 1 0 0 1
"distant" 0 2 2 1 2 0 1 4 1 0 1 2 7 1 3 2 0 2 4 1 0 2 1 1 0 2 0 1 1 1 1 0 1 4 0 4 0 0 1 2 0 0 1 4 1 0 2 3 1 3 3 3 2 1 1 6 0 1 1 1 1 1 1 0 0 2 1 2 0
"dull" 0 0 0 1 1 2 0 2 0 1 0 2 2 0 1 1 2 2 1 0 2 0 0 0 0 0 0 2 0 0 0 0 0 2 1 0 0 0 0 0 0 1 1 1 1 0 1 1 0 1 1 2 0 2 2 3 0 2 0 2 0 0 1 0 0 0 0 1 1
"earnest" 0 0 2 0 3 1 0 1 1 0 2 1 2 0 0 0 2 2 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 1 3 0 0 1 1 0 1 3 0 0 0 0 1 0 0 2 0 3 1 0 3 0 1 2 0 0
"eloquent" 0 1 0 1 0 0 1 0 1 1 1 1 2 0 1 1 0 0 2 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 1 1 1 0 1 1 1 0 1 0 0 0 1 3 1 2 1 0 1 1 0 1 0 1 1 2 0 0 1 1 0 1
"emphatic" 1 0 0 0 1 1 1 1 0 0 2 0 2 1 1 0 0 2 2 0 0 0 0 0 0 1 0 0 1 0 0 1 0 2 1 0 0 0 0 0 0 0 0 4 0 2 0 1 0 4 2 0 1 1 0 3 0 0 0 2 0 1 1 1 1 1 2 0 2
"enthusiastic" 0 0 2 3 0 0 0 3 0 0 4 0 4 1 0 0 0 0 4 0 2 0 0 1 1 0 3 1 3 1 0 1 0 2 0 1 0 1 1 2 2 2 0 5 0 0 0 0 0 2 3 0 2 2 1 3 0 1 1 3 0 0 0 1 0 3 2 0 0
"excessive" 1 0 2 1 2 2 0 3 1 1 1 2 2 1 0 0 0 0 2 1 0 0 0 0 0 3 0 1 0 0 1 1 1 2 1 0 0 0 1 0 0 1 1 1 1 0 2 0 0 2 2 0 1 2 1 1 0 1 2 1 0 0 0 0 1 0 1 1 0
"expressive" 0 1 2 4 2 0 1 1 1 1 0 1 2 1 2 1 1 1 2 1 1 2 0 1 0 1 1 0 1 0 1 1 0 1 1 0 2 0 3 2 0 1 2 4 1 3 1 2 0 5 2 2 3 2 1 1 1 0 1 1 0 1 2 0 0 0 2 0 2
"faithful" 0 2 0 0 0 1 0 1 2 1 1 1 5 1 1 1 1 1 2 0 1 0 0 0 1 3 0 1 0 1 1 0 2 1 0 1 0 1 2 3 0 1 1 5 0 0 0 0 1 1 4 0 1 5 2 0 1 1 0 2 0 2 1 1 0 1 1 1 1
"fearful" 1 0 1 1 1 0 0 0 0 0 1 0 2 1 0 0 0 0 3 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 1 1 0 1 1 1 0 0 0 2 0 0 1 1 0 1 1 0 0 1 2 2 2 0 0 2 1 0 2 1 0 1 1 1 1
"fierce" 2 1 2 0 1 1 1 3 1 0 1 2 3 0 2 1 1 0 4 1 1 0 0 1 0 0 1 1 1 1 0 1 1 4 1 0 0 0 2 0 0 0 0 4 2 1 1 0 1 4 4 0 1 1 3 3 1 0 3 3 0 2 0 2 1 2 2 4 0
"foolish" 2 3 0 0 1 0 1 0 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 0 0 1 0 1 1 0 0 0 3 0 2 0 0 0 2 0 1 0 0 0 0 2 0 1 1 0 0 0 0 0 1 1 0 2 0 0 0 1 0 0
"friendly" 0 0 3 1 1 1 1 3 1 2 0 2 4 1 1 1 0 2 2 2 1 0 0 1 0 0 1 0 2 1 1 1 0 0 1 1 0 3 1 0 0 2 1 2 0 0 2 3 0 0 3 1 1 0 4 3 0 2 0 0 0 0 2 0 0 2 2 1 1
"gentle" 0 1 1 2 3 1 1 5 2 1 2 3 5 0 0 2 0 1 6 1 4 2 0 0 2 2 2 1 1 0 4 1 0 0 1 3 0 2 3 2 0 0 1 4 4 1 1 1 0 3 5 2 2 1 0 5 1 1 2 2 0 2 3 1 2 4 3 3 2
"gloomy" 0 1 0 0 2 1 1 3 1 0 2 1 3 0 0 1 0 2 1 3 0 1 2 0 1 0 1 1 0 1 1 0 1 1 0 0 0 0 0 0 1 0 0 5 1 0 4 1 0 3 2 0 1 2 1 2 1 0 0 1 1 2 1 1 2 2 1 1 0
"hearty" 1 0 1 1 1 0 1 3 0 1 3 1 4 1 2 1 0 1 0 0 4 0 0 0 0 1 0 0 1 1 0 0 1 3 0 0 0 0 1 2 1 0 1 3 2 2 1 4 2 1 2 0 4 2 0 4 0 0 1 1 1 2 2 1 1 2 2 0 1
"honest" 0 0 3 1 3 0 0 0 1 2 1 0 2 1 0 0 0 1 3 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 1 1 1 1 2 0 3 1 1 2 1 0 2 0 1 0 0 0 1 1 0 0 2 2 1 1
"humble" 1 0 2 2 1 1 1 1 1 1 0 1 2 1 0 1 1 0 3 0 0 0 1 1 0 1 0 0 1 1 0 3 3 2 0 0 1 0 1 2 1 1 1 6 0 0 0 2 0 2 5 2 2 0 0 1 1 0 1 2 0 1 2 1 0 0 1 1 0
"ingenious" 0 0 3 1 3 1 0 0 1 1 2 0 3 2 1 2 1 0 1 1 1 0 0 1 0 1 1 3 2 1 2 0 1 3 0 1 2 1 0 0 0 1 3 3 0 1 1 1 1 3 4 1 4 2 1 1 2 0 0 2 0 1 1 1 1 2 1 0 1
"intense" 0 1 1 2 1 0 0 1 1 0 1 1 5 2 2 1 0 1 4 0 2 0 0 1 0 2 0 2 3 1 0 2 0 2 0 2 1 2 0 0 1 2 1 2 0 0 0 1 1 4 4 3 3 5 1 3 0 0 1 0 0 1 4 0 0 2 2 0 1
"intimate" 1 0 1 1 2 1 0 0 0 2 0 1 4 0 0 0 1 1 3 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 5 1 0 0 3 1 3 1 1 0 0 0 1 0 0 1 0 0 1 1 0 0 1 1 1 0
"kind" 1 1 3 3 0 1 1 2 0 2 2 1 3 0 1 0 1 0 3 0 0 1 0 1 0 2 1 1 1 0 0 0 2 0 0 0 0 1 1 2 0 0 1 3 1 0 1 1 1 3 3 2 0 2 3 4 0 1 1 0 0 0 1 0 1 2 1 4 0
"lively" 1 0 4 1 1 2 0 4 2 5 2 4 5 0 0 1 0 2 4 0 1 1 1 1 0 0 1 2 1 0 0 0 1 1 0 1 0 1 3 1 0 1 0 2 1 0 1 1 1 3 1 1 2 4 1 3 0 0 2 0 0 2 2 1 2 1 2 1 0
"loud" 2 1 7 2 4 3 2 5 2 2 6 6 16 4 3 2 2 4 9 3 4 1 3 1 4 5 1 4 5 2 4 2 2 4 5 3 1 6 3 2 5 3 2 0 5 5 4 1 3 13 8 1 8 4 1 8 3 2 1 6 2 2 6 2 1 8 8 4 4
"merry" 0 0 0 1 1 0 2 2 1 0 0 4 5 0 0 0 1 1 5 0 1 1 0 0 0 0 1 1 0 0 2 0 0 4 1 2 1 0 0 0 1 1 1 5 0 1 1 1 0 1 2 0 2 0 2 4 0 1 3 1 0 0 5 0 0 0 2 5 1
"moral" 2 1 1 1 2 0 1 0 1 2 4 1 2 0 1 0 0 1 4 0 0 0 0 1 2 0 0 3 0 0 1 1 0 1 0 2 1 0 1 0 0 0 0 5 1 0 0 1 0 3 1 0 2 0 0 3 1 0 0 0 1 2 2 1 0 2 1 0 1
"narrow" 0 0 4 1 1 0 0 1 2 0 3 1 6 0 1 2 0 4 4 2 2 1 1 0 0 0 2 1 0 1 1 0 2 1 4 1 1 0 1 0 0 1 1 4 1 0 0 3 0 1 3 0 1 2 1 3 1 1 0 0 2 0 2 0 0 3 1 6 1
"natural" 0 3 3 5 4 1 1 2 1 8 5 2 4 0 2 1 2 5 4 2 3 1 1 0 1 0 0 2 0 1 0 0 3 1 1 4 2 2 1 1 3 1 1 1 1 1 3 0 4 8 3 3 4 3 4 5 1 1 1 2 1 2 2 1 1 1 1 0 2
"nervous" 0 0 1 1 3 0 0 2 0 1 2 2 4 0 2 1 2 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 0 0 1 1 1 1 1 3 0 0 0 4 0 5 3 0 1 3 1 2 0 2 0 1 1 1 1 1 0 2 0 0 3
"particular" 1 2 7 3 5 2 3 4 3 6 11 4 9 1 3 1 2 8 6 2 3 1 1 1 4 2 2 5 1 1 4 0 0 3 3 1 3 2 3 4 3 3 3 13 1 3 1 8 5 0 6 4 12 7 3 10 2 2 1 1 4 5 5 3 0 4 9 4 3
"pleasant" 1 3 8 2 5 2 2 6 3 5 7 7 7 2 4 4 1 6 7 2 3 1 3 3 2 3 2 2 4 1 4 2 3 5 2 2 1 5 4 4 1 3 1 8 2 1 3 3 3 6 0 4 4 4 2 6 3 0 1 2 3 5 4 4 1 5 4 3 6
"precise" 0 1 1 0 3 0 1 1 0 1 1 1 1 0 0 0 1 4 3 1 3 2 0 1 0 0 0 2 0 0 0 0 1 2 0 0 1 2 1 3 1 2 1 1 0 0 0 3 0 4 4 0 2 0 0 1 0 1 0 1 0 0 1 0 0 0 2 0 2
"profound" 0 1 2 2 4 0 4 3 3 2 6 0 6 1 1 0 0 6 3 0 2 0 0 2 1 2 1 3 1 0 1 1 1 2 1 4 2 2 4 3 0 0 2 8 2 2 1 4 1 12 4 2 0 3 3 6 0 1 0 3 1 1 5 0 1 2 3 2 0
"proper" 1 0 0 1 4 1 1 3 1 2 1 4 5 2 2 1 0 0 2 1 1 2 0 1 1 2 2 2 5 1 1 1 0 1 2 2 1 0 2 5 0 2 4 4 0 0 2 3 3 7 4 0 3 0 0 6 0 0 1 1 1 2 2 1 0 3 4 0 1
"proud" 0 2 2 3 1 2 0 4 2 1 4 0 5 0 1 1 2 2 2 2 1 2 0 0 0 1 1 1 2 2 3 0 4 0 1 0 0 0 1 1 0 3 1 1 2 0 1 4 1 3 2 0 3 0 0 3 0 3 3 1 0 0 5 0 0 0 0 7 2
"quiet" 2 1 8 3 4 0 2 4 0 4 8 7 13 0 3 1 1 2 7 0 6 3 1 1 3 3 1 1 0 2 3 0 3 5 2 4 2 1 1 3 1 4 3 8 4 3 3 5 2 10 6 1 6 6 3 0 3 2 4 6 1 3 4 1 3 6 6 5 1
"reasonable" 1 2 2 1 1 0 0 1 0 0 2 2 1 1 1 1 0 1 1 1 0 0 0 1 0 0 0 1 1 2 1 0 0 1 1 0 0 1 2 0 0 0 0 3 0 1 1 1 0 2 3 0 0 0 0 3 0 0 0 0 1 3 0 2 1 1 1 1 0
"restless" 0 0 1 1 2 0 1 3 1 0 2 0 7 0 0 0 1 3 2 1 1 2 0 0 0 1 1 0 1 0 0 0 2 1 0 0 1 0 0 0 0 1 0 2 1 0 1 1 2 2 0 1 1 0 3 2 0 0 0 3 1 0 1 1 0 2 2 2 0
"serious" 0 0 3 1 1 1 1 3 1 1 4 4 2 0 1 0 1 0 2 1 1 0 2 1 0 1 2 1 0 0 3 0 0 2 0 1 0 1 0 1 1 1 2 1 3 0 0 1 0 1 1 0 0 1 3 4 0 0 0 1 1 0 3 1 0 1 0 2 0
"silent" 0 1 1 0 8 0 2 1 1 1 3 2 7 1 1 0 1 1 4 0 1 2 0 0 2 3 1 1 2 2 3 1 0 2 1 1 0 2 2 0 0 0 0 6 1 0 0 2 1 1 2 1 3 1 1 6 0 3 1 0 1 2 1 1 1 4 3 3 2
"slow" 1 2 1 0 1 0 0 1 0 1 4 0 4 0 0 0 1 2 1 0 1 0 3 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 2 0 1 2 1 1 4 3 0 1 1 0 1 1 1 1 1 0 1 3 0 1 1 2 1 0
"smart" 1 1 0 0 4 0 0 2 1 1 1 3 5 0 1 1 0 3 2 1 1 0 1 1 1 0 0 1 2 0 2 0 0 2 2 2 1 1 1 1 1 0 2 2 0 2 0 2 1 5 5 0 1 2 0 3 3 0 0 2 1 0 3 2 0 2 4 1 2
"solemn" 0 2 1 3 1 1 3 2 1 2 4 4 10 0 2 2 2 3 3 3 1 1 0 2 1 0 0 2 1 2 0 2 2 3 1 2 1 2 1 4 1 1 2 6 5 2 2 2 1 5 4 1 5 2 5 4 0 1 3 1 3 3 0 0 2 2 2 4 4
"stern" 1 0 2 0 2 0 0 0 1 1 1 1 1 2 0 0 0 0 0 2 0 0 3 0 1 1 0 0 1 1 2 0 0 1 1 1 0 1 1 0 0 0 1 2 0 1 0 1 1 3 4 0 0 1 0 1 2 1 1 1 0 2 0 0 0 2 1 0 1
"thoughtful" 1 1 1 1 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 2 2 1 0 0 1 0 0 1 2 1 0 0 0 1 0 0 1 0 1 0 0 3 1 0 0 1 1 0 2 0 0 1 0 0 1
"violent" 1 2 3 1 3 1 0 2 3 0 6 3 5 5 3 1 0 3 3 1 2 0 1 1 1 3 0 0 1 1 2 0 2 4 2 2 2 0 2 2 1 2 1 8 0 2 3 1 2 4 5 0 2 3 0 6 1 2 1 4 1 2 2 2 1 0 4 2 1
"warm" 0 0 3 1 5 0 2 5 0 1 4 4 10 1 2 1 0 3 7 0 1 0 2 1 2 2 1 2 1 1 2 1 2 3 1 2 2 1 1 2 1 1 2 8 2 1 1 1 0 9 4 2 3 4 0 6 1 2 0 3 2 4 2 1 0 4 0 1 3
"wild" 2 0 2 0 1 0 0 5 3 0 2 3 5 0 1 1 1 1 6 0 2 1 0 0 0 0 1 0 1 1 4 0 1 3 1 0 1 1 0 0 1 4 1 4 5 0 6 0 0 4 3 0 2 0 7 5 1 2 2 3 1 1 4 0 0 2 1 0 0
"wise" 0 0 0 1 4 0 0 1 0 2 1 2 2 1 0 1 2 1 2 1 0 1 0 1 2 0 0 2 1 1 0 0 1 2 0 1 1 0 1 1 0 0 0 4 1 1 1 2 3 3 6 2 0 1 2 1 0 0 0 2 0 2 4 1 1 1 3 0 0
