"affectionate" "agreeable" "amiable" "anxious" "benevolent" "bitter" "bright" "calm" "capable" "certain" "cheerful" "childish" "coarse" "cold" "confused" "constant" "deep" "distant" "eager" "earnest" "enthusiastic" "excessive" "expressive" "fearful" "generous" "gentle" "gloomy" "harsh" "heroic" "ignorant" "intense" "kind" "lifeless" "lively" "loud" "mild" "moral" "narrow" "natural" "nervous" "peaceful" "placid" "pleasant" "profound" "quick" "rough" "rude" "rugged" "saintly" "selfish" "serene" "serious" "severe" "silent" "simple" "slow" "solemn" "vain" "violent" "warm" "wild" "vivid"
"cheerful" 1 0 3 1 3 0 2 0 2 2 0 0 2 2 0 1 1 1 0 0 0 1 0 2 0 5 0 2 0 1 0 2 0 0 1 0 1 0 1 0 0 3 2 1 1 0 2 0 0 1 1 1 0 3 1 1 2 0 0 1 0 0
"childish" 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 1 0 1 1 1 1 0 0 0 0 1 1 1 0 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0
"coarse" 1 1 2 0 1 0 0 1 1 0 2 0 0 3 0 0 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0
"cold" 0 2 3 0 5 5 1 5 5 1 2 0 3 0 2 1 2 2 1 0 1 1 2 1 1 8 0 3 0 4 0 2 5 3 2 4 0 0 2 4 1 1 5 1 3 1 0 1 1 1 1 1 1 4 0 2 3 5 2 2 4 1
"confused" 0 0 1 0 0 1 1 1 2 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 1 0 0 0
"constant" 1 0 1 1 2 0 0 3 0 0 1 0 0 1 0 0 2 1 0 0 0 0 1 0 0 1 0 0 0 0 0 2 1 1 1 0 1 0 0 1 0 1 1 0 2 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0
"deep" 0 2 1 0 2 2 1 3 1 1 1 0 1 2 0 2 0 0 1 0 1 1 1 2 0 4 1 2 1 0 2 1 0 0 2 0 0 0 0 0 0 1 2 0 2 0 0 1 1 1 1 0 0 5 0 0 1 0 0 0 1 0
"distant" 0 0 0 2 1 2 0 1 1 0 1 0 0 2 1 1 0 0 1 0 2 0 1 0 0 2 1 0 0 0 0 2 0 2 0 0 1 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 1 1 1 1 1 1 1 1 1 0
"eager" 0 0 0 0 0 0 1 1 2 0 0 1 0 1 0 0 1 1 0 1 2 0 0 0 0 2 2 0 1 0 1 0 1 1 0 0 1 1 2 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0 1 0 1 0
"earnest" 0 0 0 0 0 0 2 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 1 0 2 1 0 0 0 0 1 1 1 0 1 0 0 1 1 1 0 0 1 0 1 1 0 0 0 0 0 0 1 1 0 1
"enthusiastic" 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 2 2 0 0 0 0 0 0 2 1 0 0 1 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 0
"excessive" 1 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 2 0 0 1 0 0 0 1 0
"expressive" 0 0 1 0 3 1 0 2 0 0 0 1 0 2 0 1 1 1 0 0 0 0 0 0 0 2 1 1 0 0 0 1 0 1 0 1 0 0 2 1 0 0 0 0 2 1 1 0 0 0 0 0 1 1 0 1 0 0 2 0 0 0
"fearful" 1 0 0 2 0 0 1 2 1 0 2 0 0 1 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 2 2 0 0 0 1 1 0 0 0 0 1 0 1 2 0 0 0 0 0 1 0 1 1 3 1 1 2 2 1 0 3 0
"generous" 2 0 2 0 1 3 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 3 1 0 0 2 1 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 2 0
"gentle" 2 2 5 0 3 4 3 1 3 2 5 0 2 8 2 1 4 2 2 2 2 1 2 2 3 0 2 4 0 3 2 1 1 3 1 2 0 0 1 2 1 1 4 2 4 1 3 2 0 0 1 0 1 3 2 1 1 1 2 2 5 1
"gloomy" 1 1 1 0 1 1 1 2 2 0 0 1 0 0 0 0 1 1 2 1 1 0 1 0 1 2 0 0 1 0 1 1 0 0 0 1 1 1 1 0 1 0 1 0 0 1 0 1 1 0 0 1 1 1 1 0 0 0 2 1 2 0
"harsh" 1 1 3 0 4 1 1 0 1 0 2 0 1 3 1 0 2 0 0 0 0 1 1 0 0 4 0 0 1 0 1 1 0 1 1 0 0 0 1 1 1 0 2 0 3 1 2 0 1 0 2 0 0 1 0 1 0 0 1 0 0 0
"heroic" 0 1 0 0 1 0 1 1 1 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 1 0 0 2 0 0 0 0 0 1 1 1 0 1 0 0 0 1 1 0 0 1 0 1 1 0 1 0 0 0 0 1 0 0 0
"ignorant" 1 0 1 1 1 2 0 1 0 1 1 1 0 4 0 0 0 0 0 0 1 1 0 2 2 3 0 0 0 0 1 1 1 2 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 2 0 1 3 3 0 1 2 0
"intense" 1 1 0 0 1 0 1 1 1 1 0 1 0 0 0 0 2 0 1 2 0 2 0 2 1 2 1 1 2 1 0 1 0 0 1 0 1 1 2 0 1 0 0 1 2 1 0 1 1 0 1 1 1 1 0 1 1 1 2 0 3 1
"kind" 0 0 1 1 1 2 0 1 2 1 2 1 0 2 0 2 1 2 0 1 0 0 1 0 2 1 1 1 0 1 1 0 1 0 1 0 1 0 0 1 0 1 0 1 2 0 0 0 1 0 1 0 1 1 0 1 0 0 1 0 0 1
"lifeless" 0 0 0 0 1 2 0 2 3 0 0 0 0 5 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 1 0 0 1 1 0 0 1 0 2 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0
"lively" 1 0 1 0 1 0 0 1 0 0 0 0 0 3 0 1 0 2 1 0 2 0 1 0 0 3 0 1 0 2 0 0 0 0 0 1 0 0 1 2 0 0 1 0 1 1 0 0 0 0 1 0 0 0 1 1 1 1 1 1 0 0
"loud" 0 0 1 0 1 1 0 2 1 0 1 0 1 2 0 1 2 0 0 0 1 0 0 1 0 1 0 1 0 1 1 1 1 0 0 0 0 1 0 1 0 0 0 0 2 0 1 0 0 1 1 0 0 2 0 1 2 0 0 1 0 0
"mild" 1 0 2 0 3 1 0 2 0 1 0 0 0 4 0 0 0 0 0 0 0 0 1 1 1 2 1 0 0 2 0 0 1 1 0 0 0 0 2 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0
"moral" 0 0 0 1 1 0 1 1 1 0 1 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 1 1 0 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0
"narrow" 0 0 1 0 0 0 1 1 2 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 1 1 0 1 0 0 1 1 1 0 1 1 0 1 0 0 0
"natural" 0 0 1 1 2 2 1 2 2 1 1 1 0 2 0 0 0 1 2 1 0 0 2 0 0 1 1 1 1 0 2 0 1 1 0 2 1 1 0 1 2 1 0 1 1 2 0 0 1 1 1 1 0 0 1 1 0 0 3 1 1 0
"nervous" 0 0 1 0 1 0 0 2 1 0 0 0 0 4 1 1 0 1 1 0 1 0 1 0 0 2 0 1 0 0 0 1 1 2 1 0 0 0 1 0 1 0 0 0 2 1 0 0 0 0 1 0 0 1 1 2 0 1 1 0 0 0
"peaceful" 0 0 2 1 1 1 1 2 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 1 1 1 1 0 1 0 0 0 0 1 1 1 2 1 0 1 1 2 0 1 0 0 1 0 1 1 0 1 1 1 0 0 2 0 1 0
"placid" 0 0 1 2 1 1 1 1 0 2 3 0 0 1 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 2 0 0 1 1 1 0 0 1
"pleasant" 1 2 1 0 1 0 1 2 2 1 2 0 2 5 1 1 2 0 0 0 0 0 0 1 0 4 1 2 0 0 0 0 1 1 0 1 0 0 0 0 1 1 0 1 1 0 1 0 0 0 1 1 0 2 0 0 0 2 1 1 1 1
"profound" 0 0 1 1 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 2 0 2 0 0 0 0 1 1 0 0 0 1 0 0 1 0 2 1 1 0 1 0 0 0 0 0 0 1 0 2 0 0 1 0 1 0 1 1
"quick" 0 1 2 0 3 0 0 2 1 1 1 0 0 3 0 2 2 0 0 1 0 1 2 0 0 4 0 3 1 0 2 2 2 1 2 0 0 0 1 2 0 0 1 1 0 1 1 0 0 0 2 0 0 2 0 1 0 0 1 0 0 1
"rough" 0 0 0 0 1 0 1 1 1 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 1 1 1 1 0 1 0 0 1 0 0 1 1 2 1 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 2 0 0 0
"rude" 1 0 3 0 2 1 0 0 1 0 2 1 1 0 0 0 0 0 0 0 0 0 1 0 0 3 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"rugged" 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 1 0 1 1 0 0 1 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 3 0
"saintly" 0 0 0 0 0 1 1 1 2 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
"selfish" 0 0 0 0 0 2 0 1 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 3 1 0
"serene" 0 1 1 0 2 0 2 2 0 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 0 1 0 2 1 0 1 1 1 1 1 0 0 0 1 1 1 1 1 0 2 0 0 0 0 1 0 0 0 1 0 0 0 2 1 2 0 1
"serious" 0 1 0 0 0 0 2 1 2 0 1 1 1 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 1 1 1 0 1 0 1 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0
"severe" 2 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 1 1 1 1 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 3 0
"silent" 1 1 3 2 1 3 1 3 3 2 3 0 1 4 1 1 5 1 0 0 0 2 1 3 1 3 1 1 1 2 1 1 0 0 2 1 0 1 0 1 1 2 2 2 2 0 0 0 0 0 1 1 1 0 0 1 4 1 1 0 2 0
"simple" 2 0 1 0 1 1 0 3 3 0 1 0 0 0 2 1 0 1 1 0 0 0 0 1 1 2 1 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0
"slow" 0 0 0 0 1 1 0 1 3 0 1 0 0 2 0 0 0 1 0 0 0 0 1 1 0 1 0 1 0 1 1 1 1 1 1 0 0 1 1 2 1 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 2 1 1 0 1 0
"solemn" 0 0 0 0 0 1 1 1 1 1 2 0 1 3 0 0 1 1 0 0 1 1 0 2 0 1 0 0 0 3 1 0 0 1 2 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 4 0 2 0 2 0 0 1 0
"vain" 0 1 1 1 1 1 1 4 1 0 0 0 0 5 1 0 0 1 0 0 0 0 0 2 0 1 0 0 0 3 1 0 1 1 0 1 0 0 0 1 0 1 2 0 0 0 0 1 0 1 2 0 0 1 0 1 2 0 1 1 2 2
"violent" 0 0 0 0 1 0 2 3 1 0 0 1 0 2 1 0 0 1 1 1 0 0 2 1 0 2 2 1 1 0 2 1 0 1 0 1 1 1 3 1 2 1 1 1 1 2 0 0 1 0 1 1 1 1 1 1 0 1 0 0 2 1
"warm" 1 2 0 0 0 2 1 1 1 0 1 0 1 2 0 1 0 1 0 1 1 0 0 0 0 2 1 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 3 2 1 0 0 1 0 0 1 0 0 2 0
"wild" 2 1 0 1 1 2 0 0 0 0 0 0 0 4 0 0 1 1 1 0 1 1 0 3 2 5 2 0 0 2 3 0 1 0 0 1 0 0 1 0 1 0 1 1 0 0 0 3 0 1 0 0 3 2 0 1 1 2 2 2 0 0
"vivid" 0 1 0 0 0 0 1 2 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0
