"active" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bitter" "bold" "bright" "calm" "careful" "careless" "certain" "cheerful" "clever" "coarse" "cold" "constant" "cool" "cruel" "cunning" "curious" "deep" "distant" "dull" "eager" "earnest" "elegant" "expressive" "faithful" "foolish" "friendly" "gallant" "genteel" "gentle" "gloomy" "graceful" "gracious" "harsh" "hasty" "hearty" "honest" "humble" "immovable" "impatient" "indifferent" "ingenious" "jealous" "kind" "lively" "loud" "merry" "moral" "narrow" "natural" "nervous" "noisy" "original" "particular" "patient" "peaceful" "pleasant" "profound" "proper" "proud" "quick" "quiet" "respectful" "restless" "rough" "scrupulous" "selfish" "serious" "severe" "silent" "simple" "slow" "smart" "solemn" "spirited" "steady" "stern" "thoughtful" "thoughtless" "tight" "uncouth" "vague" "vain" "violent" "warm" "worldly" "wild" "wise"
"constant" 2 0 2 2 3 2 1 0 0 1 2 0 4 0 0 1 1 0 0 1 1 0 4 3 2 1 4 0 2 1 0 0 1 1 1 1 1 0 3 2 1 1 3 0 0 0 0 0 3 1 1 0 0 0 3 1 0 0 5 0 2 3 2 2 3 3 3 0 2 2 0 2 2 1 0 1 0 0 1 2 1 0 0 1 0 1 0 1 4 2 1 1 2
"cool" 1 1 1 0 2 2 0 0 2 1 0 2 2 2 0 0 1 0 0 0 0 1 2 0 1 0 0 0 0 1 0 1 0 1 2 2 0 0 0 3 0 2 0 1 0 2 0 0 1 0 2 0 0 2 3 1 1 2 2 0 0 2 1 1 2 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 1 0 2 3 1 2 0
"cruel" 0 1 0 1 1 1 1 1 0 0 0 1 4 0 0 0 1 1 0 0 0 0 0 1 2 0 1 0 0 1 1 1 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 3 3 1 0 0 2 0 2 2 1 0 1 1 0 1 0 2 3 0 3 0 0 0 0 1 1 0 2 0 0 0 2 1 1 0 0 0 1 0 0 1 3 0 1 1 0
"cunning" 1 0 0 0 2 1 0 0 2 0 0 1 4 0 0 0 3 1 0 0 0 0 1 1 5 0 2 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 1 0 0 0 0 1 0 1 3 0 0 0 0 0 1 2 1 1 1 0 0 0 2 0 3 0 1 1 1 1 0 1 0 0 0 1 0 1 1 1 0 1 0
"curious" 0 2 1 1 4 0 0 0 1 1 0 1 3 1 0 2 5 0 1 0 0 0 0 0 2 0 1 1 2 0 1 0 0 0 1 2 0 1 3 1 0 1 1 0 1 0 0 0 1 1 2 0 1 0 1 0 2 0 4 0 0 2 1 2 1 1 1 0 1 0 0 1 1 2 2 0 0 0 1 0 1 3 0 0 0 0 0 0 0 2 1 1 0
"deep" 1 1 3 2 7 1 2 2 4 5 3 1 4 2 0 2 4 4 2 0 1 0 0 2 7 4 1 1 1 3 0 2 4 1 4 2 1 1 3 0 1 2 2 2 1 1 0 2 3 0 6 2 1 0 4 1 0 5 7 0 2 12 3 1 6 5 4 0 2 4 1 0 1 1 6 0 3 0 3 2 1 3 2 1 2 1 1 3 5 4 0 4 1
"distant" 0 4 1 0 0 0 0 0 1 0 1 0 2 1 0 0 1 3 0 1 1 0 2 0 3 1 3 0 0 2 1 0 0 0 1 1 0 1 0 0 1 3 1 0 2 0 0 1 2 0 1 0 0 1 3 0 1 0 4 0 2 2 1 0 2 0 4 1 0 0 1 0 0 0 2 1 0 1 0 1 0 0 0 0 0 1 0 0 1 2 1 1 1
"dull" 3 2 2 3 7 2 2 1 9 0 1 2 6 2 1 1 9 2 1 2 5 2 7 3 0 4 2 2 1 1 1 2 0 0 2 6 0 1 3 0 3 1 3 1 4 2 1 2 5 1 7 1 3 1 2 2 1 1 9 1 0 6 4 2 1 2 6 1 1 2 2 0 1 1 7 1 2 2 2 2 2 3 0 0 0 1 0 1 6 3 0 3 1
"eager" 0 1 0 1 4 1 3 0 2 0 3 0 3 4 0 1 4 1 0 0 0 0 4 1 4 0 2 0 0 1 0 1 0 0 1 0 0 0 1 1 1 1 1 0 0 0 0 1 0 0 3 0 2 0 0 0 1 2 2 0 0 6 1 1 0 2 3 0 0 0 1 1 1 1 3 0 2 0 0 0 1 1 0 0 0 3 0 0 3 2 0 0 1
"earnest" 1 0 1 1 2 0 3 0 3 0 2 1 4 1 2 0 5 4 0 1 2 1 1 3 2 2 0 0 1 2 1 1 1 0 5 0 1 1 1 3 2 1 2 0 2 1 0 2 7 1 1 1 1 1 3 0 0 2 4 1 3 1 0 2 2 2 6 0 1 2 1 2 2 1 4 2 0 0 1 2 0 0 0 2 1 1 1 2 1 2 1 1 1
"elegant" 1 1 1 2 0 0 0 1 4 1 1 0 2 3 1 2 4 0 0 0 0 1 1 0 2 0 0 0 1 1 0 1 1 3 4 2 4 0 1 1 1 1 2 0 0 1 1 1 2 3 5 0 1 1 2 2 1 4 2 1 0 1 2 1 2 1 1 2 0 2 1 0 2 0 3 1 1 0 1 1 0 2 0 0 0 0 1 0 0 4 2 1 0
"expressive" 0 1 2 3 2 1 0 1 1 0 0 0 1 1 1 1 4 2 0 0 0 2 1 0 1 0 1 1 0 0 1 1 0 1 2 1 0 0 3 1 0 1 3 0 0 0 0 1 0 0 2 0 0 1 5 0 1 1 3 0 1 2 1 1 1 1 2 1 0 0 0 1 1 1 2 0 0 2 1 0 0 1 0 0 1 0 0 0 0 3 1 1 0
"faithful" 0 0 0 0 2 1 2 1 1 1 0 0 3 3 1 1 0 1 1 1 0 0 3 2 1 1 2 1 0 0 1 2 2 0 1 1 0 0 0 1 1 5 1 0 0 0 0 0 4 0 1 1 0 0 3 1 0 1 2 0 2 1 1 1 3 2 3 2 2 1 0 0 0 0 2 2 1 0 1 2 1 0 0 0 0 0 1 1 1 3 1 2 0
"foolish" 0 0 3 0 7 3 1 0 1 0 2 1 5 0 0 2 3 0 0 1 1 1 0 1 1 0 1 0 1 1 0 1 0 1 2 1 1 2 0 2 1 0 0 0 1 0 0 3 4 0 4 0 2 1 2 1 0 1 6 1 0 1 0 0 3 0 3 2 0 1 0 1 3 1 4 0 5 0 1 0 0 0 1 1 1 0 0 3 3 1 0 1 0
"friendly" 0 0 1 2 4 1 0 0 2 1 1 1 3 2 0 1 2 0 1 1 0 0 2 0 2 1 1 1 1 2 1 0 0 0 1 0 1 0 0 1 1 3 2 0 1 1 0 1 2 1 1 0 0 1 3 0 0 0 1 0 0 3 0 1 2 2 2 0 1 0 1 0 1 0 2 2 1 0 0 0 2 1 0 0 3 0 2 0 1 1 1 0 0
"gallant" 1 0 1 0 1 0 1 2 2 1 1 0 1 0 0 1 1 1 0 0 0 0 4 0 0 0 1 1 0 2 0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 1 0 1 0 1 2 3 0 0 2 1 1 2 0 0 1 1 1 0 1 2 1 0 2 1 0 0 1 0 3 0 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 3 0
"genteel" 1 2 1 2 3 1 1 1 2 0 0 0 6 2 1 1 3 1 1 0 1 0 1 0 0 0 0 3 1 0 1 0 1 0 1 0 1 0 0 0 1 2 1 0 0 1 1 0 0 1 3 0 0 2 2 0 1 3 3 1 0 2 0 4 0 0 2 0 0 3 0 2 4 0 1 0 1 1 2 1 0 0 1 0 0 0 0 0 2 1 0 3 0
"gentle" 2 2 3 0 4 0 2 2 5 3 2 0 3 2 1 2 8 1 2 0 0 1 4 1 2 1 5 4 2 1 2 1 1 1 0 2 4 1 2 3 1 5 4 0 1 0 2 1 2 1 4 2 1 1 5 2 1 4 5 1 0 9 2 0 5 2 4 1 0 3 1 2 1 1 4 1 3 1 1 0 1 2 0 3 2 1 1 3 5 5 2 1 2
"gloomy" 1 3 1 4 1 1 0 0 2 0 2 2 2 0 1 1 7 1 2 0 0 2 2 1 6 0 0 2 1 1 1 0 0 0 2 0 0 0 4 2 1 1 0 0 1 1 1 1 3 1 4 2 0 2 4 3 1 1 5 1 0 2 2 0 1 1 3 1 1 1 1 0 0 1 4 0 1 0 0 0 0 3 1 1 0 1 0 0 5 2 1 2 1
"graceful" 0 1 1 2 0 0 0 1 4 1 0 0 3 0 0 1 5 1 0 1 0 0 1 0 0 0 1 4 0 0 1 1 1 1 4 0 0 0 0 2 0 2 1 0 0 0 1 0 2 1 2 2 0 0 3 1 0 4 0 2 1 2 1 1 0 1 2 0 0 2 0 0 0 1 1 1 2 0 0 0 1 0 0 1 0 1 1 2 0 2 1 1 0
"gracious" 0 1 1 0 3 0 1 1 0 0 0 1 3 0 0 0 1 0 0 1 0 1 1 1 1 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 0 1 0 1 2 0 1 3 0 1 3 0 2 3 0 1 0 0 0 0 1 3 0 0 0 1 0 1 0 0 0 0 1 0 0 0 2 2 0 0 0 0
"harsh" 1 0 1 3 3 0 0 0 1 1 1 1 2 0 0 4 4 3 0 0 0 3 3 0 3 1 1 1 3 0 0 0 1 0 2 4 0 0 0 1 0 1 1 0 1 1 1 0 2 0 5 1 0 0 1 0 1 0 5 0 0 2 1 0 1 3 3 0 0 1 1 0 1 3 3 0 1 0 0 0 2 2 0 1 1 1 0 0 3 0 0 2 0
"hasty" 1 0 2 1 4 2 1 0 3 2 1 1 6 1 0 1 2 2 3 1 0 1 0 0 0 1 3 1 1 1 2 1 1 0 3 2 2 0 1 0 2 2 1 0 3 1 1 2 2 0 3 1 3 1 7 1 1 2 4 1 0 1 2 2 3 2 4 1 3 2 0 0 2 2 4 0 0 1 0 1 1 0 1 0 0 1 1 0 2 2 2 1 1
"hearty" 3 2 1 1 3 0 0 3 2 0 1 0 2 3 0 1 5 1 0 0 1 0 1 1 3 1 2 1 0 1 1 1 0 1 1 1 0 0 0 2 0 4 3 1 1 0 2 1 4 1 0 0 0 0 2 0 2 0 4 1 1 1 1 0 0 1 2 0 1 0 0 0 0 0 4 1 0 2 1 0 0 1 0 0 1 1 0 0 4 3 1 0 0
"honest" 0 2 1 1 2 2 2 0 4 4 0 2 3 5 3 3 11 1 2 1 1 1 2 3 1 1 1 1 1 5 0 3 0 2 5 1 2 0 1 2 4 0 4 1 1 2 1 0 5 1 6 2 0 0 4 0 0 3 6 1 1 3 0 2 4 2 3 1 2 1 1 3 0 1 8 4 2 1 1 2 2 3 0 0 3 1 2 1 6 3 2 2 1
"humble" 1 3 3 0 5 1 2 0 4 0 0 0 2 2 0 0 5 3 0 0 0 1 2 1 3 1 2 2 3 1 0 2 0 1 4 0 1 0 1 1 3 4 0 1 1 0 0 1 1 0 3 1 1 0 4 0 0 2 2 1 2 7 1 1 3 1 3 0 0 3 2 1 2 0 1 0 2 1 1 0 2 2 0 1 1 1 0 1 4 6 1 3 0
"immovable" 1 0 1 0 3 0 0 1 2 1 1 0 1 0 2 0 1 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 3 1 0 2 3 1 0 1 0 1 1 0 3 0 0 1 0 0 1 0 1 1 1 0 0 1 0 0 1 1 0 1 0 0 0 1 1 0 1
"impatient" 1 3 1 0 6 1 0 0 1 1 1 2 1 1 0 0 3 0 0 1 1 1 1 2 4 0 2 0 0 0 1 1 0 0 1 1 0 0 1 3 1 1 1 0 0 2 1 3 2 0 5 0 2 1 3 0 0 2 4 0 0 2 3 2 1 3 5 0 0 1 0 1 1 1 3 0 1 2 0 1 1 0 2 0 1 1 0 0 3 1 0 3 0
"indifferent" 0 1 0 0 3 1 0 1 1 1 0 4 2 2 0 0 1 0 2 0 1 0 1 0 2 0 1 1 0 0 0 1 1 1 0 1 0 0 1 1 0 2 0 0 2 0 0 0 0 1 2 1 0 0 2 0 0 3 1 0 0 0 0 0 0 0 2 0 1 1 0 1 2 0 3 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 3 0
"ingenious" 0 1 2 1 1 0 0 3 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 2 1 1 0 1 1 2 1 0 1 1 0 0 1 1 0 2 0 0 0 1 0 0 0 2 0 0 2 0 1 1 0 3 0 0 1 1 0 0 0 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 1 0 0 0
"jealous" 0 1 2 0 5 4 1 2 1 0 4 0 2 1 0 0 1 0 0 3 1 0 2 1 2 1 2 1 1 0 3 1 1 0 1 1 0 0 0 2 1 0 1 0 3 0 1 0 1 0 3 0 3 0 4 2 0 0 5 3 0 4 1 5 4 1 4 1 0 1 2 1 3 0 2 0 2 1 0 0 0 1 1 2 2 0 0 1 2 1 1 3 0
"kind" 1 2 2 1 7 1 3 1 4 0 0 1 8 3 1 1 7 3 1 3 0 1 3 2 5 0 7 2 0 4 4 2 0 0 2 3 2 1 2 2 4 5 1 0 2 0 1 1 0 2 6 1 1 2 6 2 0 1 9 2 2 9 1 1 4 3 7 2 1 1 2 1 2 3 2 1 3 0 1 1 1 1 2 3 1 0 3 1 4 4 2 1 2
"lively" 2 1 2 1 0 1 0 2 3 0 0 1 3 2 1 0 4 1 0 1 0 1 0 0 1 0 1 3 0 0 0 1 1 1 1 1 1 1 0 0 1 1 0 0 0 1 0 0 2 0 1 0 0 1 2 0 0 1 2 1 1 0 0 4 2 0 1 1 0 1 0 1 2 2 1 2 0 0 0 0 0 0 0 1 1 0 2 0 2 2 1 1 0
"loud" 2 2 1 2 7 4 2 2 3 3 2 1 5 2 3 8 7 1 2 0 1 2 6 1 7 3 1 5 2 1 4 1 2 3 4 4 2 3 5 3 0 6 3 1 5 2 2 3 6 1 0 1 3 3 4 2 2 5 4 1 1 7 3 3 0 3 10 3 1 4 2 0 3 6 8 0 5 3 3 2 1 1 1 2 2 1 2 1 5 5 0 7 1
"merry" 1 1 1 1 2 0 0 1 2 0 0 1 2 0 0 1 1 0 0 0 0 0 2 0 1 0 1 0 0 1 0 0 3 0 2 2 2 0 1 1 0 2 1 0 0 1 0 0 1 0 1 0 0 0 1 0 1 3 1 0 2 2 1 0 1 2 2 0 1 2 0 0 0 0 2 0 0 1 1 0 0 1 0 0 0 0 0 2 1 1 0 2 0
"moral" 0 1 1 0 4 3 1 1 2 0 1 0 5 1 0 1 4 0 0 2 0 1 1 0 3 2 1 1 0 0 2 0 0 0 1 0 0 1 0 3 0 0 1 0 2 0 0 3 1 0 3 0 0 0 1 3 1 2 2 0 0 3 1 3 2 1 2 0 1 1 0 0 2 0 1 1 2 2 0 0 0 1 0 1 0 1 0 1 2 0 0 0 0
"narrow" 0 2 0 0 0 2 1 0 2 0 0 0 2 0 0 1 0 0 2 0 0 0 0 1 1 0 1 1 1 0 1 1 0 2 1 2 0 0 0 1 0 0 0 0 1 0 0 0 2 1 3 0 0 0 3 1 0 1 3 0 0 2 3 1 2 0 1 0 0 1 0 0 1 0 2 1 0 1 1 0 0 0 1 0 1 1 1 0 4 1 1 0 0
"natural" 1 4 5 5 9 1 1 2 6 3 1 1 12 2 0 0 3 3 3 2 0 1 4 3 2 0 3 2 5 3 2 3 2 2 5 4 3 1 1 7 2 4 4 3 3 2 1 4 6 2 4 1 1 3 0 5 1 2 5 3 2 8 4 5 3 2 11 1 3 6 0 1 5 3 6 2 7 2 1 1 2 0 3 1 2 2 1 0 3 6 2 4 1
"nervous" 0 1 0 0 2 1 0 1 2 0 2 0 3 0 1 2 4 1 1 2 1 0 1 0 2 0 0 2 0 1 1 0 1 0 2 3 1 2 0 1 0 0 0 1 0 0 0 2 2 0 2 0 3 1 5 0 1 1 1 1 0 1 2 2 2 2 1 1 0 1 0 0 2 0 1 1 1 1 0 0 1 1 0 0 0 0 0 1 2 2 0 1 1
"noisy" 1 1 0 1 3 1 0 2 1 0 0 0 1 1 0 1 2 0 1 1 0 2 0 1 1 1 0 1 1 0 0 0 1 1 1 1 0 0 1 1 2 0 0 0 0 0 0 0 0 0 2 1 1 0 1 1 0 1 0 0 0 3 0 0 0 1 2 1 1 0 0 0 1 1 3 0 0 2 0 0 0 1 0 0 0 0 0 0 1 1 0 3 0
"original" 0 5 1 1 3 2 0 2 5 3 1 1 6 3 2 2 6 0 2 0 1 0 5 0 1 2 2 4 1 1 1 0 2 3 4 1 4 1 0 2 0 3 2 2 2 3 0 0 1 1 5 3 2 1 2 1 1 0 7 2 2 6 4 1 3 2 3 0 1 2 0 1 3 0 5 0 2 0 3 0 0 3 2 1 1 1 0 4 5 2 1 3 1
"particular" 2 4 5 4 10 4 3 1 8 1 2 2 9 6 2 3 10 5 2 1 3 4 7 4 9 2 4 2 3 2 6 1 0 3 5 5 0 3 5 4 4 6 2 3 4 1 2 5 9 2 4 1 2 3 5 1 0 7 0 3 0 8 3 5 7 5 4 2 1 1 2 3 8 1 9 1 2 0 1 3 1 4 4 2 2 3 0 0 5 5 2 1 2
"patient" 0 0 0 1 2 1 2 0 2 1 0 0 3 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 0 1 0 0 1 1 1 2 0 0 1 1 1 1 1 0 0 0 3 2 1 1 0 0 0 3 1 0 2 3 0 1 1 1 1 0 1 2 0 0 1 0 0 3 1 0 0 2 0 0 0 0 0 0 3 1 0 1 1 2 0 1 0 0
"peaceful" 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 1 1 2 0 0 0 0 2 2 0 0 3 0 1 2 0 0 1 0 0 0 1 1 0 0 1 1 2 0 0 0 0 0 2 1 1 2 0 0 2 0 0 2 0 1 0 2 0 0 2 1 3 0 1 2 0 0 0 2 1 1 0 2 2 0 0 1 0 1 1 0 1 1 0 1 1 2 0
"pleasant" 0 3 9 0 8 2 4 3 5 1 2 0 8 5 0 2 6 3 2 1 0 2 12 2 6 6 1 1 2 1 1 3 1 2 9 2 2 3 2 1 1 3 7 1 2 0 2 4 9 0 7 2 3 2 8 1 3 6 8 1 2 0 3 2 8 4 12 1 1 3 2 0 3 2 4 1 6 3 4 2 2 2 2 0 3 2 0 3 7 7 1 3 3
"profound" 1 3 1 0 4 0 0 1 1 0 0 0 8 4 0 1 0 2 1 0 0 1 3 1 4 1 0 2 1 1 0 0 1 0 2 2 1 0 1 2 1 0 1 0 3 0 0 1 1 0 3 1 1 3 4 2 0 4 3 1 0 3 0 2 2 2 3 2 1 1 0 1 3 2 2 1 2 3 1 1 2 0 1 1 2 1 0 2 5 3 1 2 2
"proper" 2 2 3 3 3 2 2 2 2 0 1 3 8 3 3 0 6 2 1 2 0 2 1 0 2 1 2 1 1 1 0 1 0 4 0 0 1 2 0 2 0 2 1 1 2 0 1 5 1 4 3 0 3 1 5 2 0 1 5 1 0 2 2 0 2 1 3 2 0 4 1 1 7 1 0 0 2 1 1 2 1 0 0 1 0 0 0 0 4 4 1 3 1
"proud" 0 2 3 1 7 3 1 0 2 1 1 0 5 3 1 1 1 3 2 3 1 1 6 2 1 0 2 2 1 3 3 2 1 0 5 1 0 3 1 3 0 4 3 1 1 0 1 4 4 2 0 1 2 2 3 2 0 3 7 0 2 8 2 2 0 1 1 0 1 0 1 3 8 0 5 2 3 0 3 1 0 0 2 1 1 0 1 2 8 4 3 2 0
"quick" 2 0 2 3 4 0 0 0 3 1 2 0 2 2 1 2 5 3 0 0 2 1 5 0 2 2 2 1 1 2 0 2 2 0 2 1 1 0 3 2 1 2 1 0 3 0 0 1 3 0 3 2 1 0 2 2 1 2 5 1 1 4 2 1 1 0 3 0 2 2 1 1 1 3 2 0 2 0 1 2 3 1 1 1 0 2 1 1 3 1 0 3 1
"quiet" 3 3 4 2 7 4 3 3 7 2 2 2 12 7 0 1 10 3 1 3 1 1 4 4 6 3 6 1 2 3 3 2 1 2 4 3 2 1 3 4 2 3 3 3 5 2 3 4 7 1 10 2 2 1 11 1 2 3 4 2 3 12 3 3 1 3 0 2 2 4 1 1 2 4 6 2 5 2 2 3 2 1 0 2 1 0 4 2 3 7 1 8 1
"respectful" 2 0 2 1 0 1 0 0 0 0 0 1 2 2 0 1 2 0 0 0 1 0 0 1 1 0 0 2 1 2 2 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 1 2 1 3 0 0 0 1 1 1 0 2 0 0 1 2 2 0 0 2 0 0 2 0 0 1 1 2 0 2 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1
