"affectionate" "agreeable" "amiable" "anxious" "bold" "bright" "calm" "capable" "careful" "certain" "cheerful" "childish" "clever" "cold" "confused" "constant" "cordial" "cruel" "curious" "deep" "distant" "dull" "earnest" "faithful" "foolish" "friendly" "generous" "genteel" "gentle" "gloomy" "gracious" "honest" "indifferent" "inexperienced" "kind" "lively" "mild" "modest" "narrow" "natural" "nervous" "original" "particular" "patient" "pleasant" "practical" "profound" "proud" "quick" "quiet" "reproachful" "restless" "rough" "selfish" "sensitive" "serious" "severe" "silent" "simple" "slow" "solemn" "steady" "tender" "thoughtful" "timid" "vain" "violent" "warm" "wild" "wise" "worldly"
"foolish" 2 3 0 4 0 7 3 0 2 2 2 2 2 2 0 0 0 2 1 3 0 1 0 3 0 2 0 0 7 1 3 0 0 2 5 0 0 1 0 3 0 1 1 2 2 2 1 2 1 7 1 1 3 0 0 5 0 5 1 0 3 0 1 0 2 1 1 1 4 0 0
"friendly" 1 6 3 2 2 5 3 0 1 9 2 1 0 3 3 0 1 2 3 1 4 1 2 1 2 0 0 3 4 1 0 0 1 1 6 0 3 1 1 5 0 1 5 0 7 0 2 3 4 4 1 0 3 2 1 1 1 2 3 1 1 1 1 5 1 1 1 0 3 1 3
"generous" 1 1 0 2 2 0 1 0 0 1 0 1 2 0 0 2 0 3 1 0 0 1 3 1 0 0 0 0 1 0 0 1 1 2 2 0 1 0 0 2 0 0 2 1 1 0 0 3 0 2 0 1 2 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 2 1 1
"genteel" 1 1 1 4 0 2 2 1 1 6 1 0 0 0 1 0 0 0 2 4 2 2 0 0 0 3 0 0 0 0 1 0 0 0 1 0 1 0 2 0 1 1 1 1 2 1 2 2 3 2 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0 2 0 0 0
"gentle" 6 3 1 4 3 8 6 2 3 7 3 1 3 6 1 0 3 1 2 5 3 4 4 3 7 4 1 0 0 2 1 3 3 2 6 1 1 3 0 7 1 2 4 1 5 1 1 3 6 11 2 2 4 0 2 4 1 6 2 1 1 0 4 4 3 0 0 3 5 0 0
"gloomy" 1 2 0 1 2 2 1 0 0 2 1 1 0 0 0 0 1 1 1 1 2 4 0 0 1 1 0 0 2 0 0 0 0 1 3 0 0 0 2 2 1 0 3 0 1 0 0 1 0 4 0 0 1 2 0 1 1 2 1 0 1 1 0 0 0 1 0 0 3 0 1
"gracious" 1 2 2 3 2 2 1 0 0 1 2 1 1 0 0 0 0 1 1 2 0 0 1 1 3 0 0 1 1 0 0 1 0 0 2 0 2 1 1 4 1 0 0 0 3 0 1 0 2 1 1 1 0 0 0 1 0 1 1 1 1 0 0 0 0 0 2 1 3 0 0
"honest" 1 3 2 2 2 3 1 1 1 5 2 1 0 2 1 1 1 3 0 3 2 1 1 0 0 0 1 0 3 0 1 0 2 0 3 1 0 0 0 3 0 1 3 0 5 0 0 2 0 3 0 1 3 2 1 1 2 5 1 5 2 1 0 1 3 0 0 0 2 0 0
"indifferent" 1 0 1 1 3 1 0 0 0 4 1 1 0 1 0 2 1 0 2 1 1 0 3 1 0 1 1 0 3 0 0 2 0 0 2 1 2 0 1 2 0 1 2 0 1 2 0 0 1 5 0 1 1 0 0 1 1 0 1 0 0 2 0 1 1 1 0 1 1 0 1
"inexperienced" 3 1 0 0 0 3 2 0 0 2 0 1 0 0 0 0 0 1 0 1 0 0 1 1 2 1 2 0 2 1 0 0 0 0 0 0 1 1 0 2 0 0 2 1 2 1 1 2 0 4 1 0 0 0 0 3 1 1 1 0 0 0 2 0 1 0 0 1 1 1 1
"kind" 5 6 3 3 2 8 2 2 2 11 6 4 1 5 0 1 0 4 4 3 3 4 4 2 5 6 2 1 6 3 2 3 2 0 0 2 3 1 1 7 5 3 5 3 6 1 1 2 1 8 2 2 8 1 2 5 1 10 2 2 4 3 1 1 3 1 1 1 6 3 3
"lively" 0 1 1 2 0 3 0 1 0 5 2 1 0 2 2 2 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 2 0 0 0 1 2 2 1 2 0 2 0 0 0 1 3 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 1 1 2 1 1 0
"mild" 1 0 3 1 2 2 2 0 0 6 1 0 0 1 0 0 1 0 0 1 1 1 2 1 0 3 1 1 1 0 2 0 2 1 3 0 0 0 1 5 0 0 1 0 1 0 0 2 1 2 1 0 0 2 0 0 2 2 4 2 0 1 0 2 2 1 1 2 0 3 1
"modest" 1 0 0 2 3 4 3 1 1 2 2 1 2 1 0 0 1 0 0 0 0 1 4 2 1 1 0 0 3 0 1 0 0 1 1 0 0 0 0 2 0 0 2 0 3 1 0 0 3 3 1 0 0 0 1 3 0 4 0 0 0 1 1 2 1 0 1 0 1 0 0
"narrow" 0 2 1 0 0 2 1 0 0 4 0 1 0 2 1 0 1 0 1 2 0 3 0 0 0 1 0 2 0 2 1 0 1 0 1 1 1 0 0 2 0 1 1 0 0 0 1 0 2 2 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 1 0 2 1 0 1
"natural" 4 13 4 4 3 14 4 3 0 11 7 1 4 5 2 1 3 4 0 4 5 6 5 3 3 5 2 0 7 2 4 3 2 2 7 2 5 2 2 0 4 4 11 1 7 1 2 4 6 11 3 0 3 0 1 5 1 8 8 5 1 2 2 6 3 1 1 4 2 4 3
"nervous" 0 2 1 0 1 3 0 1 0 4 1 1 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 1 1 1 1 0 0 0 5 2 0 0 0 4 0 1 1 1 3 3 1 0 1 3 0 0 1 0 0 1 0 1 0 0 0 1 0 1 1 0 2 1 3 2 0
"original" 2 0 2 0 1 2 1 0 1 2 2 1 1 1 0 1 0 1 0 2 2 1 0 1 1 1 0 1 2 0 0 1 1 0 3 1 0 0 1 4 1 0 1 1 0 1 0 0 0 4 0 1 0 0 0 0 0 2 1 0 0 0 0 1 1 1 0 2 0 1 0
"particular" 3 5 2 4 1 9 2 1 1 8 3 3 4 3 0 3 2 2 0 2 5 3 3 0 1 5 2 1 4 3 0 3 2 2 5 2 1 2 1 11 1 1 0 2 7 3 1 8 2 11 1 1 2 2 2 4 0 2 2 2 1 2 2 2 2 2 0 1 3 3 3
"patient" 1 1 1 2 0 2 3 0 0 5 1 0 0 1 0 1 0 1 1 1 0 0 1 0 2 0 1 1 1 0 0 0 0 1 3 0 0 0 0 1 1 1 2 0 0 1 1 2 0 3 0 0 2 1 0 1 0 2 0 0 0 1 0 0 1 0 0 0 1 3 2
"pleasant" 2 7 2 5 3 10 2 0 2 5 4 2 3 7 4 1 2 7 4 8 4 7 5 1 2 7 1 2 5 1 3 5 1 2 6 2 1 3 0 7 3 0 7 0 0 1 0 3 5 12 1 3 4 4 3 4 0 8 4 2 2 0 2 1 4 3 1 0 6 1 3
"practical" 1 3 1 2 2 5 0 0 0 2 1 2 0 1 0 1 0 0 0 1 1 0 2 0 2 0 0 1 1 0 0 0 2 1 1 0 0 1 0 1 3 1 3 1 1 0 1 1 1 1 0 0 1 0 1 4 0 0 0 0 0 2 1 1 1 0 1 1 2 1 1
"profound" 3 2 1 1 0 4 0 0 1 4 0 0 0 1 1 0 0 0 0 4 0 0 2 1 1 2 0 2 1 0 1 0 0 1 1 0 0 0 1 2 1 0 1 1 0 1 0 2 1 1 0 1 1 1 0 1 1 3 2 0 1 0 1 1 0 0 0 0 1 2 0
"proud" 1 2 1 1 0 9 5 2 0 7 2 4 2 3 0 1 1 2 2 3 4 3 4 1 2 3 3 2 3 1 0 2 0 2 2 0 2 0 0 4 0 0 8 2 3 1 2 0 1 9 0 2 4 3 0 0 1 2 3 3 2 2 0 0 1 3 1 1 3 2 2
"quick" 1 2 0 2 3 5 1 0 0 5 1 1 1 0 1 1 3 1 2 3 2 2 3 1 1 4 0 3 6 0 2 0 1 0 1 1 1 3 2 6 1 0 2 0 5 1 1 1 0 4 0 0 0 0 0 3 0 2 2 1 0 1 0 4 0 0 0 0 1 0 0
"quiet" 9 7 4 4 10 15 8 2 3 14 11 5 4 7 0 2 3 7 3 5 9 6 6 4 7 4 2 2 11 4 1 3 5 4 8 3 2 3 2 11 3 4 11 3 12 1 1 9 4 0 3 3 5 4 1 5 2 11 4 3 2 2 2 5 6 8 1 2 8 3 2
"reproachful" 2 2 1 1 0 1 1 1 0 1 5 0 1 2 1 0 0 1 0 0 0 2 1 0 1 1 0 0 2 0 1 0 0 1 2 1 1 1 0 3 0 0 1 0 1 0 0 0 0 3 0 2 0 1 2 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0
"restless" 3 2 0 1 1 3 1 0 0 1 0 2 1 1 0 1 0 2 1 3 1 0 1 2 1 0 1 0 2 0 1 1 1 0 2 0 0 0 0 0 0 1 1 0 3 0 1 2 0 3 2 0 2 2 0 0 0 1 0 0 2 0 0 0 0 1 1 0 1 0 1
"rough" 2 0 0 1 5 6 2 0 0 3 1 3 2 4 1 3 0 0 3 2 1 1 3 1 3 3 2 0 4 1 0 3 1 0 8 0 0 0 0 3 1 0 2 2 4 1 1 4 0 5 0 2 0 0 1 1 0 6 2 1 4 1 0 1 3 1 0 1 7 1 1
"selfish" 1 4 0 0 1 1 1 0 0 3 1 0 0 1 0 0 0 2 1 1 2 0 2 0 0 2 0 1 0 2 0 2 0 0 1 0 2 0 0 0 0 0 2 1 4 0 1 3 0 4 1 2 0 0 0 1 1 1 2 0 2 0 0 1 1 2 0 0 0 1 2
"sensitive" 0 1 1 1 0 0 0 1 1 1 3 1 1 4 1 0 0 1 1 0 1 3 1 0 0 1 0 1 2 0 0 1 0 0 2 0 0 1 0 1 0 0 2 0 3 1 0 0 0 1 2 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0
"serious" 5 4 0 3 2 9 1 1 1 5 3 3 1 1 2 1 1 4 0 2 0 0 3 3 5 1 0 0 4 1 1 1 1 3 5 1 0 3 1 5 1 0 4 1 4 4 1 0 3 5 0 0 1 1 1 0 1 1 1 2 0 2 3 1 1 0 1 2 3 1 2
"severe" 2 1 1 0 0 2 1 0 1 4 0 1 0 1 0 0 0 2 0 0 0 0 1 0 0 1 0 0 1 1 0 2 1 1 1 1 2 0 0 1 0 0 0 0 0 0 1 1 0 2 0 0 0 1 0 1 0 1 1 2 1 0 0 0 1 0 1 1 0 0 1
"silent" 5 3 5 4 1 5 4 2 5 6 6 3 4 5 1 0 2 8 4 3 3 5 3 1 5 2 1 0 6 2 1 5 0 1 10 1 2 4 1 8 1 2 2 2 8 0 3 2 2 11 0 1 6 1 1 1 1 0 2 3 2 0 2 3 0 3 2 0 6 2 1
"simple" 0 0 2 2 2 5 0 0 0 6 5 1 2 0 1 2 1 0 1 0 1 0 3 2 1 3 1 0 2 1 1 1 1 1 2 0 4 0 1 8 0 1 2 0 4 0 2 3 2 4 0 0 2 2 0 1 1 2 0 0 1 1 0 2 0 0 0 0 0 2 3
"slow" 2 2 0 1 0 4 2 1 0 5 1 2 1 1 0 0 0 1 0 1 2 2 3 0 0 1 0 1 1 0 1 5 0 0 2 0 2 0 0 5 0 0 2 0 2 0 0 3 1 3 0 0 1 0 0 2 2 3 0 0 1 1 1 1 3 1 1 1 0 0 0
"solemn" 1 1 0 0 0 5 0 0 0 3 2 2 1 2 0 0 0 2 1 2 0 0 1 1 3 1 0 0 1 1 1 2 0 0 4 1 0 0 0 1 0 0 1 0 2 0 1 2 0 2 1 2 4 2 0 0 1 2 1 1 0 0 0 0 2 0 1 0 1 0 0
"steady" 1 1 1 1 1 1 0 0 0 3 2 2 0 0 0 1 1 0 2 2 1 4 1 1 0 1 0 1 0 1 0 1 2 0 3 0 1 1 1 2 1 0 2 1 0 2 0 2 1 2 0 0 1 0 0 2 0 0 1 1 0 0 0 0 0 1 0 1 2 0 2
"tender" 1 2 1 2 0 1 0 0 0 3 0 2 1 2 0 0 0 3 0 1 2 0 4 1 1 1 1 0 4 0 0 0 0 2 1 0 0 1 0 2 0 0 2 0 2 1 1 0 0 2 0 0 0 0 1 3 0 2 0 1 0 0 0 1 1 0 0 2 2 0 0
"thoughtful" 1 4 1 5 3 3 0 1 0 6 2 0 1 1 1 0 2 1 2 1 2 2 2 0 0 5 0 0 4 0 0 1 1 0 1 0 2 2 0 6 1 1 2 0 1 1 1 0 4 5 1 0 1 1 0 1 0 3 2 1 0 0 1 0 1 2 1 1 1 0 0
"timid" 1 1 1 0 1 5 1 1 0 2 0 3 0 4 0 0 0 0 1 0 2 1 2 0 2 1 0 0 3 0 0 3 1 1 3 0 2 1 1 3 1 1 2 1 4 1 0 1 0 6 0 0 3 1 0 1 1 0 0 3 2 0 1 1 0 0 1 1 2 1 0
"vain" 0 1 0 0 0 6 0 0 1 4 4 1 0 1 1 1 1 1 2 1 2 4 0 0 1 1 0 1 0 1 0 0 1 0 1 1 1 0 1 1 0 1 2 0 3 0 0 3 0 8 1 1 1 2 0 0 0 3 0 1 0 1 0 2 0 0 0 1 3 0 1
"violent" 0 0 1 3 2 2 1 0 0 1 1 2 1 1 0 0 0 1 1 2 0 1 1 1 1 1 0 0 0 0 2 0 0 0 1 1 1 1 0 1 2 0 0 0 1 1 0 1 0 1 1 1 0 0 1 1 1 2 0 1 1 0 0 1 1 0 0 1 1 0 0
"warm" 1 2 0 3 1 2 2 1 0 6 2 2 0 3 1 1 0 0 0 0 1 1 0 1 1 0 0 2 3 0 1 0 1 1 1 2 2 0 2 4 1 2 1 0 0 1 0 1 0 2 0 0 1 0 0 2 1 0 0 1 0 1 2 1 1 1 1 0 2 0 1
"wild" 1 0 1 6 3 6 2 1 2 9 2 4 0 3 2 1 2 2 4 4 2 7 6 3 4 3 2 0 5 3 3 2 1 1 6 1 0 1 1 2 3 0 3 1 6 2 1 3 1 8 0 1 7 0 1 3 0 6 0 0 1 2 2 1 2 3 1 2 0 1 0
"wise" 0 1 1 1 0 3 2 0 1 5 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 3 1 3 0 0 4 2 1 3 3 1 1 2 2 0 3 0 0 1 1 0 1 0 2 2 0 0 0 0 0 1 0 0 0 1 0 0
"worldly" 0 2 1 1 1 2 0 0 0 1 1 0 0 1 1 0 0 1 2 0 0 0 0 0 0 3 1 0 0 1 0 0 1 1 3 0 1 0 1 3 0 0 3 2 3 1 0 2 0 2 0 1 1 2 0 2 1 1 3 0 0 2 0 0 0 1 0 1 0 0 0
