"affectionate" "agreeable" "amiable" "anxious" "awkward" "bold" "capable" "certain" "cheerful" "civil" "confused" "cruel" "deep" "determined" "distant" "dull" "eager" "earnest" "elegant" "faithful" "flighty" "foolish" "generous" "gentle" "hasty" "hearty" "humble" "ignorant" "impatient" "impertinent" "indifferent" "kind" "lively" "loud" "modest" "natural" "obliging" "particular" "polite" "productive" "profound" "proper" "proud" "quick" "quiet" "respectful" "rude" "serious" "severe" "silent" "simple" "smart" "vain" "violent"
"dull" 0 0 0 0 1 1 0 2 0 0 0 2 2 1 0 0 1 2 0 0 0 1 2 0 1 0 1 3 0 2 1 0 0 1 1 1 0 2 0 0 3 0 3 0 0 0 0 0 0 2 1 0 2 2
"eager" 2 0 2 0 1 0 3 5 2 1 1 4 1 2 1 1 0 1 1 1 0 0 2 1 1 2 1 2 0 4 4 0 2 3 1 3 1 4 0 1 0 2 2 1 3 0 1 2 0 4 2 1 2 3
"earnest" 1 0 2 0 2 0 0 2 0 0 0 3 1 0 0 2 1 0 0 1 0 2 1 0 0 0 0 1 0 3 1 0 0 3 0 2 0 1 1 1 0 1 1 0 1 0 1 0 0 1 0 1 1 2
"elegant" 0 1 0 0 0 2 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 3 0 1 0 0 0 1 0 2 2 1 0 2 2 0 0 1 0 0 0 3 0 1 1 0 0 1 1 2 1 0 0 1
"faithful" 0 0 3 0 0 0 1 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 1 1 0 2 2 0 0 0 1 0 1 0 0 2 0 1 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 1
"flighty" 0 1 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 1 2 1 0 0 1 0 1 0 0 0 0 1 1 1 2 0 0 0 1 0 1 0 0 0 0 0 3 0 0 0 1
"foolish" 0 1 1 0 3 2 1 2 1 1 2 2 0 0 1 1 0 2 3 0 1 0 1 1 0 0 1 3 0 4 2 1 0 4 1 0 1 2 1 0 0 3 1 1 2 1 1 1 1 5 0 0 1 2
"generous" 0 1 2 2 0 1 3 2 1 0 1 4 0 3 1 2 2 1 0 1 1 1 0 1 1 0 3 3 1 4 0 2 1 2 2 3 1 1 2 3 2 5 2 1 0 0 0 2 0 5 1 0 2 5
"gentle" 0 3 3 0 0 1 0 1 1 1 1 1 0 0 3 0 1 0 1 1 2 1 1 0 1 2 2 1 1 3 1 0 1 0 0 1 1 3 0 0 0 0 0 2 0 1 0 1 0 2 2 1 1 1
"hasty" 0 0 1 1 0 1 1 0 1 0 1 0 1 0 1 1 1 0 0 0 1 0 1 1 0 0 1 2 0 1 0 0 2 0 0 0 1 2 0 0 0 0 1 1 1 0 0 1 0 5 1 0 2 1
"hearty" 0 0 2 0 0 1 1 1 0 1 0 1 1 0 1 0 2 0 0 2 0 0 0 2 0 0 2 1 1 0 1 0 1 0 1 2 1 2 1 0 0 0 0 0 0 0 0 3 1 0 1 0 0 1
"humble" 0 1 3 1 1 1 2 2 0 0 0 1 0 3 2 1 1 0 0 2 0 1 3 2 1 2 0 3 0 2 1 0 2 2 0 3 0 1 1 0 1 2 1 0 0 0 1 1 0 2 1 0 2 2
"ignorant" 1 3 1 2 3 2 2 3 0 2 2 2 1 2 2 3 2 1 1 0 1 3 3 1 2 1 3 0 1 3 3 2 2 1 5 1 0 2 1 0 2 2 3 0 1 0 2 3 2 7 2 0 1 1
"impatient" 0 0 0 1 0 2 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 1 1 0 0 0 2 2 0 1 0 1 1 0 0 2 1 0 0 0 0 1
"impertinent" 3 3 1 0 2 4 1 5 0 3 0 7 0 2 1 2 4 3 2 0 1 4 4 3 1 0 2 3 1 0 0 1 3 6 1 4 1 2 2 0 1 3 2 3 2 1 2 0 0 6 1 2 5 4
"indifferent" 1 1 4 0 1 1 1 3 2 0 1 3 2 0 0 1 4 1 2 1 0 2 0 1 0 1 1 3 0 0 0 2 1 1 3 2 0 4 0 0 0 3 4 0 1 0 0 2 1 3 1 0 0 2
"kind" 1 2 1 0 2 2 2 1 2 0 1 2 0 1 1 0 0 0 1 0 0 1 2 0 0 0 0 2 0 1 2 0 1 0 2 0 1 1 1 1 0 0 0 0 1 0 0 1 0 2 1 0 3 1
"lively" 2 2 1 1 1 1 1 1 1 1 0 1 0 0 0 0 2 0 0 1 0 0 1 1 2 1 2 2 0 3 1 1 0 0 0 1 0 2 0 0 0 0 0 1 1 1 0 2 0 1 0 1 1 1
"loud" 0 0 0 1 2 3 0 2 0 0 4 1 1 2 0 1 3 3 2 0 0 4 2 0 0 0 2 1 1 6 1 0 0 0 0 1 0 1 1 0 1 5 0 2 4 0 1 0 0 4 1 2 3 4
"modest" 0 0 0 0 1 2 1 2 2 2 0 4 1 0 1 1 1 0 2 0 1 1 2 0 0 1 0 5 1 1 3 2 0 0 0 1 0 0 1 0 1 2 0 0 1 1 1 2 2 4 0 0 2 0
"natural" 2 0 4 0 0 2 2 4 0 1 0 1 1 2 1 1 3 2 0 2 1 0 3 1 0 2 3 1 0 4 2 0 1 1 1 0 1 3 0 0 0 2 2 0 0 0 0 2 1 5 1 2 1 0
"obliging" 0 0 1 0 0 0 1 2 1 0 0 2 1 1 2 0 1 0 0 0 1 1 1 1 1 1 0 0 0 1 0 1 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 1 0 2 0 0 1 1
"particular" 1 4 3 1 1 2 2 3 2 1 3 3 1 1 1 2 4 1 1 1 2 2 1 3 2 2 1 2 0 2 4 1 2 1 0 3 2 0 0 1 2 2 2 2 1 3 0 5 1 7 0 2 1 5
"polite" 0 0 1 1 0 1 2 1 0 1 0 3 0 1 0 0 0 1 0 0 0 1 2 0 0 1 1 1 2 2 0 1 0 1 1 0 0 0 0 1 1 1 1 0 2 2 2 2 1 0 0 1 0 0
"productive" 0 0 1 2 0 1 0 0 2 0 0 3 0 1 0 0 1 1 0 1 0 0 3 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 2 0 0 1 0 0 0 0 0 4
"profound" 0 2 0 0 0 1 2 1 0 0 1 1 1 1 0 3 0 0 0 0 0 0 2 0 0 0 1 2 0 1 0 0 0 1 1 0 1 2 1 0 0 1 1 0 0 2 0 0 0 2 0 0 1 2
"proper" 1 0 4 0 0 0 1 1 1 0 2 6 2 0 0 0 2 1 3 1 1 3 5 0 0 0 2 2 1 3 3 0 0 5 2 2 0 2 1 1 1 0 1 1 2 1 0 1 1 4 0 0 4 3
"proud" 1 0 3 1 1 0 0 1 1 1 0 4 3 2 0 3 2 1 0 0 0 1 2 0 1 0 1 3 0 2 4 0 0 0 0 2 0 2 1 0 1 1 0 0 0 0 0 2 0 1 2 1 2 1
"quick" 0 1 1 1 0 0 1 0 0 1 0 2 2 2 0 0 1 0 1 0 1 1 1 2 1 0 0 0 1 3 0 0 1 2 0 0 0 2 0 0 0 1 0 0 0 2 0 0 1 3 0 1 2 1
"quiet" 1 0 0 2 2 2 0 2 0 1 1 4 0 0 2 0 3 1 1 0 0 2 0 0 1 0 0 1 1 2 1 1 1 4 1 0 0 1 2 2 0 2 0 0 0 0 2 1 0 1 1 1 0 1
"respectful" 0 2 2 0 0 1 2 0 0 1 0 2 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 3 2 0 2 1 0 2 0 0 0 0 1 0 0 1 2 1
"rude" 0 2 1 0 0 0 0 1 1 2 0 3 0 1 1 0 1 1 0 0 0 1 0 0 0 0 1 2 0 2 0 0 0 1 1 0 0 0 2 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0
"serious" 0 0 2 2 0 1 2 2 1 1 3 3 1 0 1 0 2 0 1 1 0 1 2 1 1 3 1 3 2 0 2 1 2 0 2 2 1 5 2 1 0 1 2 0 1 0 0 0 2 6 1 1 0 2
"severe" 0 0 1 0 0 1 0 2 0 2 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 1 0 2 1 0 1 0 0 0 2 1 0 1 1 0 0 1 0 1 0 1 0 2 0 1 0 1 1 0
"silent" 2 2 3 2 0 2 3 3 5 1 4 8 4 3 4 2 4 1 2 0 3 5 5 2 5 0 2 7 0 6 3 2 1 4 4 5 2 7 0 0 2 4 1 3 1 0 1 6 1 0 2 0 5 3
"simple" 1 0 1 0 1 1 0 1 1 0 1 1 2 0 1 1 2 0 1 1 0 0 1 2 1 1 1 2 0 1 1 1 0 1 0 1 0 0 0 0 0 0 2 0 1 0 0 1 0 2 0 0 1 0
"smart" 0 1 0 0 0 0 0 1 0 2 1 1 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 2 0 2 0 2 1 0 0 0 1 1 1 1 1 1 1 0 0 0 3 1
"vain" 0 1 1 0 0 2 2 0 2 2 1 3 4 1 0 2 2 1 0 0 0 1 2 1 2 0 2 1 0 5 0 3 1 3 2 1 1 1 0 0 1 4 2 2 0 2 0 0 1 5 1 3 0 2
"violent" 1 3 1 1 1 3 1 3 0 0 0 5 2 2 0 2 3 2 1 1 1 2 5 1 1 1 2 1 1 4 2 1 1 4 0 0 1 5 0 4 2 3 1 1 1 1 0 2 0 3 0 1 2 0
