"agreeable" "anxious" "bright" "calm" "certain" "cheerful" "cold" "confused" "constant" "contrary" "deep" "eager" "faithful" "firm" "foolish" "hardened" "honest" "ignorant" "impatient" "just" "merciless" "merry" "natural" "particular" "pensive" "pleasant" "proper" "quiet" "rational" "religious" "serious" "tame" "violent" "wild" "wise" "sincere"
"ignorant" 0 0 1 1 1 0 1 2 1 1 0 1 0 1 0 1 0 0 0 1 0 0 1 1 0 1 1 0 0 1 0 1 1 2 0 0
"impatient" 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 2 0 2 1 0
"just" 1 0 2 0 2 0 1 1 2 0 0 0 1 0 1 2 2 1 1 0 0 0 1 2 0 1 1 1 0 1 0 1 1 1 0 2
"merciless" 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 1 1 0 1 1 0
"merry" 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 2 0 1 1 0 0 0 1 0 1
"natural" 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 1 0 0 1 2 2 0 3 2 0
"particular" 2 0 0 1 5 1 0 1 2 1 0 1 1 1 0 1 2 1 1 2 0 1 1 0 1 2 6 1 1 3 1 3 1 5 2 1
"pensive" 0 1 0 2 2 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 1 2 0 0
"pleasant" 3 1 1 2 1 1 2 0 1 2 0 2 1 0 1 1 0 1 1 1 0 1 1 2 0 0 1 0 0 0 1 2 0 5 1 1
"proper" 1 1 0 2 3 1 1 2 1 0 1 1 3 3 2 0 3 1 0 1 1 2 1 6 0 1 0 3 2 3 1 2 0 8 0 2
"quiet" 1 1 0 3 1 1 0 0 0 1 1 1 3 2 2 0 3 0 0 1 1 0 0 1 0 0 3 0 1 2 1 1 2 3 0 2
"rational" 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 2 1 0 1 0 0 2 1 0 0
"religious" 0 0 0 1 2 0 0 0 1 0 0 0 1 2 0 1 2 1 0 1 0 1 1 3 0 0 3 2 1 0 2 1 1 4 1 2
"serious" 1 0 0 2 3 1 0 0 2 1 1 1 0 2 1 1 1 0 0 0 1 0 2 1 0 1 1 1 0 2 0 0 1 1 3 1
"tame" 3 2 0 1 1 0 1 1 1 0 0 0 0 2 0 0 0 1 2 1 1 0 2 3 2 2 2 1 0 1 0 0 0 8 1 0
"violent" 0 1 1 2 1 0 1 2 1 1 0 1 0 1 0 1 1 1 0 1 0 0 0 1 1 0 0 2 2 1 1 0 0 4 0 0
"wild" 5 2 0 2 1 1 1 3 3 3 0 0 0 4 0 0 2 2 2 1 1 1 3 5 2 5 8 3 1 4 1 8 4 0 0 0
"wise" 1 0 0 2 3 1 0 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 2 2 0 1 0 0 0 1 3 1 0 0 0 0
"sincere" 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 1 2 0 0 2 0 1 0 1 0 1 2 2 0 2 1 0 0 0 0 0
