"affected" "affectionate" "agreeable" "amiable" "anxious" "bold" "bright" "calm" "capable" "careless" "certain" "cheerful" "civil" "clever" "cold" "constant" "deep" "determined" "distant" "dull" "eager" "earnest" "faithful" "fearful" "foolish" "friendly" "gallant" "generous" "gentle" "gloomy" "heroic" "honest" "humble" "ignorant" "impatient" "independent" "indifferent" "intelligent" "intimate" "jealous" "judicious" "kind" "literary" "lively" "loud" "maternal" "mild" "narrow" "natural" "negligent" "particular" "patient" "pleasant" "polite" "proper" "quick" "quiet" "rational" "reasonable" "resentful" "rude" "selfish" "serious" "severe" "silent" "simple" "sincere" "smart" "solemn" "speedy" "steady" "unaffected" "ungenerous" "unkind" "unsuspicious" "vain" "violent" "warm" "wild" "wise" "worldly"
"certain" 0 2 1 1 1 1 1 1 1 0 0 1 1 0 0 2 1 0 0 0 3 1 0 0 2 0 0 0 1 0 1 0 1 1 1 1 0 1 2 1 1 1 0 2 0 1 0 0 1 0 1 0 2 0 0 2 3 0 0 1 1 1 0 1 2 0 2 0 0 0 0 0 0 0 1 1 0 1 1 1 1
"cheerful" 0 2 0 1 0 0 0 0 1 2 1 0 0 1 1 2 0 0 1 0 3 0 2 0 1 0 0 0 1 1 0 3 0 1 0 0 0 1 1 0 0 2 1 0 0 1 0 1 1 0 1 0 0 2 0 1 1 1 0 0 0 0 0 1 1 2 1 0 1 1 0 0 0 0 1 0 0 1 0 1 0
"civil" 0 0 1 1 1 0 1 1 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0
"clever" 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 2 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 1 0 0 0 1 0 2 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0
"cold" 0 2 0 0 2 0 0 0 0 1 0 1 1 0 0 1 0 1 1 0 2 0 0 3 1 0 0 0 0 3 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 1 1 1 2 1 0 0 1 0 1 1 0 2 0 0 0 0 0 0 0 2 1 0 2 2 0 0 0 0
"constant" 1 1 2 1 0 0 0 0 0 1 2 2 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 1 0 1 2 0 0 0 1 1 1 1 0 1 1 1 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"deep" 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1
"determined" 0 1 0 1 2 2 1 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 1 0 0 0 0 1 1 0 3 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 1 1 1 0 1 0 1 1 0 0
"distant" 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
"dull" 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0
"eager" 0 3 0 0 2 1 0 1 1 1 3 3 0 0 2 1 1 2 0 0 0 0 0 1 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 0 1 1 0 2 3 0 1 0 0 2 1 2 1 0 0 1 1 2 0 1 3 1 0 0 0 0 1 1 2 1 1 3 0 2 1 1 1
"earnest" 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0
"faithful" 0 0 0 1 1 0 0 0 2 1 0 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0
"fearful" 0 1 1 1 3 0 2 1 1 0 0 0 3 0 3 0 1 1 0 0 1 0 0 0 0 1 1 0 0 2 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 2 0 2 0 3 1 0 1 0 1 2 1 2 1 1 0 0 0 1 0 1 0 1 1 0 2 3 0 0 1 0
"foolish" 0 1 0 0 1 0 0 0 0 0 2 1 0 2 1 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 0 2 0 0 0 0 1 1 0 1 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0 2 1 1 0 0 0
"friendly" 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0
"gallant" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 2 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0
"generous" 1 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 1 0 0 1 0 0 0 2 0 1 0 1 0 1 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0
"gentle" 0 0 2 1 2 1 0 0 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 1 1 2 0 0 0 0 0 0 0 1 0 0 0 2 1 0 0 1 0 1 0 0 0 2 2 0 0 0 0 2 1 0 0 0 0 1 0 0 0
"gloomy" 0 1 0 0 0 0 0 0 0 1 0 1 0 0 3 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"heroic" 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1
"honest" 0 1 0 1 0 0 0 0 0 1 0 3 0 1 1 0 1 0 1 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 2 0 1 1 0 2 1 0 0 0 0 0 0 2 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0
"humble" 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
"ignorant" 1 2 1 0 0 1 0 0 1 0 1 1 0 1 0 1 0 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 1 0 1 2 1 2 0 0 0 1 0 1 1 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 1 0 2 0 1 0
"impatient" 0 0 2 1 2 0 1 1 2 0 1 0 0 0 0 0 1 0 0 2 1 0 2 0 0 0 0 2 0 0 2 0 1 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 1 1 1 0 2 2 0 2 0 0 0 1 0 0 0 0 0 1 0 0 2 0 1
"independent" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 2 1 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 2 0 0
"indifferent" 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0
"intelligent" 1 1 1 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0
"intimate" 0 1 1 0 0 0 0 0 1 0 2 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 2 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0
"jealous" 0 1 1 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 1 1 0 1 0 0 1 0 0
"judicious" 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"kind" 0 2 1 2 3 0 0 1 0 0 1 2 1 1 1 0 1 0 0 0 1 0 0 2 1 0 1 1 1 0 2 2 1 0 3 1 0 0 0 1 0 0 0 0 0 0 1 0 2 1 2 1 2 0 1 1 0 0 1 1 1 0 1 0 0 2 1 1 0 1 1 1 1 0 0 1 0 0 3 0 2
"literary" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 2 1 0 0
"lively" 1 0 2 0 0 1 0 0 0 1 2 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 1 0 1 0 1 0 2 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"loud" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0
"maternal" 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0
"mild" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0
"narrow" 0 1 1 0 0 1 0 0 0 1 0 1 0 0 1 1 0 1 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0
"natural" 2 2 2 0 2 1 0 2 0 0 1 1 0 1 0 1 1 1 0 0 3 1 0 1 1 1 1 2 0 0 1 0 0 2 1 2 0 1 0 0 0 2 0 1 0 0 1 0 0 2 3 1 1 1 2 1 1 2 1 1 2 0 1 1 1 0 1 0 1 1 1 0 0 1 1 2 0 1 2 0 1
"negligent" 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 1 0 0 1 0 2 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"particular" 1 0 3 0 2 1 0 0 1 0 1 1 0 2 0 1 1 3 0 0 1 0 0 2 2 0 2 1 0 0 0 1 1 2 0 1 1 1 1 0 0 2 1 1 0 1 0 1 3 1 0 0 1 0 3 1 0 2 0 0 1 0 1 0 1 2 0 2 2 1 1 0 0 1 0 2 1 1 2 1 0
"patient" 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"pleasant" 1 1 3 2 2 1 1 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 2 0 0 2 0 1 0 2 0 1 2 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0
"polite" 0 1 0 0 0 0 0 0 0 2 0 2 0 0 1 1 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"proper" 1 0 1 0 1 0 0 0 1 1 0 0 0 0 1 1 1 0 0 0 1 0 1 3 0 1 2 1 0 1 0 1 0 1 1 0 0 1 1 0 0 1 0 1 0 0 0 0 2 1 3 0 1 1 0 0 0 2 0 0 1 1 2 1 1 0 0 0 1 1 1 0 0 1 0 2 0 1 0 0 0
"quick" 0 1 0 0 4 0 1 0 0 0 2 1 0 0 2 1 2 1 1 0 2 1 1 1 1 0 0 0 2 0 0 1 2 0 0 1 1 0 0 1 0 1 2 0 1 0 1 0 1 1 1 1 0 0 0 0 2 0 0 0 0 1 0 0 1 0 2 0 0 0 1 1 2 1 0 1 3 1 0 1 0
"quiet" 0 1 1 0 3 1 1 0 1 0 3 1 0 0 1 0 0 0 1 1 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 2 1 1 1 1 0 0 0 0 0 0 2 0 0 1 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 1 1 1 1 1 1 0
"rational" 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 2 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 2 1 2 0 0 0 2 0 0 0 1 0 1 0 1 0 0 1 0 0 2 0 1 0 0 1 0 0 0 0 1 0 0
"reasonable" 0 2 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0
"resentful" 0 0 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1
"rude" 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1
"selfish" 0 1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 2 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 2 0 0 0 0 0
"serious" 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 2 0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0
"severe" 0 2 0 1 2 0 0 1 4 0 1 1 1 1 0 0 0 0 0 0 1 1 2 1 1 1 0 1 0 0 0 0 0 2 2 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 2 1 2 0 1 0
"silent" 0 3 0 0 0 0 0 1 0 1 2 1 0 0 2 1 0 1 0 0 3 1 0 1 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 1 1 0 0 0 0
"simple" 0 0 2 0 3 0 0 0 1 1 0 2 0 2 0 1 0 0 1 1 1 0 1 0 1 0 0 1 2 0 1 2 2 0 2 0 0 0 0 0 2 2 0 0 1 0 1 0 0 0 2 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0
"sincere" 0 0 1 0 0 1 0 0 0 1 2 1 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 2 0 0 0 0 0 0 2 0 0 0 2 0 1 1 3 0 0 1 0 1 1 0 1 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"smart" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
"solemn" 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 2 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
"speedy" 0 1 1 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0
"steady" 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 1 0 0 0 0 1 1 1 1 1 1 0 0 1 1 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0
"unaffected" 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1
"ungenerous" 0 1 0 0 1 0 0 0 0 0 0 0 1 0 2 0 0 1 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 1 0 0 0
"unkind" 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0
"unsuspicious" 0 2 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0
"vain" 0 2 0 0 1 0 0 0 1 0 1 0 1 1 2 0 0 1 0 0 3 1 1 2 2 2 0 1 0 0 0 0 0 1 1 0 1 0 1 1 0 1 0 0 0 1 0 0 2 0 2 0 1 0 2 1 1 0 1 0 0 2 0 2 1 0 0 1 0 1 1 0 2 1 0 0 0 1 0 0 0
"violent" 0 0 0 0 3 0 0 1 1 0 0 0 1 0 2 0 1 0 1 0 0 1 0 3 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 3 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"warm" 0 2 0 0 0 0 1 0 1 1 1 1 0 1 0 0 1 1 0 0 2 1 0 0 1 1 0 0 1 0 0 0 0 2 0 0 1 1 1 0 0 0 2 0 0 1 0 0 1 0 1 0 0 1 1 1 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 1 1 0 0 1 1 0
"wild" 0 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 1 0 0 2 1 0 0 2 2 1 0 0 1 0 3 1 1 1 0 0 1 2 0 2 0 2 0 0 0 1 1 1 1 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1
