"affectionate" "agreeable" "anxious" "bitter" "bold" "brave" "bright" "calm" "capable" "careful" "careless" "certain" "cheerful" "coarse" "cold" "compassionate" "confident" "confused" "congenial" "cool" "cruel" "curious" "deep" "determined" "direct" "distant" "dull" "eager" "earnest" "elegant" "expressive" "faithful" "fearful" "fervent" "fierce" "friendly" "gentle" "gloomy" "gracious" "honest" "ignorant" "indifferent" "intimate" "kind" "loud" "moral" "murderous" "narrow" "natural" "observant" "original" "particular" "passionate" "peaceful" "pleasant" "polite" "profound" "quick" "quiet" "restless" "rough" "shrewd" "silent" "simple" "slow" "solemn" "stable" "steady" "studious" "submissive" "sunny" "timid" "vain" "violent" "warm" "wild"
"deep" 0 0 3 0 1 2 4 2 2 1 0 3 1 0 3 2 1 1 1 1 3 2 0 1 0 1 1 1 0 1 1 1 1 1 1 0 2 2 0 0 0 0 1 2 2 0 1 1 2 0 1 0 1 0 2 0 0 2 3 2 1 1 2 0 0 2 0 3 1 1 0 2 0 0 2 2
"determined" 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 1 0 2 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 1 1
"direct" 0 0 0 1 0 0 2 0 0 0 1 2 0 0 1 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 0 1 0 1 1 1 0 0 0 0 0 0 1
"distant" 0 2 0 0 0 0 2 1 0 2 0 4 1 1 0 0 0 0 1 1 2 1 1 0 0 0 0 0 0 1 2 0 0 0 2 2 0 0 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0 1 1 0 0 1 1 0 0 1 0 1 0 3 0 0 0 1 1 1 0 0 0 1
"dull" 0 0 2 0 0 0 2 0 0 0 0 1 1 0 2 0 0 1 0 0 1 1 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 2 2 1 1 1 0 1 0 1 0 0 1 0 1 4 1 0 1 0 1 1 2 1 1 0 2 0 0 0 0 1 0 0 0 0 1 0 0 3
"eager" 0 0 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 2 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 1 1 2 1 1 0 1 0 0 1 0 2 0 0 0 1 0 1 1 0
"earnest" 1 0 2 0 0 0 2 0 0 0 0 3 0 0 2 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 2 3 0 1 1 1 1 0 1 0 2 1 0 0 0 1 1 0 0
"elegant" 0 1 0 0 0 0 0 0 0 0 0 2 2 0 0 1 0 0 1 1 0 0 1 1 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 3 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 2
"expressive" 0 1 0 0 1 0 3 1 1 1 0 3 1 1 0 0 0 1 1 1 0 0 1 0 1 2 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 1 2 0 0 1 1 1 1 2 1 0 0 1 1 0 0 0 0 1
"faithful" 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 3
"fearful" 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1
"fervent" 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 2 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0
"fierce" 0 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 1 1 0 0 2 0 1 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 2 1 0 1 1 0 1 0 1 1 0 0 0 2 1 0 1 1 1 0 0 0 0 0 0 2 0 0 0 0 0 1
"friendly" 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 2 1 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 2 0 2 0 0 0 0 0 0 0 1 1 1 0 1 0 0 1
"gentle" 0 0 1 1 0 1 4 0 1 0 0 1 0 0 3 0 0 0 0 1 1 1 2 0 1 0 0 0 1 0 0 2 0 0 0 0 0 2 0 1 2 0 0 0 0 0 0 2 1 0 0 0 0 1 1 0 1 1 1 0 0 1 0 2 2 1 0 2 0 0 0 0 0 0 0 0
"gloomy" 0 0 1 1 1 0 1 0 0 0 0 1 0 1 2 1 0 0 0 0 3 0 2 1 1 0 2 1 0 1 0 0 1 1 0 0 2 0 0 0 1 0 0 0 1 1 0 1 0 0 2 0 0 0 1 0 1 3 1 2 0 0 3 1 0 0 0 3 0 0 0 0 0 0 1 1
"gracious" 1 0 2 0 1 0 2 0 1 0 1 2 0 2 0 1 2 0 0 0 0 1 0 0 0 0 2 0 0 0 1 1 0 0 1 2 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 1 0 0 1 1 1 0 0 1 0 0 1 0 0 1
"honest" 0 0 1 0 0 0 1 0 0 1 0 1 0 1 4 0 0 2 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 1 1 0 2 3 0 1 3 1 0 0 0 1 0 3 0 1 0 0 0 1 2 0 0 0 0 1 1 0 1 0 2
"ignorant" 0 0 0 0 0 1 2 0 0 0 1 1 1 0 1 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 1 0 2 1 0 2 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0
"indifferent" 0 0 0 1 0 0 0 0 0 0 2 1 0 1 1 0 0 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 1 1 0 0 0 2 0 0 2
"intimate" 0 1 0 0 0 0 0 0 0 1 0 2 1 0 0 1 0 0 0 1 1 1 1 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"kind" 0 0 5 0 0 1 2 0 1 0 1 1 0 0 1 0 0 1 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 2 0 1 0 1 0 0 0 2 0 1 0 0 0 1 2 0 0 0 0 0 3
"loud" 1 1 1 0 1 2 1 0 1 0 1 2 0 0 1 0 0 1 0 3 3 2 2 1 1 1 0 0 1 1 1 0 0 1 2 0 0 1 0 1 0 1 0 0 0 0 0 3 0 1 2 2 0 0 0 0 0 4 5 0 1 0 1 0 0 0 1 0 0 2 0 0 0 0 0 2
"moral" 0 0 2 0 0 0 0 0 1 1 0 2 0 2 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 1 0
"murderous" 0 0 0 1 1 0 2 2 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 2 0 0 0 1 0 0 1 1
"narrow" 1 1 1 1 1 1 3 0 0 0 0 0 0 0 3 0 0 1 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 2 1 0 2 1 0 0 1 3 0 1 0 2 1 1 0 0 0 1 0 1 1 0 0 1 0 1 1 1 1 0 2 0 1 0 0 0 0 0 2
"natural" 1 2 4 0 0 1 3 2 1 1 1 6 2 1 4 0 2 1 0 0 0 2 2 1 0 1 1 1 1 0 1 1 0 0 1 1 1 0 1 3 2 1 0 1 0 1 0 2 0 0 0 2 0 2 2 1 1 1 1 0 3 2 1 1 1 2 0 2 1 1 0 0 2 1 0 2
"observant" 1 1 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 1 1 0 1 1 0 0 0 0 0 1 0 0 1 0 1
"original" 0 1 2 0 0 1 2 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 1 1 1 0 2 1 1 0 0 0 0 2 0 0 1 0 0 0 1 0 0 0 1 0 3 1 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 1 2
"particular" 1 0 2 0 0 0 0 0 0 0 1 1 0 1 3 0 0 1 0 1 0 1 0 0 0 1 4 1 1 0 0 0 0 0 0 0 0 0 1 3 0 1 0 1 2 1 0 0 2 0 1 0 1 0 0 1 1 1 1 0 1 0 0 0 1 0 1 0 1 0 0 0 1 2 0 2
"passionate" 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
"peaceful" 0 0 0 1 0 1 1 1 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1
"pleasant" 0 2 4 0 0 0 2 0 0 0 0 4 2 0 3 1 0 0 1 2 0 3 2 0 0 1 1 0 1 2 1 0 1 1 0 0 1 1 0 0 0 0 2 2 0 1 0 1 2 1 0 0 0 0 0 0 0 1 3 1 0 2 2 2 0 0 0 1 0 1 1 0 0 0 0 2
"polite" 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0
"profound" 0 0 1 2 0 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
"quick" 0 1 2 1 0 1 3 0 1 2 1 0 0 0 2 0 0 0 0 2 3 0 2 0 1 1 1 1 2 0 1 1 1 2 2 1 1 3 0 0 0 0 1 0 4 1 0 1 1 0 3 1 1 0 1 0 1 0 3 1 1 0 3 0 0 1 0 3 0 1 0 1 1 0 2 1
"quiet" 2 1 1 1 1 1 6 3 2 0 0 6 4 1 6 1 1 2 2 4 4 2 3 2 1 1 2 2 3 3 2 0 0 2 1 2 1 1 1 3 2 1 1 1 5 1 1 0 1 1 1 1 1 1 3 1 0 3 0 0 3 2 4 2 1 1 1 2 1 2 2 1 0 0 4 5
"restless" 0 0 1 0 0 1 0 0 1 0 1 0 0 0 3 1 0 0 0 0 0 0 2 0 1 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 1 0 1 0 1 0 0 1 0 1 0 2
"rough" 0 0 1 0 0 0 2 0 1 0 0 3 0 2 3 0 1 0 0 0 2 2 1 0 1 0 1 1 1 0 0 0 0 0 1 2 0 0 1 1 1 1 0 0 1 1 0 1 3 1 1 1 0 0 0 2 0 1 3 0 0 1 0 0 1 0 0 0 1 0 1 1 2 0 0 1
"shrewd" 0 1 3 0 0 0 2 0 1 0 0 2 1 1 1 0 2 0 1 2 0 2 1 0 0 1 0 0 1 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 2 0 0 0 2 0 1 0 0 2 0 0 0 1 0 0 1 0 0 0 0 2
"silent" 0 2 3 0 1 2 3 1 0 0 2 4 0 1 2 1 0 2 1 0 1 0 2 1 1 0 2 1 1 0 1 2 0 1 1 0 0 3 0 0 0 0 0 2 1 1 1 1 1 0 2 0 0 0 2 0 0 3 4 2 0 0 0 0 0 1 0 3 0 2 0 1 0 0 2 3
"simple" 0 2 1 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 1 2 1 1 0 1 0 1 0 0 1 1 1 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 2 0 0 0 2 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 1
"slow" 0 0 0 0 1 0 1 1 0 0 1 0 0 1 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 2 0 1 1 0 1 0 1 0 0 0 1 1 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 1 2 0 1 2 0 0 1 0 0 2
"solemn" 0 0 0 0 1 0 5 2 0 2 0 5 0 1 1 0 0 1 1 0 0 0 2 1 0 3 0 1 1 0 2 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 0 1 1 0 1 0 2 1 0 1 0
"stable" 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 2 1 0 0 0 1 0 1 0 1 0 1
"steady" 0 1 1 3 1 0 5 1 0 0 0 1 0 1 1 1 1 1 1 0 3 2 3 1 1 0 1 2 2 0 0 0 0 1 0 0 2 3 0 0 1 1 0 0 0 0 2 2 2 0 0 0 0 0 1 0 1 3 2 0 0 1 3 1 0 1 0 0 0 0 0 1 1 0 1 3
"studious" 1 0 2 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1
"submissive" 0 1 1 0 2 2 1 0 0 0 0 1 0 1 0 0 0 1 0 1 2 0 1 0 0 1 0 0 0 0 1 0 0 0 2 1 0 0 1 0 0 0 0 2 2 0 0 1 1 0 1 0 0 1 1 0 0 1 2 0 0 0 2 0 2 1 1 0 0 0 0 0 0 0 0 2
"sunny" 0 1 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 1 2 1 1 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 2 0 0 2 0 1 1 0 1 0 0 0 0 1 0 0 1 0 0 0 1
"timid" 0 0 0 0 0 0 1 1 0 2 0 1 0 0 0 0 0 0 1 0 0 0 2 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 2 1 1 0 0 1 0 0 1 1 1
"vain" 0 0 0 1 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1
"violent" 1 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1
"warm" 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 2 1 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 2 4 0 0 0 2 0 0 1 0 1 0 0 0 1 0 0 0 0
"wild" 0 2 2 2 1 3 4 0 0 0 2 3 2 4 4 0 1 2 1 1 2 2 2 1 1 1 3 0 0 2 1 3 1 0 1 1 0 1 1 2 0 2 1 3 2 0 1 2 2 1 2 2 1 1 2 0 0 1 5 2 1 2 3 1 2 0 1 3 1 2 1 1 1 1 0 0
