"agreeable" "anxious" "bright" "certain" "cheerful" "coarse" "cold" "confused" "constant" "curious" "deep" "determined" "distant" "dull" "fierce" "friendly" "gentle" "gloomy" "honest" "humble" "ignorant" "impatient" "indifferent" "lively" "natural" "particular" "pleasant" "polite" "profound" "proud" "quick" "quiet" "serious" "silent" "slow" "steady" "suspicious" "vain" "violent" "wild" "warm"
"deep" 0 2 1 3 2 0 3 0 0 0 0 1 1 3 0 1 1 1 1 0 0 1 0 2 3 1 1 0 1 2 0 2 0 2 1 1 0 1 2 0 2
"determined" 1 1 3 5 0 0 2 1 1 2 1 0 0 3 1 1 1 2 0 0 1 0 1 1 1 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0
"distant" 0 2 2 3 0 1 3 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 2 0 1 0 1 1 1 1 0 2 1 1 0 0 2 0 0
"dull" 2 2 4 4 3 1 4 0 0 1 3 3 0 0 0 0 0 1 2 0 0 1 2 1 2 1 5 1 1 2 0 2 1 1 1 1 1 2 1 1 1
"fierce" 1 1 1 0 0 1 5 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 2 0 1 1 1 0 2 0 0 0 2 0 0 0 5 0
"friendly" 0 0 0 3 0 0 1 0 0 2 1 1 1 0 0 0 1 0 1 0 0 1 0 1 2 2 0 0 1 2 0 1 1 0 2 0 0 0 1 2 1
"gentle" 0 1 1 3 2 0 1 0 0 2 1 1 0 0 0 1 0 0 3 0 0 0 0 0 1 1 2 0 0 0 0 4 0 3 0 0 0 0 1 0 2
"gloomy" 1 2 5 3 2 2 2 2 2 2 1 2 1 1 0 0 0 0 0 2 0 0 1 0 1 1 1 0 1 0 2 2 1 0 0 0 0 1 2 1 1
"honest" 1 1 3 7 1 1 2 1 0 0 1 0 1 2 0 1 3 0 0 1 1 0 0 1 1 3 2 0 0 1 0 4 2 2 0 0 2 0 1 0 0
"humble" 0 0 1 0 1 1 0 1 3 1 0 0 0 0 0 0 0 2 1 0 0 0 2 0 1 1 1 0 0 2 2 2 0 1 0 1 0 1 0 0 2
"ignorant" 1 0 1 4 1 2 1 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 1 1 0 0 2 1 3 0 2 1 1 1 1 1 0 0
"impatient" 0 1 0 2 0 3 1 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 1 0 3 0 0 0 1 2 1 2 0 0 1 1 1 0 1 0 0
"indifferent" 0 3 2 2 0 1 1 0 2 1 0 1 0 2 0 0 0 1 0 2 0 1 0 0 4 1 2 0 0 1 1 4 0 0 0 1 0 2 0 1 1
"lively" 3 1 1 2 0 1 1 0 0 0 2 1 1 1 1 1 0 0 1 0 0 0 0 0 0 2 0 1 1 2 0 0 1 2 1 0 0 1 0 0 0
"natural" 1 3 2 3 2 1 5 1 2 1 3 1 2 2 0 2 1 1 1 1 1 3 4 0 0 3 5 1 1 5 1 7 0 2 2 1 2 0 1 3 0
"particular" 1 1 4 7 2 5 5 2 1 2 1 1 0 1 2 2 1 1 3 1 1 0 1 2 3 0 0 4 0 1 1 3 1 1 1 0 2 1 2 4 1
"pleasant" 3 4 2 6 3 1 3 0 2 3 1 1 1 5 0 0 2 1 2 1 1 0 2 0 5 0 0 0 0 2 0 5 0 2 1 2 2 1 0 0 1
"polite" 1 0 1 3 1 1 2 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 4 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"profound" 1 0 2 3 0 1 0 2 0 0 1 1 1 1 1 1 0 1 0 0 0 1 0 1 1 0 0 0 0 1 1 2 1 0 1 0 0 1 1 2 0
"proud" 3 1 5 5 0 2 5 0 1 0 2 1 1 2 1 2 0 0 1 2 2 2 1 2 5 1 2 0 1 0 1 5 1 1 3 3 1 1 0 1 2
"quick" 1 0 1 2 1 3 0 2 1 1 0 0 1 0 0 0 0 2 0 2 1 1 1 0 1 1 0 0 1 1 0 2 0 0 1 0 0 1 1 1 1
"quiet" 2 7 8 6 3 2 8 3 2 4 2 1 1 2 2 1 4 2 4 2 3 2 4 0 7 3 5 2 2 5 2 0 2 5 1 2 0 1 1 3 1
"serious" 2 1 3 6 1 0 3 1 1 2 0 1 0 1 0 1 0 1 2 0 0 0 0 1 0 1 0 0 1 1 0 2 0 1 0 0 1 0 1 0 0
"silent" 2 1 4 5 2 0 3 1 0 2 2 0 2 1 0 0 3 0 2 1 2 0 0 2 2 1 2 0 0 1 0 5 1 0 1 2 0 1 0 2 1
"slow" 0 0 1 1 0 0 0 0 0 1 1 0 1 1 0 2 0 0 0 0 1 1 0 1 2 1 1 0 1 3 1 1 0 1 0 1 1 1 0 2 1
"steady" 2 2 3 3 1 0 5 0 2 0 1 0 1 1 2 0 0 0 0 1 1 1 1 0 1 0 2 0 0 3 0 2 0 2 1 0 0 0 0 1 0
"suspicious" 2 0 1 4 0 1 2 1 0 0 0 0 0 1 0 0 0 0 2 0 1 1 0 0 2 2 2 0 0 1 0 0 1 0 1 0 0 0 2 1 0
"vain" 0 0 1 0 0 0 0 0 2 2 1 0 0 2 0 0 0 1 0 1 1 0 2 1 0 1 1 0 1 1 1 1 0 1 1 0 0 0 0 0 0
"violent" 0 1 2 2 1 3 4 1 0 3 2 0 2 1 0 1 1 2 1 0 1 1 0 0 1 2 0 0 1 0 1 1 1 0 0 0 2 0 0 2 1
"wild" 1 0 3 1 0 3 4 3 0 1 0 0 0 1 5 2 0 1 0 0 0 0 1 0 3 4 0 0 2 1 1 3 0 2 2 1 1 0 2 0 0
"warm" 1 1 3 1 2 1 3 1 0 1 2 0 0 1 0 1 2 1 0 2 0 0 1 0 0 1 1 0 0 2 1 1 0 1 1 0 0 0 1 0 0
