"affectionate" "agreeable" "amiable" "anxious" "bright" "calm" "careful" "certain" "cheerful" "clever" "cold" "constant" "cool" "cruel" "curious" "deep" "distant" "dull" "earnest" "expressive" "faithful" "friendly" "generous" "gentle" "gloomy" "graceful" "gracious" "honest" "humble" "ignorant" "impatient" "indifferent" "ingenious" "kind" "lively" "loud" "modest" "moral" "narrow" "natural" "original" "particular" "patient" "pleasant" "practical" "proper" "proud" "quick" "quiet" "rough" "serious" "silent" "simple" "slow" "social" "steady" "stern" "tender" "tight" "timid" "vague" "violent" "warm" "wild" "wise"
"humble" 0 3 0 1 1 0 1 1 0 0 3 0 1 2 0 1 0 1 0 0 1 1 0 1 1 0 1 2 0 1 0 2 1 3 1 1 1 0 1 3 2 5 0 2 1 0 3 5 1 0 1 0 1 0 2 0 0 1 0 0 0 0 1 2 0
"ignorant" 1 1 0 3 4 1 3 4 0 1 2 1 0 0 2 0 1 0 0 1 2 0 0 1 0 1 2 0 1 0 2 0 0 0 0 0 0 1 0 3 0 1 0 2 1 3 0 1 2 0 0 2 1 1 0 1 0 1 1 1 0 0 0 0 1
"impatient" 2 2 1 2 3 1 2 3 1 1 0 1 1 1 1 1 2 0 1 2 0 1 1 2 2 0 3 1 0 2 0 0 0 3 1 1 0 1 0 2 1 2 0 1 0 2 2 2 3 2 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0
"indifferent" 2 0 0 0 0 0 2 1 1 0 0 0 1 2 0 0 0 0 0 2 0 1 1 1 1 2 2 0 2 0 0 0 0 2 0 0 1 1 0 2 2 4 1 0 1 0 3 1 3 0 1 2 1 0 0 0 0 0 0 0 0 0 1 2 0
"ingenious" 1 0 0 0 4 1 1 4 0 0 2 1 0 0 2 1 0 1 1 0 0 1 0 0 0 1 0 1 1 0 0 0 0 2 1 1 1 1 0 5 3 3 3 2 3 1 1 4 2 1 1 0 2 0 0 2 0 1 0 0 1 0 0 1 1
"kind" 2 4 2 6 10 2 4 12 1 2 8 1 2 5 2 1 2 4 2 5 2 2 3 4 2 1 8 3 3 0 3 2 2 0 1 1 2 1 0 7 3 6 1 6 2 7 4 4 13 1 2 2 1 2 3 2 3 1 2 1 1 4 2 2 2
"lively" 0 1 1 0 4 0 0 3 0 1 0 0 1 0 1 0 0 1 0 0 1 2 1 1 4 0 1 0 1 0 1 0 1 1 0 2 1 0 0 3 1 4 0 1 0 0 2 3 1 1 1 0 1 4 1 1 1 3 0 0 0 1 2 0 0
"loud" 0 1 2 2 4 1 0 1 1 0 3 0 0 1 2 1 0 0 1 1 0 1 0 2 2 0 1 2 1 0 1 0 1 1 2 0 0 1 0 2 3 2 0 1 2 1 3 4 3 0 0 3 1 2 0 2 0 1 2 2 0 0 0 1 1
"modest" 1 1 0 0 2 0 2 1 1 0 2 1 0 0 0 1 1 0 1 0 2 2 0 0 0 0 3 0 1 0 0 1 1 2 1 0 0 1 0 1 0 3 1 2 1 0 2 0 4 1 0 1 2 0 1 2 0 0 0 1 1 0 1 0 2
"moral" 2 0 2 2 1 1 4 5 1 1 2 0 3 0 0 0 0 1 1 1 0 3 0 2 1 0 0 0 0 1 1 1 1 1 0 1 1 0 0 2 0 2 1 2 0 2 2 3 3 1 1 0 2 1 1 1 0 1 1 1 2 1 0 1 1
