"affectionate" "agreeable" "amiable" "anxious" "bold" "bright" "calm" "certain" "cheerful" "childish" "cold" "constant" "cruel" "curious" "deep" "devilish" "distant" "dull" "earnest" "expressive" "faithful" "fierce" "friendly" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "haughty" "honest" "humble" "indifferent" "jealous" "kind" "lively" "mild" "modest" "moral" "natural" "original" "particular" "patient" "pleasant" "profound" "proud" "quick" "quiet" "rough" "serious" "severe" "silent" "simple" "slow" "social" "solemn" "steady" "stern" "tender" "thoughtful" "tight" "timid" "tough" "vague" "violent" "warm" "wild"
"dull" 0 2 1 2 0 7 4 5 4 1 6 5 3 1 5 1 8 0 2 1 0 2 0 1 4 5 2 3 4 4 3 2 1 0 4 1 2 1 1 5 2 2 2 5 2 6 2 3 4 2 2 4 1 2 0 6 2 1 2 0 1 1 2 2 0 4 1
"earnest" 4 1 1 2 2 7 1 6 2 3 3 1 4 2 7 3 2 2 0 1 1 2 1 2 1 5 0 2 2 3 1 1 4 0 8 1 1 3 0 7 0 3 2 2 2 11 4 6 2 2 3 6 1 1 0 1 2 2 2 3 3 0 1 2 3 3 5
"expressive" 0 4 1 1 3 4 0 7 1 0 4 0 0 2 3 0 1 1 1 0 2 0 2 1 1 1 0 0 3 2 2 2 2 1 1 1 2 0 0 1 0 4 1 4 2 5 3 1 0 0 2 1 1 0 1 0 2 2 2 0 1 1 0 2 1 4 1
"faithful" 0 2 0 0 2 3 2 3 3 1 2 3 0 0 2 2 0 0 1 2 0 0 2 1 0 1 1 0 0 0 1 0 2 1 3 1 0 0 2 2 0 1 1 1 0 3 1 4 4 0 1 2 1 0 1 1 0 0 2 1 1 0 2 1 0 0 2
"fierce" 0 0 0 1 1 4 3 5 1 2 5 1 3 0 3 0 5 2 2 0 0 0 0 0 2 2 2 0 0 1 1 1 3 1 1 2 2 0 1 1 1 0 0 1 0 5 4 3 0 1 0 3 1 1 1 3 0 0 0 1 1 1 0 1 2 2 5
"friendly" 0 4 1 2 1 3 0 4 0 0 4 1 1 0 4 1 0 0 1 2 2 0 0 1 1 2 0 1 3 0 2 0 1 0 3 3 0 0 2 3 0 7 1 2 2 7 5 3 3 2 2 4 1 1 3 0 2 0 1 1 2 1 4 0 3 4 0
"generous" 0 1 1 1 1 2 0 3 1 0 2 1 0 0 3 1 1 1 2 1 1 0 1 0 0 3 1 0 0 1 1 1 0 2 1 0 0 0 1 2 2 1 2 2 1 4 4 4 1 0 1 2 2 1 1 1 0 0 0 0 0 0 0 1 1 0 1
"genteel" 0 2 0 1 0 2 0 2 0 1 2 1 0 3 0 1 3 4 1 1 0 2 1 0 0 1 1 2 2 1 1 0 1 0 3 0 0 1 0 0 1 3 0 3 0 6 0 0 0 0 1 0 2 1 2 3 0 1 0 0 0 1 1 1 1 3 0
"gentle" 5 2 1 1 4 13 3 8 4 2 12 7 2 2 9 1 5 5 5 1 1 2 2 3 1 0 3 3 5 3 2 3 2 1 7 2 5 3 0 8 3 3 6 4 1 11 4 12 6 3 0 8 10 1 1 6 1 4 4 4 0 4 2 2 2 3 9
"gloomy" 0 1 0 2 3 5 1 1 1 0 5 4 0 0 3 3 3 2 0 0 1 2 0 1 1 3 0 1 0 1 0 1 0 1 0 2 1 0 0 1 0 1 1 3 1 5 3 1 2 0 0 4 0 0 0 2 0 0 0 0 1 3 2 1 1 0 2
"graceful" 0 1 0 3 0 2 1 0 1 0 4 1 1 1 3 2 3 3 2 0 0 0 1 0 2 3 1 0 1 3 1 1 1 0 2 1 0 2 1 2 1 4 0 3 0 5 1 5 0 0 1 4 3 2 0 4 2 0 1 0 2 0 1 2 0 1 1
"gracious" 1 1 1 3 1 3 1 6 0 0 3 2 0 4 2 1 0 4 2 3 0 0 3 0 2 5 0 1 0 3 1 2 0 0 4 1 2 0 0 1 0 5 1 2 0 3 1 3 0 1 1 5 2 3 0 2 1 1 1 1 2 1 1 0 2 0 3
"haughty" 2 2 0 2 2 3 1 3 0 1 9 4 0 1 4 2 8 4 3 2 0 1 0 1 1 3 1 3 3 0 2 2 2 1 0 1 2 1 2 5 1 0 0 0 1 12 1 2 2 2 0 2 0 0 3 3 2 2 0 0 1 0 1 1 1 2 3
"honest" 3 4 1 3 2 8 3 5 2 0 2 3 1 1 5 0 2 3 1 2 1 1 2 1 1 2 0 1 1 2 0 1 4 1 6 2 1 0 2 3 0 3 1 3 2 5 3 5 4 1 0 2 1 3 0 2 2 1 0 0 1 1 1 0 2 4 4
"humble" 0 0 0 1 3 4 0 4 0 1 2 1 1 1 2 0 1 2 1 2 0 1 0 1 0 3 1 1 2 2 1 0 0 3 2 1 4 1 0 4 0 3 0 1 0 7 2 5 0 1 1 3 1 1 0 2 1 1 0 1 1 3 0 4 1 0 2
"indifferent" 2 3 0 0 1 0 3 2 0 1 2 2 1 0 3 1 0 1 4 2 2 3 1 0 1 2 0 1 0 2 4 0 0 0 4 2 0 0 3 2 2 1 0 2 1 8 1 3 2 0 2 1 2 0 3 2 1 1 0 2 0 0 3 2 2 0 1
"jealous" 1 0 1 0 2 2 0 1 0 2 0 5 1 0 5 2 1 0 0 1 1 1 0 2 0 1 1 0 0 1 1 3 0 0 0 0 0 0 0 2 2 2 0 1 0 6 2 2 2 0 0 4 0 3 0 1 0 0 0 1 1 1 2 1 1 1 3
"kind" 3 3 3 3 2 11 2 6 4 3 6 2 4 6 7 2 0 4 8 1 3 1 3 1 3 7 0 2 4 0 6 2 4 0 0 3 1 4 2 11 3 7 2 2 1 9 4 6 3 2 3 10 5 4 2 3 3 3 0 6 2 2 1 1 1 6 5
"lively" 1 1 2 1 2 3 1 3 2 2 3 0 0 0 1 4 0 1 1 1 1 2 3 0 0 2 2 1 1 1 2 1 2 0 3 0 1 0 0 2 0 3 0 1 0 3 1 0 1 1 0 2 1 0 2 0 1 1 0 1 2 1 1 0 1 1 0
"mild" 1 0 3 2 3 2 1 6 3 2 5 0 1 1 3 2 3 2 1 2 0 2 0 0 0 5 1 0 2 2 1 4 0 0 1 1 0 1 1 3 1 5 2 1 1 7 2 5 0 2 1 4 1 3 1 2 1 0 0 5 1 0 1 0 1 2 2
"modest" 0 1 0 1 3 2 2 2 2 2 3 0 1 4 2 1 1 1 3 0 0 0 0 0 1 3 0 2 0 1 0 1 0 0 4 0 1 0 0 4 0 2 0 3 0 5 1 4 0 2 1 4 3 2 0 3 0 2 2 2 1 1 0 0 2 2 3
"moral" 0 1 1 1 1 2 2 3 1 0 3 2 1 1 3 1 1 1 0 0 2 1 2 1 0 0 0 1 0 2 2 0 3 0 2 0 1 0 0 4 3 3 0 2 0 4 1 1 3 0 0 1 2 0 4 1 0 0 0 0 0 1 2 0 4 2 2
"natural" 3 4 1 5 3 5 1 9 4 2 10 6 5 4 10 1 4 5 7 1 2 1 3 2 0 8 1 2 1 5 3 4 2 2 11 2 3 4 4 0 2 13 2 6 2 11 5 7 6 2 0 8 7 5 4 6 5 5 3 4 2 5 3 2 2 3 7
"original" 0 0 1 2 2 1 0 0 1 0 4 1 2 1 4 1 2 2 0 0 0 1 0 2 1 3 0 1 0 1 0 0 2 2 3 0 1 0 3 2 0 2 0 0 0 3 2 2 0 2 0 2 2 2 3 1 0 0 1 1 0 0 1 2 0 2 2
"particular" 2 4 3 5 1 9 2 10 0 3 7 1 2 4 7 3 1 2 3 4 1 0 7 1 3 3 1 4 5 0 3 3 1 2 7 3 5 2 3 13 2 0 0 5 4 7 2 5 3 0 3 10 3 4 4 4 2 3 2 2 3 2 4 0 2 3 3
"patient" 0 0 0 1 4 4 2 4 0 2 3 1 2 0 6 0 2 2 2 1 1 0 1 2 0 6 1 0 1 0 1 0 0 0 2 0 2 0 0 2 0 0 0 2 0 3 4 4 1 0 0 3 1 1 2 1 1 0 1 1 1 2 1 1 0 1 2
"pleasant" 0 2 1 2 5 7 4 9 2 1 3 2 1 2 10 2 0 5 2 4 1 1 2 2 3 4 3 3 2 0 3 1 2 1 2 1 1 3 2 6 0 5 2 0 5 7 4 6 3 1 1 4 1 1 0 2 3 1 2 5 2 1 1 3 5 1 0
"profound" 2 3 0 0 3 6 0 3 1 0 0 0 0 0 2 1 1 2 2 2 0 0 2 1 0 1 1 0 0 1 2 0 1 0 1 0 1 0 0 2 0 4 0 5 0 3 0 2 2 0 0 3 0 1 0 1 0 3 0 2 0 0 0 1 3 1 0
"proud" 3 7 5 6 9 13 3 13 4 2 16 6 6 6 17 9 9 6 11 5 3 5 7 4 6 11 5 5 3 12 5 7 8 6 9 3 7 5 4 11 3 7 3 7 3 0 12 18 6 7 4 14 6 4 3 2 5 4 4 6 6 3 9 5 4 5 8
"quick" 0 1 3 4 5 7 0 6 3 0 9 1 5 0 4 0 5 2 4 3 1 4 5 4 0 4 3 1 1 1 3 2 1 2 4 1 2 1 1 5 2 2 4 4 0 12 0 6 3 3 0 8 0 1 1 3 3 0 2 4 1 1 2 0 2 5 2
"quiet" 5 1 1 3 1 16 6 8 4 4 13 4 5 5 12 2 10 3 6 1 4 3 3 4 0 12 1 5 3 2 5 5 3 2 6 0 5 4 1 7 2 5 4 6 2 18 6 0 4 2 2 11 6 3 1 7 2 3 2 9 3 4 0 7 5 3 14
"rough" 1 1 1 0 1 4 0 2 3 0 6 5 0 1 6 1 3 4 2 0 4 0 3 1 0 6 2 0 0 2 4 0 2 2 3 1 0 0 3 6 0 3 1 3 2 6 3 4 0 1 2 1 2 1 2 1 1 0 0 3 1 3 6 0 2 4 5
"serious" 0 0 2 0 1 1 2 2 3 0 2 0 2 0 2 2 1 2 2 0 0 1 2 0 0 3 0 0 1 2 1 1 0 0 2 1 2 2 0 2 2 0 0 1 0 7 3 2 1 0 0 3 0 0 1 0 0 2 2 2 1 0 0 0 0 0 1
"severe" 2 1 0 2 1 2 2 3 1 0 5 1 0 1 1 1 0 2 3 2 1 0 2 1 1 0 0 1 1 0 0 1 2 0 3 0 1 1 0 0 0 3 0 1 0 4 0 2 2 0 0 4 1 3 0 3 0 0 0 1 1 1 2 4 2 2 1
"silent" 5 4 4 5 6 16 2 14 1 1 11 1 1 5 7 6 6 4 6 1 2 3 4 2 0 8 4 4 5 2 2 3 1 4 10 2 4 4 1 8 2 10 3 4 3 14 8 11 1 3 4 0 2 3 2 5 4 1 4 7 3 4 4 3 6 4 9
"simple" 0 2 1 1 0 6 1 2 2 0 6 2 2 0 3 1 2 1 1 1 1 1 1 2 2 10 0 3 2 0 1 1 2 0 5 1 1 3 2 7 2 3 1 1 0 6 0 6 2 0 1 2 0 2 1 3 0 1 3 1 2 2 1 2 1 0 3
"slow" 0 1 0 3 2 5 2 6 1 1 4 1 1 1 3 1 2 2 1 0 0 1 1 1 1 1 0 2 3 0 3 1 0 3 4 0 3 2 0 5 2 4 1 1 1 4 1 3 1 0 3 3 2 0 0 1 1 0 1 5 2 2 1 0 1 1 5
"social" 0 1 3 0 0 3 0 4 1 0 6 1 1 0 1 1 3 0 0 1 1 1 3 1 2 1 0 0 0 3 0 0 3 0 2 2 1 0 4 4 3 4 2 0 0 3 1 1 2 1 0 2 1 0 0 2 1 1 1 1 1 2 2 1 1 4 2
"solemn" 2 2 1 4 1 10 4 4 6 5 10 2 3 2 7 1 5 6 1 0 1 3 0 1 3 6 2 4 2 3 2 2 2 1 3 0 2 3 1 6 1 4 1 2 1 2 3 7 1 0 3 5 3 1 2 0 2 1 1 1 1 5 1 2 3 2 7
"steady" 1 2 1 5 0 4 0 3 0 0 4 1 3 1 6 0 4 2 2 2 0 0 2 0 0 1 0 2 1 2 2 1 1 0 3 1 1 0 0 5 0 2 1 3 0 5 3 2 1 0 0 4 0 1 1 2 0 0 2 1 2 0 0 2 1 0 1
"stern" 2 3 0 0 1 2 0 1 2 0 3 0 1 1 2 0 1 1 2 2 0 0 0 0 1 4 0 0 1 2 1 1 1 0 3 1 0 2 0 5 0 3 0 1 3 4 0 3 0 2 0 1 1 0 1 1 0 0 2 0 0 1 0 2 2 1 3
"tender" 1 1 0 0 3 6 1 2 1 0 3 0 0 3 3 0 3 2 2 2 2 0 1 0 0 4 0 1 1 0 0 0 0 0 0 0 0 2 0 3 1 2 1 2 0 4 2 2 0 2 0 4 3 1 1 1 2 2 0 0 2 0 1 0 1 0 4
"thoughtful" 1 2 3 0 2 4 2 8 2 3 6 2 3 1 3 2 1 0 3 0 1 1 1 0 0 4 0 0 1 0 0 1 2 1 6 1 5 2 0 4 1 2 1 5 2 6 4 9 3 2 1 7 1 5 1 1 1 0 0 0 1 2 1 0 2 1 2
"tight" 0 0 2 0 2 2 2 2 2 1 5 0 1 1 4 3 1 1 3 1 1 1 2 0 0 0 1 2 2 1 1 1 0 1 2 2 1 1 0 2 0 3 1 2 0 6 1 3 1 1 1 3 2 2 1 1 2 0 2 1 0 0 1 2 3 0 2
"timid" 0 2 1 2 3 7 0 3 1 1 5 2 2 1 5 1 2 1 0 1 0 1 1 0 1 4 3 0 1 0 1 3 0 1 2 1 0 1 1 5 0 2 2 1 0 3 1 4 3 0 1 4 2 2 2 5 0 1 0 2 0 0 0 2 2 2 2
"tough" 2 1 0 1 0 0 0 1 0 0 5 4 1 0 1 2 1 2 1 0 2 0 4 0 1 2 2 1 1 1 1 0 3 2 1 1 1 0 2 3 1 4 1 1 0 9 2 0 6 0 2 4 1 1 2 1 0 0 1 1 1 0 0 0 2 2 2
"vague" 1 2 0 2 0 5 2 3 1 0 4 1 0 2 3 1 4 2 2 2 1 1 0 1 1 2 1 2 0 1 0 4 2 1 1 0 0 0 0 2 2 0 1 3 1 5 0 7 0 0 4 3 2 0 1 2 2 2 0 0 2 2 0 0 4 0 1
"violent" 1 3 0 0 3 2 2 4 1 0 2 0 0 2 3 1 1 0 3 1 0 2 3 1 1 2 1 0 2 1 2 1 2 1 1 1 1 2 4 2 0 2 0 5 3 4 2 5 2 0 2 6 1 1 1 3 1 2 1 2 3 2 2 4 0 1 3
"warm" 1 1 2 3 1 8 0 3 4 2 11 2 2 3 4 1 4 4 3 4 0 2 4 0 3 3 0 1 0 2 4 0 0 1 6 1 2 2 2 3 2 3 1 1 1 5 5 3 4 0 2 4 0 1 4 2 0 1 0 1 0 2 2 0 1 0 2
"wild" 3 0 0 2 4 10 3 7 2 3 7 2 8 2 7 1 8 1 5 1 2 5 0 1 0 9 2 1 3 3 4 2 1 3 5 0 2 3 2 7 2 3 2 0 0 8 2 14 5 1 1 9 3 5 2 7 1 3 4 2 2 2 2 1 3 2 0
