"affectionate" "agreeable" "amiable" "anxious" "awkward" "capable" "certain" "cheerful" "civil" "clever" "cold" "constant" "deep" "determined" "eager" "earnest" "elegant" "fearful" "foolish" "formal" "friendly" "generous" "gentle" "ignorant" "impatient" "imprudent" "indifferent" "intimate" "kind" "lively" "natural" "original" "particular" "pleasant" "proper" "proud" "quick" "quiet" "rational" "reasonable" "serious" "severe" "silent" "sincere" "steady" "unaffected" "uncivil" "unguarded" "unreasonable" "vain" "violent" "warm" "wild"
"foolish" 0 2 3 2 0 0 0 1 0 1 2 0 0 0 0 1 1 0 0 1 1 0 1 0 0 1 2 0 1 0 0 1 1 0 0 1 1 0 0 1 0 0 4 1 0 0 2 1 0 0 0 1 0
"formal" 0 0 3 1 3 0 2 2 1 0 1 1 0 0 0 0 1 0 1 0 1 0 0 0 1 0 1 1 2 1 2 0 0 3 0 0 0 0 1 0 1 0 2 1 0 0 1 0 0 0 0 1 1
"friendly" 1 6 2 1 1 0 2 0 1 1 1 1 1 1 1 0 1 1 1 1 0 0 2 0 0 1 0 2 0 1 1 0 1 1 1 2 2 0 0 1 0 0 0 1 1 1 0 1 0 1 0 1 0
"generous" 2 0 3 3 0 2 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 2 1 1 2 0 1 0 0 1 0 0 1 2 0 0 2 1 0 2 1 0 0 0 0 0 0 1 1 1 1
"gentle" 0 3 2 2 0 0 2 0 0 0 0 1 1 1 1 2 0 1 1 0 2 1 0 0 1 0 1 0 1 1 0 1 1 0 0 2 1 0 0 0 0 0 1 0 0 1 1 2 0 1 0 1 1
"ignorant" 4 0 2 2 0 1 1 1 0 0 0 2 0 2 0 1 0 0 0 0 0 2 0 0 0 2 1 1 2 2 1 0 3 0 2 1 1 0 1 4 2 0 2 3 1 0 0 2 2 2 2 1 2
"impatient" 1 2 1 2 0 1 2 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 0 0 0 1 1 2 0 1 2 0 0 1 1 1 0 0 1 0 1 3 0 2 1 1 0 1 2 3 0 2
"imprudent" 3 2 1 0 0 0 0 0 0 0 1 2 0 1 0 0 1 1 1 0 1 1 0 2 0 0 1 1 1 0 1 0 1 0 1 0 0 0 0 2 2 0 0 1 0 0 0 1 1 1 0 0 1
"indifferent" 1 4 5 3 0 2 2 1 2 2 3 0 0 1 1 1 1 0 2 1 0 2 1 1 1 1 0 0 2 0 4 0 3 0 1 1 0 0 0 0 1 0 5 1 3 0 3 2 1 2 2 0 0
"intimate" 2 3 3 1 0 2 2 0 1 0 0 0 0 1 3 1 0 0 0 1 2 0 0 1 1 1 0 0 1 0 2 0 3 1 1 2 0 0 2 1 0 0 0 2 0 0 0 1 2 3 0 0 1
"kind" 3 3 3 3 1 2 5 1 1 1 3 1 0 2 4 4 0 1 1 2 0 1 1 2 2 1 2 1 0 2 3 0 1 1 0 2 1 0 2 2 4 1 5 2 1 0 1 1 2 2 2 0 1
"lively" 2 5 6 4 2 2 2 0 1 1 0 0 0 1 2 3 1 2 0 1 1 0 1 2 0 0 0 0 2 0 1 0 4 4 2 5 1 3 0 1 1 0 1 0 2 2 0 0 0 0 3 0 0
"natural" 3 3 3 1 1 1 6 0 3 2 1 3 0 0 2 0 0 1 0 2 1 0 0 1 1 1 4 2 3 1 0 0 5 4 1 3 1 1 1 2 3 1 2 2 2 0 1 1 1 3 2 2 3
"original" 0 2 1 0 0 0 1 0 1 0 1 1 2 0 0 1 0 1 1 0 0 1 1 0 2 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 3
"particular" 1 8 6 1 1 6 7 0 2 2 2 0 0 3 3 0 2 1 1 0 1 0 1 3 0 1 3 3 1 4 5 0 0 4 2 4 1 1 0 3 1 1 3 0 2 2 0 1 3 3 3 0 2
"pleasant" 1 6 3 0 3 2 7 0 4 0 3 0 2 0 0 0 2 0 0 3 1 0 0 0 0 0 0 1 1 4 4 1 4 0 1 2 1 1 1 0 1 2 1 0 2 1 0 0 0 1 1 1 2
"proper" 3 4 5 0 1 1 3 0 1 1 0 3 0 0 2 2 3 0 0 0 1 1 0 2 1 1 1 1 0 2 1 0 2 1 0 1 3 1 1 1 2 2 2 0 3 1 0 0 0 1 1 1 0
"proud" 2 6 8 5 3 4 3 1 5 1 2 1 0 1 1 3 1 1 1 0 2 2 2 1 1 0 1 2 2 5 3 2 4 2 1 0 1 3 1 3 3 1 1 1 1 2 0 0 0 3 2 1 1
"quick" 1 3 0 2 2 0 1 1 1 1 0 0 0 2 2 1 2 1 1 0 2 0 1 1 1 0 0 0 1 1 1 0 1 1 3 1 0 0 0 0 1 0 1 0 1 1 0 0 0 0 1 1 0
"quiet" 2 0 1 3 1 1 2 0 0 0 0 0 0 1 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 1 1 1 3 0 0 0 2 1 0 0 1 0 0 0 0 0 0 2 0 0
"rational" 1 1 2 0 1 0 2 0 0 1 1 0 0 0 1 1 2 0 0 1 0 2 0 1 0 0 0 2 2 0 1 0 0 1 1 1 0 0 0 0 3 2 2 3 0 0 0 0 0 1 1 0 0
"reasonable" 4 1 4 3 1 0 2 0 2 0 2 1 0 3 1 1 1 0 1 0 1 1 0 4 1 2 0 1 2 1 2 0 3 0 1 3 0 2 0 0 2 0 1 2 0 0 0 1 2 1 2 1 2
"serious" 2 4 5 3 1 2 5 1 4 0 2 3 0 0 2 0 3 2 0 1 0 0 0 2 0 2 1 0 4 1 3 0 1 1 2 3 1 1 3 2 0 2 3 2 0 0 0 0 2 1 0 0 1
"severe" 0 2 1 1 0 1 5 1 0 0 1 3 0 1 1 0 1 0 0 0 0 2 0 0 1 0 0 0 1 0 1 0 1 2 2 1 0 0 2 0 2 0 1 0 0 1 0 0 1 2 0 0 1
"silent" 1 5 7 5 2 1 6 1 1 2 3 0 0 0 2 2 0 0 4 2 0 1 1 2 3 0 5 0 5 1 2 1 3 1 2 1 1 0 2 1 3 1 0 1 3 2 3 1 0 4 2 2 0
"sincere" 4 1 4 1 1 0 3 1 0 0 1 1 0 0 2 2 3 0 1 1 1 0 0 3 0 1 1 2 2 0 2 0 0 0 0 1 0 1 3 2 2 0 1 0 1 0 0 1 1 2 1 0 0
"steady" 2 5 1 1 1 1 3 0 1 3 2 0 1 0 0 0 0 1 0 0 1 0 0 1 2 0 3 0 1 2 2 1 2 2 3 1 1 0 0 0 0 0 3 1 0 0 1 1 0 1 1 1 0
"unaffected" 0 3 1 2 1 0 3 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 2 0 0 2 1 1 2 1 0 0 0 0 1 2 0 0 0 0 0 0 1 1 0 0
"uncivil" 0 3 2 2 0 0 0 1 0 0 3 0 1 0 0 1 0 1 2 1 0 0 1 0 1 0 3 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 1 0 1 0 0 0
"unguarded" 1 2 1 1 0 0 2 0 0 0 0 1 1 2 0 1 0 0 1 0 1 0 2 2 0 1 2 1 1 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 0 1 0 1 1 0 1 1
"unreasonable" 2 1 1 1 0 2 3 1 1 0 1 2 0 3 2 0 0 1 0 0 0 0 0 2 1 1 1 2 2 0 1 0 3 0 0 0 0 0 0 2 2 1 0 1 0 0 0 1 0 2 1 0 2
"vain" 2 4 3 0 0 2 4 1 1 1 2 1 0 1 0 3 0 0 0 0 1 1 1 2 2 1 2 3 2 0 3 1 3 1 1 3 0 0 1 1 1 2 4 2 1 1 1 1 2 0 1 0 3
"violent" 2 2 4 2 1 1 3 1 1 2 0 2 0 2 0 2 1 0 0 0 0 1 0 2 3 0 2 0 2 3 2 0 3 1 1 2 1 2 1 2 0 0 2 1 1 1 0 0 1 1 0 0 1
"warm" 1 1 1 1 1 0 1 0 1 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 2 0 0 1 1 1 1 0 0 1 0 0 2 0 1 0 0 1 0 0 0 0 1
"wild" 3 2 1 1 1 0 4 0 2 0 1 3 2 1 0 1 1 0 0 1 0 1 1 2 2 1 0 1 1 0 3 3 2 2 0 1 0 0 0 2 1 1 0 0 0 0 0 1 2 3 1 1 0
