"active" "agreeable" "amiable" "anxious" "bright" "capable" "careless" "cautious" "certain" "charitable" "cheerful" "civil" "clever" "cold" "constant" "cruel" "deep" "determined" "distant" "eager" "earnest" "elegant" "friendly" "gentle" "impatient" "indifferent" "intimate" "kind" "lively" "natural" "particular" "pleasant" "polite" "proper" "prudent" "quick" "quiet" "rational" "reasonable" "selfish" "serious" "severe" "silent" "steady" "strict" "suspicious" "vain" "warm" "wild" "worldly"
"cheerful" 1 1 0 2 1 0 0 0 2 0 0 0 1 1 1 0 0 1 0 2 2 2 0 1 0 2 1 0 1 1 2 1 0 2 0 0 0 0 1 0 1 3 3 0 1 0 0 4 2 0
"civil" 0 2 0 4 0 1 0 1 1 1 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 0 2 0 0 2 1 0 0 1 0 0 0 0 0
"clever" 1 2 1 2 0 1 1 1 0 0 1 1 0 0 0 0 1 0 2 1 2 0 1 1 0 0 1 0 1 1 0 0 0 1 0 2 1 2 1 1 2 0 1 0 1 0 1 1 0 0
"cold" 1 6 1 1 0 0 2 0 3 0 1 0 0 0 1 1 0 4 0 2 0 2 1 1 1 0 1 1 0 4 3 1 1 4 1 1 0 0 1 0 2 2 2 1 0 1 0 2 0 0
"constant" 0 3 2 0 0 0 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0 1 1 1 0 3 2 0 1 1 3 0 1 2 0 0 1 1 0 0 1 2 1 4 0 1 0 2 1 2
"cruel" 0 2 1 1 0 0 1 0 2 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 2 2 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 1 1 0 1
"deep" 0 2 0 0 1 2 0 0 2 0 0 0 1 0 1 1 0 1 2 2 0 0 1 0 2 1 0 2 0 4 1 1 0 2 0 1 1 2 0 1 2 1 2 2 0 0 2 0 1 1
"determined" 1 5 0 2 0 0 2 0 2 0 1 0 0 4 0 0 1 0 0 1 0 0 1 1 1 1 0 3 1 2 1 0 1 3 1 2 2 1 2 0 4 0 2 1 1 0 2 2 2 1
"distant" 0 2 1 1 0 0 0 0 1 0 0 0 2 0 1 0 2 0 0 0 1 0 0 1 1 1 0 1 0 1 0 0 0 1 0 3 0 0 0 1 1 0 1 0 0 0 1 2 1 0
"eager" 1 4 0 2 1 1 2 2 0 0 2 0 1 2 0 1 2 1 0 0 1 0 1 0 1 1 0 1 1 2 1 2 0 2 0 0 0 2 1 1 2 2 1 0 0 0 0 0 2 1
"earnest" 1 0 1 1 0 1 0 0 0 0 2 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 0 1 1 1 1 1 0 1 0 1 1 1 0
"elegant" 0 4 0 2 1 0 0 0 1 0 2 0 0 2 1 0 0 0 0 0 0 0 2 1 2 0 1 2 0 1 3 2 1 2 0 0 0 0 0 0 1 3 3 0 0 0 0 1 0 1
"friendly" 0 2 0 3 0 0 0 0 0 0 0 1 1 1 1 0 1 1 0 1 0 2 0 0 1 0 0 2 0 1 1 2 1 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0
"gentle" 1 3 2 4 0 2 0 1 1 1 1 1 1 1 1 0 0 1 1 0 0 1 0 0 0 0 1 0 1 1 0 0 0 1 2 2 0 2 1 1 1 2 1 0 1 1 0 3 1 0
"impatient" 0 2 0 2 0 0 0 0 0 0 0 0 0 1 0 1 2 1 1 1 0 2 1 0 0 0 1 0 0 1 1 1 1 2 0 1 0 0 1 1 2 0 0 0 0 0 0 1 1 2
"indifferent" 0 2 1 0 0 1 0 1 2 1 2 0 0 0 3 0 1 1 1 1 0 0 0 0 0 0 0 0 0 2 1 1 1 1 0 0 2 0 0 0 2 1 1 2 0 1 0 3 2 1
"intimate" 1 2 2 1 0 0 0 0 1 0 1 0 1 1 2 0 0 0 0 0 1 1 0 1 1 0 0 0 2 1 2 1 0 2 0 0 0 0 1 0 0 0 3 1 2 0 1 1 0 1
"kind" 0 5 1 2 2 0 2 0 1 0 0 0 0 1 0 0 2 3 1 1 0 2 2 0 0 0 0 0 0 2 1 3 0 3 0 0 0 1 1 1 1 0 0 2 1 0 3 2 1 0
"lively" 0 3 1 2 0 0 0 0 1 0 1 1 1 0 1 0 0 1 0 1 1 0 0 1 0 0 2 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 1 1
"natural" 1 6 2 3 2 2 1 2 6 1 1 0 1 4 1 2 4 2 1 2 0 1 1 1 1 2 1 2 0 0 6 2 1 2 2 2 3 0 0 2 4 2 3 2 0 3 1 3 0 2
"particular" 1 6 2 1 1 0 2 1 5 1 2 1 0 3 3 2 1 1 0 1 0 3 1 0 1 1 2 1 0 6 0 2 3 4 1 0 0 0 0 1 0 4 5 2 2 2 1 3 1 3
"pleasant" 0 4 0 1 1 1 0 0 1 0 1 0 0 1 0 0 1 0 0 2 1 2 2 0 1 1 1 3 1 2 2 0 0 4 0 0 1 0 0 0 3 1 1 1 1 0 2 2 1 0
"polite" 0 2 1 1 0 0 0 1 1 1 0 0 0 1 1 0 0 1 0 0 0 1 1 0 1 1 0 0 0 1 3 0 0 1 0 0 0 0 1 0 0 1 1 1 0 1 0 1 0 1
"proper" 2 7 1 2 1 1 2 0 4 0 2 0 1 4 2 1 2 3 1 2 1 2 1 1 2 1 2 3 0 2 4 4 1 0 1 2 1 0 2 0 2 3 4 0 3 0 2 3 2 0
"prudent" 1 2 1 2 0 1 1 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 2 1 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1 0 2 1 0
"quick" 0 1 1 2 1 1 0 1 1 1 0 1 2 1 0 0 1 2 3 0 1 0 0 2 1 0 0 0 1 2 0 0 0 2 0 0 0 1 0 1 2 1 0 0 1 0 1 1 1 1
"quiet" 1 2 0 1 0 2 0 0 1 0 0 0 1 0 1 1 1 2 0 0 0 0 0 0 0 2 0 0 0 3 0 1 0 1 0 0 0 0 0 0 4 2 1 0 0 0 1 1 0 0
"rational" 1 3 0 3 0 2 1 2 0 1 0 2 2 0 1 0 2 1 0 2 0 0 1 2 0 0 0 1 1 0 0 0 0 0 1 1 0 0 2 0 2 2 1 1 1 0 0 1 1 0
"reasonable" 3 2 0 3 1 0 0 0 0 0 1 0 1 1 0 0 0 2 0 1 1 0 1 1 1 0 1 1 0 0 0 0 1 2 1 0 0 2 0 0 0 0 1 0 1 0 0 1 1 0
"selfish" 0 2 0 2 1 1 0 0 0 0 0 0 1 0 0 1 1 0 1 1 1 0 0 1 1 0 0 1 0 2 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1
"serious" 0 4 1 2 1 4 2 2 3 1 1 2 2 2 1 0 2 4 1 2 1 1 0 1 2 2 0 1 0 4 0 3 0 2 0 2 4 2 0 0 0 2 0 1 1 0 2 3 0 0
"severe" 1 1 0 2 1 2 0 1 2 1 3 1 0 2 2 0 1 0 0 2 1 3 0 2 0 1 0 0 1 2 4 1 1 3 0 1 2 2 0 0 2 0 5 1 1 1 0 1 1 0
"silent" 1 4 0 0 1 1 0 0 2 0 3 0 1 2 1 0 2 2 1 1 1 3 0 1 0 1 3 0 0 3 5 1 1 4 0 0 1 1 1 0 0 5 0 1 2 0 1 1 0 0
"steady" 0 2 2 0 1 0 0 1 1 1 0 0 0 1 4 0 2 1 0 0 0 0 1 0 0 2 1 2 0 2 2 1 1 0 0 0 0 1 0 0 1 1 1 0 0 1 1 1 1 1
"strict" 1 0 0 1 0 1 1 1 0 1 1 1 1 0 0 0 0 1 0 0 1 0 0 1 0 0 2 1 0 0 2 1 0 3 0 1 0 1 1 0 1 1 2 0 0 0 1 0 1 0
"suspicious" 1 1 1 1 0 1 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 3 2 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0 0 1 0 1
"vain" 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 2 2 1 0 1 0 0 0 0 0 1 3 0 1 1 2 0 2 0 1 1 0 0 1 2 0 1 1 1 0 0 1 0 0
"warm" 1 7 4 2 0 2 2 1 4 1 4 0 1 2 2 1 0 2 2 0 1 1 0 3 1 3 1 2 1 3 3 2 1 3 2 1 1 1 1 1 3 1 1 1 0 1 1 0 1 1
"wild" 1 1 0 2 0 0 1 0 0 0 2 0 0 0 1 0 1 2 1 2 1 0 0 1 1 2 0 1 1 0 1 1 0 2 1 1 0 1 1 0 0 1 0 1 1 0 0 1 0 0
"worldly" 0 3 1 1 0 0 0 1 0 1 0 0 0 0 2 1 1 1 0 1 0 1 0 0 2 1 1 0 1 2 3 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0
