"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"117","calculat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","callous",3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"119","calm",106,6,2,4,15,14,5,1,14,12,1,3,6,4,10,9
"120","candid",20,0,3,5,0,0,0,1,1,4,2,0,0,2,1,1
"121","canny",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"122","cantanke",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","capable",84,5,1,13,11,9,4,2,7,7,2,5,3,10,1,4
"124","capricio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","carefree",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","careful",160,4,13,18,10,9,7,3,14,11,2,17,6,11,22,13
"127","careless",79,5,9,6,3,6,2,2,7,10,2,9,2,8,3,5
"128","careworn",6,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0
"129","casual",21,2,1,1,2,1,0,0,2,1,0,1,0,6,3,1
"130","catty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","caustic",3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"132","cautious",48,4,5,1,0,9,2,1,3,4,0,3,2,4,4,6
"133","cavalier",3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"134","censoria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","cerebral",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136","ceremoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","certain",771,26,46,59,68,58,44,14,72,99,26,46,19,110,33,51
"138","changeab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","changele",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","charitab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","chaste",18,1,2,1,0,1,0,2,1,2,1,2,3,0,1,1
"142","chatty",7,0,0,2,0,1,0,1,0,1,0,1,0,1,0,0
"143","cheerful",240,5,28,28,30,17,9,6,10,23,3,15,7,17,17,25
"144","cherubic",8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"145","chic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","childish",102,0,3,13,20,20,4,3,5,6,5,4,2,8,4,5
"147","childlik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148","chipper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","chitchat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150","chivalro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","choosy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","circumsp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153","civil",41,0,6,3,5,2,0,1,5,5,2,4,3,2,2,1
"154","civilize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","clairvoy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","clannish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","clearcut",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","clearhea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","clearsig",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","clearthi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","clever",103,0,4,7,7,4,2,1,34,6,0,12,13,4,6,3
"162","clingy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163","cliquish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","closedmi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","closefis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166","closemou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
