"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"209","hard-working",0,0,0,0,0,0,0
"210","harmless",4,1,0,2,0,0,1
"211","healthy",7,3,0,0,2,1,1
"212","heartbroken",0,0,0,0,0,0,0
"213","helpful",0,0,0,0,0,0,0
"214","helpless",5,1,2,0,1,0,1
"215","hilarious",0,0,0,0,0,0,0
"216","homeless",0,0,0,0,0,0,0
"217","honest",20,4,5,5,1,1,4
"218","hopeful",0,0,0,0,0,0,0
"219","hostile",1,0,0,0,0,0,1
"220","hot-tempered",0,0,0,0,0,0,0
"221","humiliated",0,0,0,0,0,0,0
"222","humorous",0,0,0,0,0,0,0
"223","idealistic",0,0,0,0,0,0,0
"224","ignorant",25,5,1,2,1,12,4
"225","imaginative",0,0,0,0,0,0,0
"226","immature",0,0,0,0,0,0,0
"227","impatient",18,2,4,3,3,4,2
"228","impolite",1,1,0,0,0,0,0
"229","important",46,15,8,4,3,8,8
"230","impressive",0,0,0,0,0,0,0
"231","impulsive",0,0,0,0,0,0,0
"232","incompetent",0,0,0,0,0,0,0
"233","inconsiderate",0,0,0,0,0,0,0
"234","indecisive",1,0,0,0,1,0,0
"235","independent",19,3,7,4,0,1,4
"236","inexperienced",1,0,1,0,0,0,0
"237","influential",0,0,0,0,0,0,0
"238","informal",0,0,0,0,0,0,0
"239","innocent",6,1,2,1,0,1,1
"240","insane",1,1,0,0,0,0,0
"241","insecure",0,0,0,0,0,0,0
"242","insensitive",0,0,0,0,0,0,0
"243","insulting",1,0,0,0,0,1,0
"244","intellectual",4,2,1,1,0,0,0
"245","intelligent",9,3,0,0,3,2,1
"246","interested",14,5,3,2,0,2,2
"247","interesting",62,18,9,6,8,10,11
"248","intimidating",0,0,0,0,0,0,0
"249","involved",0,0,0,0,0,0,0
"250","irrational",2,0,0,0,1,0,1
"251","irresponsible",0,0,0,0,0,0,0
"252","irritable",1,0,0,0,1,0,0
"253","irritated",6,1,1,2,0,1,1
"254","irritating",0,0,0,0,0,0,0
"255","jealous",7,1,1,1,1,2,1
"256","joyful",4,1,1,1,0,0,1
"257","kind",20,11,5,1,0,2,1
"258","kind-hearted",0,0,0,0,0,0,0
"259","knowledgeable",0,0,0,0,0,0,0
"260","laid-back",0,0,0,0,0,0,0
"261","laughing",0,0,0,0,0,0,0
"262","lazy",0,0,0,0,0,0,0
"263","level-headed",0,0,0,0,0,0,0
"264","liberal",19,7,1,3,1,2,5
"265","likeable",0,0,0,0,0,0,0
"266","little",804,243,174,61,108,122,96
"267","lively",23,4,4,2,3,5,5
"268","logical",0,0,0,0,0,0,0
"269","lonely",1,0,1,0,0,0,0
"270","lonesome",0,0,0,0,0,0,0
"271","loud",9,2,1,2,0,1,3
"272","lovable",0,0,0,0,0,0,0
"273","lovely",26,8,9,2,2,3,2
"274","loving",2,0,0,1,1,0,0
"275","loyal",0,0,0,0,0,0,0
"276","lucky",29,8,3,2,6,5,5
"277","masculine",0,0,0,0,0,0,0
"278","materialistic",0,0,0,0,0,0,0
