"","Words","count.present"
"382","secure",382
"383","seductive",383
"384","self-conscious",384
"385","self-confident",385
"386","self-assured",386
"387","self-supporting",387
"388","self-sufficient",388
"389","self-centered",389
"390","selfish",390
"391","senile",391
"392","sensible",392
"393","sensitive",393
"394","sentimental",394
"395","serious",395
"396","sexy",396
"397","shallow",397
"398","short-tempered",398
"399","short",399
"400","shy",400
"401","sincere",401
"402","skilled",402
"403","skillful",403
"404","skinny",404
"405","sleepy",405
"406","slender",406
"407","slim",407
"408","sloppy",408
"409","smart",409
"410","snobbish",410
"411","sociable",411
"412","social",412
"413","soft-spoken",413
"414","sophisticated",414
"415","spoiled",415
"416","spontaneous",416
"417","stable",417
"418","stingy",418
"419","straightforward",419
"420","strange",420
"421","strict",421
"422","strong",422
"423","stubborn",423
"424","stuck-up",424
"425","stupid",425
"426","successful",426
"427","superstitious",427
"428","supportive",428
"429","surprised",429
"430","suspicious",430
"431","sweet",431
"432","sympathetic",432
"433","talented",433
"434","talkative",434
"435","tall",435
"436","temperamental",436
"437","tense",437
"438","terrible",438
"439","terrific",439
"440","thankful",440
"441","thin",441
"442","thinking",442
"443","thorough",443
"444","thoughtful",444
"445","thoughtless",445
"446","tiny",446
"447","tired",447
"448","tolerant",448
"449","tough",449
"450","traditional",450
"451","troubled",451
"452","trusted",452
"453","trusting",453
"454","trustworthy",454
"455","truthful",455
"456","unattractive",456
"457","uncomfortable",457
"458","undependable",458
"459","understandable",459
"460","understanding",460
"461","uneducated",461
"462","unemployed",462
"463","unfair",463
"464","unfaithful",464
"465","unforgettable",465
"466","unfriendly",466
"467","ungraceful",467
"468","unhappy",468
"469","uninhibited",469
"470","unlucky",470
"471","unpopular",471
"472","unpredictable",472
"473","unreasonable",473
"474","unreliable",474
"475","unstable",475
"476","unsure",476
"477","unusual",477
"478","upset",478
"479","useful",479
"480","valuable",480
"481","violent",481
"482","warm-hearted",482
"483","warm",483
"484","wasteful",484
"485","weak",485
"486","wealthy",486
"487","weird",487
"488","well-adjusted",488
"489","well",489
"490","well-known",490
"491","well-to-do",491
"492","well-liked",492
"493","wise",493
"494","wishy-washy",494
"495","witty",495
"496","wonderful",496
"497","worthy",497
"498","young",498
"499","youthful",499
