"active" "affable" "affectionate" "agreeable" "amiable" "anxious" "benevolent" "bold" "bright" "calm" "careful" "certain" "cheerful" "clever" "cold" "considerate" "constant" "cool" "cruel" "curious" "deep" "determined" "direct" "distant" "dull" "earnest" "expressive" "faithful" "friendly" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "hearty" "honest" "humble" "ignorant" "immovable" "impatient" "indifferent" "ingenious" "jealous" "kind" "lively" "loud" "modest" "moral" "narrow" "natural" "original" "particular" "passionate" "patient" "pleasant" "polished" "polite" "political" "practical" "precise" "profound" "proper" "proud" "quick" "quiet" "reasonable" "responsible" "rigid" "rough" "sensitive" "serious" "severe" "silent" "simple" "slow" "social" "spirited" "steady" "stern" "submissive" "tender" "thoughtful" "tight" "timid" "vague" "vain" "violent" "warm" "wild" "wise"
"genteel" 1 1 0 1 1 2 0 0 0 0 0 3 0 0 1 1 1 1 0 1 1 0 0 3 0 0 1 0 0 2 0 3 0 0 1 0 0 0 0 0 0 2 0 1 2 0 0 0 0 0 1 1 3 0 2 1 0 0 0 0 1 1 0 2 0 1 0 1 1 1 1 0 1 1 3 1 2 0 0 0 0 0 0 0 0 0 0 1 2 0 1
"gentle" 2 0 2 2 2 4 0 0 1 0 2 6 0 0 3 2 2 2 1 1 1 1 0 4 0 1 1 1 1 3 3 0 3 1 1 0 2 1 1 0 2 1 0 1 4 1 2 0 2 0 2 2 1 0 0 0 0 0 0 2 1 3 0 4 2 4 1 1 2 0 1 1 0 2 2 4 2 0 1 2 2 1 2 2 1 0 0 0 1 2 4
"gloomy" 0 0 0 2 0 1 1 0 10 2 0 2 2 4 2 1 1 3 2 3 5 0 1 2 4 0 1 0 1 1 0 3 0 1 1 1 1 1 0 3 2 1 0 1 2 4 2 0 1 3 2 2 2 1 0 2 0 0 0 1 0 0 2 3 2 4 0 1 1 2 1 1 2 3 0 4 0 1 3 5 2 2 2 1 0 1 0 1 2 5 0
"graceful" 0 1 1 1 1 2 0 1 2 0 1 0 1 1 0 1 0 1 2 1 0 1 1 0 1 2 2 3 1 0 0 1 1 0 1 0 0 0 1 0 0 2 1 0 1 0 0 0 0 0 4 0 0 0 1 1 1 1 0 1 0 0 1 1 1 1 0 0 0 0 0 1 0 2 1 3 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0
"gracious" 2 1 1 3 1 2 0 0 5 0 2 6 0 1 2 0 0 0 1 1 0 1 0 5 1 1 0 2 1 3 1 1 1 1 0 1 1 1 2 0 3 2 0 1 8 1 1 3 0 3 3 6 5 1 2 2 0 2 0 1 0 2 6 3 2 4 0 1 1 0 0 0 0 2 0 2 0 1 0 1 1 2 0 2 0 0 1 3 0 0 1
"hearty" 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 1 1 0 0 1 1 1 0 1 0 0 1 1 0 0 1 0 1 0 2 0 0 0 1 0 2 0 0 0 1 1 1 1 2 0 1 0 1 1 0 0 0 0 1 0 1 3 0 2 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1
"honest" 1 1 1 3 1 5 2 0 4 1 1 3 1 0 3 0 1 0 4 3 2 1 0 1 1 1 1 3 3 2 0 2 1 0 1 2 0 2 0 1 1 0 1 1 3 0 2 0 0 1 3 1 3 0 3 2 0 1 0 1 0 0 2 2 1 6 0 0 1 0 0 0 0 6 0 1 1 0 1 0 0 0 1 2 0 1 0 2 0 1 0
"humble" 1 1 0 3 0 1 1 0 1 0 1 1 0 0 3 0 0 1 2 0 1 0 1 0 1 0 0 1 1 0 0 1 1 0 1 0 2 0 1 0 0 2 1 0 3 1 1 1 0 1 3 2 5 0 0 2 0 0 0 1 0 1 0 3 5 1 0 1 1 0 0 1 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 1 2 0
"ignorant" 0 0 1 1 0 3 0 0 4 1 3 4 0 1 2 0 1 0 0 2 0 1 0 1 0 0 1 2 0 0 0 1 0 1 2 0 0 1 0 1 2 0 0 0 0 0 0 0 1 0 3 0 1 0 0 2 0 1 0 1 0 0 3 0 1 2 0 2 0 0 0 0 0 2 1 1 0 1 1 0 0 1 0 1 1 0 0 0 0 0 1
"immovable" 1 0 0 0 1 1 0 0 3 2 0 3 0 0 1 0 0 0 1 1 3 0 0 1 2 0 1 0 0 0 0 0 3 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 2 0 0 1 1 0 1 0 1 1 1 0 0 0 2 1 2 0 1 1 1 0 0 0 1 0 0 0 0 1 1 1 0 0 0 2 3 0 0 0 1 0
