"active" "affectionate" "agreeable" "amiable" "anxious" "bitter" "bright" "calm" "careful" "certain" "cheerful" "clever" "cold" "cruel" "curious" "deep" "distant" "dull" "eager" "earnest" "exact" "expressive" "faithful" "fearful" "fierce" "friendly" "generous" "gentle" "gloomy" "gracious" "hasty" "haughty" "hearty" "honest" "humane" "humble" "impatient" "ingenious" "intense" "irrepressible" "kind" "lively" "loud" "malicious" "merry" "narrow" "natural" "nervous" "noisy" "particular" "peaceful" "pleasant" "precise" "profound" "proper" "proud" "quick" "quiet" "respectful" "rigid" "rough" "serious" "silent" "simple" "slow" "smart" "solemn" "strict" "surly" "thoughtful" "vigorous" "violent" "warm" "wild" "wise"
"haughty" 0 1 0 0 1 0 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0
"hearty" 0 0 1 2 2 0 0 0 0 0 0 1 2 0 2 1 0 0 1 0 1 1 0 0 1 0 1 2 1 0 0 0 0 0 0 0 1 2 1 0 2 1 1 0 1 0 1 0 0 0 0 0 1 0 1 1 1 4 0 0 1 1 1 0 1 1 0 1 0 1 0 2 1 2 0
"honest" 0 0 0 0 0 0 2 1 2 2 3 1 0 0 2 5 1 0 0 2 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 1 2 1 0 2 0 1 2 2 3 1 0 0 1 2 0 0 0 0 1 0 0
"humane" 0 0 0 0 0 0 1 1 0 1 1 0 2 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 2 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 0 0 1
"humble" 0 1 0 1 1 0 0 0 1 0 0 0 2 0 0 2 1 0 1 2 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 1 2 2 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0
"impatient" 1 0 0 0 2 0 1 0 1 1 1 2 2 0 1 3 0 0 2 1 1 1 0 1 0 0 1 2 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 2 2 0 0 0 2 1 0 0 0 1 2 0 0
"ingenious" 1 1 1 1 0 0 0 0 0 1 1 0 1 0 2 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 2 0 0 1 0 0 0 1 0 0 1 1 1 0 1 0 0 3 0 2 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 2
"intense" 1 1 0 0 2 0 0 0 0 0 0 0 2 0 0 1 1 0 1 1 0 1 0 0 1 1 0 0 2 1 1 0 1 0 0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 2 0 0 0 0 1 0 1 3 0 0 0 1 1 1 1 0 0 0 0 0 0 2 0 2 0
"irrepressible" 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 1 0 1 1 1 1 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 3 1 0 0
"kind" 0 1 0 1 5 0 2 2 1 3 1 1 5 0 0 3 2 0 3 1 0 0 1 1 0 0 1 8 1 0 0 1 2 1 1 0 1 0 1 1 0 1 1 0 0 1 1 1 0 0 1 1 0 0 1 3 1 6 1 0 0 0 3 0 2 1 1 0 0 1 0 2 4 0 1
"lively" 0 0 0 1 0 0 0 1 0 1 0 1 1 0 2 2 0 0 0 0 0 1 0 0 1 0 0 3 2 0 0 1 1 0 1 0 0 0 0 1 1 0 2 0 0 2 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 1 0 2 1 0 2 1 1 1
"loud" 1 0 2 0 1 1 3 1 1 3 0 2 10 2 0 5 2 1 2 1 0 3 1 1 0 0 0 1 4 1 0 0 1 0 0 1 1 1 0 1 1 2 0 0 2 2 1 0 2 2 0 0 1 1 4 1 3 3 0 0 0 0 5 0 3 1 1 0 2 1 2 6 2 0 0
"malicious" 0 0 1 0 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0
"merry" 0 1 1 0 0 0 0 1 0 0 0 0 1 1 2 4 1 1 0 0 0 2 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 2 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 1 0 2 0 1 1 1 1 0 0 0 0 0 0 1 0 1 1 1 0
"narrow" 1 1 0 0 5 0 1 1 0 2 0 0 4 0 0 5 1 0 0 1 0 2 0 0 1 1 1 1 3 0 1 0 0 1 0 1 0 0 1 0 1 2 2 0 0 0 0 0 1 2 1 1 0 4 2 0 3 3 0 1 2 0 6 1 0 1 1 0 0 0 0 0 2 2 0
"natural" 0 0 3 0 1 0 1 0 1 1 0 2 1 0 1 2 0 0 0 1 0 0 0 0 0 0 0 2 0 3 0 0 1 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 0 2 0 0 1 0 1 0 0 1 1 1 0 0 0 1 1 0 0 0 1 0 0 1 2 0 1
"nervous" 0 0 0 1 1 1 1 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 2 0 0 0
"noisy" 0 0 0 0 0 2 0 0 0 0 1 0 2 0 0 1 3 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 0 3 0 1 1 1 0 0 0 0 2 2 0 0
"particular" 2 2 1 1 2 0 2 0 2 4 0 2 7 0 1 1 1 0 1 0 2 1 1 0 1 1 1 3 1 1 5 1 0 0 1 1 0 3 2 0 0 1 2 1 0 2 2 0 0 0 0 1 2 2 3 0 2 3 2 0 0 0 3 1 2 1 0 0 0 2 0 0 1 3 3
"peaceful" 0 0 0 0 0 0 1 2 0 0 1 0 1 0 0 2 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 2 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 2 1 0
"pleasant" 1 1 0 3 2 1 1 1 0 2 2 1 1 0 1 4 1 0 1 2 1 0 1 0 1 1 0 6 2 0 0 1 0 1 0 2 0 2 0 1 1 0 0 1 0 1 0 0 1 1 1 0 0 1 0 0 2 4 1 0 2 1 2 1 0 1 2 0 1 1 0 1 3 3 0
"precise" 0 0 1 0 2 0 0 1 0 1 0 0 2 0 0 2 0 1 1 0 2 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0
"profound" 0 0 1 1 2 0 0 0 3 4 0 0 5 0 0 2 2 2 0 1 0 1 1 0 1 0 1 1 3 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 4 0 0 0 2 0 1 0 0 1 0 1 2 0 1 1 0 1 2 0 0 0 1 0 0 0 1 3 1 0
"proper" 0 0 1 0 1 0 1 0 1 4 1 0 5 0 1 3 0 0 1 0 0 0 1 0 0 0 0 1 2 1 1 0 1 2 0 1 0 0 1 0 1 1 4 0 0 2 1 0 0 3 0 0 1 1 0 0 2 3 1 0 0 0 3 0 1 0 0 0 0 1 2 1 1 1 0
"proud" 0 0 0 1 1 0 1 1 0 1 0 0 1 0 0 4 1 0 0 1 0 0 2 1 0 0 1 4 0 0 0 1 1 1 0 1 0 0 0 0 3 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 1 1 0 1 0
"quick" 1 0 0 0 4 1 2 1 0 1 1 1 4 0 1 6 1 1 1 1 0 0 0 0 1 1 0 3 3 0 0 1 1 0 2 1 1 0 1 0 1 1 3 0 0 3 0 0 1 2 1 2 0 1 2 0 0 1 1 0 2 0 6 1 0 0 1 0 1 1 1 2 2 1 1
"quiet" 1 2 0 1 7 1 4 3 1 8 1 2 8 2 2 4 1 3 2 1 1 3 1 0 2 1 0 5 3 0 4 0 4 2 0 0 0 1 3 1 6 0 3 0 2 3 1 0 1 3 1 4 1 2 3 0 1 0 1 2 3 2 4 3 3 3 4 0 1 1 1 3 5 3 2
"respectful" 0 0 1 0 2 0 1 0 1 0 1 1 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 2 0 1 0 0 1 0 1 1 0 0 1 0 1 0 2 0 0 0 0 1 0 0 1 1 1
"rigid" 0 0 0 0 1 0 0 2 0 1 0 0 2 0 0 3 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 1 0 1 0 2 0 0 0 1 0 1 0 0 0 1 0 0 0 0 2 2 0
"rough" 1 0 1 0 2 1 1 1 1 2 3 1 3 1 2 5 0 1 0 2 0 1 0 1 0 1 0 1 1 0 1 0 1 2 1 0 1 1 0 0 0 1 0 0 1 2 0 0 0 0 0 2 0 1 0 0 2 3 1 0 0 2 3 1 1 0 0 0 2 0 0 0 0 0 1
"serious" 1 0 0 0 1 0 0 0 1 0 1 1 2 0 1 3 0 0 0 1 2 0 0 0 0 1 1 1 0 0 0 0 1 2 1 0 2 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 2 0 1 2 0 1 0 0 0 0 2 1 0 0 1 1 0 0
"silent" 2 2 0 0 5 2 3 2 1 3 4 1 7 2 1 10 4 0 2 4 1 1 2 4 2 0 2 4 1 1 1 0 1 3 0 0 2 0 1 1 3 1 5 1 1 6 0 2 3 3 0 2 0 1 3 1 6 4 1 0 3 1 0 1 2 1 2 0 0 0 1 3 1 1 0
"simple" 0 1 0 0 1 0 0 2 1 2 1 0 0 0 0 5 1 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 1 0 2 0 0 1 3 0 1 1 0 1 0 1 0 3 1 1 0 0 1 2 1 2
"slow" 1 0 1 0 1 0 0 0 1 0 1 1 4 0 1 2 1 0 2 0 2 0 0 0 0 0 0 3 0 0 2 0 1 0 0 1 0 0 1 0 2 0 3 0 0 0 1 0 1 2 0 0 0 0 1 0 0 3 2 0 1 0 2 1 0 0 2 0 0 1 0 4 1 2 3
"smart" 1 0 0 2 1 1 0 0 0 1 0 2 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 0 1 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 0
"solemn" 0 2 0 0 2 1 2 3 0 1 2 2 0 0 0 4 1 1 2 0 0 1 0 1 0 0 0 4 0 0 0 1 0 1 1 1 2 0 0 0 1 1 1 0 0 1 0 1 1 0 2 2 0 0 0 0 1 4 0 0 0 0 2 3 2 0 0 0 0 0 0 2 2 1 1
"strict" 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 2 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 1 2 0 0
"surly" 2 0 2 0 0 0 1 0 0 2 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 2 2 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 2 1 0 1 0 0 0 0 0 0 0 2 0 0 1
"thoughtful" 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 1 0 0 3 1 0 0 2 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 2 0 1 0 0 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0
"vigorous" 0 0 0 0 0 0 1 0 0 2 2 0 2 1 0 2 0 0 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0
"violent" 0 0 2 2 1 2 3 0 1 4 1 2 6 1 3 1 4 2 4 2 0 0 1 0 2 1 0 3 2 1 0 0 2 0 0 0 1 1 2 3 2 2 6 2 1 0 1 2 2 0 0 1 0 1 1 1 2 3 0 0 0 1 3 1 4 0 2 1 2 1 2 0 1 1 1
"warm" 0 1 0 1 4 1 0 2 3 2 1 1 6 0 0 5 2 1 2 1 1 1 1 0 0 0 1 7 1 0 0 0 1 1 0 1 2 0 0 1 4 1 2 0 1 2 2 0 2 1 2 3 1 3 1 0 2 5 1 2 0 1 1 2 1 2 2 2 0 0 0 1 0 1 1
"wild" 1 0 0 2 2 1 1 1 1 0 0 0 3 2 0 3 0 1 1 4 0 1 0 2 2 1 0 2 3 0 1 1 2 0 0 1 0 0 2 0 0 1 0 0 1 2 0 0 0 3 1 3 0 1 1 1 1 3 1 2 0 0 1 1 2 1 1 0 0 1 0 1 1 0 0
"wise" 0 0 0 0 1 0 0 0 1 2 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 2 0 0 0 1 0 0 2 0 0 1 1 0 0 0 0 1 0 0 3 0 0 0 0 0 0 1 2 1 0 1 0 0 2 3 0 1 0 1 0 0 1 1 0 0
