"active" "affected" "affectionate" "agreeable" "amiable" "anxious" "awkward" "capable" "careful" "cautious" "ceremonious" "certain" "cheerful" "civil" "clever" "cold" "consistent" "constant" "cruel" "deep" "determined" "distant" "dull" "eager" "earnest" "elegant" "exact" "excessive" "fearful" "foolish" "formal" "friendly" "generous" "gentle" "gracious" "humble" "ignorant" "impatient" "impertinent" "imprudent" "indifferent" "intelligent" "intimate" "kind" "lively" "natural" "nervous" "original" "particular" "pleasant" "polite" "proper" "proud" "prudent" "quick" "quiet" "rational" "reasonable" "rude" "selfish" "serious" "severe" "silent" "sincere" "solemn" "steady" "unaffected" "uncivil" "unguarded" "unreasonable" "vain" "violent" "warm" "wild"
"intimate" 1 0 2 3 3 1 0 2 1 0 1 2 0 1 0 0 1 0 0 0 1 0 0 3 1 0 1 0 0 0 1 2 0 0 0 0 1 1 0 1 0 1 0 1 0 2 0 0 3 1 0 1 2 0 0 0 2 1 0 0 0 0 0 2 0 0 0 0 1 2 3 0 0 1
"kind" 1 1 3 3 3 3 1 2 1 3 0 5 1 1 1 3 1 1 0 0 2 0 1 4 4 0 0 0 1 1 2 0 1 1 1 2 2 2 0 1 2 0 1 0 2 3 0 0 1 1 0 0 2 0 1 0 2 2 1 0 4 1 5 2 0 1 0 1 1 2 2 2 0 1
"lively" 1 2 2 5 6 4 2 2 0 1 0 2 0 1 1 0 0 0 0 0 1 1 0 2 3 1 1 0 2 0 1 1 0 1 0 0 2 0 0 0 0 0 0 2 0 1 1 0 4 4 1 2 5 0 1 3 0 1 1 0 1 0 1 0 0 2 2 0 0 0 0 3 0 0
"natural" 1 1 3 3 3 1 1 1 1 1 0 6 0 3 2 1 0 3 1 0 0 0 0 2 0 0 1 0 1 0 2 1 0 0 0 0 1 1 0 1 4 1 2 3 1 0 0 0 5 4 0 1 3 0 1 1 1 2 0 1 3 1 2 2 1 2 0 1 1 1 3 2 2 3
"nervous" 1 0 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0
"original" 0 0 0 2 1 0 0 0 1 0 0 1 0 1 0 1 1 1 0 2 0 0 1 0 1 0 1 2 1 1 0 0 1 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 3
"particular" 2 0 1 8 6 1 1 6 0 0 1 7 0 2 2 2 0 0 0 0 3 3 0 3 0 2 1 0 1 1 0 1 0 1 0 1 3 0 0 1 3 1 3 1 4 5 1 0 0 4 2 2 4 0 1 1 0 3 0 1 1 1 3 0 3 2 2 0 1 3 3 3 0 2
"pleasant" 1 1 1 6 3 0 3 2 0 0 0 7 0 4 0 3 0 0 1 2 0 2 0 0 0 2 1 1 0 0 3 1 0 0 0 0 0 0 0 0 0 1 1 1 4 4 0 1 4 0 2 1 2 0 1 1 1 0 0 1 1 2 1 0 1 2 1 0 0 0 1 1 1 2
"polite" 0 0 0 2 2 0 2 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 2 0 0 1 0 0 0 1 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0
"proper" 0 0 3 4 5 0 1 1 1 0 1 3 0 1 1 0 0 3 1 0 0 1 0 2 2 3 0 0 0 0 0 1 1 0 0 1 2 1 2 1 1 0 1 0 2 1 1 0 2 1 0 0 1 2 3 1 1 1 1 1 2 2 2 0 0 3 1 0 0 0 1 1 1 0
