"abrupt" "accurate" "affectionate" "agreeable" "amiable" "anxious" "appreciative" "awkward" "beneficent" "benevolent" "bitter" "brave" "bright" "brisk" "capricious" "careless" "certain" "cheerful" "childish" "cold" "complicated" "confident" "confused" "conscientious" "constant" "contemplative" "contented" "conversational" "cool" "cordial" "courageous" "cruel" "curious" "deep" "despondent" "distant" "dull" "earnest" "earthy" "exact" "expressive" "faithful" "feminine" "fierce" "fiery" "firm" "foolish" "frank" "friendly" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "hasty" "honest" "humorous" "ignorant" "impatient" "incorruptible" "just" "kind" "live" "lively" "mild" "moderate" "modest" "moral" "musical" "narrow" "natural" "nervous" "noisy" "orderly" "original" "particular" "passionate" "patient" "peaceful" "pleasant" "polite" "precise" "proud" "quick" "quiet" "reasonable" "reflective" "respectful" "responsible" "restless" "rough" "serene" "serious" "shy" "silent" "slow" "smart" "social" "solemn" "steady" "stern" "studious" "sympathetic" "tender" "tight" "transparent" "ungenerous" "unreasonable" "violent" "warm" "wild" "thoughtful" "wise" "submissive" "vivacious"
"bitter" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
"brave" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"bright" 2 0 2 2 3 1 0 1 1 0 1 0 0 0 1 1 5 3 4 5 0 0 2 1 2 1 0 2 1 1 1 2 2 3 0 1 0 3 1 1 1 2 0 2 0 0 2 1 2 1 0 1 4 0 4 0 0 1 0 2 0 2 4 1 0 0 1 0 0 2 0 3 0 0 2 2 2 0 0 0 1 0 2 3 1 4 0 2 0 0 2 1 1 2 0 2 1 1 2 1 2 2 1 1 0 0 1 1 0 1 3 1 1 2 0 0
"brisk" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 1 1 0 0 1 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 2 1 0 0 0 0
"capricious" 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0
"careless" 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0
"certain" 2 1 2 2 1 2 0 0 1 0 1 0 5 0 0 0 0 1 2 1 0 0 1 1 0 1 0 1 1 1 0 1 2 1 1 0 1 3 2 3 0 1 0 2 0 1 1 0 3 1 2 2 3 2 1 0 1 0 2 2 2 3 1 3 0 0 0 2 3 0 1 3 1 1 2 1 0 1 0 1 0 1 2 1 1 2 1 0 0 1 0 2 1 0 1 6 2 0 2 1 1 0 0 2 1 1 0 0 0 0 2 3 1 2 1 1
"cheerful" 0 0 0 1 1 0 0 0 0 0 0 0 3 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 1 0 1 0 1 1 0 0 2 0 0 2 0 2 0 1 0 0 0 0 0 0 0 1 0 0 1 2 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"childish" 0 0 2 0 1 0 0 1 0 0 0 0 4 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0
"cold" 1 0 1 0 0 0 1 0 0 2 2 0 5 2 1 0 1 1 0 0 0 1 2 1 0 0 2 0 0 0 1 0 1 4 0 0 0 1 2 0 0 1 1 2 2 1 0 1 3 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 2 2 2 0 2 1 1 1 2 1 1 1 1 0 0 1 1 1 3 0 2 0 0 0 0 2 3 1 0 1 2 3 0 1 1 1 1 1 0 0 0 0 0 0 2 2 1 0 0 0 0
"complicated" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 1
"confident" 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 1 0 0 1 0 2 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"confused" 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 3 2 0 0 0 0 0 0 0 2 0 2 0 0 0 0
"conscientious" 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 1 1 1 3 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 1 0
"constant" 0 0 0 1 1 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0
"contemplative" 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"contented" 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"conversational" 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cool" 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 2 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 1 0 1 0 0
"cordial" 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0
"courageous" 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0
"cruel" 0 0 0 0 0 1 0 1 0 0 1 0 2 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
"curious" 1 0 2 0 0 0 0 0 0 0 0 0 2 0 1 1 2 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 2 0 0 2 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 1 2 2 0 1 0 1 1 1 2 1 0 0 0 0 1 1 1 0 1 1 0 1 1 4 0 0 0 1 1 0 0 1 1 1 2 0 0 1 1 0 0 1 0 0 2 1 0 1 2 0 0 0 0 0
"deep" 0 0 0 0 1 0 0 0 0 1 1 0 3 1 0 0 1 2 1 4 0 2 0 0 0 0 1 0 2 0 1 0 2 0 0 1 0 0 1 0 0 1 2 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 1 1 0 0 3 2 0 0 2 1 1 1 1 1 0 2 0 0 2 0 4 0 1 0 0 0 2 0 0 0 2 0 0 1 1 1 0 1 0 0 0 1 0 0 0 1 2 0 1 0 0
"despondent" 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
"distant" 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0
"dull" 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 2 1 0 1 0 0 0 2 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 3 1 0 0 1 0 0 0 0 0 0 0 3 1 2 1 0 2 0 0 0 0 0 0 2 0 0 0 1 1 0 0 1 1 0 0 0 2 0 0 2 0 2 0 0
"earnest" 0 0 3 1 1 0 0 0 0 0 0 0 3 0 1 1 3 1 1 1 0 0 1 1 1 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 3 1 0 1 0 1 0 0 0 0 0 0 0 0 3 1 0 0 1 0 0 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0
"earthy" 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
"exact" 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0
"expressive" 0 0 2 0 0 0 1 2 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 2 0 0 1 2 0 0 0 0 1 1 1 0 0 1 0 2 0 1 0 1 1 1 0 0 0 1 1 1 1 0 0 2 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0
"faithful" 0 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0
"feminine" 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 2 0 0 1 0 1 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
"fierce" 1 0 1 0 0 1 0 1 0 1 0 0 2 1 0 0 2 0 1 2 0 1 1 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 1 0 1 1 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 2 1 1 0 0 1 0 1 2 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0
"fiery" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"firm" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 0 0 2 0 1 0 0 0 1 0 0 0 0 0 3 0 2 0 0 1 0 0 1 0 0 0 2 1 0 0 0 2 0 0 0 1 1 0 0 1 0 1 1 0 1 0 0
"foolish" 0 0 1 1 0 0 0 1 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"frank" 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
"friendly" 0 0 2 2 0 1 1 0 0 0 0 0 2 1 0 0 3 1 0 3 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 1 1 0 0 0 1 0 1 0 2 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 2 0 1 1 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 1 2 1 0 0 1 0 0 0 1 1 0 0 0 2 0 1 2 0 0 0 0
"generous" 0 1 2 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 1 1 0 2 0 1 0 1 1 1 0 0 0 1 0 1 1 4 0 0 0 1 1 1 0 2 0 0 1 1 0 1 2 0 0 0 0 0 0 2 0 0 1 1 0 1 0 0
"genteel" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0
"gentle" 0 1 2 0 1 0 0 0 0 0 0 0 1 0 1 0 2 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 1 1 0 2 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 1 0 1 0 0 0 0 0 1 0 0 1 0 3 0 0 1 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 2 0 0 1 0 0 1 1 0 1 0 0
"gloomy" 0 0 0 0 0 1 0 0 0 0 0 0 4 0 0 0 3 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 1 0 1 0 1 1 0 0 1 1 2 0 1 0 1
"graceful" 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1
