"affectionate" "agreeable" "amiable" "anxious" "bitter" "bright" "capable" "careful" "certain" "cheerful" "clumsy" "coarse" "cold" "confused" "consistent" "constant" "cruel" "curious" "deep" "determined" "direct" "distant" "dull" "eager" "exact" "expressive" "faithful" "fearful" "fierce" "firm" "friendly" "generous" "gentle" "gloomy" "gracious" "honest" "humble" "ignorant" "impatient" "indifferent" "jealous" "kind" "lavish" "lively" "loud" "moral" "natural" "nervous" "particular" "pleasant" "polite" "profound" "proud" "quick" "quiet" "responsible" "rough" "sensitive" "serious" "severe" "silent" "simple" "slow" "solemn" "steady" "strict" "suspicious" "thoughtful" "unreasonable" "vain" "violent" "wild" "warm" "tender"
"clumsy" 1 0 0 1 0 0 1 0 2 0 0 1 1 0 0 0 0 0 1 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"coarse" 1 1 1 0 1 4 0 0 4 2 1 0 2 1 0 0 0 3 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 2 1 1 1 2 3 1 0 0 0 1 1 0 1 1 5 1 1 1 2 3 2 0 0 1 0 1 0 0 0 2 0 0 1 0 0 0 3 3 1 0
"cold" 0 3 0 5 2 6 1 0 8 0 1 2 0 0 0 4 1 2 3 2 0 3 4 1 0 0 2 2 5 2 1 1 1 2 0 2 0 1 1 1 1 0 0 1 2 0 5 2 5 3 2 0 5 0 8 1 2 2 3 0 3 0 0 1 5 1 2 2 1 0 4 4 3 2
"confused" 1 1 0 0 0 2 0 1 2 1 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 2 0 1 0 2 1 1 1 1 0 0 0 1 0 0 0 0 1 0 2 0 0 2 0 2 3 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 3 1 0
"consistent" 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 1 0 2 0
"constant" 0 1 0 1 0 2 0 0 1 0 0 0 4 0 1 0 0 2 0 1 0 0 0 0 1 2 1 1 0 0 0 1 0 2 0 0 3 0 0 2 0 1 0 0 0 0 2 0 1 2 0 0 1 1 2 0 0 1 1 0 0 0 0 0 2 1 0 0 0 2 0 0 0 0
"cruel" 0 0 0 0 0 1 0 1 2 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 2 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0
"curious" 0 1 1 2 1 2 1 2 3 1 0 3 2 0 0 2 0 0 0 2 0 1 1 1 0 0 0 0 0 0 2 0 2 2 2 0 1 0 1 1 0 0 0 0 1 0 1 1 2 3 0 0 0 1 4 1 1 0 2 0 2 1 1 1 0 1 0 0 1 2 3 1 1 1
"deep" 0 0 0 2 0 1 1 0 3 2 1 0 3 0 0 0 1 0 0 1 0 1 3 1 1 0 0 2 0 1 1 1 1 1 1 1 0 0 1 0 0 1 0 2 1 1 3 0 1 1 0 1 2 0 2 1 1 0 0 1 2 0 1 0 1 0 0 1 0 1 2 0 2 0
"determined" 0 1 0 1 0 3 2 1 5 0 1 0 2 1 0 1 1 2 1 0 0 0 3 0 0 0 1 1 1 1 1 1 1 2 0 0 0 1 0 1 0 0 0 1 0 0 1 0 1 1 1 1 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"direct" 0 1 0 0 1 1 0 0 2 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 2 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0
"distant" 0 0 1 2 0 2 0 1 3 0 0 1 3 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 2 0 0 1 0 1 1 1 1 2 1 0 0 1 2 2 1 0 1 1 0 1 2 0 2 0 0 1
"dull" 0 2 1 2 0 4 2 1 4 3 1 1 4 0 0 0 0 1 3 3 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 2 0 0 1 2 0 1 0 1 0 1 2 1 1 5 1 1 2 0 2 0 0 0 1 0 1 1 1 2 1 0 1 2 0 2 1 1 1 1
"eager" 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 1 0 1 0 0 1 0 0 1 0 2 0 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 1
"exact" 0 2 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 1 1 1 0 0 0 0 0 0 0
"expressive" 0 1 0 0 0 2 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 1 2 1 0 1 0 1 2 0 0
"faithful" 0 0 1 0 0 1 0 0 2 0 0 1 2 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 2 1 1 0 0 1 0 0 0 1 0 0
"fearful" 0 0 0 1 0 1 0 0 2 0 1 1 2 0 0 1 0 0 2 1 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"fierce" 0 1 0 1 1 1 0 0 0 0 0 1 5 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 1 2 0 1 1 1 0 2 1 1 1 0 0 0 0 0 0 2 1 0 0 0 0 0 5 0 0
"firm" 0 0 0 0 0 1 0 0 1 0 0 0 2 2 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0
"friendly" 0 0 0 0 1 0 0 0 3 0 0 0 1 0 1 0 1 2 1 1 2 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 2 0 2 0 0 1 2 0 1 0 1 0 1 0 0 0 2 0 0 0 0 1 0 0 1 2 1 0
"generous" 0 0 0 0 0 1 1 0 1 1 0 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0
"gentle" 1 0 0 1 0 1 1 1 3 2 1 0 1 0 0 0 0 2 1 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 4 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 2 0
"gloomy" 1 1 0 2 0 5 0 0 3 2 0 2 2 2 0 2 0 2 1 2 0 1 1 0 0 0 1 1 0 2 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 1 1 1 0 1 0 2 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 1 1 0
"gracious" 0 0 1 0 0 0 0 1 1 0 0 1 0 1 1 0 1 2 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 1 0 1 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 1 1 0 0
"honest" 1 1 2 1 0 3 0 0 7 1 1 1 2 1 1 0 0 0 1 0 2 1 2 0 0 0 1 1 0 0 1 0 3 0 1 0 1 1 0 0 0 0 1 1 0 0 1 0 3 2 0 0 1 0 4 0 0 0 2 0 2 0 0 1 0 0 2 0 1 0 1 0 0 1
"humble" 1 0 0 0 0 1 0 0 0 1 0 1 0 1 1 3 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 2 0 0 0 0 0 0 1 0 1 1 0 0 2 2 2 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 2 0
"ignorant" 0 1 0 0 0 1 0 0 4 1 0 2 1 1 1 0 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 1 0 1 0 1 1 0 0 2 1 3 0 0 0 0 1 2 0 1 0 1 0 1 1 0 1 1 0 0 0
"impatient" 1 0 0 1 1 0 0 0 2 0 1 3 1 0 0 0 0 1 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 3 1 0 0 0 1 2 1 2 0 1 2 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0
"indifferent" 0 0 0 3 0 2 1 0 2 0 1 1 1 0 1 2 0 1 0 1 0 0 2 2 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 4 0 1 2 0 0 1 1 4 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 1 1 0
"jealous" 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0
"kind" 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 2 0 0 1 0 1 2 1 2 0 0 0 0 0 1 1 2 0 0 1 0 1 0 1 0 1 0 1
"lavish" 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 2 0 1 0 0 0 2 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0
"lively" 0 3 1 1 1 1 0 0 2 0 0 1 1 0 0 0 1 0 2 1 1 1 1 0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 2 0 1 1 2 0 0 1 0 0 1 1 2 1 1 0 0 1 0 0 1 1 0 0 0 0
"loud" 0 2 0 0 1 1 0 0 2 0 0 1 2 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 2 0 1 0 1 0 2 1 0 0 1 1 2 0 1 0 2 1 0 0 0 0 0 0 0 0
"moral" 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0
"natural" 1 1 1 3 1 2 1 1 3 2 1 1 5 1 0 2 0 1 3 1 1 2 2 1 0 0 1 0 0 2 2 1 1 1 0 1 1 1 3 4 0 2 2 0 0 1 0 1 3 5 1 1 5 1 7 1 0 1 0 0 2 1 2 0 1 1 2 1 1 0 1 3 0 1
"nervous" 1 0 0 1 0 1 0 1 3 2 0 1 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0
"particular" 2 1 0 1 1 4 0 0 7 2 1 5 5 2 2 1 1 2 1 1 1 0 1 0 0 1 0 0 2 0 2 0 1 1 2 3 1 1 0 1 0 0 1 2 2 0 3 1 0 0 4 0 1 1 3 1 0 0 1 0 1 1 1 0 0 3 2 1 1 1 2 4 1 0
"pleasant" 1 3 1 4 0 2 1 1 6 3 0 1 3 0 1 2 0 3 1 1 0 1 5 1 0 0 1 0 0 0 0 0 2 1 0 2 1 1 0 2 0 1 0 0 0 0 5 0 0 0 0 0 2 0 5 1 0 0 0 0 2 1 1 1 2 0 2 1 0 1 0 0 1 3
"polite" 0 1 1 0 1 1 1 0 3 1 1 1 2 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 4 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 2 0 0 2 0 0 0 0 0
"profound" 0 1 0 0 2 2 0 0 3 0 0 1 0 2 0 0 0 0 1 1 1 1 1 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 1 0 0 1 0 1 0 1 1 0 0 0 0 0 1 1 2 1 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 2 0 0
"proud" 0 3 0 1 0 5 0 0 5 0 1 2 5 0 0 1 2 0 2 1 1 1 2 1 0 0 1 0 1 0 2 0 0 0 1 1 2 2 2 1 1 2 2 2 1 1 5 0 1 2 0 1 0 1 5 0 1 0 1 1 1 1 3 0 3 0 1 1 1 1 0 1 2 1
"quick" 1 1 0 0 1 1 0 0 2 1 0 3 0 2 0 1 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 2 0 0 2 1 1 1 0 1 0 0 0 0 1 0 1 0 0 1 1 0 2 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 1 1 0
"quiet" 0 2 0 7 0 8 0 1 6 3 1 2 8 3 0 2 0 4 2 1 0 1 2 2 1 1 1 0 2 1 1 1 4 2 0 4 2 3 2 4 2 2 1 0 2 0 7 1 3 5 2 2 5 2 0 0 2 1 2 0 5 0 1 1 2 0 0 2 1 1 1 3 1 2
"responsible" 0 1 0 0 1 0 1 1 1 1 0 0 1 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 2 1 0 0 0 2 0 0 1 0 0 0 1 0
"rough" 0 0 0 1 1 1 1 0 1 0 0 0 2 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"sensitive" 1 0 0 0 1 0 0 0 1 0 0 1 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
"serious" 0 2 0 1 0 3 0 0 6 1 0 0 3 1 1 1 0 2 0 1 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 2 0 0 0 0 0 0 0 1 1 0 0 2 1 0 0 1 1 0 2 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 1
"severe" 0 1 0 0 0 2 0 0 2 0 0 1 0 0 0 0 0 0 1 0 1 1 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
"silent" 0 2 1 1 1 4 1 2 5 2 0 0 3 1 0 0 0 2 2 0 0 2 1 1 1 1 0 0 0 1 0 2 3 0 0 2 1 2 0 0 0 1 0 2 2 0 2 0 1 2 0 0 1 0 5 2 0 0 1 1 0 1 1 0 2 1 0 1 2 1 0 2 1 1
"simple" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1
"slow" 1 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 1 2 0 0 1 2 0 0 0 1 0 0 1 1 0 0 2 1 1 1 1 2 0 1 1 0 1 3 1 1 0 0 0 0 0 1 0 0 0 1 0 1 2 1 1 0 2 1 0
"solemn" 0 0 1 1 0 0 1 0 2 1 1 2 1 0 0 0 0 1 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"steady" 0 2 0 2 0 3 0 0 3 1 0 0 5 0 0 2 1 0 1 0 0 1 1 1 1 1 1 0 2 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 2 0 1 0 0 2 0 0 3 0 2 0 2 0 0 1 2 0 1 0 0 0 0 0 1 0 0 1 0 0
"strict" 0 2 0 0 1 2 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 3 0 2 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0
"suspicious" 0 2 0 0 0 1 1 2 4 0 0 1 2 1 1 0 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 2 2 0 1 1 0 1 0 1 0 0 0 2 0 2 2 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 1 0 1
"thoughtful" 0 0 0 0 0 2 0 1 0 0 0 0 2 0 1 0 0 0 1 0 0 1 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 1 1 2 0 0 0 1 0 1 0 2 0 0 0 0 0 0 1 0 0 1 0
"unreasonable" 0 0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 2 0 1 0 1 1 0 0 0 0 2 1 1 0 1 2 0 0 0 0 0 0 0 0
"vain" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 2 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 2 0 1 0 1 0 1 0 0 1 1 0 1 1 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0
"violent" 0 0 0 1 1 2 0 0 2 1 0 3 4 1 1 0 0 3 2 0 1 2 1 0 0 1 0 0 0 1 1 0 1 2 1 1 0 1 1 0 0 0 0 0 0 0 1 1 2 0 0 1 0 1 1 0 0 1 1 0 0 0 0 1 0 0 2 0 0 0 0 2 1 0
"wild" 0 1 0 0 1 3 0 0 1 0 0 3 4 3 0 0 1 1 0 0 1 0 1 1 0 2 1 0 5 1 2 1 0 1 1 0 0 0 0 1 1 1 0 0 0 0 3 1 4 0 0 2 1 1 3 0 0 1 0 0 2 0 2 0 1 0 1 0 0 0 2 0 0 0
"warm" 2 1 0 1 0 3 1 0 1 2 0 1 3 1 2 0 0 1 2 0 0 0 1 0 0 0 0 1 0 0 1 1 2 1 0 0 2 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 2 1 1 1 0 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0
"tender" 0 1 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 3 0 0 1 0 2 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0
